date,open,high,low,close,volume,prev_closing_price
2013-03-20,82.0,91.0,74.9,75.2,6080400,60.0
2013-03-24,75.0,75.0,63.8,63.9,2764300,75.2
2013-03-25,62.6,69.8,62.2,68.3,1035700,63.9
2013-03-27,68.0,69.0,65.5,67.6,1155000,68.3
2013-03-28,66.7,73.9,66.7,73.0,2180000,67.6
2013-03-31,73.6,75.0,70.4,72.6,1728900,73.0
2013-04-01,71.1,71.4,68.0,68.3,1097500,72.6
2013-04-02,68.5,72.5,68.0,71.8,1375200,68.3
2013-04-03,71.6,73.9,69.3,70.4,1411900,71.8
2013-04-04,68.2,69.9,67.8,68.6,909800,70.4
2013-04-07,69.3,70.8,68.5,69.0,1087500,68.6
2013-04-08,68.5,70.6,68.1,69.2,882700,69.0
2013-04-09,69.9,72.7,69.2,71.8,1634000,69.2
2013-04-10,72.9,74.0,69.9,70.6,1520100,71.8
2013-04-11,70.1,72.0,69.8,70.6,991400,70.6
2013-04-15,72.5,77.3,71.5,75.9,2609300,70.6
2013-04-16,77.0,77.3,71.6,71.9,1980300,75.9
2013-04-17,72.0,73.3,71.1,72.0,1053200,71.9
2013-04-18,72.1,73.4,70.4,70.6,1367200,72.0
2013-04-21,71.1,71.6,68.5,68.7,1453000,70.6
2013-04-22,69.0,69.9,68.5,68.8,632600,68.7
2013-04-23,69.5,70.8,68.3,68.8,601800,68.8
2013-04-24,69.2,69.5,67.5,67.7,785800,68.8
2013-04-25,67.9,68.5,66.7,66.9,578000,67.7
2013-04-28,66.5,66.6,64.1,64.4,677700,66.9
2013-04-29,64.5,66.7,63.6,66.3,637000,64.4
2013-04-30,67.5,68.0,64.3,64.8,487400,66.3
2013-05-02,64.0,66.3,63.8,65.9,573500,64.8
2013-05-05,66.0,66.2,63.9,64.2,489900,65.9
2013-05-06,64.2,64.5,63.2,63.9,338200,64.2
2013-05-07,64.0,65.3,64.0,64.4,462600,63.9
2013-05-08,65.5,66.7,64.0,64.2,657000,64.4
2013-05-09,64.2,65.5,63.8,65.0,478000,64.2
2013-05-12,66.0,70.3,65.3,69.7,1504900,65.0
2013-05-13,71.0,71.0,67.3,69.3,2154200,69.7
2013-05-14,70.8,74.6,70.7,73.3,2743200,69.3
2013-05-15,77.0,79.5,75.4,76.6,4291700,73.3
