date,open,high,low,close,volume,prev_closing_price
2012-04-18,149.0,209.0,149.0,163.1,2804500,10.0
2012-04-19,163.0,165.0,152.2,154.2,883500,163.1
2012-04-22,150.0,156.5,150.0,152.9,421500,154.2
2012-04-23,153.9,156.8,150.1,150.8,355500,152.9
2012-04-24,155.0,155.0,147.5,148.6,387000,150.8
2012-04-25,150.0,150.0,135.1,136.7,496000,148.6
2012-04-26,136.5,146.0,132.4,141.6,342500,136.7
2012-04-29,144.0,144.0,134.1,136.1,207000,141.6
2012-04-30,136.2,142.7,133.6,138.2,189000,136.1
2012-05-02,144.5,144.5,137.5,138.7,195000,138.2
2012-05-03,140.9,142.0,136.1,136.5,202000,138.7
2012-05-07,136.3,137.8,133.9,135.1,146500,136.5
2012-05-08,134.6,135.8,128.1,129.0,178000,135.1
2012-05-09,128.5,131.5,119.0,119.7,246500,129.0
2012-05-10,118.0,129.5,116.5,128.1,243000,119.7
2012-05-13,137.0,137.0,125.0,125.6,285000,128.1
2012-05-14,125.0,129.5,123.5,128.3,132000,125.6
2012-05-15,130.0,130.0,123.9,124.2,118000,128.3
2012-05-16,126.0,127.3,122.5,123.3,153000,124.2
2012-05-17,120.3,127.0,120.3,125.0,125500,123.3
2012-05-20,127.0,136.9,125.7,132.2,369000,125.0
2012-05-21,133.9,140.9,133.9,136.4,527000,132.2
2012-05-22,137.7,138.7,129.1,130.5,220000,136.4
2012-05-23,127.0,132.9,126.0,131.0,259000,130.5
2012-05-24,133.0,133.9,127.8,128.9,196000,131.0
2012-05-27,130.4,130.4,125.1,125.7,184000,128.9
2012-05-28,126.5,128.8,122.9,123.2,193500,125.7
2012-05-29,124.9,126.5,120.0,125.1,235500,123.2
2012-05-30,126.9,127.6,124.5,125.8,137000,125.1
2012-05-31,127.9,128.0,125.0,127.3,144000,125.8
2012-06-03,127.9,132.4,127.5,131.5,256500,127.3
2012-06-04,133.9,134.5,124.6,124.9,372500,131.5
2012-06-05,125.1,128.2,124.5,127.5,142500,124.9
2012-06-06,128.0,129.3,125.2,126.5,149000,127.5
2012-06-07,129.0,129.0,124.7,125.0,157000,126.5
2012-06-10,125.8,126.6,122.6,123.4,94000,125.0
2012-06-11,122.8,124.7,121.0,122.9,103000,123.4
