date,open,high,low,close,volume,prev_closing_price
2017-02-07,32.0,35.0,25.8,27.0,22748723,0.0
2017-02-08,25.5,27.1,25.5,26.2,5823168,27.0
2017-02-09,26.2,28.0,26.2,26.6,7247458,26.2
2017-02-12,27.0,27.5,26.2,26.3,4731267,26.6
2017-02-13,26.3,27.9,26.0,27.5,10711602,26.3
2017-02-14,27.7,28.3,27.4,27.5,5711464,27.5
2017-02-15,27.7,27.9,26.9,27.0,6949086,27.5
2017-02-16,27.3,27.5,27.0,27.2,3616758,27.0
2017-02-19,27.3,27.4,26.6,26.7,5092109,27.2
2017-02-20,26.8,26.9,26.3,26.5,3830674,26.7
2017-02-22,26.6,27.0,26.5,26.6,2653955,26.5
2017-02-23,26.8,27.0,26.6,26.7,2326649,26.6
2017-02-26,26.8,27.0,26.7,26.8,2166241,26.7
2017-02-27,26.8,26.9,26.3,26.5,1850177,26.8
2017-02-28,26.6,26.7,26.3,26.3,1859717,26.5
2017-03-01,26.5,28.2,26.4,27.7,8240915,26.3
2017-03-02,27.9,28.7,27.7,28.3,6848490,27.7
2017-03-05,28.4,29.2,28.1,28.6,6383056,28.3
2017-03-06,28.7,29.0,28.4,28.5,4296513,28.6
2017-03-07,28.5,28.7,27.6,27.8,4530658,28.5
2017-03-08,28.0,28.4,27.2,27.4,3761607,27.8
2017-03-09,27.5,28.3,27.3,28.0,2608181,27.4
2017-03-12,28.2,28.7,27.9,28.0,3344298,28.0
2017-03-13,28.2,28.2,27.5,27.6,2249285,28.0
2017-03-14,27.8,27.9,27.4,27.6,1625911,27.6
2017-03-15,27.6,27.7,27.4,27.4,1255431,27.6
2017-03-16,27.4,28.2,27.4,28.1,2418361,27.4
2017-03-19,28.2,28.7,27.7,28.1,3924930,28.1
2017-03-20,28.3,28.4,27.9,28.1,2396067,28.1
2017-03-21,28.2,28.6,27.3,27.8,3148827,28.1
2017-03-22,27.9,28.5,27.6,27.7,3555948,27.8
2017-03-23,27.9,28.4,27.8,27.8,2815033,27.7
2017-03-27,28.0,28.0,27.4,27.6,1542186,27.8
2017-03-28,27.6,27.9,27.0,27.1,1675459,27.6
2017-03-29,27.3,27.8,26.8,27.5,3250305,27.1
2017-03-30,27.6,28.2,27.2,27.4,3420118,27.5
2017-04-02,27.4,27.8,27.0,27.1,1325289,27.4
2017-04-03,27.3,27.7,27.0,27.2,1519461,27.1
2017-04-04,27.3,27.8,27.1,27.1,1812133,27.2
2017-04-05,27.3,27.4,26.5,26.7,1856325,27.1
2017-04-06,26.7,27.0,26.2,26.3,1245156,26.7
2017-04-09,26.5,26.7,25.6,25.8,946644,26.3
2017-04-10,25.9,26.2,25.4,25.9,1033571,25.8
2017-04-11,25.9,26.3,25.8,25.9,845623,25.9
2017-04-12,25.9,26.6,25.8,26.2,872505,25.9
2017-04-13,26.6,26.6,26.1,26.5,733188,26.2
2017-04-16,26.6,27.5,26.5,27.1,2067501,26.5
2017-04-17,27.1,27.2,26.4,26.5,864761,27.1
2017-04-18,26.1,26.5,25.8,26.0,945726,26.5
2017-04-19,26.0,26.3,25.8,25.8,746421,26.0
2017-04-20,26.2,26.2,25.8,25.9,594216,25.8
2017-04-23,25.8,25.8,25.1,25.4,653369,25.9
2017-04-24,25.5,26.0,25.2,25.3,580365,25.4
2017-04-25,25.5,25.6,25.0,25.2,505705,25.3
