date,open,high,low,close,volume,prev_closing_price
2008-03-06,412.25,448.0,412.0,426.5,2220,427.5
2008-03-09,421.0,421.75,410.0,417.75,1890,426.5
2008-03-09,421.0,421.75,410.0,417.75,1890,426.5
2008-03-10,410.25,416.0,410.0,415.25,2280,417.75
2008-03-11,416.0,446.0,411.5,417.0,3430,415.25
2008-03-12,407.25,410.25,407.25,408.25,1040,417.0
2008-03-13,410.0,410.0,401.0,405.75,870,408.25
2008-03-16,401.0,404.0,397.0,398.25,1130,405.75
2008-03-17,400.25,401.0,392.25,394.75,690,398.25
2008-03-18,390.0,412.0,382.5,393.0,2120,394.75
2008-03-19,389.0,400.0,389.0,396.75,730,393.0
2008-03-20,395.0,401.75,395.0,398.0,930,396.75
2008-03-23,388.0,388.0,386.25,387.5,340,398.0
2008-03-24,390.25,390.25,385.0,386.25,740,387.5
2008-03-25,388.0,405.0,386.5,390.5,1710,386.25
2008-03-30,410.0,430.0,395.0,397.0,2000,390.5
2008-03-31,395.25,400.0,395.0,396.5,1010,397.0
2008-04-01,389.0,406.0,389.0,397.0,750,396.5
2008-04-02,393.0,400.0,392.25,394.75,4840,397.0
2008-04-03,400.25,446.0,400.0,431.25,5240,394.75
2008-04-06,448.0,650.0,448.0,637.75,42380,431.25
2008-04-07,649.75,733.25,649.75,733.0,17500,637.75
2008-04-08,780.0,842.75,750.0,842.5,7650,733.0
2008-04-09,890.0,967.5,890.0,905.25,7470,842.5
2008-04-10,946.0,990.0,824.0,867.25,8420,905.25
2008-04-13,899.0,992.0,895.0,979.25,10460,867.25
2008-04-15,975.0,1000.0,890.0,905.5,6790,979.25
2008-04-16,870.0,930.0,832.0,893.25,13120,905.5
2008-04-17,900.0,950.0,871.0,889.25,8260,893.25
2008-04-20,861.0,913.0,860.0,895.5,6940,889.25
2008-04-21,910.0,940.0,910.0,930.75,9950,895.5
2008-04-22,958.0,1055.0,940.0,1018.5,11070,930.75
2008-04-23,1050.0,1145.75,1050.0,1143.5,8520,1018.5
2008-04-24,1199.75,1286.25,1140.0,1240.5,10510,1143.5
2008-04-27,1279.0,1366.0,1260.0,1335.75,7130,1240.5
2008-04-28,1340.0,1340.0,1200.0,1214.75,7660,1335.75
2008-04-29,1230.0,1297.0,1200.0,1211.75,5000,1214.75
2008-04-30,1239.0,1239.0,1120.0,1128.0,4150,1211.75
2008-05-04,1110.0,1130.0,1021.0,1058.25,3420,1128.0
2008-05-05,1025.0,1150.0,1015.0,1060.0,5800,1058.25
2008-05-06,1115.0,1120.0,1061.0,1072.5,5340,1060.0
2008-05-07,1050.0,1100.0,1041.0,1068.25,3240,1072.5
2008-05-08,1090.0,1140.0,1070.0,1108.25,4640,1068.25
2008-05-11,1130.0,1147.0,1094.0,1102.0,5730,1108.25
2008-05-12,1130.0,1130.0,1071.0,1089.75,5890,1102.0
2008-05-13,1080.0,1115.0,1043.0,1098.0,4050,1089.75
2008-05-14,1130.0,1130.0,1062.0,1082.0,13260,1098.0
2008-05-15,1089.0,1094.0,1050.0,1061.0,2860,1082.0
2008-05-18,1070.0,1115.0,1070.0,1099.5,6150,1061.0
2008-05-20,1148.0,1236.5,1103.0,1224.5,12870,1099.5
2008-05-21,1255.0,1320.0,1250.0,1288.0,11060,1224.5
2008-05-22,1302.0,1348.0,1250.0,1299.5,9100,1288.0
2008-05-25,1330.0,1460.0,1303.0,1447.0,10340,1299.5
2008-05-26,1450.0,1495.0,1315.0,1339.25,11480,1447.0
2008-05-27,1320.0,1339.0,1180.0,1218.5,7650,1339.25
2008-05-28,1130.0,1348.0,1130.0,1199.0,8910,1218.5
2008-05-29,1211.0,1216.0,1152.0,1170.5,5620,1199.0
2008-06-01,1190.0,1210.0,1172.0,1187.0,11020,1170.5
2008-06-02,1187.0,0.0,0.0,1187.0,0,1187.0
2008-06-03,1440.0,1447.0,1280.0,1289.0,21800,1187.0
2008-06-04,1300.0,1300.0,1151.0,1157.75,9470,1289.0
2008-06-05,1200.0,1238.0,1183.0,1215.0,11790,1157.75
2008-06-08,1200.0,1270.0,1175.25,1186.75,7940,1215.0
