date,open,high,low,close,volume,prev_closing_price
2010-05-09,15.5,15.5,12.9,12.9,4128000,10.0
2010-05-10,12.9,13.3,12.5,12.5,1229500,12.9
2010-05-11,12.6,13.9,12.6,12.9,768500,12.5
2010-05-12,12.7,13.8,12.7,13.4,1361500,12.9
2010-05-13,13.3,14.2,13.3,14.0,1358000,13.4
2010-05-16,14.8,14.9,14.1,14.7,1525500,14.0
2010-05-17,14.8,14.8,14.1,14.1,742500,14.7
2010-05-18,14.0,14.2,13.8,14.0,532000,14.1
2010-05-19,14.0,14.4,13.8,14.0,698000,14.0
2010-05-20,13.9,14.2,13.7,14.0,411500,14.0
2010-05-23,14.0,14.2,13.7,13.9,622500,14.0
2010-05-24,13.8,13.9,13.1,13.2,679000,13.9
2010-05-25,13.2,13.5,12.8,12.9,525000,13.2
2010-05-26,12.7,13.0,12.7,12.9,277000,12.9
2010-05-30,12.8,13.0,12.5,12.5,414000,12.9
2010-05-31,12.4,13.0,12.4,12.8,253000,12.5
2010-06-01,12.7,13.0,12.6,12.7,377000,12.8
2010-06-02,12.8,13.2,12.7,13.0,314000,12.7
2010-06-03,12.7,13.7,12.7,13.3,409500,13.0
2010-06-06,13.3,13.7,13.1,13.1,451500,13.3
2010-06-07,13.0,13.1,12.8,12.9,247500,13.1
2010-06-08,13.0,13.2,12.9,12.9,193000,12.9
2010-06-09,13.1,13.1,12.7,12.7,237000,12.9
2010-06-10,13.0,13.0,12.6,12.7,239000,12.7
2010-06-13,12.7,12.9,12.4,12.5,459500,12.7
2010-06-14,12.5,12.7,12.3,12.4,416000,12.5
2010-06-15,12.7,12.9,12.3,12.7,419500,12.4
2010-06-16,12.6,12.7,12.5,12.5,324500,12.7
2010-06-17,12.5,12.7,12.4,12.4,335500,12.5
2010-06-20,12.3,12.5,12.3,12.3,294500,12.4
2010-06-21,12.4,12.4,12.1,12.1,197500,12.3
2010-06-22,12.2,12.3,12.0,12.1,276000,12.1
2010-06-23,12.1,12.4,12.0,12.2,252000,12.1
2010-06-24,12.4,12.5,12.1,12.2,188500,12.2
2010-06-27,12.2,12.4,12.0,12.2,155000,12.2
2010-06-28,12.1,12.3,12.0,12.2,181500,12.2
2010-06-29,12.0,12.3,12.0,12.0,432500,12.2
2010-06-30,12.1,12.3,11.9,12.0,211500,12.0
2010-07-04,12.3,13.0,12.0,12.0,341500,12.0
2010-07-05,12.0,12.3,12.0,12.0,133500,12.0
2010-07-06,12.1,12.2,11.7,11.9,480500,12.0
2010-07-07,11.8,12.0,11.8,11.8,200500,11.9
2010-07-08,11.8,12.0,11.7,11.8,389000,11.8
2010-07-11,11.6,11.9,11.6,11.6,183500,11.8
2010-07-12,11.6,11.9,11.5,11.6,210500,11.6
2010-07-13,11.9,11.9,11.6,11.7,209500,11.6
2010-07-14,11.7,11.9,11.6,11.6,163000,11.7
2010-07-15,11.5,13.6,11.3,13.1,1196000,11.6
2010-07-18,12.9,13.5,12.6,12.7,822500,13.1
2010-07-19,12.6,12.7,12.1,12.3,346500,12.7
2010-07-20,12.2,13.0,12.2,12.9,638000,12.3
2010-07-21,13.0,13.0,12.5,12.6,442500,12.9
2010-07-22,12.5,12.9,12.5,12.7,366000,12.6
2010-07-25,12.9,13.3,12.9,13.0,954000,12.7
2010-07-26,13.0,13.2,12.8,13.0,557000,13.0
2010-07-27,13.0,13.1,12.6,12.8,866000,13.0
2010-07-29,12.7,13.0,12.5,12.6,385000,12.8
2010-08-01,12.9,13.9,12.6,13.7,1864000,12.6
2010-08-02,13.5,13.9,13.2,13.7,874000,13.7
2010-08-03,14.0,14.0,13.3,13.3,582000,13.7
2010-08-04,13.5,13.5,12.9,13.1,706500,13.3
2010-08-05,13.0,13.2,12.9,12.9,464000,13.1
2010-08-08,12.8,13.0,12.7,12.9,404500,12.9
2010-08-09,12.7,12.8,12.5,12.5,320000,12.9
2010-08-10,12.6,13.4,12.6,12.6,230500,12.5
2010-08-11,12.5,12.9,12.5,12.8,195000,12.6
2010-08-12,12.8,12.9,12.4,12.5,204500,12.8
2010-08-16,12.4,12.9,12.3,12.5,230000,12.5
2010-08-17,12.5,12.8,12.4,12.4,248500,12.5
2010-08-18,12.7,12.9,12.5,12.5,299000,12.4
2010-08-19,12.7,12.7,12.4,12.5,173500,12.5
2010-08-22,12.4,12.9,12.4,12.7,429000,12.5
2010-08-23,12.6,13.0,12.6,12.6,302000,12.7
2010-08-24,12.6,12.8,12.5,12.5,264000,12.6
2010-08-25,12.5,12.7,12.5,12.5,339000,12.5
2010-08-26,12.5,12.7,12.4,12.4,232000,12.5
2010-08-29,12.5,12.9,12.5,12.7,474000,12.4
2010-08-30,12.5,12.8,12.5,12.5,183000,12.7
2010-08-31,12.7,15.0,12.7,14.8,3896500,12.5
2010-09-02,15.6,15.9,14.2,14.5,1543000,14.8
2010-09-05,13.5,14.2,13.5,13.8,475500,14.5
2010-09-06,13.8,14.4,13.6,14.1,616000,13.8
2010-09-08,14.3,15.8,14.0,14.6,898500,14.1
2010-09-13,15.3,15.3,14.1,14.6,401500,14.6
2010-09-14,14.3,14.6,14.2,14.5,391500,14.6
2010-09-15,14.5,14.9,14.2,14.3,590000,14.5
2010-09-16,14.7,14.7,14.2,14.2,495500,14.3
2010-09-19,14.6,14.6,13.7,13.8,330500,14.2
2010-09-20,13.6,14.0,13.6,13.6,458000,13.8
2010-09-21,13.6,13.8,13.5,13.6,609500,13.6
2010-09-22,13.5,14.5,13.5,14.3,769500,13.6
2010-09-23,14.5,14.6,14.1,14.1,593000,14.3
2010-09-26,13.6,14.0,13.6,13.6,308000,14.1
2010-09-27,13.9,13.9,13.5,13.5,789000,13.6
2010-09-28,13.6,13.6,13.2,13.2,449000,13.5
2010-09-29,13.4,13.4,13.1,13.1,312000,13.2
2010-09-30,13.1,13.3,12.5,12.6,835500,13.1
2010-10-03,12.7,13.3,12.6,13.1,394500,12.6
2010-10-04,12.9,13.0,12.7,12.7,139000,13.1
2010-10-05,12.8,14.0,12.8,13.6,661500,12.7
2010-10-06,14.0,14.5,12.7,13.0,826500,13.6
2010-10-07,13.1,13.4,12.5,12.7,1028500,13.0
2010-10-10,12.6,13.0,12.4,12.5,842000,12.7
2010-10-11,12.6,13.3,12.6,12.7,418000,12.5
2010-10-12,12.7,13.0,12.7,12.9,261000,12.7
2010-10-13,13.0,13.1,12.7,13.0,336000,12.9
2010-10-14,13.1,13.9,13.0,13.6,1652500,13.0
2010-10-18,13.7,14.3,13.6,13.7,2792000,13.6
2010-10-19,12.5,13.8,12.5,13.4,547000,13.7
2010-10-20,13.2,14.0,13.2,13.8,2581500,13.4
2010-10-21,14.0,14.5,13.6,14.4,2760500,13.8
2010-10-24,14.5,15.8,14.5,15.2,3832500,14.4
2010-10-25,15.5,16.1,14.7,14.9,3075000,15.2
2010-10-26,14.9,15.1,14.5,14.5,801500,14.9
2010-10-27,14.2,14.8,14.2,14.6,310500,14.5
2010-10-28,14.2,14.7,14.0,14.1,985500,14.6
2010-10-31,14.0,14.0,13.5,13.5,548500,14.1
2010-10-31,14.0,14.0,13.5,13.5,548500,14.1
2010-11-01,13.5,14.4,13.5,14.2,373000,13.5
2010-11-01,13.5,14.4,13.5,14.2,373000,13.5
2010-11-02,14.7,14.7,13.7,13.9,355500,14.2
2010-11-03,13.5,14.0,13.5,13.7,250000,13.9
2010-11-04,15.0,15.0,14.1,14.5,544000,13.7
2010-11-07,15.1,15.1,13.7,13.7,149000,14.5
2010-11-08,12.9,13.6,12.9,13.3,131500,13.7
2010-11-09,13.1,13.8,13.1,13.1,115000,13.3
2010-11-10,13.2,13.4,12.0,12.6,382000,13.1
