date,open,high,low,close,volume,prev_closing_price
2008-03-06,480.0,488.0,455.0,459.0,7960,465.25
2008-03-09,450.5,452.0,437.0,441.25,7600,459.0
2008-03-09,450.5,452.0,437.0,441.25,7600,459.0
2008-03-10,435.0,457.0,435.0,453.0,6060,441.25
2008-03-11,458.0,458.0,445.0,446.0,4020,453.0
2008-03-12,446.0,446.0,433.0,439.0,1780,446.0
2008-03-13,425.0,437.25,406.0,430.25,3240,439.0
2008-03-16,430.0,435.0,420.0,422.25,3340,430.25
2008-03-17,420.0,422.0,410.0,413.0,2060,422.25
2008-03-18,425.0,425.0,417.0,417.75,1700,413.0
2008-03-19,410.0,435.0,410.0,429.0,1960,417.75
2008-03-20,430.0,430.0,416.25,421.25,2500,429.0
2008-03-23,434.0,434.0,414.0,426.75,1900,421.25
2008-03-24,426.0,426.0,416.25,421.25,1820,426.75
2008-03-25,421.0,423.0,411.0,415.5,3640,421.25
2008-03-30,435.0,445.0,429.0,434.5,1280,415.5
2008-03-31,430.0,430.0,410.0,411.25,2140,434.5
2008-04-01,415.0,429.0,410.0,420.5,1340,411.25
2008-04-02,410.5,422.0,410.5,416.0,3160,420.5
2008-04-03,415.0,440.0,415.0,432.25,3040,416.0
2008-04-06,436.0,460.0,435.0,457.25,4860,432.25
2008-04-07,450.0,494.0,450.0,482.0,11640,457.25
2008-04-08,498.0,515.0,481.0,495.5,16560,482.0
2008-04-09,505.0,519.0,465.0,471.5,12620,495.5
2008-04-10,480.0,510.0,480.0,499.25,14120,471.5
2008-04-13,530.0,574.0,521.0,573.75,25860,499.25
2008-04-15,580.0,594.0,545.0,558.0,11100,573.75
2008-04-16,535.0,550.0,510.0,524.0,8060,558.0
2008-04-17,511.0,515.0,490.0,495.0,4000,524.0
2008-04-20,495.0,515.0,495.0,507.25,2740,495.0
2008-04-21,510.0,532.0,502.0,518.5,9500,507.25
2008-04-22,515.0,530.0,515.0,518.75,4880,518.5
2008-04-23,522.0,525.0,500.0,503.5,4660,518.75
2008-04-24,510.0,514.75,502.0,508.75,3300,503.5
2008-04-27,525.0,535.0,495.0,510.5,3540,508.75
2008-04-28,539.0,539.0,485.0,491.0,4280,510.5
2008-04-29,495.0,519.0,490.0,492.0,5740,491.0
2008-04-30,515.0,520.0,472.0,473.25,7440,492.0
2008-05-04,470.0,495.0,468.0,472.5,2900,473.25
2008-05-05,475.0,480.0,466.0,467.0,6740,472.5
2008-05-06,479.0,510.0,479.0,498.25,6420,467.0
2008-05-07,500.0,500.0,481.0,484.0,2040,498.25
