date,open,high,low,close,volume,prev_closing_price
2008-03-06,385.0,404.0,382.75,399.0,19000,385.75
2008-03-09,400.0,400.0,392.0,393.0,10050,399.0
2008-03-09,400.0,400.0,392.0,393.0,10050,399.0
2008-03-10,386.0,395.0,383.25,387.0,7850,393.0
2008-03-11,390.0,390.0,382.75,385.25,6100,387.0
2008-03-12,394.0,399.0,384.0,389.5,11700,385.25
2008-03-13,390.0,392.75,383.0,383.75,5750,389.5
2008-03-16,385.0,385.0,377.5,0.0,8500,383.75
2008-03-17,371.75,383.0,371.75,378.25,8350,378.75
2008-03-18,381.0,383.0,373.0,381.75,7300,378.25
2008-03-19,375.5,383.75,375.5,380.0,4750,381.75
2008-03-20,380.0,380.0,373.0,376.0,7900,380.0
2008-03-23,380.0,380.0,360.0,370.75,6300,376.0
2008-03-24,378.0,378.0,365.0,372.0,7750,370.75
2008-03-25,374.0,380.0,371.0,375.25,8200,372.0
2008-03-30,373.25,375.25,366.0,367.5,10900,375.25
2008-03-31,379.0,379.0,365.0,366.75,9600,367.5
2008-04-01,377.0,388.0,361.25,378.75,15600,366.75
2008-04-02,380.0,390.0,372.0,383.25,16150,378.75
2008-04-03,384.0,399.0,379.0,396.0,23100,383.25
2008-04-06,394.0,397.0,388.0,388.75,9900,396.0
2008-04-07,386.0,390.0,383.0,386.25,10950,388.75
2008-04-08,390.0,438.0,390.0,424.5,93050,386.25
2008-04-09,434.0,444.5,415.0,422.75,44000,424.5
2008-04-10,421.0,426.0,416.25,419.0,23650,422.75
2008-04-13,423.0,445.0,422.0,442.25,81250,419.0
2008-04-15,449.0,490.0,449.0,470.75,90100,442.25
2008-04-16,455.0,465.0,445.0,453.5,22750,470.75
2008-04-17,448.0,450.0,421.25,440.75,39050,453.5
2008-04-20,435.5,444.0,407.0,413.0,31750,440.75
2008-04-21,413.0,0.0,0.0,413.0,0,413.0
2008-04-22,402.0,423.5,402.0,413.25,23850,413.0
2008-04-23,414.5,440.0,413.0,420.75,24650,413.25
2008-04-24,415.0,432.0,415.0,418.75,13400,420.75
2008-04-27,410.0,420.0,406.25,411.25,25950,418.75
2008-04-28,410.0,415.0,401.0,402.5,9500,411.25
2008-04-29,400.0,413.0,393.25,394.75,12600,402.5
2008-04-30,395.0,405.75,386.0,389.0,11200,394.75
2008-05-04,394.75,397.0,383.5,384.5,13700,389.0
2008-05-05,399.5,401.75,391.0,394.0,16000,384.5
2008-05-06,405.0,410.0,395.0,404.25,12200,394.0
2008-05-07,401.0,413.5,397.5,400.0,5750,404.25
2008-05-08,405.0,424.75,405.0,417.0,24550,400.0
2008-05-11,426.5,427.0,415.25,417.0,24750,417.0
2008-05-12,420.0,420.0,410.0,411.75,14600,417.0
2008-05-13,411.0,418.0,404.0,404.5,13000,411.75
2008-05-14,410.0,430.0,406.0,419.5,30450,404.5
2008-05-15,425.25,449.0,425.0,439.75,43350,419.5
2008-05-18,449.5,451.0,422.5,443.0,40100,439.75
2008-05-20,455.0,455.0,433.5,440.25,32250,443.0
2008-05-21,440.0,440.0,420.0,423.75,17650,440.25
2008-05-22,435.0,435.0,412.5,415.75,18650,423.75
2008-05-25,418.0,433.75,415.0,431.25,17950,415.75
2008-05-26,439.0,484.0,439.0,478.75,105500,431.25
2008-05-27,489.75,498.25,475.0,491.25,127850,478.75
2008-05-28,499.0,566.0,499.0,566.0,132750,491.25
2008-05-29,584.75,624.75,550.0,564.5,108950,566.0
2008-06-01,585.0,585.0,510.0,514.25,66250,564.5
2008-06-02,520.0,589.0,515.0,561.25,64800,514.25
2008-06-03,580.0,584.0,525.0,537.0,58700,561.25
2008-06-04,560.0,570.0,531.0,539.0,59950,537.0
2008-06-05,556.25,588.0,538.5,574.25,92500,539.0
2008-06-08,585.0,644.0,585.0,605.75,82450,574.25
2008-06-09,610.0,610.0,550.0,559.0,49750,605.75
2008-06-10,565.0,585.0,560.0,565.25,40050,559.0
2008-06-11,573.0,574.0,505.25,519.25,43800,565.25
2008-06-12,543.0,543.0,500.0,506.25,40400,519.25
2008-06-15,511.0,519.0,490.0,495.75,24150,506.25
2008-06-16,517.0,520.0,482.0,516.0,29050,495.75
2008-06-17,519.5,519.75,490.25,496.25,24500,516.0
2008-06-18,505.0,517.0,500.0,0.0,29050,496.25
2008-06-19,513.0,523.0,506.5,507.5,33600,504.5
2008-06-22,511.0,517.75,492.25,498.75,19500,507.5
2008-06-23,503.0,505.0,485.0,0.0,17100,498.75
2008-06-24,497.0,514.75,497.0,506.75,24600,486.0
2008-06-25,519.0,529.0,508.0,510.5,30850,506.75
2008-06-26,506.25,517.0,503.0,506.75,14550,510.5
2008-06-29,513.0,520.0,506.0,510.75,22300,506.75
2008-06-30,520.0,535.0,515.0,520.75,32400,510.75
2008-07-02,520.0,557.0,520.0,540.75,65600,520.75
2008-07-03,555.0,555.0,534.0,547.0,25950,540.75
2008-07-06,554.5,565.0,548.5,563.25,70150,547.0
2008-07-07,568.0,569.0,530.0,542.5,38900,563.25
2008-07-08,537.5,547.25,536.0,545.0,32550,542.5
2008-07-08,537.5,547.25,536.0,545.0,32550,542.5
2008-07-09,545.5,578.0,545.5,559.75,45200,545.0
2008-07-10,566.0,583.0,560.0,564.0,59100,559.75
2008-07-13,567.5,570.0,550.0,553.0,22100,564.0
2008-07-14,535.0,553.0,535.0,547.75,21300,553.0
2008-07-15,552.0,564.75,539.0,546.0,27300,547.75
2008-07-16,539.0,546.5,527.0,529.25,19850,546.0
2008-07-17,540.0,547.75,520.0,525.5,25350,529.25
2008-07-20,515.25,523.0,495.0,517.75,28650,525.5
2008-07-21,520.0,523.5,490.0,492.0,17000,517.75
2008-07-22,490.0,517.0,478.0,480.75,22800,492.0
2008-07-23,482.0,505.0,476.5,485.75,14600,480.75
2008-07-24,493.0,520.0,490.0,517.75,30900,485.75
2008-07-27,518.0,518.0,506.0,509.5,20000,517.75
2008-07-28,517.0,517.0,492.0,493.25,9250,509.5
2008-07-29,493.0,500.0,484.0,487.0,19400,493.25
2008-07-30,495.0,504.0,492.5,501.25,19800,487.0
2008-07-31,500.0,507.0,493.0,497.5,19250,501.25
2008-08-03,500.0,501.0,482.0,484.0,33050,497.5
2008-08-04,487.0,487.0,473.5,476.5,9000,484.0
2008-08-05,477.5,497.5,473.0,476.75,13400,476.5
2008-08-06,480.0,490.0,473.75,481.25,50850,476.75
2008-08-07,488.75,489.5,475.0,478.5,12900,481.25
2008-08-10,477.0,481.0,460.0,462.75,13350,478.5
2008-08-11,458.0,464.75,445.5,460.75,12750,462.75
2008-08-12,466.0,466.0,455.0,455.25,7600,460.75
2008-08-13,454.0,455.0,435.0,436.5,38300,455.25
2008-08-14,434.0,444.0,430.0,440.5,21700,436.5
2008-08-18,435.0,435.0,418.25,421.25,12900,440.5
2008-08-19,427.75,427.75,406.0,412.0,20450,421.25
2008-08-20,425.0,433.0,420.0,424.75,19350,412.0
2008-08-21,430.0,466.75,428.0,465.0,46400,424.75
2008-08-25,469.0,475.0,460.0,466.75,35300,465.0
2008-08-26,466.0,484.75,466.0,481.75,28800,466.75
2008-08-27,480.0,485.0,467.0,468.75,23800,481.75
2008-08-28,468.5,470.0,460.0,463.75,18550,468.75
2008-08-31,470.25,498.0,464.5,491.25,49450,463.75
2008-09-01,498.0,520.0,495.0,515.0,61550,491.25
2008-09-02,524.75,524.75,500.0,501.25,22300,515.0
2008-09-03,500.0,505.0,484.0,494.25,25500,501.25
2008-09-04,494.0,499.0,488.5,493.25,17350,494.25
2008-09-07,497.75,497.75,482.25,485.5,19900,493.25
2008-09-08,489.0,515.0,489.0,0.0,30050,485.5
2008-09-09,520.0,539.75,515.0,519.75,53250,512.0
2008-09-10,520.0,525.0,510.0,510.25,23800,519.75
2008-09-11,508.0,513.0,494.0,496.0,18150,510.25
2008-09-14,495.0,504.75,490.0,491.75,12400,496.0
2008-09-15,486.0,501.0,483.0,496.25,13600,491.75
2008-09-16,501.0,508.0,483.0,487.5,32350,496.25
2008-09-17,488.0,492.0,479.0,481.25,11950,487.5
