date,open,high,low,close,volume,prev_closing_price
2010-11-29,10.0,10.1,9.6,9.7,1136000,10.0
2010-11-30,9.7,10.0,9.6,9.6,874000,9.7
2010-12-01,9.6,9.7,9.4,9.5,663500,9.6
2010-12-02,9.4,9.7,9.2,9.2,644000,9.5
2010-12-05,9.1,9.8,9.1,9.1,697000,9.2
2010-12-06,8.9,9.5,8.6,9.3,605500,9.1
2010-12-07,9.5,9.6,9.1,9.3,762500,9.3
2010-12-08,9.9,9.9,9.1,9.1,486000,9.3
2010-12-09,9.1,10.9,9.1,10.3,3203000,9.1
2010-12-12,10.5,11.9,10.0,10.4,5400000,10.3
2010-12-13,10.3,10.7,9.9,10.0,1384000,10.4
2010-12-14,9.8,10.8,9.8,10.5,2956000,10.0
2010-12-15,10.5,10.9,10.3,10.3,4862500,10.5
2010-12-19,10.3,10.5,9.8,9.9,1919000,10.3
2010-12-20,10.0,10.5,9.6,9.8,1575500,9.9
2010-12-21,9.9,10.0,9.5,9.7,2169500,9.8
2010-12-22,10.0,10.3,9.9,10.1,2241000,9.7
2010-12-23,10.3,10.6,10.1,10.1,2629000,10.1
2010-12-26,10.3,10.3,9.9,9.9,2316000,10.1
2010-12-27,10.0,10.2,9.9,9.9,1535000,9.9
2010-12-28,10.0,10.1,9.9,9.9,1555500,9.9
2010-12-29,10.0,10.5,9.8,10.3,3334500,9.9
2010-12-30,10.5,12.3,10.5,11.6,9543500,10.3
2011-01-02,11.9,11.9,11.0,11.1,3327500,11.6
2011-01-03,10.9,11.3,10.8,11.0,2485000,11.1
2011-01-04,10.6,11.4,10.6,11.0,2601000,11.0
2011-01-05,11.0,11.3,10.8,10.9,2605500,11.0
2011-01-06,10.9,11.0,10.5,10.5,2507500,10.9
2011-01-09,10.6,11.1,9.6,9.8,2252000,10.5
2011-01-10,10.0,10.1,9.4,9.5,227500,9.8
2011-01-11,10.3,11.4,10.3,11.1,3785500,9.5
2011-01-12,11.1,11.1,10.6,10.7,3480000,11.1
2011-01-13,10.6,10.9,10.5,10.6,2078500,10.7
2011-01-16,10.7,10.8,10.2,10.3,1997500,10.6
2011-01-17,10.3,10.4,10.1,10.1,1412000,10.3
2011-01-18,10.1,10.2,9.9,9.9,805000,10.1
2011-01-19,10.5,10.5,9.8,9.8,891000,9.9
2011-01-20,9.8,9.8,9.5,9.5,74000,9.8
2011-01-25,9.9,10.4,9.9,10.4,1760000,9.5
2011-01-26,10.5,10.7,10.2,10.4,1783000,10.4
2011-01-27,10.2,10.4,10.2,10.3,2422000,10.4
2011-01-30,10.2,10.4,10.1,10.2,1387000,10.3
2011-01-31,10.3,10.3,10.0,10.0,1232000,10.2
2011-02-01,10.0,10.3,10.0,10.0,1191000,10.0
2011-02-02,10.0,10.2,9.9,9.9,978000,10.0
2011-02-03,10.0,10.1,9.8,9.8,1118000,9.9
2011-02-06,9.8,10.0,9.5,9.5,1193500,9.8
2011-02-07,9.6,9.9,9.3,9.4,1318000,9.5
2011-02-08,9.6,9.9,9.1,9.6,1397000,9.4
2011-02-09,9.7,9.7,9.2,9.3,772500,9.6
2011-02-10,9.3,9.5,9.2,9.2,641000,9.3
2011-02-13,9.2,9.3,8.9,8.9,1569000,9.2
2011-02-14,8.9,8.9,8.1,8.1,2057000,8.9
2011-02-15,8.4,8.9,8.2,8.8,861500,8.1
2011-02-20,9.3,9.6,9.2,9.5,1660500,8.8
2011-02-22,9.6,9.6,8.7,8.8,1508500,9.5
2011-02-27,8.3,8.4,7.8,7.8,1455000,8.4
2011-02-28,7.8,8.3,7.7,7.8,914000,7.8
