date,open,high,low,close,volume,prev_closing_price
2008-03-06,545.0,545.0,504.0,523.25,3800,527.75
2008-03-09,515.0,515.0,482.0,488.0,2950,523.25
2008-03-09,515.0,515.0,482.0,488.0,2950,523.25
2008-03-10,479.0,539.0,479.0,526.5,3800,488.0
2008-03-11,495.0,545.0,495.0,518.25,3200,526.5
2008-03-12,525.0,525.0,505.0,515.5,1950,518.25
2008-03-13,521.0,521.0,500.0,503.0,2150,515.5
2008-03-16,497.0,510.0,493.5,501.25,550,503.0
2008-03-17,495.25,495.25,485.25,491.5,650,501.25
2008-03-18,491.0,495.0,490.5,492.25,550,491.5
2008-03-19,500.0,509.75,494.5,500.0,1250,492.25
2008-03-20,518.0,518.0,482.25,489.5,400,500.0
2008-03-23,470.0,480.0,446.0,453.5,4650,489.5
2008-03-24,480.0,513.75,470.0,502.5,1050,453.5
2008-03-25,499.75,500.0,490.0,0.0,850,502.5
2008-03-30,525.0,535.0,505.5,529.25,7100,492.75
2008-03-31,540.0,540.0,505.25,513.5,2050,529.25
2008-04-01,518.0,518.0,505.0,507.5,900,513.5
2008-04-02,510.0,519.0,501.0,506.25,3200,507.5
2008-04-03,537.0,537.0,500.0,512.75,1350,506.25
2008-04-06,548.0,548.0,510.0,514.5,3650,512.75
2008-04-07,528.75,540.0,517.25,530.75,9600,514.5
2008-04-08,550.0,605.0,546.0,593.0,12850,530.75
2008-04-09,630.0,630.0,590.0,595.75,8050,593.0
2008-04-10,599.0,609.0,590.0,599.25,6900,595.75
2008-04-13,602.0,689.0,602.0,688.25,14400,599.25
2008-04-15,724.0,724.0,601.0,646.75,5100,688.25
2008-04-16,648.0,648.0,575.0,587.75,2800,646.75
2008-04-17,601.0,601.0,560.0,569.25,4450,587.75
2008-04-20,560.0,579.0,550.0,562.25,1800,569.25
2008-04-21,570.0,570.0,531.0,552.75,3300,562.25
2008-04-22,588.0,588.0,541.0,546.75,4750,552.75
2008-04-23,520.0,571.0,520.0,550.75,2300,546.75
2008-04-24,544.0,564.0,544.0,549.75,1700,550.75
2008-04-27,589.0,589.0,550.0,557.0,2450,549.75
2008-04-28,555.0,565.0,550.0,557.0,3200,557.0
2008-04-29,575.0,575.0,547.0,566.25,2900,557.0
2008-04-30,462.0,520.0,462.0,506.75,2500,566.25
2008-05-04,497.0,500.0,470.0,477.75,2050,506.75
2008-05-05,497.0,500.0,486.0,489.25,2600,477.75
2008-05-06,520.0,520.0,502.25,512.75,1450,489.25
