date,open,high,low,close,volume,prev_closing_price
2010-10-19,11.0,11.4,10.6,10.9,5803500,10.0
2010-10-20,10.8,10.8,10.5,10.6,2793500,10.9
2010-10-21,10.5,10.7,10.4,10.5,1985000,10.6
2010-10-24,10.5,10.7,10.4,10.5,1632000,10.5
2010-10-25,10.5,10.7,10.4,10.4,1386500,10.5
2010-10-26,10.4,10.6,10.3,10.3,1156500,10.4
2010-10-27,10.3,10.4,10.2,10.3,976500,10.3
2010-10-28,10.3,10.4,10.1,10.1,1136000,10.3
2010-10-31,10.2,10.2,10.0,10.0,1529500,10.1
2010-10-31,10.2,10.2,10.0,10.0,1529500,10.1
2010-11-01,10.2,10.2,10.0,10.1,945500,10.0
2010-11-01,10.2,10.2,10.0,10.1,945500,10.0
2010-11-02,10.1,10.2,10.0,10.0,777000,10.1
2010-11-03,10.0,10.2,10.0,10.0,977000,10.0
2010-11-04,10.1,11.3,10.1,10.1,1907500,10.0
2010-11-07,10.5,10.5,10.0,10.1,725500,10.1
2010-11-08,10.0,10.1,9.9,10.0,635000,10.1
2010-11-09,10.0,10.1,9.9,9.9,772000,10.0
2010-11-10,9.9,10.0,9.9,9.9,793000,9.9
2010-11-11,9.9,10.0,9.8,9.8,561500,9.9
2010-11-14,10.0,10.1,9.9,10.0,978500,9.8
2010-11-15,10.1,10.1,10.0,10.0,748000,10.0
2010-11-21,10.0,10.1,9.8,10.0,797000,10.0
2010-11-22,10.0,10.0,9.8,9.8,455500,10.0
2010-11-23,9.7,10.0,9.7,9.7,631500,9.8
2010-11-24,9.7,9.9,9.7,9.7,553000,9.7
2010-11-25,9.7,10.3,9.7,10.1,1474000,9.7
2010-11-28,10.1,10.5,9.8,9.9,1202500,10.1
2010-11-29,9.8,10.1,9.8,9.8,681500,9.9
2010-11-30,9.8,9.9,9.7,9.7,558000,9.8
2010-12-01,9.7,10.0,9.6,9.7,547500,9.7
2010-12-02,9.6,10.0,9.5,9.6,570500,9.7
2010-12-05,9.6,10.0,9.4,9.7,1348500,9.6
2010-12-06,9.6,9.9,9.5,9.7,695000,9.7
2010-12-07,9.7,9.9,9.4,9.4,733000,9.7
2010-12-08,9.6,9.8,9.4,9.6,611000,9.4
2010-12-09,9.5,10.8,9.4,10.5,2893500,9.6
2010-12-12,10.7,12.0,10.3,10.9,6034000,10.5
2010-12-13,11.0,11.3,10.2,10.3,1742000,10.9
2010-12-14,10.2,11.3,10.2,10.9,2085000,10.3
2010-12-15,11.1,11.5,10.7,10.8,3221500,10.9
2010-12-19,11.0,11.0,9.9,9.9,2642000,10.8
2010-12-20,10.3,11.0,9.9,9.9,2075000,9.9
2010-12-21,10.1,10.2,9.8,10.0,1514500,9.9
2010-12-22,10.2,10.8,10.2,10.4,2881500,10.0
2010-12-23,10.6,10.9,10.4,10.7,3411500,10.4
2010-12-26,10.5,10.8,10.4,10.5,4439500,10.7
2010-12-27,10.5,10.7,10.4,10.5,1870000,10.5
2010-12-28,10.4,10.7,10.3,10.3,2620500,10.5
2010-12-29,10.3,11.0,10.2,10.8,3057500,10.3
2010-12-30,11.3,12.0,11.0,11.9,10577500,10.8
2011-01-02,11.9,12.1,11.0,11.3,3875000,11.9
2011-01-03,10.5,11.5,10.5,11.3,2201500,11.3
2011-01-04,11.0,11.6,11.0,11.2,3518000,11.3
2011-01-05,11.3,11.4,11.0,11.0,2177000,11.2
2011-01-06,10.9,11.3,10.6,10.7,3749500,11.0
2011-01-09,10.7,11.0,10.0,10.0,2335500,10.7
2011-01-10,10.4,10.4,9.6,9.7,477000,10.0
2011-01-11,10.5,11.6,10.4,11.4,5076500,9.7
2011-01-12,11.8,11.8,10.6,10.9,3102500,11.4
2011-01-13,10.7,11.1,10.5,10.7,2259000,10.9
2011-01-16,10.6,10.8,10.4,10.4,2246500,10.7
2011-01-17,10.8,10.8,10.3,10.3,2031500,10.4
2011-01-18,10.2,10.4,10.1,10.1,961000,10.3
2011-01-19,10.7,10.7,9.9,10.0,1406500,10.1
2011-01-20,9.7,9.8,9.7,9.7,37000,10.0
2011-01-25,10.4,10.6,10.2,10.5,1952000,9.7
2011-01-26,10.8,10.8,10.3,10.5,1764500,10.5
2011-01-27,10.7,10.7,10.3,10.4,2253000,10.5
2011-01-30,10.3,10.5,10.2,10.4,1444500,10.4
2011-01-31,10.5,10.5,10.1,10.1,2143000,10.4
2011-02-01,10.1,10.4,10.0,10.0,2354000,10.1
2011-02-02,10.0,10.2,10.0,10.0,1358000,10.0
2011-02-03,10.0,10.1,9.9,10.0,1548000,10.0
2011-02-06,9.9,10.0,9.7,9.8,1085000,10.0
2011-02-07,9.6,10.0,9.5,9.5,830500,9.8
2011-02-08,9.8,10.0,9.3,9.8,1476500,9.5
2011-02-09,9.8,9.9,9.6,9.6,1229500,9.8
2011-02-10,9.5,9.6,9.2,9.3,1062000,9.6
2011-02-13,9.4,9.4,8.7,8.8,1034000,9.3
2011-02-14,8.6,8.8,8.0,8.0,1619500,8.8
2011-02-15,8.4,8.8,7.9,8.8,810500,8.0
2011-02-20,9.1,9.6,9.0,9.5,1563500,8.8
2011-02-22,9.6,9.6,8.7,8.7,1391500,9.5
2011-02-27,8.3,8.3,7.7,7.7,2547500,8.3
2011-02-28,7.7,8.1,7.7,7.7,1579500,7.7
2011-03-01,8.0,8.4,8.0,8.4,1001000,7.7
2011-03-02,8.5,8.8,7.6,7.6,2498500,8.4
2011-03-03,8.2,8.3,7.7,8.2,1956500,7.6
2011-03-06,8.5,8.6,8.1,8.3,899000,8.2
2011-03-07,8.4,8.8,8.2,8.5,2193000,8.3
2011-03-08,8.8,9.2,8.7,9.1,2990500,8.5
2011-03-09,9.3,9.5,8.8,9.4,1931000,9.1
2011-03-10,9.4,9.9,9.2,9.5,1942000,9.4
2011-03-13,9.5,9.5,8.7,8.7,1357500,9.5
2011-03-14,9.0,9.2,8.7,9.1,890000,8.7
2011-03-15,9.3,9.4,8.7,8.7,1112000,9.1
2011-03-16,9.0,9.0,8.7,8.7,809500,8.7
2011-03-20,8.9,9.1,8.6,8.7,1341000,8.7
2011-03-21,8.8,8.9,8.7,8.7,1038000,8.7
2011-03-22,8.7,8.8,8.5,8.5,939500,8.7
2011-03-23,8.8,8.8,8.3,8.3,952500,8.5
2011-03-24,8.2,8.5,8.0,8.1,1291000,8.3
2011-03-27,8.1,8.3,8.0,8.2,613500,8.1
2011-03-28,8.2,8.7,8.1,8.5,746000,8.2
2011-03-29,8.7,8.8,8.3,8.3,905000,8.5
2011-03-30,8.2,8.6,8.2,8.3,618000,8.3
2011-03-31,8.3,8.4,8.2,8.2,372500,8.3
2011-04-03,8.3,8.5,8.3,8.3,555500,8.2
2011-04-04,8.3,8.5,8.2,8.3,553000,8.3
2011-04-05,8.2,8.4,8.2,8.2,728000,8.3
2011-04-06,8.2,8.4,8.1,8.2,833500,8.2
2011-04-07,8.3,8.4,8.1,8.1,576000,8.2
2011-04-10,8.1,8.6,8.1,8.2,1213500,8.1
2011-04-11,8.4,8.9,8.2,8.3,1819000,8.2
2011-04-12,8.3,8.6,8.3,8.5,457000,8.3
2011-04-13,8.5,8.9,8.4,8.7,1823000,8.5
2011-04-17,8.9,9.0,8.6,8.7,1459500,8.7
2011-04-18,8.8,9.2,8.6,8.9,2210500,8.7
2011-04-19,9.0,9.1,8.5,8.6,1002500,8.9
2011-04-20,8.4,8.6,8.3,8.4,502000,8.6
2011-04-21,8.6,8.6,8.3,8.4,231000,8.4
2011-04-24,8.4,8.4,8.1,8.1,1039000,8.4
2011-04-25,8.2,8.3,8.0,8.0,671500,8.1
2011-04-26,8.0,8.2,7.9,7.9,1092500,8.0
2011-04-27,7.9,8.6,7.9,8.5,1262000,7.9
2011-05-03,8.1,8.3,8.1,8.1,368500,8.1
2011-05-04,8.3,8.5,8.2,8.4,469000,8.1
2011-05-05,8.5,8.5,8.1,8.2,656000,8.4
2011-05-08,8.1,8.2,7.9,7.9,696500,8.2
2011-05-09,7.9,8.1,7.7,8.0,358500,7.9
2011-05-10,8.1,8.1,7.8,7.8,472500,8.0
2011-05-11,7.8,8.0,7.8,7.8,389500,7.8
2011-05-12,8.1,8.1,7.8,8.0,204500,7.8
2011-05-15,8.1,8.2,8.0,8.0,293500,8.0
2011-05-16,8.1,8.2,7.9,8.0,799000,8.0
2011-05-18,8.0,8.0,7.9,7.9,271500,8.0
2011-05-19,8.0,8.0,7.8,7.8,310000,7.9
2011-05-22,7.8,7.8,7.6,7.6,551000,7.8
2011-05-23,7.7,7.8,7.5,7.5,521000,7.6
2011-05-24,7.6,7.7,7.5,7.5,185500,7.5
2011-05-25,7.6,7.6,7.0,7.3,1366500,7.5
2011-05-26,7.5,7.5,7.2,7.3,604000,7.3
2011-05-29,7.5,7.7,7.3,7.6,472000,7.3
2011-05-30,7.9,7.9,7.5,7.7,506500,7.6
2011-05-31,7.7,8.1,7.7,7.8,1181000,7.7
2011-06-01,7.9,8.0,7.7,7.7,424000,7.8
2011-06-02,7.6,8.0,7.6,7.9,423000,7.7
2011-06-05,8.1,8.2,7.8,7.8,565000,7.9
2011-06-06,7.8,7.9,7.7,7.8,409500,7.8
2011-06-07,8.0,8.0,7.8,7.9,921500,7.8
2011-06-08,8.0,8.2,7.8,7.9,573500,7.9
2011-06-09,8.0,8.1,7.8,7.9,461000,7.9
2011-06-12,8.0,8.0,7.5,7.5,281000,7.9
2011-06-13,7.5,7.9,7.5,7.8,281000,7.5
2011-06-14,7.7,7.8,7.6,7.6,189500,7.8
2011-06-15,7.6,7.7,7.6,7.6,174000,7.6
2011-06-16,7.6,7.8,7.5,7.6,375500,7.6
2011-06-19,7.5,7.6,7.5,7.5,178000,7.6
2011-06-20,7.5,7.6,7.4,7.5,128000,7.5
2011-06-21,7.6,7.8,7.5,7.6,1062000,7.5
2011-06-22,7.7,7.7,7.5,7.6,70000,7.6
2011-06-23,7.6,7.7,7.5,7.6,169000,7.6
2011-06-26,7.5,7.7,7.5,7.6,123000,7.6
2011-06-27,7.6,7.7,7.5,7.6,411000,7.6
2011-06-28,7.6,7.9,7.6,7.7,474000,7.6
2011-06-29,8.0,8.1,7.8,8.0,1691500,7.7
2011-06-30,8.0,8.1,7.8,8.0,463000,8.0
2011-07-03,8.2,8.5,8.1,8.4,1797000,8.0
2011-07-04,8.7,8.7,8.0,8.0,2743000,8.4
2011-07-05,8.5,8.5,8.0,8.3,609500,8.0
2011-07-06,8.4,9.0,8.3,8.8,3178000,8.3
2011-07-07,8.6,9.1,8.6,8.8,2330500,8.8
2011-07-10,8.8,9.1,8.8,9.0,1591000,8.8
2011-07-11,8.9,9.0,8.8,8.9,1448500,9.0
2011-07-12,8.8,9.2,8.8,9.1,1938000,8.9
2011-07-13,9.2,9.9,9.2,9.8,4018500,9.1
2011-07-14,9.9,10.1,9.3,9.4,1977000,9.8
2011-07-17,9.3,9.4,9.1,9.2,1788500,9.4
2011-07-19,9.3,9.5,9.2,9.3,1310000,9.2
2011-07-20,9.2,9.5,9.2,9.2,1840000,9.3
2011-07-21,9.2,9.5,9.2,9.3,2365500,9.2
2011-07-24,9.4,9.6,9.2,9.2,1706500,9.3
2011-07-25,9.2,9.4,9.0,9.0,1449500,9.2
2011-07-26,9.0,9.3,8.7,8.8,925000,9.0
2011-07-27,8.8,9.3,8.8,9.2,1276000,8.8
2011-07-28,9.1,9.2,8.7,8.8,1148500,9.2
2011-07-31,8.8,8.9,8.4,8.5,848000,8.8
2011-08-01,8.7,8.7,8.3,8.4,606000,8.5
2011-08-02,8.5,8.5,8.0,8.0,433000,8.4
2011-08-03,8.0,8.5,8.0,8.4,331500,8.0
2011-08-04,8.4,8.5,8.2,8.2,464500,8.4
2011-08-07,8.1,8.2,8.0,8.1,363000,8.2
2011-08-08,8.0,8.3,8.0,8.1,263500,8.1
2011-08-09,8.3,8.3,8.1,8.1,390000,8.1
2011-08-10,8.0,8.2,8.0,8.1,194500,8.1
2011-08-11,8.0,8.1,7.8,7.8,1032000,8.1
2011-08-14,7.7,7.7,7.5,7.6,603000,7.8
2011-08-16,7.4,7.6,7.4,7.4,433500,7.6
2011-08-17,7.4,7.5,7.3,7.4,489000,7.4
2011-08-18,7.5,7.8,7.5,7.5,809500,7.4
2011-08-21,7.6,7.6,7.3,7.4,309500,7.5
2011-08-23,7.3,7.6,7.3,7.4,566500,7.4
2011-08-24,7.6,7.6,7.3,7.4,629500,7.4
2011-08-25,7.4,7.7,7.4,7.6,1116000,7.4
2011-09-04,7.6,7.9,7.6,7.6,281000,7.6
2011-09-05,7.7,7.7,7.5,7.5,312000,7.6
2011-09-06,7.6,7.7,7.4,7.4,346500,7.5
2011-09-07,7.3,7.6,7.3,7.4,364000,7.4
2011-09-08,7.4,7.6,7.4,7.5,225500,7.4
2011-09-11,7.4,7.5,7.3,7.4,323000,7.5
2011-09-12,7.4,7.4,7.2,7.3,423500,7.4
2011-09-13,7.5,7.5,7.4,7.4,297000,7.3
2011-09-14,7.5,7.6,7.4,7.4,545500,7.4
2011-09-15,7.4,7.6,7.4,7.4,212000,7.4
2011-09-18,7.5,7.6,7.2,7.2,260500,7.4
2011-09-19,7.2,7.4,7.2,7.3,112500,7.2
2011-09-20,7.3,7.5,7.3,7.3,118500,7.3
2011-09-21,7.3,7.3,7.0,7.0,457500,7.3
2011-09-22,7.1,7.1,6.9,7.0,373000,7.0
2011-09-25,7.0,7.3,7.0,7.2,233500,7.0
2011-09-26,7.3,7.5,7.2,7.4,447500,7.2
2011-09-27,7.4,7.6,7.2,7.2,258000,7.4
2011-09-28,7.3,7.3,7.1,7.1,253000,7.2
2011-09-29,7.3,7.4,7.2,7.2,142000,7.1
2011-10-02,7.3,7.3,7.2,7.2,79500,7.2
2011-10-03,7.2,7.3,7.1,7.1,251500,7.2
2011-10-04,7.1,7.2,7.0,7.1,117000,7.1
2011-10-05,7.1,7.1,7.0,7.0,276500,7.1
2011-10-09,7.0,7.0,6.8,6.8,539500,7.0
2011-10-10,6.8,7.0,6.7,6.8,114500,6.8
2011-10-11,6.7,6.8,6.5,6.5,158000,6.8
2011-10-12,6.5,6.8,6.4,6.7,157500,6.5
2011-10-13,7.0,7.1,6.7,6.8,1089500,6.7
2011-10-16,6.8,6.8,6.6,6.6,597000,6.8
2011-10-17,6.6,7.0,6.6,6.9,338000,6.6
2011-10-18,7.0,7.0,6.7,6.8,256500,6.9
2011-10-19,6.7,6.7,6.5,6.6,255500,6.8
2011-10-20,6.9,7.0,6.7,6.9,442000,6.6
2011-10-23,7.2,7.3,7.0,7.0,654000,6.9
2011-10-24,7.0,7.0,6.8,6.8,269000,7.0
2011-10-25,6.7,7.0,6.7,6.8,158500,6.8
2011-10-26,6.8,6.9,6.7,6.7,281500,6.8
2011-10-27,6.9,6.9,6.5,6.5,279500,6.7
2011-10-30,6.5,6.5,6.3,6.3,296000,6.5
2011-10-31,6.5,6.6,6.2,6.2,82500,6.3
2011-11-01,6.5,6.5,6.3,6.4,123500,6.2
2011-11-02,6.6,6.7,6.4,6.5,234500,6.4
2011-11-03,6.5,6.6,6.5,6.5,203000,6.5
2011-11-13,6.5,6.5,6.3,6.3,384000,6.5
2011-11-14,6.3,6.4,5.7,6.2,1134000,6.3
2011-11-15,6.2,6.2,5.7,5.8,935500,6.2
2011-11-16,6.3,6.3,6.0,6.2,268000,5.8
2011-11-17,6.5,6.8,6.3,6.7,1221500,6.2
2011-11-20,6.9,7.2,6.7,7.1,1030000,6.7
2011-11-21,6.9,7.3,6.9,7.2,562500,7.1
2011-11-22,7.2,7.9,7.2,7.8,1882500,7.2
2011-11-23,8.5,8.5,7.3,7.3,807000,7.8
2011-11-24,7.4,7.7,7.2,7.3,691000,7.3
2011-11-27,7.3,7.3,6.6,6.7,504500,7.3
2011-11-28,6.6,7.1,6.3,7.0,310500,6.7
2011-11-29,6.9,7.1,6.8,7.0,316500,7.0
2011-11-30,6.8,7.2,6.8,7.0,272000,7.0
2011-12-05,6.8,7.0,6.6,6.7,302000,6.9
2011-12-07,6.6,6.9,6.5,6.8,421500,6.7
