date,open,high,low,close,volume,prev_closing_price
2008-03-06,576.25,612.0,576.25,601.0,55500,580.5
2008-03-09,602.0,616.0,602.0,607.25,37650,601.0
2008-03-09,602.0,616.0,602.0,607.25,37650,601.0
2008-03-10,610.0,624.0,608.0,610.5,67800,607.25
2008-03-11,604.0,613.5,604.0,609.25,43400,610.5
2008-03-12,607.5,612.5,602.0,602.75,41550,609.25
2008-03-13,609.0,609.5,597.25,0.0,45900,602.75
2008-03-16,595.0,604.0,595.0,598.25,24050,598.75
2008-03-17,602.0,605.0,595.0,598.25,40050,598.25
2008-03-18,605.0,615.0,600.0,607.25,99950,598.25
2008-03-19,618.0,630.0,615.0,624.0,125050,607.25
2008-03-20,624.0,664.0,624.0,651.25,230000,624.0
2008-03-23,655.0,685.0,655.0,664.5,210150,651.25
2008-03-24,680.0,680.0,645.25,652.75,117650,664.5
2008-03-25,655.0,690.0,650.0,687.0,280850,652.75
2008-03-30,700.0,710.0,683.0,692.0,225100,687.0
2008-03-31,705.0,705.0,665.0,666.25,246150,692.0
2008-04-01,670.5,682.0,656.0,678.25,135300,666.25
2008-04-02,682.0,685.0,665.5,668.0,88250,678.25
2008-04-03,673.0,673.0,654.0,657.0,100200,668.0
2008-04-06,667.5,675.0,661.25,664.0,73600,657.0
2008-04-07,669.75,690.0,660.0,676.0,111750,664.0
2008-04-08,672.0,697.0,670.0,675.5,161700,676.0
2008-04-09,695.0,695.0,672.0,674.75,177850,675.5
2008-04-10,671.0,676.75,651.0,655.75,150750,674.75
2008-04-13,663.0,664.0,640.25,641.5,91550,655.75
2008-04-15,650.0,670.0,640.0,656.25,67450,641.5
2008-04-16,667.75,677.0,663.25,672.5,80050,656.25
2008-04-17,680.0,683.0,663.5,666.0,83600,672.5
2008-04-20,666.0,674.0,651.0,653.0,75500,666.0
2008-04-21,657.0,662.0,646.0,649.25,64200,653.0
2008-04-22,645.0,660.0,644.5,647.0,66950,649.25
2008-04-23,647.0,664.0,646.75,647.5,61200,647.0
2008-04-24,660.0,670.0,645.0,647.75,58700,647.5
2008-04-27,664.5,664.5,642.0,643.5,49850,647.75
2008-04-28,645.0,651.0,634.0,636.0,50050,643.5
2008-04-29,635.5,642.0,627.75,631.75,50900,636.0
2008-04-30,630.0,633.0,620.0,627.0,52400,631.75
2008-05-04,630.0,637.0,629.5,634.0,21450,627.0
2008-05-05,635.0,655.0,634.5,646.25,56750,634.0
2008-05-06,654.75,654.75,636.5,638.5,44250,646.25
2008-05-07,638.25,641.75,636.0,637.75,38800,638.5
2008-05-08,636.25,641.0,634.5,639.5,35250,637.75
2008-05-11,637.0,639.0,627.0,629.75,62500,639.5
2008-05-12,636.0,636.0,622.5,624.0,50700,629.75
2008-05-13,625.0,625.0,611.0,620.25,72450,624.0
2008-05-14,621.75,628.0,610.0,616.5,37850,620.25
2008-05-15,615.5,621.25,607.25,613.5,62050,616.5
2008-05-18,617.0,617.0,604.5,606.75,76300,613.5
2008-05-20,606.5,610.0,593.0,597.25,63500,606.75
2008-05-21,608.75,619.0,596.5,610.0,47100,597.25
2008-05-22,610.0,616.5,608.0,612.25,38050,610.0
2008-05-25,609.75,619.0,605.0,608.0,33000,612.25
2008-05-26,610.0,620.0,605.25,609.25,49300,608.0
2008-05-27,605.25,628.75,605.25,615.5,111200,609.25
2008-05-28,625.0,625.0,610.0,611.5,35450,615.5
2008-05-29,620.0,622.0,609.0,610.5,41350,611.5
2008-06-01,614.0,615.0,607.0,609.0,53000,610.5
2008-06-02,610.0,614.75,603.0,605.0,51100,609.0
2008-06-03,606.0,608.0,600.0,600.75,44950,605.0
2008-06-04,600.0,608.0,600.0,600.5,51250,600.75
2008-06-05,605.0,614.5,603.0,612.0,30600,600.5
2008-06-08,610.0,612.0,600.25,602.5,79600,612.0
2008-06-09,600.0,614.0,594.0,598.5,88100,602.5
2008-06-10,604.25,611.0,596.0,599.5,30900,598.5
2008-06-11,602.0,602.0,581.0,584.5,41500,599.5
2008-06-12,595.0,601.0,586.0,591.25,30150,584.5
2008-06-15,600.0,600.0,586.5,0.0,20950,591.25
2008-06-16,588.0,590.0,583.25,0.0,22650,589.75
2008-06-17,590.0,591.25,584.0,585.5,27700,586.0
2008-06-18,585.5,594.0,583.25,0.0,30850,585.5
2008-06-19,590.0,590.75,580.0,581.25,43000,584.75
2008-06-22,588.0,592.0,575.0,0.0,20950,581.25
2008-06-23,571.25,574.75,568.5,0.0,32300,577.5
2008-06-24,570.0,587.75,570.0,581.25,50450,570.5
2008-06-25,589.0,595.0,580.0,582.25,31450,581.25
2008-06-26,582.0,582.0,573.25,574.0,22350,582.25
2008-06-29,574.25,578.0,560.75,564.25,36200,574.0
2008-06-30,564.0,566.0,554.5,556.75,53450,564.25
2008-07-02,558.0,561.0,543.0,544.0,20550,556.75
2008-07-03,542.0,548.25,510.25,529.0,65950,544.0
2008-07-06,543.75,543.75,520.0,523.25,23650,529.0
2008-07-07,521.0,522.0,501.0,507.25,47150,523.25
2008-07-08,507.0,513.75,504.5,508.75,26950,507.25
2008-07-08,507.0,513.75,504.5,508.75,26950,507.25
2008-07-09,523.0,523.0,505.0,510.25,20450,508.75
2008-07-10,515.0,537.0,509.25,532.0,41250,510.25
2008-07-13,539.75,560.0,535.5,558.5,57300,532.0
2008-07-14,553.0,558.0,540.25,547.75,37950,558.5
2008-07-15,541.0,541.0,529.0,537.0,32500,547.75
2008-07-16,540.0,540.0,523.25,525.75,21500,537.0
2008-07-17,528.0,539.75,526.5,527.25,25750,525.75
2008-07-20,525.25,536.0,518.0,531.25,34050,527.25
2008-07-21,525.0,534.0,510.25,513.0,43850,531.25
2008-07-22,510.0,517.0,500.0,502.25,41450,513.0
2008-07-23,502.5,527.75,502.0,522.25,20000,502.25
2008-07-24,522.0,537.0,520.0,534.75,28300,522.25
2008-07-27,527.0,533.75,519.0,520.75,28200,534.75
2008-07-28,520.0,523.5,512.0,514.5,12150,520.75
2008-07-29,515.0,517.0,511.0,513.0,10650,514.5
2008-07-30,512.25,513.75,506.0,510.75,20750,513.0
2008-07-31,510.0,512.0,507.0,507.75,10950,510.75
2008-08-03,506.25,506.25,495.25,496.25,20750,507.75
2008-08-04,501.0,501.0,491.0,495.75,9500,496.25
2008-08-05,492.0,510.0,490.0,505.5,29350,495.75
2008-08-06,509.0,518.0,506.0,514.0,30650,505.5
2008-08-07,507.25,510.0,503.0,503.25,11400,514.0
2008-08-10,507.0,507.0,494.5,495.75,15250,503.25
2008-08-11,495.0,501.5,491.0,497.0,9250,495.75
2008-08-12,505.0,505.0,496.0,497.25,7950,497.0
2008-08-13,500.75,500.75,491.0,491.0,12500,497.25
2008-08-14,493.0,497.75,488.0,490.0,12700,491.0
2008-08-18,490.0,490.0,481.0,482.25,8600,490.0
2008-08-19,483.5,485.0,472.25,474.0,18200,482.25
2008-08-20,480.0,486.0,478.0,484.75,10450,474.0
2008-08-21,493.75,499.0,486.5,494.25,15800,484.75
2008-08-25,500.0,503.0,491.5,495.75,9800,494.25
2008-08-26,494.0,540.0,494.0,533.75,84950,495.75
2008-08-27,535.0,545.0,525.0,527.25,53750,533.75
2008-08-28,525.0,531.0,516.25,517.25,18800,527.25
2008-08-31,515.25,523.5,513.0,520.5,24250,517.25
2008-09-01,522.25,553.0,520.0,549.5,101000,520.5
2008-09-02,551.0,559.0,542.0,545.5,32350,549.5
2008-09-03,538.25,542.0,530.0,535.25,25600,545.5
2008-09-04,537.0,540.0,532.25,535.0,14600,535.25
2008-09-07,530.0,546.25,529.0,538.75,24550,535.0
2008-09-08,539.25,547.25,533.0,534.75,22600,538.75
2008-09-09,538.0,539.0,530.25,531.5,19350,534.75
2008-09-10,530.0,534.5,527.0,531.25,30300,531.5
2008-09-11,535.0,540.0,525.0,526.0,27300,531.25
2008-09-14,525.25,527.0,521.0,523.25,24500,526.0
2008-09-15,534.5,534.5,520.0,521.25,28150,523.25
2008-09-16,521.0,534.75,521.0,523.75,21750,521.25
2008-09-17,530.0,530.0,516.0,517.25,15650,523.75
2008-09-18,521.0,531.0,520.0,526.0,23650,517.25
2008-09-21,531.0,570.0,530.0,555.75,136500,526.0
2008-09-22,558.0,584.0,555.25,578.75,109100,555.75
2008-09-23,578.0,587.5,565.5,571.25,55750,578.75
2008-09-24,579.0,579.0,554.5,559.25,72300,571.25
2008-09-25,560.0,580.0,554.5,574.25,93900,559.25
2008-10-05,572.0,625.0,565.25,619.75,165350,574.25
2008-10-06,629.0,629.0,590.0,593.75,109350,619.75
2008-10-07,591.0,597.0,578.0,592.0,51600,593.75
2008-10-08,599.0,608.75,584.0,587.0,85300,592.0
2008-10-12,562.0,584.0,550.0,554.25,66600,587.0
2008-10-13,579.0,580.0,560.0,567.75,31700,554.25
2008-10-14,580.0,585.0,560.25,569.25,35400,567.75
2008-10-15,570.0,580.0,561.5,563.0,39250,569.25
2008-10-16,564.0,608.75,556.0,601.0,193450,563.0
2008-10-19,610.0,634.0,610.0,618.75,202100,601.0
2008-10-20,620.0,620.0,583.0,588.5,70850,618.75
2008-10-21,593.0,608.75,580.0,586.5,59250,588.5
2008-10-22,580.0,580.0,557.0,563.5,59250,586.5
2008-10-23,584.0,595.0,574.0,581.0,48100,563.5
2008-10-26,590.0,590.0,563.0,567.25,73600,581.0
2008-10-27,579.0,579.0,554.0,556.25,49200,567.25
2008-10-28,570.0,579.0,555.0,570.5,51650,556.25
2008-10-29,579.5,596.0,556.0,559.0,152400,570.5
2008-10-30,569.75,569.75,542.0,545.5,39550,559.0
2008-11-02,567.5,567.75,527.25,532.75,40450,545.5
2008-11-03,533.0,547.0,525.0,526.5,37500,532.75
2008-11-04,537.0,547.75,533.0,534.5,33800,526.5
2008-11-05,540.0,543.0,521.0,524.0,22950,534.5
2008-11-06,521.5,530.0,516.0,519.0,34050,524.0
2008-11-09,522.25,522.5,496.0,499.5,65950,519.0
2008-11-10,504.0,511.0,495.25,505.25,62750,499.5
2008-11-11,509.0,518.75,505.0,509.5,40400,505.25
2008-11-12,519.0,530.0,514.0,524.5,31750,509.5
2008-11-13,520.25,533.75,510.0,511.5,47900,524.5
2008-11-16,512.0,518.0,509.5,512.75,33950,511.5
2008-11-17,510.0,520.0,506.75,517.5,18400,512.75
2008-11-18,520.0,526.0,518.25,519.5,28550,517.5
2008-11-19,521.0,527.0,515.25,524.25,65100,519.5
2008-11-20,524.25,0.0,0.0,524.25,0,524.25
2008-11-23,524.0,524.0,490.75,493.25,57450,524.25
2008-11-24,500.0,500.0,484.5,486.25,43350,493.25
2008-11-25,490.0,492.0,480.25,481.0,29300,486.25
2008-11-26,481.25,484.0,460.0,462.25,41100,481.0
2008-11-27,463.0,463.0,446.0,449.5,75150,462.25
2008-11-30,451.0,467.75,418.25,460.0,52450,449.5
2008-12-01,458.75,465.0,458.0,460.0,25900,460.0
2008-12-02,455.0,472.0,452.0,462.75,44100,460.0
2008-12-03,456.5,471.0,456.5,465.75,16900,462.75
2008-12-04,469.5,473.0,460.0,460.25,21150,465.75
2008-12-14,474.0,495.0,468.0,480.75,51350,460.25
2008-12-15,477.0,482.25,468.0,472.75,13350,480.75
2008-12-17,473.0,481.0,470.0,473.5,34600,472.75
2008-12-18,482.0,514.0,481.5,504.25,78550,473.5
2008-12-21,515.0,527.0,514.75,519.0,49750,504.25
2008-12-22,519.0,520.0,505.0,511.75,31150,519.0
2008-12-23,512.75,526.0,511.0,519.75,64600,511.75
2008-12-24,521.0,525.5,515.0,520.0,51650,519.75
2008-12-28,522.5,542.0,520.0,540.75,62150,520.0
2008-12-30,580.0,590.0,546.0,579.5,156200,540.75
2009-01-01,596.0,596.0,571.5,581.0,71450,579.5
2009-01-04,595.0,595.5,586.0,587.0,50900,581.0
2009-01-05,587.0,594.75,567.0,571.75,80900,587.0
2009-01-06,574.0,574.0,554.0,558.25,61450,571.75
2009-01-07,562.0,581.0,561.0,567.0,47300,558.25
2009-01-11,573.0,573.0,550.0,555.75,27150,567.0
2009-01-12,559.0,559.0,543.25,548.5,19800,555.75
2009-01-13,555.0,570.0,555.0,567.0,49400,548.5
2009-01-14,560.0,566.75,550.0,551.25,28950,567.0
2009-01-15,559.0,573.0,545.5,560.0,75850,551.25
2009-01-18,568.75,582.0,560.0,564.75,92100,560.0
2009-01-19,564.0,565.0,550.0,551.0,49550,564.75
2009-01-20,557.0,567.0,555.0,563.0,36500,551.0
2009-01-21,563.5,568.0,548.0,549.0,34350,563.0
2009-01-22,548.0,560.0,548.0,554.5,16400,549.0
2009-01-25,558.0,562.0,555.0,558.5,26200,554.5
2009-01-26,558.0,558.0,541.25,543.5,61350,558.5
2009-01-27,550.0,550.0,535.25,536.25,39900,543.5
2009-01-28,539.5,554.0,539.5,546.0,31500,536.25
2009-01-29,545.5,548.75,539.0,540.0,22250,546.0
2009-02-01,540.5,542.0,535.0,535.75,13400,540.0
2009-02-02,535.0,539.75,528.0,529.0,50950,535.75
2009-02-03,528.0,534.5,524.5,529.25,18200,529.0
2009-02-04,530.0,537.25,525.0,526.25,12900,529.25
2009-02-05,527.5,529.0,522.5,523.5,8400,526.25
2009-02-08,525.0,527.0,511.0,514.0,24300,523.5
2009-02-09,511.0,515.0,501.5,503.5,31000,514.0
2009-02-10,503.0,510.0,497.0,504.0,20550,503.5
2009-02-11,510.0,517.0,499.0,501.25,39350,504.0
2009-02-12,518.75,530.0,510.75,525.75,52200,501.25
2009-02-15,535.0,541.0,529.0,536.25,39850,525.75
2009-02-16,540.0,550.0,538.25,548.0,54100,536.25
2009-02-17,546.0,550.0,538.5,545.0,47750,548.0
2009-02-18,548.5,548.5,536.25,543.25,50750,545.0
2009-02-19,549.25,549.75,538.0,543.0,33450,543.25
2009-02-22,536.0,564.0,536.0,553.25,38650,543.0
2009-02-23,565.0,574.0,552.0,557.25,69400,553.25
2009-02-24,540.0,560.0,540.0,553.25,40650,557.25
2009-02-25,557.75,558.75,536.75,542.75,42100,553.25
2009-02-26,535.0,554.0,535.0,536.5,30850,542.75
2009-03-01,552.5,552.5,540.0,542.25,19350,536.5
2009-03-02,536.0,557.0,536.0,548.75,38700,542.25
2009-03-03,545.0,550.0,537.0,542.0,23750,548.75
2009-03-04,538.0,544.5,532.25,536.75,30850,542.0
2009-03-05,530.0,538.0,527.0,532.0,31350,536.75
2009-03-08,530.0,545.0,522.5,537.25,19050,532.0
2009-03-09,525.0,544.0,524.0,533.25,36450,537.25
2009-03-11,539.0,544.5,531.0,537.75,60700,533.25
2009-03-12,538.0,543.75,530.0,536.25,60050,537.75
2009-03-15,540.0,550.0,535.0,544.75,47500,536.25
2009-03-16,533.0,567.0,533.0,557.25,284550,544.75
2009-03-17,563.0,574.0,553.25,563.25,186900,557.25
2009-03-18,570.0,570.0,545.25,555.25,71700,563.25
2009-03-19,556.0,558.0,539.75,542.75,102500,555.25
2009-03-22,559.5,569.5,546.0,559.75,143400,542.75
2009-03-23,565.0,575.0,560.0,570.75,243450,559.75
2009-03-24,575.0,596.0,574.0,576.75,195800,570.75
2009-03-25,572.25,578.0,560.25,563.5,115150,576.75
2009-03-29,566.75,569.0,551.5,559.5,95750,563.5
2009-03-30,567.0,577.0,560.5,575.0,81050,559.5
2009-03-31,580.0,583.0,566.0,568.25,124100,575.0
2009-04-01,570.0,580.0,565.0,578.5,122500,568.25
2009-04-02,582.0,596.0,580.0,589.0,349650,578.5
2009-04-05,597.0,660.0,597.0,657.25,483500,589.0
2009-04-06,660.0,660.0,616.25,618.0,227700,657.25
2009-04-07,610.0,656.75,610.0,653.5,340200,618.0
2009-04-08,659.0,666.0,640.0,650.75,276800,653.5
2009-04-09,650.0,656.0,640.0,642.5,154700,650.75
2009-04-12,645.0,654.75,618.0,626.25,145300,642.5
2009-04-13,643.0,643.0,612.0,618.0,146450,626.25
2009-04-15,620.0,635.0,611.0,627.0,121750,618.0
2009-04-16,638.0,643.0,630.25,632.5,141800,627.0
2009-04-19,630.0,646.25,630.0,636.75,182200,632.5
2009-04-20,646.0,646.75,623.0,627.25,125300,636.75
2009-04-21,623.0,638.0,615.0,621.5,109750,627.25
2009-04-22,620.5,628.5,604.0,606.75,101850,621.5
2009-04-23,618.0,625.0,608.0,615.75,87450,606.75
2009-04-26,629.0,629.25,610.0,621.75,108750,615.75
2009-04-27,636.75,641.75,625.0,637.25,181750,621.75
2009-04-28,641.0,641.0,621.0,625.75,91100,637.25
2009-04-29,632.0,635.0,622.0,624.0,57200,625.75
2009-04-30,625.0,634.75,620.25,621.5,105950,624.0
2009-05-03,620.0,624.5,611.25,617.5,106000,621.5
2009-05-04,623.75,630.0,605.0,622.0,136450,617.5
2009-05-05,630.0,636.5,620.25,621.75,84600,622.0
2009-05-06,626.0,627.0,611.0,615.75,53750,621.75
2009-05-07,612.5,620.0,610.0,614.0,72850,615.75
2009-05-10,625.0,625.0,612.0,613.5,50600,614.0
2009-05-11,617.75,620.75,611.0,611.25,67500,613.5
2009-05-12,613.0,619.25,608.25,609.75,62700,611.25
2009-05-13,610.25,612.0,605.25,606.0,46450,609.75
2009-05-14,606.5,609.25,595.0,596.0,66050,606.0
2009-05-17,595.0,604.0,584.0,589.25,87950,596.0
2009-05-18,598.0,615.0,585.0,607.25,66600,589.25
2009-05-19,609.0,626.0,604.25,620.75,99750,607.25
2009-05-20,615.0,620.0,600.0,606.25,60200,620.75
2009-05-21,608.25,612.0,599.25,601.75,50600,606.25
2009-05-24,605.0,608.0,598.25,602.25,93200,601.75
2009-05-25,612.75,616.0,603.0,604.0,46750,602.25
2009-05-26,602.5,605.75,595.0,596.25,69000,604.0
2009-05-27,600.0,608.0,595.5,596.75,58400,596.25
2009-05-28,600.0,603.0,590.0,591.5,140150,596.75
2009-05-31,602.0,602.0,595.0,596.0,43900,591.5
2009-06-01,598.0,606.0,596.5,603.0,54000,596.0
2009-06-02,615.0,625.75,608.5,620.0,111450,603.0
2009-06-03,620.0,626.75,613.0,618.5,62900,620.0
2009-06-04,622.0,626.0,614.5,617.0,104100,618.5
2009-06-07,625.0,637.75,620.0,629.25,173450,617.0
2009-06-08,632.0,639.75,627.0,636.0,116950,629.25
2009-06-09,639.75,669.75,636.0,666.75,531750,636.0
2009-06-10,670.0,704.75,670.0,695.0,675850,666.75
2009-06-11,707.5,752.0,707.0,747.0,447600,695.0
2009-06-14,754.5,779.0,725.0,738.5,347550,747.0
2009-06-15,750.0,750.0,707.0,712.75,231200,738.5
2009-06-16,715.0,724.75,700.0,703.5,248500,712.75
2009-06-17,712.0,720.0,703.0,713.75,207850,703.5
2009-06-18,712.0,766.0,712.0,762.0,415450,713.75
2009-06-21,769.75,780.0,738.5,743.5,324250,762.0
2009-06-22,743.0,759.0,738.0,742.5,231700,743.5
2009-06-23,742.25,750.0,728.0,732.75,208500,742.5
2009-06-24,738.0,752.0,727.25,744.5,180500,732.75
2009-06-25,750.0,756.0,737.0,753.5,236250,744.5
2009-06-28,757.0,792.0,749.0,787.75,418350,753.5
2009-06-29,790.0,794.0,750.0,763.25,168200,787.75
2009-06-30,774.0,795.0,765.25,782.75,264800,763.25
2009-07-02,794.0,795.0,756.0,761.25,305900,782.75
2009-07-05,760.0,775.0,742.0,752.25,188900,761.25
2009-07-06,762.0,776.75,747.25,759.0,148000,752.25
2009-07-07,763.0,765.0,750.25,760.75,68000,759.0
2009-07-08,764.75,768.0,753.0,756.0,144750,760.75
2009-07-09,763.75,775.0,759.0,764.25,187800,756.0
2009-07-12,769.0,775.0,760.0,761.25,113400,764.25
2009-07-13,769.0,770.0,755.0,758.25,105700,761.25
2009-07-14,755.5,756.5,736.5,741.25,80400,758.25
2009-07-15,749.75,750.0,736.0,737.0,71000,741.25
2009-07-16,745.0,748.5,735.0,738.75,110400,737.0
2009-07-19,746.75,748.25,731.0,733.25,45600,738.75
2009-07-20,733.5,735.0,712.25,715.0,93800,733.25
2009-07-21,722.0,723.0,708.0,714.0,76750,715.0
2009-07-22,717.0,730.0,717.0,723.75,39850,714.0
2009-07-23,725.0,736.5,725.0,729.75,56850,723.75
2009-07-26,739.75,740.0,715.0,720.75,60050,729.75
2009-07-27,710.0,725.5,710.0,721.5,26900,720.75
2009-07-28,715.0,728.75,715.0,718.5,45150,721.5
2009-07-29,728.5,745.0,723.5,736.0,68650,718.5
2009-07-30,747.0,749.75,738.25,744.75,72000,736.0
2009-08-02,749.0,754.0,736.0,737.75,65600,744.75
2009-08-03,737.25,742.0,724.0,725.5,56300,737.75
2009-08-04,735.0,735.0,721.0,725.0,54400,725.5
2009-08-05,725.0,731.0,718.0,719.75,45050,725.0
2009-08-06,719.0,730.0,719.0,726.25,33850,719.75
2009-08-09,738.75,738.75,719.0,720.5,40150,726.25
2009-08-10,720.0,728.0,717.0,718.25,53150,720.5
2009-08-11,725.0,725.0,717.0,718.5,51750,718.25
2009-08-12,720.5,724.75,718.25,719.5,44100,718.5
2009-08-16,721.0,721.0,714.0,715.0,58350,719.5
2009-08-17,714.25,718.0,710.0,713.5,48450,715.0
2009-08-18,717.75,736.0,716.0,731.75,84450,713.5
2009-08-19,734.0,740.0,718.0,722.5,68500,731.75
2009-08-20,715.0,730.0,715.0,720.5,50600,722.5
2009-08-23,722.0,722.0,708.0,710.25,60850,720.5
2009-08-24,710.0,717.75,708.0,709.5,47500,710.25
2009-08-25,710.5,714.5,705.25,706.75,66300,709.5
2009-08-26,710.0,720.0,706.75,709.5,68050,706.75
2009-08-27,716.0,722.5,708.5,709.75,31050,709.5
2009-08-30,707.25,717.5,707.25,708.75,19350,709.75
2009-08-31,708.0,711.75,703.5,704.25,29550,708.75
2009-09-01,701.25,710.0,701.25,705.75,35750,704.25
2009-09-02,710.0,710.0,705.0,706.25,38750,705.75
2009-09-03,710.0,711.0,703.5,704.5,31950,706.25
2009-09-06,719.0,719.0,701.5,703.25,40150,704.5
2009-09-07,705.0,705.0,681.5,682.5,80350,703.25
2009-09-08,689.0,695.0,689.0,693.25,44150,682.5
