date,open,high,low,close,volume,prev_closing_price
2008-03-06,740.0,765.0,720.0,728.5,16730,721.25
2008-03-09,730.0,735.0,700.0,705.0,10530,728.5
2008-03-09,730.0,735.0,700.0,705.0,10530,728.5
2008-03-10,705.0,730.0,700.5,724.5,11650,705.0
2008-03-11,739.0,747.75,708.0,710.0,16380,724.5
2008-03-12,720.0,730.0,700.5,702.75,11250,710.0
2008-03-13,692.0,709.0,690.0,701.5,8550,702.75
2008-03-16,709.0,710.0,685.0,693.0,10010,701.5
2008-03-17,708.0,709.0,693.0,698.5,6870,693.0
2008-03-18,691.0,691.0,672.0,677.25,4850,698.5
2008-03-19,667.0,681.25,663.0,667.25,3550,677.25
2008-03-20,662.0,685.0,662.0,673.0,5810,667.25
2008-03-23,670.0,670.0,603.0,626.75,3480,673.0
2008-03-24,618.0,660.0,618.0,634.0,4180,626.75
2008-03-25,679.25,679.25,628.0,646.75,3040,634.0
2008-03-30,670.25,710.0,670.25,701.25,4840,646.75
2008-03-31,710.0,720.0,652.0,691.75,7030,701.25
2008-04-01,675.0,697.0,670.5,676.25,4820,691.75
2008-04-02,681.0,720.0,680.0,705.25,14820,676.25
2008-04-03,724.75,749.0,700.25,743.75,26970,705.25
2008-04-06,750.0,819.5,750.0,798.25,19860,743.75
2008-04-07,822.0,855.0,791.5,821.75,22910,798.25
2008-04-08,801.25,899.0,801.25,871.0,18330,821.75
2008-04-09,899.0,925.0,866.0,897.75,34630,871.0
2008-04-10,900.0,1022.5,900.0,1021.5,38510,897.75
2008-04-13,1071.0,1149.0,1071.0,1149.0,15460,1021.5
2008-04-15,1200.0,1290.0,1125.0,1198.0,28330,1149.0
2008-04-16,1220.0,1225.0,1115.0,1141.75,17070,1198.0
2008-04-17,1200.0,1200.0,1050.0,1102.25,15410,1141.75
2008-04-20,1139.0,1228.0,1100.0,1211.25,15100,1102.25
2008-04-21,1220.0,1335.0,1176.0,1217.5,14520,1211.25
2008-04-22,1250.0,1288.25,1180.0,1244.25,22390,1217.5
2008-04-23,1250.25,1325.0,1231.0,1238.25,20740,1244.25
2008-04-24,1299.0,1360.0,1260.0,1327.25,36210,1238.25
