date,open,high,low,close,volume,prev_closing_price
2013-03-03,81.3,106.0,81.3,103.5,4817600,22.0
2013-03-04,105.0,118.0,105.0,115.0,1463400,103.5
2013-03-05,122.0,124.6,108.1,109.8,581000,115.0
2013-03-06,108.0,116.8,105.1,111.0,2579600,109.8
2013-03-07,108.0,111.7,105.2,106.7,943800,111.0
2013-03-10,106.8,109.3,96.1,96.3,952200,106.7
2013-03-11,94.0,97.0,86.7,91.5,1170000,96.3
2013-03-12,86.7,91.6,84.2,87.0,501200,91.5
2013-03-13,89.8,92.8,87.2,87.7,594800,87.0
2013-03-14,89.0,90.0,79.3,80.8,932400,87.7
2013-03-18,82.0,86.8,81.1,85.2,482800,80.8
2013-03-19,86.0,86.3,83.7,85.1,540400,85.2
2013-03-20,84.9,84.9,80.0,80.3,458800,85.1
2013-03-24,80.4,81.6,74.2,74.9,446400,80.3
2013-03-25,74.9,76.9,70.1,71.8,452400,74.9
2013-03-27,71.0,71.0,65.4,67.5,592800,71.8
2013-03-28,68.0,73.9,68.0,73.5,425400,67.5
2013-03-31,73.0,77.8,70.7,75.6,740000,73.5
2013-04-01,73.0,75.0,72.2,74.4,688000,75.6
2013-04-02,74.0,81.8,74.0,81.1,746400,74.4
2013-04-03,82.5,85.9,81.1,82.8,958600,81.1
2013-04-04,81.5,85.4,80.6,84.9,961400,82.8
2013-04-07,85.0,88.1,83.4,86.9,856000,84.9
2013-04-08,85.0,87.0,83.1,84.3,752800,86.9
2013-04-09,84.0,90.4,83.0,89.1,1156200,84.3
2013-04-10,91.0,91.5,85.6,87.0,649200,89.1
2013-04-11,86.0,93.1,85.8,90.4,928400,87.0
2013-04-15,91.4,94.5,91.4,92.5,863400,90.4
2013-04-16,91.0,92.3,86.5,87.5,715400,92.5
2013-04-17,87.2,90.4,86.1,87.5,461200,87.5
2013-04-18,87.0,88.8,85.0,85.9,491800,87.5
2013-04-21,83.0,87.8,83.0,83.6,470000,85.9
2013-04-22,82.0,84.5,82.0,82.5,199600,83.6
2013-04-23,82.9,85.9,82.9,84.3,272000,82.5
2013-04-24,85.6,86.8,84.6,85.2,247600,84.3
2013-04-25,85.8,86.0,84.4,85.0,191200,85.2
2013-04-28,86.6,86.6,81.8,82.2,154200,85.0
2013-04-29,83.5,84.8,80.5,84.3,256600,82.2
2013-04-30,84.3,85.0,82.2,82.6,135200,84.3
2013-05-02,84.0,87.5,81.6,86.5,417000,82.6
2013-05-05,85.0,86.0,84.4,84.7,183600,86.5
2013-05-06,84.0,84.6,82.7,83.7,107800,84.7
2013-05-07,84.4,85.3,84.0,84.7,157600,83.7
2013-05-08,83.2,87.8,83.2,85.7,231800,84.7
2013-05-09,87.0,87.8,84.4,87.2,317400,85.7
2013-05-12,89.9,89.9,87.5,88.1,204600,87.2
2013-05-13,89.8,89.9,86.8,87.4,304200,88.1
2013-05-14,88.8,91.0,88.1,89.4,697600,87.4
2013-05-15,91.0,91.0,88.0,88.4,333800,89.4
2013-05-16,88.4,90.0,88.4,89.7,474400,88.4
2013-05-19,91.0,95.3,91.0,94.3,816600,89.7
2013-05-20,95.0,95.7,91.0,91.3,469400,94.3
2013-05-21,91.3,92.6,89.5,90.2,355600,91.3
2013-05-22,91.9,91.9,88.1,88.3,357200,90.2
2013-05-26,88.5,89.8,87.3,87.8,112800,88.3
2013-05-27,85.0,89.2,85.0,88.7,97200,87.8
2013-05-28,89.1,91.2,88.1,89.7,212400,88.7
2013-05-29,90.0,92.7,90.0,92.2,253200,89.7
2013-05-30,92.5,93.0,89.7,90.8,283000,92.2
2013-06-02,92.7,92.9,91.7,91.9,381800,90.8
2013-06-03,92.2,96.0,92.1,95.7,1131400,91.9
2013-06-04,97.0,99.4,96.6,97.6,1354000,95.7
2013-06-05,99.0,102.4,97.1,99.1,1024000,97.6
2013-06-06,101.9,102.2,97.7,99.0,1266200,99.1
2013-06-09,98.9,98.9,95.0,95.5,720400,99.0
2013-06-10,95.5,105.0,95.2,104.2,786000,95.5
2013-06-11,104.7,105.0,102.1,104.0,734000,104.2
2013-06-12,104.0,109.0,102.2,103.1,506400,104.0
2013-06-13,102.3,104.7,100.2,101.7,586200,103.1
2013-06-16,103.9,105.2,102.3,103.8,552400,101.7
2013-06-17,106.0,109.4,106.0,107.0,960400,103.8
2013-06-18,103.1,117.7,103.1,115.4,1056800,107.0
2013-06-19,116.0,120.0,115.1,116.2,594600,115.4
2013-06-20,114.5,116.5,110.6,111.1,573800,116.2
2013-06-23,111.3,113.9,106.2,106.5,463200,111.1
2013-06-24,108.9,108.9,104.0,106.4,266800,106.5
2013-06-26,110.9,113.0,108.6,111.5,709400,106.4
2013-06-27,116.0,116.0,107.6,108.9,522400,111.5
2013-06-30,106.7,110.2,106.7,109.9,582000,108.9
2013-07-02,110.0,118.6,106.0,116.2,1160800,109.9
2013-07-03,117.0,127.7,113.3,125.4,1410800,116.2
2013-07-04,127.2,134.0,127.2,129.9,1318000,125.4
2013-07-07,131.0,132.4,125.2,126.9,948600,129.9
2013-07-08,126.3,139.4,125.3,139.1,1903000,126.9
2013-07-09,141.0,152.1,137.5,149.3,1231400,139.1
2013-07-10,151.0,151.0,139.1,141.4,642800,149.3
2013-07-11,141.0,146.0,127.5,132.4,1102000,141.4
2013-07-14,130.0,137.0,127.1,132.6,723000,132.4
2013-07-15,133.0,145.6,133.0,142.1,856800,132.6
2013-07-16,149.9,150.0,135.0,138.0,808600,142.1
2013-07-17,137.9,140.0,131.1,132.6,424000,138.0
2013-07-18,134.0,136.0,121.9,124.6,413800,132.6
2013-07-21,128.0,128.0,115.5,117.7,159000,124.6
2013-07-22,123.0,125.5,116.4,119.8,193800,117.7
2013-07-23,118.7,124.5,107.9,110.1,155000,119.8
2013-07-24,115.0,121.1,110.2,121.1,176600,110.1
2013-07-25,124.7,124.7,115.7,117.1,158400,121.1
2013-07-28,116.0,117.7,108.9,113.4,62800,117.1
2013-07-29,115.1,124.6,115.0,123.8,159400,113.4
2013-07-30,125.1,127.6,117.5,118.7,154600,123.8
2013-07-31,117.1,121.1,115.2,116.3,140600,118.7
2013-08-01,118.0,119.0,115.0,117.0,105400,116.3
2013-08-04,117.0,117.0,111.5,112.9,55000,117.0
2013-08-05,113.9,119.0,110.8,116.3,187600,112.9
2013-08-12,116.2,123.9,116.0,123.0,130200,116.3
2013-08-13,124.5,130.7,122.9,128.7,678200,123.0
2013-08-14,130.0,130.0,125.7,126.6,238800,128.7
2013-08-18,129.8,133.0,127.0,128.3,485800,126.6
2013-08-19,128.9,129.1,125.6,127.3,277000,128.3
2013-08-20,130.0,133.6,125.0,128.6,737800,127.3
2013-08-21,130.3,134.0,125.6,126.5,426000,128.6
2013-08-22,127.3,135.6,126.3,133.1,790800,126.5
2013-08-25,135.0,140.0,129.4,130.4,508200,133.1
2013-08-26,131.0,132.9,124.7,125.4,279200,130.4
2013-08-27,127.0,131.9,124.0,125.5,415600,125.4
2013-08-29,128.2,129.0,122.5,123.5,317400,125.5
2013-09-01,126.9,127.9,123.4,124.3,228400,123.5
2013-09-02,125.1,127.0,118.8,119.4,279600,124.3
2013-09-03,121.4,123.6,118.7,122.7,145800,119.4
2013-09-04,124.7,126.5,119.0,120.2,190800,122.7
2013-09-05,120.0,122.8,117.6,118.0,186200,120.2
2013-09-08,120.0,120.0,115.0,115.6,122600,118.0
2013-09-09,115.3,118.7,113.3,113.9,124000,115.6
2013-09-10,116.0,119.0,113.2,113.9,160600,113.9
2013-09-11,115.0,116.7,113.4,115.1,213800,113.9
2013-09-12,117.7,124.0,117.7,120.7,472000,115.1
2013-09-15,125.0,125.8,118.0,118.9,197200,120.7
2013-09-16,118.0,120.4,116.0,116.5,180600,118.9
2013-09-17,115.6,116.8,112.8,113.4,222400,116.5
2013-09-18,117.0,117.0,114.1,114.4,172000,113.4
2013-09-19,118.0,118.0,113.8,114.3,132400,114.4
2013-09-22,115.0,115.0,110.0,110.5,145000,114.3
2013-09-23,112.0,112.1,106.9,108.1,189200,110.5
2013-09-24,111.7,114.9,109.0,110.4,161400,108.1
2013-09-25,112.0,112.0,105.2,106.6,115200,110.4
2013-09-26,107.5,108.9,106.5,107.4,73200,106.6
2013-09-29,108.0,108.5,103.0,104.3,96000,107.4
2013-09-30,104.1,104.1,100.0,101.9,130200,104.3
