date,open,high,low,close,volume,prev_closing_price
2010-02-02,25.0,25.0,21.3,23.5,7012500,10.0
2010-02-03,24.5,25.2,23.0,24.0,2576000,23.5
2010-02-04,24.2,26.3,24.2,25.7,1352000,24.0
2010-02-07,25.1,25.4,24.2,24.8,1929500,25.7
2010-02-08,25.2,25.4,24.2,24.5,1235000,24.8
2010-02-09,24.2,25.0,24.0,24.1,1143500,24.5
2010-02-10,24.2,24.2,23.5,23.6,964500,24.1
2010-02-11,23.5,23.9,23.2,23.5,636500,23.6
2010-02-14,23.1,23.9,22.5,22.7,820500,23.5
2010-02-15,22.3,23.5,22.3,22.9,518500,22.7
2010-02-16,23.5,23.6,22.8,23.2,512000,22.9
2010-02-17,23.6,23.7,23.2,23.4,504000,23.2
2010-02-18,23.8,24.0,22.8,22.9,464500,23.4
2010-02-22,23.0,23.0,21.7,21.8,616500,22.9
2010-02-23,21.7,22.2,20.4,20.6,728500,21.8
2010-02-24,20.5,21.5,20.4,21.2,308500,20.6
2010-02-25,22.5,22.5,20.6,20.9,383500,21.2
2010-02-28,20.5,20.9,20.0,20.0,430500,20.9
2010-03-01,20.0,20.5,19.5,19.9,320000,20.0
2010-03-02,19.6,21.0,19.6,20.6,265000,19.9
2010-03-03,20.5,21.9,20.5,21.7,408500,20.6
2010-03-04,21.7,21.9,20.9,21.0,998000,21.7
2010-03-07,21.0,22.0,20.9,21.3,419000,21.0
2010-03-08,20.8,20.8,19.9,20.2,779500,21.3
2010-03-09,20.1,20.6,19.9,20.0,300500,20.2
2010-03-10,20.0,20.3,20.0,20.1,212500,20.0
2010-03-11,20.0,20.3,19.9,20.0,247500,20.1
2010-03-14,19.9,20.0,19.5,19.7,245000,20.0
2010-03-15,19.5,20.2,19.2,19.9,266000,19.7
2010-03-16,20.3,20.3,19.8,19.9,194000,19.9
2010-03-18,19.6,20.0,19.5,19.6,188500,19.9
2010-03-21,19.4,19.8,19.2,19.4,272000,19.6
2010-03-22,19.8,20.0,19.1,19.3,492500,19.4
2010-03-23,19.8,19.8,19.2,19.2,301500,19.3
2010-03-24,19.2,19.4,19.0,19.0,320000,19.2
2010-03-25,18.9,19.1,18.6,18.7,264500,19.0
2010-03-28,18.4,19.0,17.7,18.1,322500,18.7
2010-03-29,17.6,18.0,17.5,17.7,424500,18.1
2010-03-30,17.6,18.1,17.6,17.8,309000,17.7
2010-03-31,17.8,18.1,17.5,17.6,388000,17.8
2010-04-01,17.5,17.7,17.2,17.4,487500,17.6
