date,open,high,low,close,volume,prev_closing_price
2008-03-06,171.0,190.0,170.0,185.0,12750,166.0
2008-03-09,180.25,180.25,172.0,172.75,3750,185.0
2008-03-09,180.25,180.25,172.0,172.75,3750,185.0
2008-03-10,158.0,184.0,158.0,179.25,3000,172.75
2008-03-11,170.5,174.0,165.25,169.25,3150,179.25
2008-03-12,179.0,179.0,168.0,171.5,1600,169.25
2008-03-13,165.25,169.0,165.0,165.5,950,171.5
2008-03-16,160.0,168.0,160.0,162.75,1750,165.5
2008-03-17,160.25,162.0,160.0,160.75,1550,162.75
2008-03-18,156.0,158.0,155.25,157.0,1250,160.75
2008-03-19,163.0,163.0,153.5,157.5,500,157.0
2008-03-20,158.25,160.0,157.0,158.0,1000,157.5
2008-03-23,164.0,164.0,154.0,155.0,1000,158.0
2008-03-24,161.0,161.0,161.0,161.0,50,155.0
2008-03-25,153.25,154.0,153.25,0.0,350,161.0
2008-03-30,160.25,169.0,160.0,163.75,1550,153.25
2008-03-31,172.0,172.0,165.0,167.5,1650,163.75
2008-04-01,167.5,0.0,0.0,167.5,0,167.5
2008-04-02,157.25,164.25,155.0,157.25,1050,167.5
2008-04-03,154.25,170.0,154.25,158.25,2450,157.25
2008-04-06,164.0,164.0,156.5,160.5,1550,158.25
2008-04-07,167.0,169.0,156.0,165.75,2350,160.5
2008-04-08,170.0,175.0,168.0,173.25,6200,165.75
2008-04-09,174.75,175.0,170.0,172.0,4100,173.25
2008-04-10,170.0,170.0,167.0,168.25,3450,172.0
2008-04-13,175.0,190.5,174.0,188.5,10700,168.25
2008-04-15,195.0,200.0,181.5,184.25,6250,188.5
2008-04-16,179.5,179.5,172.25,176.25,2700,184.25
2008-04-17,171.25,173.0,171.25,172.0,500,176.25
2008-04-20,164.0,170.0,164.0,166.75,1400,172.0
2008-04-21,168.5,170.0,166.0,168.0,2250,166.75
2008-04-22,176.0,176.0,163.5,168.0,1050,168.0
2008-04-23,170.0,173.0,167.25,171.0,2300,168.0
2008-04-24,172.0,172.0,167.25,169.25,1200,171.0
2008-04-27,167.0,170.0,165.0,166.75,1200,169.25
2008-04-28,166.25,166.25,163.0,164.25,1550,166.75
2008-04-29,161.0,163.0,161.0,161.75,1100,164.25
2008-04-30,157.0,157.0,157.0,157.0,150,161.75
2008-05-04,156.25,156.25,154.5,155.5,450,157.0
2008-05-05,160.0,160.0,159.0,159.5,450,155.5
2008-05-06,162.0,169.0,159.0,164.25,1000,159.5
2008-05-07,156.0,156.0,155.0,155.5,300,164.25
2008-05-08,155.5,0.0,0.0,155.5,0,155.5
2008-05-11,160.0,172.75,160.0,167.25,3000,155.5
2008-05-12,165.0,199.0,162.0,189.25,12050,167.25
2008-05-13,190.0,191.0,173.5,173.75,3850,189.25
2008-05-14,171.0,183.75,171.0,177.5,6450,173.75
2008-05-15,181.0,185.0,170.0,172.5,2950,177.5
2008-05-18,182.0,187.5,173.25,175.0,3550,172.5
2008-05-20,179.5,188.0,178.0,182.0,3650,175.0
2008-05-21,180.0,216.0,180.0,206.75,20400,182.0
2008-05-22,206.0,216.0,206.0,209.25,13850,206.75
2008-05-25,220.0,245.75,220.0,245.75,12750,209.25
2008-05-26,260.0,279.0,235.0,276.5,14400,245.75
2008-05-27,275.0,295.0,265.0,274.5,6450,276.5
2008-05-28,276.0,277.5,267.0,268.5,2900,274.5
2008-05-29,254.25,267.0,254.25,258.5,4550,268.5
2008-06-01,255.0,259.0,247.0,251.25,5600,258.5
2008-06-02,266.25,295.0,266.25,295.0,13900,251.25
2008-06-03,300.0,325.25,295.0,312.75,21950,295.0
2008-06-04,300.0,323.0,293.25,300.0,12350,312.75
2008-06-05,299.0,315.0,299.0,311.5,9350,300.0
2008-06-08,324.0,365.5,324.0,365.0,9950,311.5
2008-06-09,365.0,395.0,310.25,385.0,9900,365.0
2008-06-10,390.0,451.75,390.0,434.5,13850,385.0
2008-06-11,420.0,421.0,365.0,371.25,7900,434.5
2008-06-12,390.0,402.0,343.25,365.5,7100,371.25
2008-06-15,365.0,365.0,318.0,0.0,3600,365.5
2008-06-16,310.0,339.0,291.0,0.0,6500,321.25
2008-06-17,340.0,387.0,340.0,378.25,7700,329.75
2008-06-18,370.0,378.0,340.25,0.0,7150,378.25
2008-06-19,350.0,369.0,350.0,358.0,3450,352.0
2008-06-22,343.0,343.0,325.25,0.0,6150,358.0
2008-06-23,325.25,339.0,300.25,0.0,6100,330.5
2008-06-24,344.0,365.0,340.0,355.5,8200,324.25
2008-06-25,374.0,374.0,331.0,344.25,10650,355.5
2008-06-26,344.25,0.0,0.0,344.25,0,344.25
2008-06-29,312.0,354.75,312.0,343.5,15950,344.25
2008-06-30,355.0,355.25,320.25,328.25,8650,343.5
2008-07-02,320.0,330.0,310.0,315.0,3300,328.25
2008-07-03,310.25,318.75,293.0,309.0,3850,315.0
2008-07-06,309.0,330.0,291.0,297.5,5800,309.0
2008-07-07,310.0,323.0,305.0,309.75,4800,297.5
2008-07-08,312.5,313.0,303.0,308.25,1700,309.75
2008-07-08,312.5,313.0,303.0,308.25,1700,309.75
2008-07-09,301.0,304.0,301.0,301.75,350,308.25
2008-07-10,306.0,307.0,301.25,304.25,2700,301.75
2008-07-13,310.25,313.0,309.0,310.25,2250,304.25
2008-07-14,324.0,324.0,296.0,301.5,1650,310.25
2008-07-15,293.0,300.0,290.0,292.25,1950,301.5
2008-07-16,290.0,290.0,271.0,280.75,300,292.25
2008-07-17,285.25,289.0,272.0,280.25,1500,280.75
2008-07-20,272.0,272.0,251.0,258.0,2700,280.25
2008-07-21,275.0,277.75,243.0,253.75,3350,258.0
2008-07-22,250.0,250.0,227.0,233.5,1950,253.75
2008-07-23,243.0,258.0,238.0,248.0,2650,233.5
2008-07-24,259.0,291.25,258.0,288.75,10100,248.0
2008-07-27,295.0,300.0,280.5,290.0,2200,288.75
2008-07-28,297.75,299.0,276.0,280.75,2350,290.0
2008-07-29,270.0,270.0,261.0,265.5,3400,280.75
2008-07-30,259.0,265.0,259.0,262.25,400,265.5
2008-07-31,240.5,260.0,240.5,249.5,750,262.25
2008-08-03,241.0,241.0,226.0,232.75,1100,249.5
2008-08-04,220.0,222.75,220.0,222.0,800,232.75
2008-08-05,238.0,242.0,237.75,238.25,800,222.0
2008-08-06,240.25,254.0,238.0,247.75,3700,238.25
2008-08-07,238.0,240.0,223.25,231.0,1700,247.75
2008-08-10,230.0,230.0,220.0,222.25,2650,231.0
2008-08-11,215.25,233.0,215.0,222.75,1150,222.25
2008-08-12,230.0,233.0,227.25,229.5,1550,222.75
2008-08-13,227.0,227.0,223.0,225.0,1650,229.5
2008-08-14,220.0,235.0,220.0,230.0,1200,225.0
2008-08-18,222.75,222.75,215.0,217.0,750,230.0
2008-08-19,215.5,216.0,190.0,196.5,4900,217.0
2008-08-20,187.0,210.0,187.0,205.25,2450,196.5
2008-08-21,218.0,238.0,218.0,230.25,1500,205.25
2008-08-25,235.0,242.5,233.0,238.5,3600,230.25
2008-08-26,245.0,261.0,245.0,251.5,3850,238.5
2008-08-27,254.0,258.0,250.75,254.75,4700,251.5
2008-08-28,250.0,269.0,250.0,267.5,6850,254.75
2008-08-31,268.0,283.0,256.0,272.5,5300,267.5
2008-09-01,262.0,265.0,255.25,261.5,3200,272.5
2008-09-02,270.0,273.0,265.0,266.0,4300,261.5
2008-09-03,254.25,260.0,254.0,256.75,2350,266.0
2008-09-04,246.25,255.0,246.0,249.5,1250,256.75
2008-09-07,260.0,260.0,252.0,258.0,4750,249.5
2008-09-08,267.75,270.0,262.0,263.0,7150,258.0
2008-09-09,260.0,260.0,250.0,252.5,1900,263.0
2008-09-10,257.5,263.0,255.0,257.25,6000,252.5
2008-09-11,255.0,255.0,245.0,250.25,1150,257.25
2008-09-14,241.0,249.0,241.0,243.75,2500,250.25
2008-09-15,238.0,243.25,236.0,238.75,1550,243.75
2008-09-16,235.0,239.5,225.0,228.75,5100,238.75
2008-09-17,225.75,242.0,225.75,227.5,3300,228.75
2008-09-18,236.5,243.0,231.25,236.25,3050,227.5
2008-09-21,233.0,233.0,228.0,229.0,1850,236.25
2008-09-22,232.0,234.25,232.0,232.5,1550,229.0
2008-09-23,230.0,234.5,226.25,229.5,1450,232.5
2008-09-24,229.0,234.0,227.5,231.75,1950,229.5
2008-09-25,230.5,237.0,229.0,233.75,3950,231.75
2008-10-05,239.75,241.0,235.0,237.75,1200,233.75
2008-10-06,236.0,241.5,228.0,234.75,3100,237.75
2008-10-07,227.0,245.0,226.0,235.0,1200,234.75
2008-10-08,251.0,258.0,237.5,244.0,8050,235.0
2008-10-12,253.0,253.0,227.0,229.25,3900,244.0
2008-10-13,230.0,235.0,227.0,229.25,5400,229.25
