date,open,high,low,close,volume,prev_closing_price
2008-03-06,1590.0,1620.0,1420.0,1494.0,10600,1523.75
2008-03-09,1539.0,1540.0,1400.0,1410.5,8300,1494.0
2008-03-09,1539.0,1540.0,1400.0,1410.5,8300,1494.0
2008-03-10,1430.0,1584.0,1410.0,1564.25,19450,1410.5
2008-03-11,1560.0,1600.0,1470.0,1485.5,10400,1564.25
2008-03-12,1500.0,1500.0,1350.0,1379.5,12200,1485.5
2008-03-13,1400.0,1400.0,1300.0,1320.0,14650,1379.5
2008-03-16,1395.0,1439.0,1380.0,1407.0,3150,1320.0
2008-03-17,1407.0,1450.0,1350.0,1356.75,5900,1407.0
2008-03-18,1363.0,1390.0,1351.0,1358.5,2500,1356.75
2008-03-19,1415.0,1415.0,1356.0,1358.5,2800,1358.5
2008-03-20,1419.0,1419.0,1300.0,1322.75,5500,1358.5
2008-03-23,1304.0,1337.5,1245.0,1252.5,5800,1322.75
2008-03-24,1270.0,1340.0,1260.0,1279.25,3950,1252.5
2008-03-25,1340.0,1340.0,1258.0,0.0,1850,1279.25
2008-03-30,1330.0,1400.0,1320.0,1339.25,3100,1268.5
2008-03-31,1335.0,1350.0,1280.0,1303.0,3000,1339.25
2008-04-01,1290.5,1336.0,1283.0,1293.5,1400,1303.0
2008-04-02,1308.0,1308.0,1256.0,1274.25,2050,1293.5
2008-04-03,1261.0,1291.0,1259.0,1275.5,2250,1274.25
2008-04-06,1280.25,1280.5,1260.0,1261.5,3350,1275.5
2008-04-07,1260.0,1270.0,1210.0,1248.0,4350,1261.5
2008-04-08,1250.0,1349.75,1223.0,1317.5,5750,1248.0
2008-04-09,1348.0,1370.0,1271.0,1293.75,3150,1317.5
2008-04-10,1335.0,1335.0,1275.0,1290.25,2600,1293.75
2008-04-13,1290.0,1313.0,1275.0,1285.5,3500,1290.25
2008-04-15,1275.0,1315.0,1275.0,1283.0,4100,1285.5
2008-04-16,1300.0,1300.0,1255.0,1273.75,2400,1283.0
2008-04-17,1242.0,1298.0,1240.0,1241.0,5700,1273.75
2008-04-20,1242.0,1280.0,1240.0,1242.25,3300,1241.0
2008-04-21,1299.0,1319.0,1203.0,1234.75,2900,1242.25
2008-04-22,1232.25,1232.25,1200.0,1203.5,3650,1234.75
2008-04-23,1200.0,1300.0,1180.0,1273.25,3200,1203.5
2008-04-24,1290.0,1320.0,1200.0,1244.5,5750,1273.25
2008-04-27,1250.0,1279.0,1231.0,1249.25,1000,1244.5
2008-04-28,1250.0,1250.0,1202.0,1213.0,1500,1249.25
2008-04-29,1227.0,1227.0,1203.0,1216.25,700,1213.0
2008-04-30,1202.0,1205.0,1175.0,1188.5,2000,1216.25
2008-05-04,1160.0,1199.0,1150.0,1152.25,5000,1188.5
2008-05-05,1135.0,1296.25,1132.75,1260.25,5200,1152.25
2008-05-06,1328.0,1329.0,1220.0,1274.0,4800,1260.25
2008-05-07,1274.0,1295.0,1242.0,1267.25,1250,1274.0
2008-05-08,1300.0,1300.0,1241.0,1262.75,2050,1267.25
2008-05-11,1257.0,1315.0,1256.0,1301.0,9700,1262.75
2008-05-12,1320.0,1407.75,1320.0,1400.25,24600,1301.0
2008-05-13,1443.0,1450.0,1356.0,1368.75,9600,1400.25
2008-05-14,1325.0,1397.0,1325.0,1385.5,9500,1368.75
2008-05-15,1415.0,1544.0,1415.0,1532.5,24250,1385.5
2008-05-18,1549.0,1640.0,1475.0,1530.25,12700,1532.5
2008-05-20,1535.0,1617.75,1532.0,1594.5,10200,1530.25
2008-05-21,1552.0,1565.0,1480.0,1502.5,7400,1594.5
2008-05-22,1500.0,1527.0,1450.0,1460.25,6050,1502.5
2008-05-25,1453.0,1543.0,1451.0,1462.75,6600,1460.25
2008-05-26,1441.0,1470.0,1440.0,1446.25,6600,1462.75
2008-05-27,1490.0,1495.0,1410.0,1415.5,6150,1446.25
2008-05-28,1399.0,1490.0,1392.0,1417.75,5200,1415.5
2008-05-29,1479.0,1479.0,1400.0,1417.0,8550,1417.75
2008-06-01,1440.0,1550.0,1440.0,1529.75,11300,1417.0
2008-06-02,1560.0,1628.0,1560.0,1586.75,17400,1529.75
2008-06-03,1629.0,1650.0,1531.0,1573.25,12050,1586.75
2008-06-04,1562.0,1590.0,1535.0,1538.0,7500,1573.25
2008-06-05,1540.0,1620.0,1531.0,1595.0,9700,1538.0
2008-06-08,1648.0,1699.0,1580.0,1617.5,11000,1595.0
2008-06-09,1568.0,1615.0,1510.0,1546.0,5900,1617.5
2008-06-10,1561.0,1561.0,1530.0,1538.25,2300,1546.0
2008-06-11,1490.0,1520.0,1446.0,1468.25,2700,1538.25
2008-06-12,1569.0,1569.0,1456.0,1483.75,2600,1468.25
2008-06-15,1550.0,1550.0,1410.0,1456.75,3150,1483.75
2008-06-16,1440.0,1523.0,1400.25,0.0,2000,1456.75
2008-06-17,1509.0,1559.0,1509.0,1523.5,7700,1497.5
2008-06-18,1558.0,1558.0,1500.0,0.0,3250,1523.5
2008-06-19,1520.0,1540.0,1502.0,1516.25,3400,1524.0
2008-06-22,1500.0,1550.0,1451.0,0.0,4400,1516.25
2008-06-23,1490.0,1539.5,1473.0,0.0,5150,1464.5
2008-06-24,1599.0,1700.0,1599.0,1650.5,22850,1526.25
2008-06-25,1698.75,1710.0,1645.0,1659.5,19800,1650.5
2008-06-26,1679.0,1744.0,1672.75,1712.5,19650,1659.5
2008-06-29,1747.0,1912.5,1740.0,1911.5,21850,1712.5
2008-06-30,2490.0,2498.0,2149.75,2203.0,34650,1911.5
2008-07-02,2155.0,2190.0,2035.0,2093.5,14700,2203.0
2008-07-03,1970.0,2099.0,1970.0,2053.0,6300,2093.5
2008-07-06,2075.0,2255.75,2075.0,2245.75,16500,2053.0
2008-07-07,2225.0,2350.0,2190.0,2323.5,19050,2245.75
2008-07-08,2340.0,2415.0,2311.0,2359.0,15100,2323.5
2008-07-08,2340.0,2415.0,2311.0,2359.0,15100,2323.5
2008-07-09,2349.0,2398.0,2315.0,2377.25,4900,2359.0
2008-07-10,2399.0,2459.0,2380.0,2422.5,22200,2377.25
2008-07-13,2441.0,2540.0,2422.0,2454.25,14850,2422.5
2008-07-14,2390.25,2407.0,2351.0,2377.5,8450,2454.25
2008-07-15,2350.0,2350.0,2280.0,2291.0,9100,2377.5
2008-07-16,2280.0,2285.0,2152.0,2165.25,6850,2291.0
2008-07-17,2170.0,2200.0,2060.0,2087.5,5550,2165.25
2008-07-20,2100.0,2280.0,2000.0,2192.75,9150,2087.5
2008-07-21,2061.0,2170.0,2000.0,2068.75,9550,2192.75
2008-07-22,2068.75,0.0,0.0,2068.75,0,2068.75
2008-07-23,1600.0,1749.0,1568.0,1590.25,7350,2068.75
2008-07-24,1550.0,1789.0,1550.0,1785.5,6550,1590.25
2008-07-27,1850.0,1868.5,1776.0,1800.5,4450,1785.5
2008-07-28,1889.0,1924.0,1680.0,1692.0,7950,1800.5
2008-07-29,1630.0,1800.0,1590.0,1707.0,7000,1692.0
2008-07-30,1650.0,1735.0,1650.0,1698.25,4700,1707.0
2008-07-31,1745.0,1745.0,1700.0,1733.75,4650,1698.25
2008-08-03,1740.0,1790.0,1670.0,1704.5,5600,1733.75
2008-08-04,1709.0,1709.0,1580.0,1644.25,4750,1704.5
2008-08-05,1650.0,1735.0,1649.0,1708.75,6000,1644.25
2008-08-06,1750.0,1790.0,1697.0,1761.0,8350,1708.75
2008-08-07,1765.0,1770.0,1708.25,1718.75,8850,1761.0
2008-08-10,1681.0,1681.0,1635.0,1665.5,1700,1718.75
2008-08-11,1635.0,1670.0,1601.0,1665.75,2950,1665.5
2008-08-12,1729.0,1729.0,1646.0,1682.75,1000,1665.75
2008-08-13,1664.0,1664.25,1631.0,1646.25,4300,1682.75
2008-08-14,1635.0,1668.0,1635.0,1655.0,4200,1646.25
2008-08-18,1676.0,1710.0,1665.0,1681.5,4850,1655.0
2008-08-19,1656.0,1656.0,1600.0,1604.25,2200,1681.5
2008-08-20,1650.0,1650.0,1600.0,1609.25,2300,1604.25
2008-08-21,1620.0,1680.0,1620.0,1654.0,3500,1609.25
2008-08-25,1660.0,1739.0,1656.25,1707.75,7900,1654.0
2008-08-26,1740.0,1798.0,1740.0,1764.0,12000,1707.75
2008-08-27,1800.0,1957.0,1782.0,1903.5,28500,1764.0
2008-08-28,1960.0,2048.0,1880.0,2035.5,30250,1903.5
2008-08-31,1990.25,2159.0,1990.25,2131.25,19250,2035.5
2008-09-01,2120.0,2149.0,2011.0,2131.25,9350,2131.25
2008-09-02,2149.0,2235.0,2116.0,2231.5,10000,2131.25
2008-09-03,2220.0,2220.0,2115.0,2137.75,7350,2231.5
2008-09-04,2100.0,2220.0,2071.25,2201.5,7600,2137.75
2008-09-07,2248.0,2320.0,2180.0,2310.0,11850,2201.5
2008-09-08,2420.0,2525.0,2350.0,0.0,14600,2310.0
2008-09-09,2351.0,2500.0,2315.5,2344.0,7600,2436.0
2008-09-10,2310.0,2479.0,2310.0,2365.75,6150,2344.0
2008-09-11,2343.0,2410.0,2290.0,2307.0,5700,2365.75
2008-09-14,2250.25,2348.0,2233.5,2311.5,7650,2307.0
2008-09-15,2400.0,2490.0,2390.5,2416.75,8750,2311.5
2008-09-16,2449.0,2500.0,2380.0,2392.0,9650,2416.75
2008-09-17,2459.0,2564.0,2390.0,2515.0,15700,2392.0
2008-09-18,2600.0,2747.75,2600.0,2609.75,14000,2515.0
2008-09-21,2650.0,2720.0,2649.0,2668.5,5600,2609.75
