date,open,high,low,close,volume,prev_closing_price
2008-03-06,102.25,103.5,100.0,100.25,9300,101.5
2008-03-09,105.0,106.0,101.25,103.25,10150,100.25
2008-03-09,105.0,106.0,101.25,103.25,10150,100.25
2008-03-10,106.0,106.0,101.0,102.25,5350,103.25
2008-03-11,102.0,102.0,100.25,101.5,10250,102.25
2008-03-12,101.25,102.75,101.0,101.0,10450,101.5
2008-03-13,101.0,103.75,101.0,101.75,7550,101.0
2008-03-16,102.0,108.0,102.0,106.0,15600,101.75
2008-03-17,108.0,121.75,108.0,115.25,26450,106.0
2008-03-18,118.5,119.5,117.0,118.0,17400,115.25
2008-03-19,119.75,128.0,115.5,124.75,33600,118.0
2008-03-20,125.0,139.5,125.0,135.0,45350,124.75
2008-03-23,137.0,158.75,135.0,141.0,46200,135.0
2008-03-24,135.0,148.0,132.0,134.0,27350,141.0
2008-03-25,127.5,148.0,127.5,0.0,21250,134.0
2008-03-30,148.0,155.0,143.25,145.0,26950,142.25
2008-03-31,137.25,144.0,137.0,138.0,10050,145.0
2008-04-01,138.0,141.0,135.25,136.25,9700,138.0
2008-04-02,136.0,139.0,132.0,134.0,12800,136.25
2008-04-03,133.0,133.0,126.25,129.25,6750,134.0
2008-04-06,132.25,135.0,129.0,130.0,8500,129.25
2008-04-07,130.75,130.75,125.0,125.25,13150,130.0
2008-04-08,130.0,142.0,129.25,130.0,18500,125.25
2008-04-09,132.0,138.0,130.0,130.75,12650,130.0
2008-04-10,132.0,136.75,131.0,133.75,15500,130.75
2008-04-13,132.0,138.0,131.5,132.75,16400,133.75
2008-04-15,133.0,137.0,132.5,133.5,24750,132.75
2008-04-16,136.0,141.0,134.0,136.5,16650,133.5
2008-04-17,138.0,141.25,134.0,134.75,17250,136.5
2008-04-20,138.0,138.0,131.25,132.0,8300,134.75
2008-04-21,134.0,134.0,131.0,131.0,13150,132.0
2008-04-22,130.25,134.0,129.0,130.75,9700,131.0
2008-04-23,134.5,148.0,132.5,144.75,42050,130.75
2008-04-24,143.0,152.0,143.0,147.0,37400,144.75
2008-04-27,151.0,165.0,150.0,159.0,65000,147.0
2008-04-28,160.0,161.0,150.0,151.75,50900,159.0
2008-04-29,152.0,155.0,145.0,146.0,27300,151.75
2008-04-30,150.0,151.0,141.0,142.75,17650,146.0
2008-05-04,145.0,146.75,138.5,139.5,13850,142.75
2008-05-05,137.0,142.0,137.0,139.5,9250,139.5
2008-05-06,140.5,142.0,139.0,139.75,10900,139.5
2008-05-07,142.0,142.0,137.75,138.25,11900,139.75
2008-05-08,139.0,139.0,136.0,136.5,7400,138.25
2008-05-11,137.0,138.75,136.0,137.0,8850,136.5
2008-05-12,137.0,141.75,136.75,139.75,10200,137.0
2008-05-13,140.75,143.75,139.5,142.75,9750,139.75
2008-05-14,142.5,142.5,138.75,140.0,8150,142.75
2008-05-15,140.0,142.0,137.0,138.0,10850,140.0
2008-05-18,140.0,142.0,136.25,136.5,15950,138.0
2008-05-20,139.75,139.75,133.25,136.75,9900,136.5
2008-05-21,135.0,136.75,133.25,135.25,8100,136.75
2008-05-22,135.0,136.5,133.25,133.75,7650,135.25
2008-05-25,133.25,136.0,132.75,133.0,10400,133.75
2008-05-26,134.75,139.25,134.0,134.5,6300,133.0
2008-05-27,136.25,138.0,134.0,134.5,9600,134.5
2008-05-28,136.25,141.0,134.0,139.25,24250,134.5
2008-05-29,141.0,145.0,138.0,138.25,12300,139.25
2008-06-01,138.0,143.75,138.0,139.75,16150,138.25
2008-06-02,140.25,149.0,139.5,147.0,32400,139.75
2008-06-03,147.0,150.0,141.0,142.25,16450,147.0
2008-06-04,145.5,148.0,143.5,146.25,14750,142.25
2008-06-05,148.0,155.0,148.0,152.25,29100,146.25
2008-06-08,159.75,168.0,153.0,166.0,58550,152.25
2008-06-09,163.5,167.0,155.25,156.75,28650,166.0
2008-06-10,167.5,167.5,155.25,158.5,34650,156.75
2008-06-11,160.0,160.75,147.0,150.5,31300,158.5
2008-06-12,157.0,160.0,150.0,153.25,25600,150.5
2008-06-15,155.0,160.0,151.25,151.75,10700,153.25
2008-06-16,151.75,154.75,147.5,151.5,10350,151.75
2008-06-17,143.0,150.5,143.0,149.5,8950,151.5
2008-06-18,152.0,153.75,148.0,150.5,9900,149.5
2008-06-19,148.5,151.75,148.5,149.75,17350,150.5
2008-06-22,151.0,151.0,146.0,146.0,9150,149.75
2008-06-23,145.5,146.0,143.75,144.0,8200,146.0
2008-06-24,149.0,149.0,145.0,146.25,2650,144.0
2008-06-25,149.0,149.0,144.0,144.75,3850,146.25
2008-06-26,143.5,151.0,143.5,148.75,6950,144.75
2008-06-29,146.5,149.0,145.0,146.25,2600,148.75
2008-06-30,145.0,146.75,143.5,144.25,9050,146.25
2008-07-02,144.0,145.0,140.0,140.75,9650,144.25
2008-07-03,139.0,143.75,139.0,140.5,3250,140.75
2008-07-06,145.0,145.0,142.0,142.0,2550,140.5
2008-07-07,143.0,143.0,141.0,141.0,5000,142.0
2008-07-08,142.5,142.5,138.0,139.5,7250,141.0
2008-07-08,142.5,142.5,138.0,139.5,7250,141.0
2008-07-09,140.25,140.25,140.0,140.0,200,139.5
2008-07-10,142.0,146.0,140.5,142.0,13900,140.0
2008-07-13,142.75,143.0,141.25,141.5,10050,142.0
2008-07-14,141.75,141.75,139.0,139.75,11550,141.5
2008-07-15,143.75,144.0,139.5,140.0,6900,139.75
2008-07-16,139.5,140.0,139.0,139.75,5700,140.0
2008-07-17,142.25,142.25,139.5,140.25,4300,139.75
2008-07-20,139.0,140.0,137.0,138.75,6250,140.25
2008-07-21,140.0,140.0,135.0,135.75,7100,138.75
2008-07-22,137.0,139.0,135.0,136.5,5850,135.75
2008-07-23,137.5,138.0,136.0,136.5,5000,136.5
2008-07-24,136.25,141.0,136.25,137.25,5200,136.5
2008-07-27,137.0,140.0,136.75,137.0,9300,137.25
2008-07-28,136.75,139.0,136.75,137.25,4800,137.0
2008-07-29,138.5,138.75,136.75,137.25,3700,137.25
2008-07-30,138.5,138.5,135.0,135.5,5700,137.25
2008-07-31,135.0,136.0,133.25,135.0,10650,135.5
2008-08-03,135.0,135.0,133.0,133.5,5150,135.0
2008-08-04,132.0,134.0,132.0,133.25,2750,133.5
2008-08-05,135.0,135.0,132.0,132.75,8200,133.25
2008-08-06,132.0,133.25,131.5,132.5,10850,132.75
2008-08-07,131.25,133.25,131.25,131.75,4050,132.5
2008-08-10,127.0,132.0,127.0,131.25,3950,131.75
2008-08-11,130.5,131.0,129.5,130.75,5750,131.25
2008-08-12,130.25,131.75,130.25,130.75,2250,130.75
2008-08-13,130.0,130.0,128.25,129.0,2850,130.75
2008-08-14,128.0,129.0,127.25,127.75,3050,129.0
2008-08-18,128.5,128.5,125.0,126.25,3200,127.75
2008-08-19,125.5,125.5,122.25,122.75,7300,126.25
2008-08-20,126.0,126.0,122.0,122.25,2550,122.75
2008-08-21,123.5,130.0,123.5,127.75,2600,122.25
2008-08-25,127.0,128.0,125.0,126.0,1650,127.75
2008-08-26,126.75,130.0,126.0,127.75,3700,126.0
2008-08-27,128.0,129.5,128.0,128.75,7250,127.75
2008-08-28,128.75,130.0,128.0,129.0,6000,128.75
2008-08-31,128.5,133.0,128.5,132.0,6250,129.0
2008-09-01,131.0,136.5,131.0,135.75,8150,132.0
2008-09-02,137.0,144.0,136.5,142.5,18450,135.75
2008-09-03,142.25,143.0,138.0,139.75,13300,142.5
2008-09-04,140.0,140.0,136.5,137.75,4850,139.75
