date,open,high,low,close,volume,prev_closing_price
2008-03-06,1419.0,1419.0,1300.0,1307.75,5400,1351.5
2008-03-09,1321.0,1330.0,1235.0,1245.0,10350,1307.75
2008-03-09,1321.0,1330.0,1235.0,1245.0,10350,1307.75
2008-03-10,1255.0,1390.0,1240.0,1363.25,12150,1245.0
2008-03-11,1300.0,1390.0,1285.0,1301.5,8250,1363.25
2008-03-12,1300.0,1300.0,1200.0,1214.75,8200,1301.5
2008-03-13,1232.0,1254.0,1220.25,1236.75,1350,1214.75
2008-03-16,1300.0,1319.75,1255.0,1300.0,2050,1236.75
2008-03-17,1330.0,1344.0,1240.0,1246.5,4650,1300.0
2008-03-18,1233.0,1233.0,1180.0,1181.0,6900,1246.5
2008-03-19,1200.0,1249.0,1196.0,1202.75,1200,1181.0
2008-03-20,1225.0,1225.0,1190.0,1209.75,1500,1202.75
2008-03-23,1182.0,1182.0,1165.0,1169.5,1700,1209.75
2008-03-24,1190.0,1220.0,1162.0,1188.25,850,1169.5
2008-03-25,1155.0,1155.0,1111.0,1142.75,1050,1188.25
2008-03-30,1160.0,1218.0,1160.0,1207.0,1700,1142.75
2008-03-31,1221.0,1221.0,1116.25,1126.0,3150,1207.0
2008-04-01,1126.0,1135.0,1117.25,1120.5,1950,1126.0
2008-04-02,1080.25,1145.0,1080.0,1100.0,2950,1120.5
2008-04-03,1070.0,1140.0,1070.0,1108.25,1150,1100.0
2008-04-06,1100.0,1150.0,1081.0,1097.5,1650,1108.25
2008-04-07,1081.0,1100.0,1070.0,1072.25,2550,1097.5
2008-04-08,1080.0,1140.0,1062.0,1129.5,5000,1072.25
2008-04-09,1150.0,1195.0,1115.0,1131.75,2200,1129.5
2008-04-10,1148.0,1148.0,1115.0,1128.0,1150,1131.75
2008-04-13,1116.0,1120.0,1075.0,1102.25,2500,1128.0
2008-04-15,1096.0,1110.0,1075.0,1092.0,1100,1102.25
2008-04-16,1075.0,1076.0,1050.0,1061.75,3100,1092.0
2008-04-17,1040.0,1050.0,1031.0,1042.75,2300,1061.75
2008-04-20,1033.0,1035.0,1025.0,1029.0,2550,1042.75
2008-04-21,1020.0,1050.0,1000.0,1016.25,2450,1029.0
2008-04-22,995.0,1010.0,950.25,993.5,1750,1016.25
2008-04-23,929.0,1100.0,929.0,1071.0,3600,993.5
2008-04-24,1100.0,1100.0,1003.0,1051.0,850,1071.0
2008-04-27,1030.0,1039.0,995.0,1001.0,1200,1051.0
2008-04-28,1001.0,1001.0,987.0,988.75,1550,1001.0
2008-04-29,1047.0,1047.0,975.0,1004.0,850,988.75
2008-04-30,1010.0,1010.0,963.0,993.5,800,1004.0
2008-05-04,964.0,970.0,950.0,954.75,1650,993.5
2008-05-05,983.0,1079.0,960.0,1029.5,4350,954.75
2008-05-06,1100.0,1130.0,1032.0,1066.75,1800,1029.5
2008-05-07,1001.25,1010.0,988.0,1000.25,1550,1066.75
2008-05-08,1020.0,1068.75,1011.25,1045.0,1100,1000.25
2008-05-11,1050.0,1085.0,1049.75,1056.25,2050,1045.0
2008-05-12,1100.0,1122.0,1025.0,1118.25,5600,1056.25
2008-05-13,1120.0,1145.0,1060.0,1090.0,2750,1118.25
2008-05-14,1065.5,1075.0,1051.0,1063.25,1750,1090.0
2008-05-15,1060.0,1129.0,1060.0,1106.5,5750,1063.25
2008-05-18,1170.0,1170.0,1080.0,1109.75,5700,1106.5
2008-05-20,1145.0,1170.0,1062.0,1161.0,8450,1109.75
2008-05-21,1178.75,1178.75,1090.0,1114.5,3150,1161.0
2008-05-22,1140.0,1145.0,1080.0,1100.5,4700,1114.5
2008-05-25,1081.0,1110.0,980.0,1043.5,1850,1100.5
2008-05-26,1090.0,1090.0,1000.0,1027.25,5200,1043.5
2008-05-27,1005.0,1019.0,995.0,1006.5,2700,1027.25
2008-05-28,1029.0,1040.0,985.5,994.5,1800,1006.5
2008-05-29,1014.0,1039.0,991.0,994.25,2800,994.5
2008-06-01,1010.0,1035.0,967.0,1009.0,1900,994.25
2008-06-02,1049.0,1130.0,1049.0,1078.75,3650,1009.0
2008-06-03,1078.0,1119.0,1022.0,1044.75,3800,1078.75
2008-06-04,1040.0,1040.0,993.0,998.5,2800,1044.75
2008-06-05,994.0,1066.0,994.0,1048.5,3900,998.5
2008-06-08,1110.0,1115.0,1050.0,1099.5,4950,1048.5
2008-06-09,1060.0,1069.0,1000.25,1046.0,1850,1099.5
2008-06-10,1050.25,1050.25,1025.0,1041.5,950,1046.0
2008-06-11,995.0,1025.0,986.0,993.5,1300,1041.5
2008-06-12,985.0,1048.0,903.0,979.75,1900,993.5
2008-06-15,1000.0,1000.0,970.0,987.0,1300,979.75
2008-06-16,930.0,942.0,880.0,916.5,3850,987.0
2008-06-17,900.0,937.0,882.0,909.5,2050,916.5
2008-06-18,907.0,930.0,907.0,0.0,300,909.5
2008-06-19,901.0,940.0,901.0,913.25,950,915.75
2008-06-22,900.0,915.0,900.0,0.0,1300,913.25
2008-06-23,876.0,915.0,876.0,0.0,900,903.25
2008-06-24,905.0,950.0,900.0,925.5,6550,903.5
2008-06-25,989.0,1020.0,936.0,1000.5,3150,925.5
2008-06-26,1035.75,1040.0,1000.0,1020.5,2200,1000.5
2008-06-29,1050.0,1140.0,1050.0,1132.0,8150,1020.5
2008-06-30,1195.0,1205.0,1070.0,1104.75,6350,1132.0
2008-07-02,1090.0,1090.0,1020.0,1039.5,2450,1104.75
2008-07-03,1005.0,1058.0,1000.0,1017.0,200,1039.5
2008-07-06,1020.0,1060.0,1020.0,1055.5,1350,1017.0
2008-07-07,1060.0,1100.0,1055.25,1082.75,9500,1055.5
2008-07-08,1107.75,1170.0,1104.0,1141.0,8450,1082.75
2008-07-08,1107.75,1170.0,1104.0,1141.0,8450,1082.75
2008-07-09,1140.0,1149.0,1091.0,1112.0,2500,1141.0
2008-07-10,1139.0,1140.0,1091.0,1100.75,1750,1112.0
2008-07-13,1150.0,1189.0,1136.0,1143.75,4150,1100.75
2008-07-14,1136.0,1137.0,1100.0,1112.5,5200,1143.75
2008-07-15,1070.0,1070.0,995.0,1004.75,1500,1112.5
2008-07-16,1006.0,1006.0,985.0,1000.0,650,1004.75
2008-07-17,1030.0,1031.0,1001.0,1020.75,650,1000.0
2008-07-20,990.0,990.0,971.0,980.75,1050,1020.75
2008-07-21,930.0,971.0,930.0,953.75,300,980.75
2008-07-22,949.75,950.0,930.0,939.75,500,953.75
2008-07-23,985.0,987.0,918.0,958.25,450,939.75
2008-07-24,958.25,0.0,0.0,958.25,0,958.25
2008-07-27,1020.0,1140.0,1000.0,1121.75,3450,958.25
2008-07-28,1200.0,1248.0,1100.0,1108.0,6650,1121.75
2008-07-29,1175.25,1175.25,1052.0,1144.5,3850,1108.0
2008-07-30,1114.0,1140.0,1107.0,1119.5,3250,1144.5
2008-07-31,1125.0,1150.0,1091.0,1120.5,1600,1119.5
2008-08-03,1124.0,1125.0,1052.0,1077.25,1700,1120.5
2008-08-04,1080.0,1098.0,1051.0,1060.0,1500,1077.25
2008-08-05,1099.0,1102.0,1075.0,1086.0,2200,1060.0
2008-08-06,1090.0,1150.0,1090.0,1143.0,5900,1086.0
2008-08-07,1128.0,1145.0,1105.0,1127.75,2450,1143.0
2008-08-10,1085.0,1085.0,1070.0,1076.5,750,1127.75
2008-08-11,1056.25,1089.0,1056.25,1064.5,1100,1076.5
2008-08-12,1075.0,1110.0,1071.0,1087.5,2050,1064.5
2008-08-13,1052.0,1061.25,1052.0,1057.25,600,1087.5
2008-08-14,1110.0,1110.0,1049.0,1058.75,4250,1057.25
2008-08-18,1100.0,1124.0,1057.0,1086.0,1200,1058.75
2008-08-19,1068.0,1068.0,1030.0,1049.25,1950,1086.0
2008-08-20,1053.0,1060.0,1053.0,1056.5,350,1049.25
2008-08-21,1060.0,1135.0,1060.0,1108.0,1200,1056.5
2008-08-25,1108.0,1139.0,1090.0,1115.5,2600,1108.0
2008-08-26,1150.0,1178.0,1135.0,1167.0,11300,1115.5
2008-08-27,1197.0,1275.0,1192.0,1245.75,15100,1167.0
2008-08-28,1275.0,1325.0,1230.0,1309.5,11800,1245.75
2008-08-31,1349.0,1420.0,1340.0,1380.75,8100,1309.5
2008-09-01,1340.0,1374.0,1300.0,1351.0,6100,1380.75
2008-09-02,1350.0,1410.25,1350.0,1387.75,5950,1351.0
2008-09-03,1430.0,1430.0,1321.0,1344.0,4250,1387.75
2008-09-04,1345.0,1355.0,1287.25,1339.5,10000,1344.0
2008-09-07,1400.0,1506.0,1382.0,1502.5,22600,1339.5
2008-09-08,1560.0,1650.0,1560.0,1617.5,14400,1502.5
2008-09-09,1580.0,1600.0,1500.0,1544.75,8000,1617.5
2008-09-10,1550.0,1605.0,1523.0,1569.75,5150,1544.75
2008-09-11,1556.0,1659.0,1556.0,1589.25,6200,1569.75
2008-09-14,1553.0,1580.0,1521.0,1567.25,2200,1589.25
2008-09-15,1560.0,1639.0,1531.25,1545.5,5950,1567.25
2008-09-16,1550.0,1588.0,1525.0,1546.0,3400,1545.5
2008-09-17,1580.0,1580.0,1501.0,1554.25,5050,1546.0
2008-09-18,1579.0,1748.0,1579.0,1728.0,17200,1554.25
2008-09-21,1795.0,1915.0,1790.0,1903.25,11850,1728.0
2008-09-22,1860.0,1925.0,1820.0,1848.25,5350,1903.25
2008-09-23,1850.0,1850.0,1770.0,1812.25,4100,1848.25
2008-09-24,1805.0,1899.0,1805.0,1845.5,5300,1812.25
2008-09-25,1861.25,1861.25,1780.0,1802.5,4100,1845.5
2008-10-05,1712.0,1750.0,1665.0,1687.75,5100,1802.5
2008-10-06,1800.0,1800.0,1630.0,1674.5,2800,1687.75
2008-10-07,1690.0,1841.0,1690.0,1790.75,6400,1674.5
2008-10-08,1830.0,1850.0,1700.0,1711.5,9700,1790.75
2008-10-12,1665.0,1665.0,1520.0,1529.5,13150,1711.5
2008-10-13,1600.0,1650.0,1566.0,1584.5,4650,1529.5
2008-10-14,1605.0,1614.0,1570.0,1595.0,5350,1584.5
2008-10-15,1571.0,1594.0,1521.0,1544.5,6500,1595.0
2008-10-16,1598.0,1598.0,1500.0,1513.0,6300,1544.5
2008-10-19,1520.0,1560.0,1520.0,1540.75,4650,1513.0
2008-10-20,1562.0,1562.0,1510.0,1527.75,2500,1540.75
