date,open,high,low,close,volume,prev_closing_price
2013-11-19,48.0,50.0,44.0,45.6,7843000,28.0
2013-11-20,45.7,49.8,44.8,48.8,3581750,45.6
2013-11-21,49.8,53.8,49.0,50.7,3050000,48.8
2013-11-24,50.7,55.7,49.0,55.3,5354750,50.7
2013-11-25,56.0,59.1,55.0,57.0,4112500,55.3
2013-11-26,56.9,58.6,53.4,53.7,3437750,57.0
2013-11-27,54.0,55.9,52.5,54.8,3501500,53.7
2013-11-28,55.0,56.8,54.5,56.1,2529500,54.8
2013-12-01,55.9,56.2,51.5,52.3,2119500,56.1
2013-12-02,51.5,52.9,49.8,50.8,2049750,52.3
2013-12-03,52.0,58.7,51.5,58.1,4914250,50.8
2013-12-04,59.5,60.3,57.3,57.5,3062750,58.1
2013-12-05,57.0,63.2,57.0,63.1,5070750,57.5
2013-12-08,64.2,68.3,63.6,66.5,3930500,63.1
2013-12-09,69.0,70.2,65.8,69.4,3296000,66.5
2013-12-10,69.9,72.0,67.0,67.6,4406000,69.4
2013-12-11,68.0,69.6,66.1,67.5,3893250,67.6
2013-12-12,67.5,0.0,0.0,67.5,0,67.5
2013-12-15,65.0,66.2,62.7,66.1,2539750,67.5
2013-12-17,67.0,69.2,63.8,66.7,3889250,66.1
2013-12-18,67.0,67.8,63.5,63.9,1670000,66.7
2013-12-19,62.0,62.9,58.2,61.5,3984750,63.9
2013-12-22,63.4,63.7,55.9,57.1,2721000,61.5
2013-12-23,58.7,58.8,56.0,57.1,1142750,57.1
2013-12-24,57.0,58.2,54.8,55.2,993750,57.1
2013-12-26,55.0,56.5,51.9,52.3,1444500,55.2
2013-12-29,52.0,53.0,51.2,51.4,635250,52.3
2013-12-30,52.3,53.4,51.1,51.7,693500,51.4
2014-01-01,52.4,55.6,51.8,54.2,1118000,51.7
2014-01-02,55.0,55.0,52.6,52.8,754000,54.2
2014-01-06,53.1,54.0,51.4,51.7,825500,52.8
2014-01-07,52.7,52.7,51.4,51.8,1169750,51.7
2014-01-08,52.7,53.0,51.6,51.8,1176250,51.8
2014-01-09,52.4,55.9,52.4,55.1,1753000,51.8
2014-01-12,55.9,56.0,53.2,53.5,1314250,55.1
2014-01-13,53.4,55.5,53.3,54.6,1948750,53.5
2014-01-15,54.7,57.3,54.7,56.4,2284250,54.6
2014-01-16,57.0,57.0,54.1,54.4,1767500,56.4
2014-01-19,55.0,55.0,53.2,53.3,1316250,54.4
2014-01-20,53.9,54.7,52.6,52.7,1394250,53.3
2014-01-21,53.4,53.4,51.6,51.7,1637250,52.7
2014-01-22,52.6,53.7,52.1,53.3,1055750,51.7
2014-01-23,53.9,53.9,51.9,52.1,980250,53.3
2014-01-26,52.6,53.3,52.2,52.3,1162500,52.1
2014-01-27,52.4,52.8,51.6,51.8,1124500,52.3
2014-01-28,52.0,52.3,50.8,50.9,832250,51.8
2014-01-29,51.5,53.0,50.5,51.3,677750,50.9
2014-01-30,51.4,52.8,51.4,52.1,1022250,51.3
2014-02-02,52.9,52.9,51.3,51.5,775250,52.1
2014-02-03,52.6,52.7,51.5,51.6,1003000,51.5
2014-02-04,52.0,52.9,51.3,52.2,889000,51.6
2014-02-05,52.5,52.8,51.6,51.8,565250,52.2
2014-02-06,52.2,52.2,50.9,51.0,817250,51.8
2014-02-09,51.4,51.6,49.0,49.3,934500,51.0
2014-02-10,49.8,50.2,48.3,48.4,631500,49.3
2014-02-11,48.5,48.7,47.3,47.6,597500,48.4
2014-02-12,48.0,48.6,47.5,47.6,383250,47.6
2014-02-13,47.9,49.0,47.0,48.2,477750,47.6
2014-02-16,48.2,48.8,47.0,47.2,281500,48.2
2014-02-17,47.0,48.0,46.9,46.9,336250,47.2
2014-02-18,47.4,47.7,46.8,47.4,443000,46.9
2014-02-19,47.4,49.8,47.4,49.4,539750,47.4
2014-02-20,49.4,50.3,49.1,49.3,559750,49.4
2014-02-23,49.5,49.7,47.8,48.0,416000,49.3
2014-02-24,48.4,48.7,47.2,47.4,493000,48.0
2014-02-25,47.7,48.1,46.9,47.0,620000,47.4
2014-02-26,47.9,47.9,47.0,47.6,384500,47.0
2014-02-27,47.6,47.7,46.4,46.6,824250,47.6
2014-03-02,46.6,46.8,45.1,45.3,538250,46.6
2014-03-03,45.6,46.2,45.0,45.1,466500,45.3
2014-03-04,45.2,47.0,44.9,46.4,658250,45.1
2014-03-05,47.0,47.3,45.8,46.1,392750,46.4
2014-03-06,45.9,46.5,45.3,45.3,401000,46.1
2014-03-09,45.8,46.3,44.8,45.2,495250,45.3
2014-03-10,45.2,45.9,44.8,44.9,282750,45.2
2014-03-11,45.3,45.4,44.4,44.5,433250,44.9
2014-03-12,44.3,45.2,43.9,44.0,462250,44.5
2014-03-13,44.4,44.4,42.9,43.1,477000,44.0
2014-03-16,43.0,43.2,42.2,42.3,276750,43.1
2014-03-18,42.2,42.9,41.1,41.7,235750,42.3
2014-03-19,41.4,41.6,40.4,40.6,279250,41.7
2014-03-20,40.4,41.5,40.3,41.2,282000,40.6
2014-03-23,41.9,44.9,41.9,43.9,834000,41.2
2014-03-24,43.9,44.8,43.4,44.2,506000,43.9
2014-03-25,44.4,46.6,44.3,46.3,1204750,44.2
2014-03-27,46.0,46.3,43.9,44.2,588500,46.3
