date,open,high,low,close,volume,prev_closing_price
2008-03-06,919.0,920.0,905.75,908.75,11735,913.75
2008-03-09,910.0,915.0,892.0,894.0,19180,908.75
2008-03-09,910.0,915.0,892.0,894.0,19180,908.75
2008-03-10,905.0,925.0,896.0,915.25,10230,894.0
2008-03-11,911.0,914.0,894.75,896.5,13265,915.25
2008-03-12,885.0,905.0,885.0,893.5,11885,896.5
2008-03-13,890.0,901.75,888.0,896.75,9635,893.5
2008-03-16,904.5,904.5,870.5,875.25,11130,896.75
2008-03-17,865.0,879.0,842.0,849.75,12150,875.25
2008-03-18,842.0,860.0,840.0,856.5,10400,849.75
2008-03-19,854.0,868.75,854.0,864.5,7870,856.5
2008-03-20,870.0,870.0,851.0,856.75,8430,864.5
2008-03-23,842.0,870.0,811.0,814.5,7305,856.75
2008-03-24,816.0,839.5,813.5,825.75,10105,814.5
2008-03-25,847.0,870.0,831.0,862.0,10950,825.75
2008-03-30,862.0,903.0,862.0,899.5,14015,862.0
2008-03-31,901.0,917.0,882.0,886.25,8250,899.5
2008-04-01,881.0,894.5,873.5,876.5,9870,886.25
2008-04-02,875.0,914.0,875.0,905.5,17145,876.5
2008-04-03,915.0,938.5,911.0,933.5,24505,905.5
2008-04-06,944.75,946.0,926.0,939.5,21535,933.5
2008-04-07,931.75,942.0,898.5,904.25,10135,939.5
2008-04-08,901.0,910.0,891.25,899.75,9390,904.25
2008-04-09,905.0,905.0,886.0,887.75,11110,899.75
2008-04-10,890.25,908.0,890.25,899.0,5320,887.75
2008-04-13,893.25,915.0,875.0,882.75,6715,899.0
2008-04-15,861.25,885.0,861.25,874.5,8620,882.75
2008-04-16,925.0,925.0,870.0,889.75,4985,874.5
2008-04-17,885.0,893.0,880.0,889.0,7135,889.75
2008-04-20,885.0,890.0,871.0,874.25,5375,889.0
2008-04-21,870.5,905.0,870.5,899.0,20475,874.25
2008-04-22,895.0,898.25,880.0,882.75,6820,899.0
2008-04-23,875.25,884.0,870.0,872.0,9525,882.75
2008-04-24,881.0,885.5,870.0,871.5,4765,872.0
2008-04-27,872.0,880.0,865.0,867.5,7540,871.5
2008-04-28,885.0,885.0,860.0,861.5,6265,867.5
2008-04-29,869.75,870.0,852.0,855.0,7525,861.5
2008-04-30,853.25,875.0,849.0,858.5,10550,855.0
2008-05-04,879.25,882.0,865.25,874.75,7470,858.5
2008-05-05,876.0,876.0,860.0,866.75,11500,874.75
2008-05-06,862.0,877.0,862.0,870.75,14155,866.75
2008-05-07,865.0,871.0,856.0,857.25,12400,870.75
2008-05-08,860.0,860.0,845.5,849.0,15165,857.25
2008-05-11,850.5,865.0,844.25,847.75,8240,849.0
2008-05-12,845.0,860.0,845.0,845.5,7975,847.75
2008-05-13,846.0,864.0,835.0,841.0,8600,845.5
2008-05-14,850.0,858.0,845.0,846.5,8665,841.0
2008-05-15,841.0,848.0,840.25,841.5,7155,846.5
2008-05-18,840.0,860.0,840.0,844.5,10455,841.5
2008-05-20,839.0,855.0,800.0,828.75,10080,844.5
2008-05-21,828.0,858.0,821.0,839.25,14565,828.75
2008-05-22,835.0,849.0,833.0,837.25,6325,839.25
2008-05-25,835.0,845.0,828.5,830.75,9845,837.25
2008-05-26,831.0,843.0,828.0,832.5,11935,830.75
2008-05-27,827.0,836.0,817.0,823.75,14475,832.5
2008-05-28,815.0,837.0,815.0,833.0,15845,823.75
2008-05-29,816.0,900.0,816.0,882.5,20705,833.0
2008-06-01,850.0,910.0,850.0,886.0,13645,882.5
2008-06-02,904.0,904.0,866.75,875.0,7335,886.0
2008-06-03,882.0,882.0,855.0,866.75,8265,875.0
2008-06-04,855.0,880.0,855.0,868.0,11690,866.75
2008-06-05,884.0,884.0,860.0,870.75,7295,868.0
2008-06-08,852.0,872.0,851.0,870.0,7235,870.75
2008-06-09,856.0,876.75,851.25,857.75,5045,870.0
2008-06-10,869.0,871.0,856.0,868.75,7335,857.75
2008-06-11,862.0,862.0,853.0,855.75,9470,868.75
2008-06-12,865.0,870.0,850.0,858.75,11090,855.75
2008-06-15,860.0,870.0,836.5,842.25,20130,858.75
2008-06-16,860.0,899.0,860.0,0.0,11020,842.25
2008-06-17,870.0,879.0,862.0,870.75,7740,870.25
2008-06-18,880.0,880.0,846.0,865.25,7955,870.75
2008-06-19,867.0,874.0,856.0,868.25,13605,865.25
2008-06-22,860.0,870.0,850.0,0.0,13240,868.25
2008-06-23,857.25,862.0,846.5,0.0,14445,858.25
2008-06-24,860.0,860.0,847.75,848.75,13405,850.0
2008-06-25,858.75,858.75,841.75,847.25,9790,848.75
2008-06-26,850.0,855.5,840.75,842.5,13710,847.25
2008-06-29,859.75,859.75,838.25,844.75,9685,842.5
2008-06-30,850.0,853.0,839.0,844.5,11310,844.75
2008-07-02,838.25,860.0,838.25,859.0,6810,844.5
2008-07-03,845.0,870.0,845.0,867.75,6935,859.0
2008-07-06,888.75,888.75,861.0,869.0,11400,867.75
2008-07-07,866.0,869.0,848.0,852.25,15840,869.0
2008-07-08,860.0,865.0,846.0,857.5,5830,852.25
2008-07-08,860.0,865.0,846.0,857.5,5830,852.25
2008-07-09,855.0,855.0,845.0,846.25,2400,857.5
2008-07-10,848.0,860.0,847.0,855.25,11005,846.25
2008-07-13,846.0,865.0,846.0,851.25,7840,855.25
2008-07-14,851.0,859.0,847.0,848.5,4070,851.25
2008-07-15,848.5,854.5,840.0,843.75,5470,848.5
2008-07-16,848.5,848.5,827.0,833.25,5030,843.75
2008-07-17,849.0,849.0,835.0,836.0,3320,833.25
2008-07-20,813.0,839.0,813.0,834.25,3645,836.0
2008-07-21,830.0,840.0,815.5,819.0,5145,834.25
2008-07-22,812.0,826.75,780.0,794.25,10305,819.0
2008-07-23,775.0,819.0,775.0,792.0,10700,794.25
2008-07-24,795.25,835.0,795.25,832.5,4690,792.0
2008-07-27,850.0,858.0,840.0,850.25,13690,832.5
2008-07-28,840.0,849.5,830.0,832.75,7980,850.25
2008-07-29,825.0,829.0,818.25,821.25,5015,832.75
2008-07-30,823.0,845.75,820.0,838.75,7460,821.25
2008-07-31,855.0,900.0,855.0,875.5,32760,838.75
2008-08-03,870.0,900.0,870.0,885.5,21580,875.5
2008-08-04,889.0,889.0,851.0,870.75,11220,885.5
2008-08-05,878.0,878.0,846.5,853.75,17165,870.75
2008-08-06,855.0,870.0,848.0,856.0,8375,853.75
2008-08-07,855.0,860.0,850.0,853.0,6970,856.0
2008-08-10,850.5,855.0,820.0,823.0,8840,853.0
2008-08-11,820.0,829.75,773.0,825.0,7385,823.0
2008-08-12,852.0,855.0,831.0,842.0,6875,825.0
2008-08-13,849.5,852.5,838.0,847.0,7575,842.0
2008-08-14,850.0,852.0,836.0,848.0,10570,847.0
2008-08-18,850.0,852.0,835.0,841.25,19615,848.0
2008-08-19,841.0,841.0,801.25,810.25,16340,841.25
2008-08-20,824.0,859.0,815.0,844.5,24810,810.25
2008-08-21,859.0,872.75,853.0,857.0,38105,844.5
2008-08-25,857.0,0.0,0.0,857.0,0,857.0
2008-08-26,600.0,610.0,581.0,586.25,35495,857.0
2008-08-27,590.0,599.0,583.5,596.75,17165,586.25
2008-08-28,599.75,608.75,592.0,599.25,7260,596.75
2008-08-31,604.0,605.0,594.0,597.75,11020,599.25
2008-09-01,596.25,602.0,592.0,596.5,17205,597.75
2008-09-02,594.0,600.0,590.75,591.75,4770,596.5
2008-09-03,595.0,595.0,581.0,590.5,7700,591.75
2008-09-04,586.0,594.75,581.0,585.75,7285,590.5
2008-09-07,590.0,592.0,576.0,579.5,7435,585.75
2008-09-08,578.0,582.0,576.0,577.5,6950,579.5
2008-09-09,579.75,579.75,569.5,570.0,8000,577.5
2008-09-10,578.0,579.75,570.25,572.75,6520,570.0
2008-09-11,579.75,579.75,573.25,575.25,6225,572.75
2008-09-14,570.5,585.0,570.5,574.75,5385,575.25
2008-09-15,570.0,575.0,557.5,562.0,4035,574.75
2008-09-16,570.0,570.0,555.0,563.75,5175,562.0
2008-09-17,557.0,565.0,555.5,559.25,4335,563.75
2008-09-18,557.0,559.0,555.5,556.75,3905,559.25
2008-09-21,560.0,579.75,551.25,552.75,3865,556.75
2008-09-22,553.0,578.0,551.0,564.5,3950,552.75
2008-09-23,555.0,578.0,555.0,565.75,4025,564.5
2008-09-24,575.0,575.0,567.25,574.0,4315,565.75
2008-09-25,580.0,585.0,575.0,582.25,7145,574.0
2008-10-05,588.0,588.0,567.5,581.75,3680,582.25
2008-10-06,580.0,585.0,565.0,569.5,9060,581.75
2008-10-07,565.0,575.0,560.0,563.0,6075,569.5
2008-10-08,562.0,572.75,555.0,557.0,4555,563.0
2008-10-12,555.0,569.0,545.0,549.75,5050,557.0
2008-10-13,560.0,560.0,545.0,553.25,6770,549.75
2008-10-14,552.0,570.0,548.0,556.75,9850,553.25
2008-10-15,570.0,570.0,548.0,556.75,6690,556.75
2008-10-16,569.0,569.0,542.0,544.5,8260,556.75
2008-10-19,545.0,545.0,520.0,522.5,12565,544.5
2008-10-20,525.0,530.0,516.5,518.0,16920,522.5
2008-10-21,520.0,520.0,502.0,505.25,7600,518.0
2008-10-22,514.0,514.0,496.0,501.0,13975,505.25
2008-10-23,514.75,519.75,500.0,513.25,8015,501.0
2008-10-26,505.0,509.75,495.25,498.25,11360,513.25
2008-10-27,500.0,504.0,491.0,493.25,8535,498.25
2008-10-28,513.0,513.0,491.0,500.5,8155,493.25
2008-10-29,515.0,515.0,494.0,495.75,15085,500.5
2008-10-30,500.0,504.0,494.0,496.25,10865,495.75
2008-11-02,499.0,509.75,492.0,495.75,6390,496.25
2008-11-03,498.0,500.0,493.0,495.0,6180,495.75
2008-11-04,500.0,532.0,495.0,509.75,10785,495.0
2008-11-05,514.0,520.0,505.5,507.5,8685,509.75
2008-11-06,506.0,510.0,501.0,503.5,9170,507.5
2008-11-09,503.0,505.0,493.0,495.0,5210,503.5
2008-11-10,505.0,509.0,494.0,499.75,7055,495.0
2008-11-11,500.0,509.75,500.0,502.0,6055,499.75
2008-11-12,505.0,510.25,502.0,504.75,4535,502.0
2008-11-13,510.0,510.0,499.0,500.25,5005,504.75
2008-11-16,500.25,504.25,497.0,499.0,1580,500.25
2008-11-17,500.0,505.0,495.0,497.0,4440,499.0
2008-11-18,504.0,504.0,491.0,493.5,5625,497.0
2008-11-19,493.0,501.0,491.25,498.75,7595,493.5
2008-11-20,503.0,503.0,490.0,492.0,9990,498.75
2008-11-23,504.0,523.75,498.0,514.25,20385,492.0
