date,open,high,low,close,volume,prev_closing_price
2018-03-01,69.1,71.0,69.0,70.4,60856,0.0
2018-03-04,71.2,71.7,69.7,70.0,68019,70.4
2018-03-05,70.5,74.0,69.7,73.5,418447,70.0
2018-03-06,73.9,77.5,73.9,77.1,752658,73.5
2018-03-07,77.0,77.6,74.8,75.5,370097,77.1
2018-03-08,74.8,75.1,73.6,74.0,144545,75.5
2018-03-11,74.1,74.3,72.5,72.7,126464,74.0
2018-03-12,72.1,72.1,70.3,70.7,74179,72.7
2018-03-13,70.3,71.7,69.0,69.3,106742,70.7
2018-03-14,70.1,71.6,69.0,70.3,83375,69.3
2018-03-15,70.0,72.0,70.0,71.5,64358,70.3
2018-03-18,70.7,71.5,69.3,70.0,96125,71.5
2018-03-19,70.5,70.9,69.0,69.0,53186,70.0
2018-03-20,68.6,70.5,68.5,68.9,110029,69.0
2018-03-21,69.0,70.0,68.4,69.7,112279,68.9
2018-03-22,69.9,70.2,68.9,69.4,108001,69.7
2018-03-25,69.9,70.9,69.8,70.4,86442,69.4
2018-03-27,69.3,70.0,68.5,68.6,67963,70.4
2018-03-28,68.5,70.1,68.1,68.4,102867,68.6
2018-03-29,68.4,69.9,68.4,69.2,54021,68.4
2018-04-01,70.1,71.3,70.0,70.9,52955,69.2
2018-04-02,71.2,71.5,70.0,70.9,221376,70.9
2018-04-03,71.1,72.5,70.2,70.4,139546,70.9
2018-04-04,70.8,71.8,70.8,71.5,106234,70.4
2018-04-05,71.6,73.8,71.5,72.6,269086,71.5
2018-04-08,73.3,73.8,72.2,72.4,174452,72.6
2018-04-09,72.4,72.8,71.3,71.6,157134,72.4
2018-04-10,72.0,72.4,71.1,71.3,138484,71.6
2018-04-11,71.2,71.8,69.8,70.2,107097,71.3
2018-04-12,70.1,70.6,68.8,69.1,135419,70.2
2018-04-15,70.1,70.4,68.2,68.5,97770,69.1
2018-04-16,71.5,71.5,67.8,68.8,119576,68.5
2018-04-17,69.2,69.9,67.9,68.1,225551,68.8
2018-04-18,69.2,69.7,67.9,68.0,242731,68.1
2018-04-19,68.5,68.7,67.8,68.0,120044,68.0
2018-04-22,68.0,68.3,67.1,67.3,82407,68.0
2018-04-23,67.6,68.3,67.1,68.0,68279,67.3
2018-04-24,68.4,68.7,67.0,67.1,79794,68.0
2018-04-25,67.1,68.0,67.1,67.7,46139,67.1
2018-04-26,68.2,68.6,67.8,68.4,62036,67.7
2018-04-30,67.5,67.6,67.1,67.2,46316,68.4
2018-05-03,67.2,68.0,65.7,66.2,89700,67.2
2018-05-06,66.8,67.9,66.5,66.7,79525,66.2
2018-05-07,67.0,67.7,66.5,66.6,84872,66.7
2018-05-08,67.0,67.5,65.8,66.1,125339,66.6
2018-05-09,66.7,66.7,65.8,66.1,80388,66.1
2018-05-10,66.6,68.5,66.2,68.2,212000,66.1
2018-05-13,68.4,68.7,66.8,67.0,71216,68.2
2018-05-14,67.6,67.6,66.3,66.4,103684,67.0
2018-05-15,67.2,67.2,65.5,65.8,96790,66.4
2018-05-16,66.0,66.4,64.3,64.8,71393,65.8
2018-05-17,64.8,65.0,62.9,63.1,101865,64.8
2018-05-20,63.4,63.4,61.0,61.3,76640,63.1
2018-05-21,61.3,62.9,61.1,61.5,85226,61.3
2018-05-22,61.5,61.8,60.6,60.9,69429,61.5
2018-05-23,60.6,61.4,60.0,60.5,101875,60.9
2018-05-24,60.0,60.8,58.0,59.4,139820,60.5
2018-05-27,60.0,62.3,60.0,62.0,173084,59.4
2018-05-28,62.0,62.0,60.1,60.3,75368,62.0
2018-05-29,61.1,61.3,60.0,60.8,82781,60.3
2018-05-30,60.9,61.4,60.1,60.2,66338,60.8
2018-05-31,60.3,60.3,59.0,59.3,56138,60.2
2018-06-03,59.5,60.1,58.8,59.1,38721,59.3
2018-06-04,59.2,61.8,59.1,60.6,167521,59.1
2018-06-05,60.7,63.7,59.8,63.2,270809,60.6
2018-06-06,63.6,65.3,63.4,64.3,257445,63.2
2018-06-07,64.3,65.8,63.3,63.8,305665,64.3
2018-06-10,64.8,64.8,61.8,62.2,92085,63.8
2018-06-11,61.2,63.4,61.2,62.8,86855,62.2
2018-06-12,62.5,64.3,62.5,63.6,175350,62.8
2018-06-18,63.1,63.8,62.6,62.8,100977,63.6
2018-06-19,63.5,65.8,63.1,65.3,314167,62.8
2018-06-20,65.7,69.4,65.7,68.2,595436,65.3
2018-06-21,68.2,72.5,67.1,70.9,713313,68.2
2018-06-24,71.0,71.6,67.4,68.4,390000,70.9
2018-06-25,68.5,68.6,64.9,65.5,305826,68.4
2018-06-26,65.1,66.8,64.2,64.9,128932,65.5
2018-06-27,65.9,66.9,65.0,65.2,140021,64.9
2018-06-28,65.2,66.5,63.8,64.2,185145,65.2
2018-07-02,64.5,67.4,64.5,65.7,221856,64.2
2018-07-03,65.9,66.4,64.5,64.5,151084,65.7
2018-07-04,64.3,66.9,64.3,65.1,131739,64.5
2018-07-05,65.5,71.6,65.5,69.6,788575,65.1
2018-07-08,70.0,71.3,68.0,68.2,287372,69.6
2018-07-09,68.1,68.2,66.1,66.4,260017,68.2
2018-07-10,67.0,71.3,66.7,69.2,461802,66.4
2018-07-11,70.4,71.7,67.1,68.1,320957,69.2
2018-07-12,69.0,69.5,65.8,66.1,297459,68.1
2018-07-15,67.4,68.8,67.4,67.7,191422,66.1
2018-07-16,68.8,68.9,66.7,67.1,164330,67.7
2018-07-17,68.0,68.0,65.5,65.9,179152,67.1
2018-07-18,66.0,67.0,65.3,65.4,151726,65.9
2018-07-19,66.7,69.0,66.3,68.2,295598,65.4
2018-07-22,68.5,75.0,68.5,75.0,979593,68.2
2018-07-23,77.0,82.3,73.5,74.1,1107305,75.0
