date,open,high,low,close,volume,prev_closing_price
2018-03-13,37.0,38.0,25.0,32.5,6432820,0.0
2018-03-14,34.0,35.7,31.1,33.9,918990,32.5
2018-03-15,33.3,36.3,31.7,34.0,4423910,33.9
2018-03-18,34.5,37.4,32.9,37.4,2022531,34.0
2018-03-19,38.0,39.1,34.8,35.9,3486431,37.4
2018-03-20,35.6,36.7,33.9,34.1,2270912,35.9
2018-03-21,34.4,35.9,33.7,35.4,1603120,34.1
2018-03-22,35.7,36.3,34.0,35.0,1496736,35.4
2018-03-25,35.0,35.1,31.5,31.7,2139031,35.0
2018-03-27,31.8,32.0,28.7,28.9,2309690,31.7
2018-03-28,29.0,30.3,28.6,29.2,1024822,28.9
2018-03-29,29.4,29.4,26.7,27.1,1722459,29.2
2018-04-01,27.6,28.6,27.5,27.9,1085886,27.1
2018-04-02,28.3,28.8,27.9,28.2,1298648,27.9
2018-04-03,28.2,29.6,28.2,28.9,1138350,28.2
2018-04-04,28.9,29.3,28.0,28.1,1057011,28.9
2018-04-05,28.3,28.4,27.4,27.6,989282,28.1
2018-04-08,27.5,28.5,27.5,28.1,839300,27.6
2018-04-09,28.4,29.5,28.3,28.7,1232634,28.1
2018-04-10,29.0,29.3,28.0,28.2,755831,28.7
2018-04-11,28.0,28.4,27.6,27.7,609881,28.2
2018-04-12,27.7,28.9,27.3,28.4,1183908,27.7
2018-04-15,28.4,30.4,28.2,29.7,1627482,28.4
2018-04-16,30.0,30.9,29.1,30.6,1393313,29.7
2018-04-17,32.3,32.3,30.8,31.2,1676638,30.6
2018-04-18,31.5,34.3,31.0,32.6,1843427,31.2
2018-04-19,32.7,33.5,32.1,33.0,1602183,32.6
2018-04-22,33.1,34.4,32.7,33.6,1196991,33.0
2018-04-23,33.4,34.0,32.5,32.8,1247324,33.6
2018-04-24,33.0,34.8,32.9,33.6,2206457,32.8
2018-04-25,33.9,36.8,33.9,36.5,2516955,33.6
2018-04-26,37.0,37.5,35.6,36.1,1977524,36.5
2018-04-30,35.5,39.7,35.5,39.7,2467696,36.1
2018-05-03,40.2,43.6,40.2,43.6,2346502,39.7
2018-05-06,45.0,47.8,44.9,46.8,1737039,43.6
2018-05-07,47.1,48.7,46.7,47.6,2232840,46.8
2018-05-08,48.4,49.0,42.9,44.5,1771167,47.6
2018-05-09,45.0,45.6,41.7,44.2,1163543,44.5
2018-05-10,44.8,46.9,42.7,43.6,1344130,44.2
2018-05-13,43.7,45.5,41.3,42.4,2099999,43.6
2018-05-14,42.6,42.9,39.4,39.8,1285508,42.4
2018-05-15,41.3,43.7,41.3,43.7,2270260,39.8
2018-05-16,44.4,47.6,44.4,45.9,2545611,43.7
2018-05-17,47.0,50.4,46.1,50.4,1731246,45.9
2018-05-20,52.0,55.3,51.0,51.8,2239805,50.4
2018-05-21,52.0,52.1,48.6,50.3,1329680,51.8
2018-05-22,51.7,55.3,51.7,55.1,1751538,50.3
2018-05-23,55.8,56.4,49.6,53.2,3667289,55.1
2018-05-24,53.5,54.8,50.4,51.5,1300089,53.2
2018-05-27,52.2,53.3,50.1,52.3,1808654,51.5
2018-05-28,52.5,57.0,52.5,56.3,2404002,52.3
2018-05-29,56.9,59.6,55.2,56.9,2032155,56.3
2018-05-30,57.0,57.4,52.8,53.1,2020614,56.9
2018-05-31,55.1,57.3,53.0,53.9,1805309,53.1
2018-06-03,54.7,55.3,51.3,51.8,1307767,53.9
2018-06-04,51.9,52.8,47.5,48.2,1000805,51.8
2018-06-05,48.8,52.0,46.8,51.5,1053932,48.2
2018-06-06,52.0,52.4,48.4,49.3,935851,51.5
2018-06-07,48.5,51.0,48.4,49.0,951138,49.3
2018-06-10,49.0,53.9,49.0,53.9,1966901,49.0
2018-06-11,54.5,55.3,51.6,52.4,1505994,53.9
2018-06-12,52.8,53.2,50.8,51.6,1257900,52.4
2018-06-18,51.8,53.3,51.1,51.8,802271,51.6
2018-06-19,52.0,53.7,51.8,52.2,1569215,51.8
2018-06-20,52.5,53.1,50.4,50.9,1034928,52.2
2018-06-21,51.0,55.9,50.6,55.9,2380924,50.9
2018-06-24,56.9,58.5,55.2,57.3,2252886,55.9
2018-06-25,57.3,63.0,56.5,61.9,3299480,57.3
2018-06-26,62.0,63.5,58.8,59.5,1317283,61.9
2018-06-27,60.5,63.5,59.7,61.6,2421688,59.5
2018-06-28,62.0,65.1,61.5,62.3,2232648,61.6
2018-07-02,63.1,64.0,56.2,57.3,1878518,62.3
2018-07-03,58.5,58.8,55.2,56.7,996675,57.3
2018-07-04,57.8,61.0,57.3,60.5,1117351,56.7
2018-07-05,62.0,62.3,56.3,56.9,1685415,60.5
2018-07-08,57.9,59.7,55.0,55.4,1162583,56.9
2018-07-09,56.0,58.5,56.0,56.8,1098986,55.4
2018-07-10,57.8,60.1,56.7,57.2,1387329,56.8
2018-07-11,58.3,62.9,57.3,62.9,2134865,57.2
2018-07-12,65.0,69.1,64.4,66.1,3040860,62.9
2018-07-15,66.0,67.4,61.8,62.9,1450524,66.1
2018-07-16,63.0,64.5,61.0,61.7,1373752,62.9
2018-07-17,63.0,64.2,61.7,63.6,1040306,61.7
2018-07-18,64.0,66.0,63.6,64.8,1698446,63.6
2018-07-19,64.4,67.5,63.2,64.7,893220,64.8
2018-07-22,65.4,66.8,61.5,63.4,1006400,64.7
2018-07-23,64.0,64.4,60.2,60.8,972021,63.4
2018-07-24,61.9,61.9,58.8,59.8,679960,60.8
2018-07-25,60.1,60.4,57.2,57.9,902064,59.8
2018-07-26,58.2,58.2,54.9,55.6,727404,57.9
2018-07-29,56.3,61.1,56.2,60.7,637677,55.6
2018-07-30,61.5,62.5,58.1,58.6,949547,60.7
2018-07-31,59.0,61.0,57.2,57.8,622738,58.6
2018-08-01,59.0,59.7,56.4,57.4,782218,57.8
2018-08-02,57.6,61.0,56.5,59.0,628692,57.4
2018-08-05,59.0,59.8,56.2,56.9,421245,59.0
2018-08-06,57.5,58.0,54.8,55.1,608448,56.9
2018-08-07,55.2,56.6,55.1,55.4,341346,55.1
2018-08-08,56.0,56.5,52.6,53.4,456406,55.4
2018-08-09,54.0,54.8,51.6,52.0,366541,53.4
2018-08-12,52.0,52.9,48.2,48.6,779302,52.0
2018-08-13,48.3,49.0,46.2,46.6,475622,48.6
2018-08-14,47.0,51.0,46.6,50.4,398086,46.6
2018-08-16,51.3,51.3,47.1,47.6,311518,50.4
2018-08-19,47.6,48.1,46.4,46.5,487710,47.6
2018-08-20,46.7,48.0,46.1,47.8,210141,46.5
2018-08-26,47.8,48.3,47.0,47.5,297927,47.8
2018-08-27,47.7,50.6,47.7,49.1,473350,47.5
2018-08-28,50.7,51.2,48.8,49.1,350393,49.1
2018-08-29,49.0,49.9,47.7,48.0,365814,49.1
2018-08-30,48.5,50.9,48.3,50.3,587079,48.0
2018-09-03,50.9,51.3,48.4,48.7,288424,50.3
2018-09-04,48.7,49.0,46.9,47.2,356186,48.7
2018-09-05,47.9,48.8,47.1,47.3,305210,47.2
2018-09-06,47.3,48.4,47.3,47.7,252992,47.3
2018-09-09,47.8,48.7,47.3,48.1,348580,47.7
2018-09-10,48.1,51.0,48.0,49.7,1466295,48.1
2018-09-11,50.0,50.1,48.0,48.5,621386,49.7
2018-09-12,48.5,48.7,47.0,47.3,820683,48.5
2018-09-13,47.5,48.2,47.0,47.1,594506,47.3
2018-09-16,47.2,47.8,45.6,45.8,554748,47.1
2018-09-17,46.0,46.0,44.7,44.8,428615,45.8
2018-09-18,45.1,45.3,42.2,42.8,387368,44.8
2018-09-19,43.0,44.9,42.5,42.6,329577,42.8
2018-09-20,43.0,43.5,42.5,42.8,188109,42.6
