date,open,high,low,close,volume,prev_closing_price
2008-03-06,411.0,435.0,398.0,404.0,75,374.5
2008-03-09,365.0,365.0,365.0,365.0,20,404.0
2008-03-09,365.0,365.0,365.0,365.0,20,404.0
2008-03-10,330.0,330.0,330.0,330.0,20,365.0
2008-03-11,340.0,340.0,340.0,340.0,20,330.0
2008-03-12,340.0,0.0,0.0,340.0,0,340.0
2008-03-13,310.0,340.0,310.0,322.25,60,340.0
2008-03-16,310.0,320.0,301.0,311.5,35,322.25
2008-03-17,340.0,340.0,265.0,298.25,140,311.5
2008-03-18,270.0,344.0,270.0,318.0,225,298.25
2008-03-19,325.0,325.0,310.0,312.0,320,318.0
2008-03-20,312.0,0.0,0.0,312.0,0,312.0
2008-03-23,340.0,342.0,320.0,338.25,65,312.0
2008-03-24,340.0,370.0,330.0,348.25,160,338.25
2008-03-25,330.0,342.0,330.0,0.0,25,348.25
2008-03-30,370.0,390.0,370.0,372.0,190,339.5
2008-03-31,400.0,400.0,353.0,385.75,95,372.0
2008-04-01,385.75,0.0,0.0,385.75,0,385.75
2008-04-02,410.0,410.0,370.0,371.75,105,385.75
2008-04-03,356.0,370.0,356.0,369.25,95,371.75
2008-04-06,380.0,425.0,375.0,383.75,190,369.25
2008-04-07,420.0,420.0,420.0,420.0,5,383.75
2008-04-08,462.0,493.5,450.0,464.5,230,420.0
2008-04-09,464.5,0.0,0.0,464.5,0,464.5
2008-04-10,510.75,510.75,464.0,473.5,45,464.5
2008-04-13,512.0,512.0,512.0,512.0,15,473.5
2008-04-15,470.0,470.0,470.0,470.0,20,512.0
2008-04-16,470.0,0.0,0.0,470.0,0,470.0
2008-04-17,450.0,470.0,450.0,465.25,65,470.0
2008-04-20,427.0,465.0,427.0,451.25,80,465.25
2008-04-21,433.5,433.75,433.5,433.5,45,451.25
2008-04-22,470.0,490.0,452.0,482.75,65,433.5
2008-04-23,500.0,529.0,490.0,501.0,420,482.75
2008-04-24,480.0,480.0,480.0,480.0,20,501.0
2008-04-27,480.0,510.0,480.0,503.0,65,480.0
2008-04-28,503.0,0.0,0.0,503.0,0,503.0
2008-04-29,480.0,480.0,450.0,465.0,10,503.0
2008-04-30,450.0,450.0,450.0,450.0,20,465.0
2008-05-04,450.0,0.0,0.0,450.0,0,450.0
2008-05-05,440.0,440.0,425.0,437.0,25,450.0
2008-05-06,400.0,400.0,400.0,400.0,10,437.0
2008-05-07,400.0,400.0,375.0,381.25,20,400.0
2008-05-08,400.0,400.0,385.0,392.5,20,381.25
2008-05-11,400.0,400.0,400.0,400.0,25,392.5
2008-05-12,420.0,420.0,390.0,394.25,35,400.0
2008-05-13,394.25,0.0,0.0,394.25,0,394.25
2008-05-14,394.25,0.0,0.0,394.25,0,394.25
2008-05-15,394.25,0.0,0.0,394.25,0,394.25
2008-05-18,394.25,0.0,0.0,394.25,0,394.25
