date,open,high,low,close,volume,prev_closing_price
2010-06-13,200.0,235.0,190.0,207.8,2381200,48.0
2010-06-14,202.0,205.0,190.0,190.3,1154200,207.8
2010-06-15,187.7,189.0,181.2,183.9,516400,190.3
2010-06-16,181.4,181.4,163.0,172.8,695400,183.9
2010-06-17,172.0,195.0,171.1,191.2,490000,172.8
2010-06-20,192.0,196.0,183.1,185.9,466200,191.2
2010-06-21,182.0,186.5,180.4,181.8,317400,185.9
2010-06-22,181.0,185.0,181.0,182.0,257800,181.8
2010-06-23,182.6,184.9,180.0,180.4,212200,182.0
2010-06-24,182.5,182.5,176.0,178.7,202200,180.4
2010-06-27,182.0,182.0,176.0,178.4,150400,178.7
2010-06-28,179.5,179.9,174.4,175.4,241800,178.4
2010-06-29,172.3,175.0,170.8,171.9,302200,175.4
2010-06-30,169.5,172.9,169.1,170.5,245200,171.9
2010-07-04,170.2,170.2,165.0,167.1,226800,170.5
2010-07-05,165.2,178.5,156.0,166.8,871400,167.1
2010-07-06,165.0,172.6,161.0,170.1,1078200,166.8
2010-07-07,172.5,181.0,171.0,179.3,700800,170.1
2010-07-08,181.4,181.5,175.0,177.6,523800,179.3
2010-07-11,175.0,176.8,172.0,172.3,401200,177.6
2010-07-12,173.0,174.0,169.1,170.1,300400,172.3
2010-07-13,170.2,172.9,170.0,170.8,276600,170.1
2010-07-14,171.8,174.9,170.7,171.2,440400,170.8
2010-07-15,171.1,187.8,171.1,183.9,1067000,171.2
2010-07-18,185.0,207.5,185.0,205.9,1879000,183.9
2010-07-19,208.5,214.8,206.1,212.5,1377000,205.9
2010-07-20,214.0,214.5,205.6,207.5,1185600,212.5
2010-07-21,206.0,222.0,205.0,218.6,1917800,207.5
2010-07-22,212.6,229.0,212.6,220.2,1379600,218.6
2010-07-25,225.0,235.0,220.1,226.7,1807400,220.2
2010-07-26,230.0,240.0,228.2,238.9,1533800,226.7
2010-07-27,240.0,244.9,225.0,227.6,2067800,238.9
2010-07-29,222.0,226.0,216.1,220.0,1106800,227.6
2010-08-01,222.0,224.5,214.0,214.7,1297800,220.0
2010-08-02,215.0,227.5,213.0,225.7,961200,214.7
2010-08-03,228.9,232.0,225.0,225.6,1018000,225.7
2010-08-04,226.0,228.0,220.0,221.5,675800,225.6
2010-08-05,222.0,224.0,219.1,220.1,659400,221.5
2010-08-08,221.0,223.9,215.6,216.7,814000,220.1
2010-08-09,216.7,219.0,214.4,215.0,619200,216.7
2010-08-10,218.0,222.9,215.1,216.7,697000,215.0
2010-08-11,218.5,221.0,215.7,216.3,429800,216.7
2010-08-12,216.2,217.0,213.5,214.1,430400,216.3
2010-08-16,213.3,214.0,208.0,209.4,416600,214.1
2010-08-17,210.0,212.0,206.0,206.9,575000,209.4
2010-08-18,207.4,218.0,207.1,215.2,595400,206.9
2010-08-19,215.0,221.0,215.0,215.4,458800,215.2
2010-08-22,215.0,221.0,214.6,218.9,667600,215.4
2010-08-23,220.0,225.0,218.9,222.3,946600,218.9
2010-08-24,225.0,226.0,220.0,221.5,644200,222.3
2010-08-25,218.4,220.5,214.6,215.3,499600,221.5
2010-08-26,218.0,218.8,213.0,214.9,380200,215.3
2010-08-29,213.5,218.0,212.1,213.3,321000,214.9
2010-08-30,214.0,216.9,212.6,213.1,334600,213.3
2010-08-31,212.5,215.0,210.2,213.0,377400,213.1
2010-09-02,214.1,218.0,213.3,216.8,444800,213.0
2010-09-05,215.2,221.0,215.2,218.2,496000,216.8
2010-09-06,216.0,216.0,209.0,214.3,459000,218.2
2010-09-08,216.0,216.0,210.0,210.9,478600,214.3
2010-09-13,209.0,212.6,205.0,211.2,222200,210.9
2010-09-14,211.5,212.0,209.1,209.9,232000,211.2
2010-09-15,212.9,212.9,209.0,209.4,234800,209.9
2010-09-16,208.2,210.0,207.2,207.6,271000,209.4
2010-09-19,206.0,210.0,206.0,206.8,284000,207.6
2010-09-20,209.0,214.9,207.0,212.2,307600,206.8
2010-09-21,211.0,215.9,208.9,209.5,326800,212.2
2010-09-22,209.0,210.0,207.1,207.7,297600,209.5
2010-09-23,208.0,210.0,207.0,207.2,268000,207.7
2010-09-26,210.0,210.0,206.4,206.9,304200,207.2
2010-09-27,207.0,222.4,207.0,219.2,1170800,206.9
2010-09-28,222.0,228.9,211.0,213.9,615000,219.2
2010-09-29,214.0,218.0,210.6,211.9,279400,213.9
2010-09-30,214.4,214.4,208.4,209.2,518200,211.9
2010-10-03,214.0,214.0,209.0,209.8,381600,209.2
2010-10-04,209.1,213.4,209.1,209.8,384000,209.8
2010-10-05,213.0,213.5,207.5,208.2,374400,209.8
2010-10-06,210.0,211.0,207.7,208.3,386600,208.2
2010-10-07,208.1,211.0,207.0,207.6,377200,208.3
2010-10-10,207.1,208.0,201.0,202.2,431400,207.6
2010-10-11,200.2,206.7,200.0,204.3,258600,202.2
2010-10-12,207.0,207.9,203.8,204.0,261200,204.3
2010-10-13,206.0,207.3,204.0,204.2,242800,204.0
2010-10-14,204.0,206.1,202.0,202.5,308400,204.2
2010-10-18,203.0,205.0,201.6,201.9,302400,202.5
2010-10-19,202.8,205.0,200.0,200.8,284200,201.9
2010-10-20,200.1,212.0,200.1,208.6,439400,200.8
2010-10-21,210.0,211.8,205.1,205.8,287800,208.6
2010-10-24,209.9,210.0,204.0,204.5,484400,205.8
2010-10-25,206.0,206.0,202.8,203.0,385200,204.5
2010-10-26,203.2,204.8,201.0,201.3,489200,203.0
2010-10-27,203.9,203.9,200.0,200.4,387600,201.3
2010-10-28,200.0,201.7,196.0,196.8,496400,200.4
2010-10-31,196.0,196.0,190.8,193.5,433200,196.8
2010-10-31,196.0,196.0,190.8,193.5,433200,196.8
2010-11-01,193.2,198.9,192.2,196.0,223000,193.5
2010-11-01,193.2,198.9,192.2,196.0,223000,193.5
2010-11-02,198.0,198.7,193.8,194.0,210200,196.0
2010-11-03,194.1,195.0,191.5,191.9,222600,194.0
2010-11-04,193.0,193.9,191.5,192.4,218400,191.9
2010-11-07,195.0,195.4,191.5,192.0,241600,192.4
2010-11-08,192.2,194.4,188.0,189.3,227800,192.0
2010-11-09,192.0,192.0,186.2,187.6,276400,189.3
2010-11-10,190.0,191.4,187.0,190.1,261200,187.6
2010-11-11,190.0,205.0,190.0,202.0,619200,190.1
2010-11-14,207.0,207.0,201.1,201.4,276200,202.0
2010-11-15,202.0,202.9,197.7,199.0,235000,201.4
2010-11-21,198.5,200.0,195.0,197.9,286800,199.0
2010-11-22,197.0,204.5,195.3,202.9,421600,197.9
2010-11-23,204.9,209.0,202.0,205.5,645200,202.9
2010-11-24,209.0,210.0,201.2,202.7,476000,205.5
2010-11-25,207.0,207.0,199.0,199.8,289600,202.7
2010-11-28,200.0,200.9,195.0,195.3,256000,199.8
2010-11-29,194.8,196.8,193.0,193.2,224200,195.3
2010-11-30,192.3,195.0,192.3,193.6,172200,193.2
2010-12-01,195.0,199.2,193.8,194.3,222400,193.6
2010-12-02,198.8,199.0,192.0,192.6,380800,194.3
