date,open,high,low,close,volume,prev_closing_price
2008-03-06,388.0,390.0,362.0,371.6,4400,385.8
2008-03-09,360.0,380.0,360.0,366.7,3900,371.6
2008-03-09,360.0,380.0,360.0,366.7,3900,371.6
2008-03-10,361.2,380.0,361.2,372.6,1400,366.7
2008-03-11,390.0,390.0,368.4,375.8,2550,372.6
2008-03-12,385.9,391.0,373.1,381.8,3200,375.8
2008-03-13,365.0,390.0,365.0,382.0,2000,381.8
2008-03-16,387.0,420.0,387.0,401.6,9700,382.0
2008-03-17,399.9,410.0,390.0,397.5,3800,401.6
2008-03-18,392.2,429.0,392.2,412.9,10600,397.5
2008-03-19,412.0,412.0,390.0,398.7,3750,412.9
2008-03-20,403.0,410.0,388.0,388.9,5400,398.7
2008-03-23,385.0,399.0,383.0,386.3,1400,388.9
2008-03-24,378.0,381.5,375.0,379.1,1400,386.3
2008-03-25,370.0,399.0,370.0,0.0,2400,379.1
2008-03-30,395.0,417.9,390.0,405.6,5050,391.1
2008-03-31,405.0,405.0,394.0,396.5,5500,405.6
2008-04-01,388.0,405.0,388.0,391.7,3050,396.5
2008-04-02,407.9,407.9,385.0,389.9,5200,391.7
2008-04-03,399.0,399.0,380.1,386.8,1600,389.9
2008-04-06,400.0,401.0,391.2,395.4,6000,386.8
2008-04-07,400.0,403.0,388.0,390.0,7700,395.4
2008-04-08,399.0,399.0,390.0,395.8,5250,390.0
2008-04-09,382.5,400.0,382.5,388.7,3100,395.8
2008-04-10,398.0,398.0,374.1,378.0,4050,388.7
2008-04-13,399.0,399.9,380.3,381.5,7350,378.0
2008-04-15,381.5,0.0,0.0,381.5,0,381.5
2008-04-16,399.9,437.0,370.0,428.7,22400,381.5
2008-04-17,415.0,426.0,390.0,395.0,10800,428.7
2008-04-20,401.0,408.9,395.0,398.9,3900,395.0
2008-04-21,392.5,394.2,381.2,383.0,4150,398.9
2008-04-22,390.0,390.0,383.1,384.7,2850,383.0
2008-04-23,390.1,395.0,380.1,380.7,6950,384.7
2008-04-24,390.0,399.9,379.1,391.9,5500,380.7
2008-04-27,391.0,395.5,380.0,382.5,3850,391.9
2008-04-28,380.5,380.5,365.0,371.2,2350,382.5
2008-04-29,367.0,371.1,352.5,360.4,3000,371.2
2008-04-30,352.0,378.0,352.0,358.7,1100,360.4
2008-05-04,354.2,354.3,351.0,352.6,2750,358.7
2008-05-05,350.4,355.0,350.4,353.9,900,352.6
2008-05-06,354.0,366.8,354.0,356.7,2050,353.9
2008-05-07,360.0,362.0,357.8,358.7,1150,356.7
2008-05-08,360.0,363.5,359.0,360.8,1300,358.7
2008-05-11,362.8,387.0,362.8,378.6,7900,360.8
2008-05-12,379.0,379.5,367.5,367.8,3150,378.6
2008-05-13,379.0,380.0,367.0,369.6,2700,367.8
2008-05-14,375.0,375.0,368.0,369.2,3050,369.6
2008-05-15,375.0,380.0,375.0,377.6,11450,369.2
2008-05-18,384.9,391.0,380.0,389.1,8800,377.6
2008-05-20,397.0,425.0,394.5,419.4,13200,389.1
2008-05-21,421.0,492.7,421.0,488.3,27650,419.4
2008-05-22,464.0,505.0,461.0,466.7,11550,488.3
2008-05-25,485.0,541.5,485.0,541.5,19350,466.7
2008-05-26,550.0,620.0,540.0,566.5,16850,541.5
2008-05-27,594.0,595.0,491.0,504.0,8300,566.5
2008-05-28,510.0,579.5,505.0,577.5,18400,504.0
2008-05-29,561.0,597.0,533.0,554.7,13050,577.5
2008-06-01,533.0,560.0,532.0,536.7,4050,554.7
2008-06-02,531.0,555.0,525.0,537.2,4450,536.7
2008-06-03,535.2,545.0,527.0,539.5,4550,537.2
2008-06-04,550.0,550.0,519.0,524.7,2350,539.5
2008-06-05,533.0,534.0,526.0,529.8,2750,524.7
2008-06-08,539.0,550.0,526.1,540.4,4000,529.8
2008-06-09,545.0,550.0,523.0,525.5,6300,540.4
2008-06-10,522.0,535.0,515.0,521.9,3200,525.5
2008-06-11,502.0,510.0,480.0,503.3,2300,521.9
2008-06-12,505.0,505.0,490.0,495.1,900,503.3
2008-06-15,500.1,500.1,470.5,493.3,1100,495.1
2008-06-16,457.0,480.0,457.0,467.8,550,493.3
2008-06-17,499.0,509.0,482.0,495.9,1700,467.8
2008-06-18,509.0,509.0,500.0,503.0,450,495.9
2008-06-19,519.0,519.0,492.0,499.4,250,503.0
2008-06-22,487.0,490.0,487.0,488.5,100,499.4
2008-06-23,475.0,486.0,470.0,477.0,900,488.5
2008-06-24,500.0,510.0,491.0,501.5,1750,477.0
2008-06-25,504.0,520.9,504.0,516.1,3950,501.5
2008-06-26,523.0,523.0,508.0,511.2,1250,516.1
2008-06-29,503.1,504.0,500.0,502.2,850,511.2
2008-06-30,520.0,530.0,514.0,519.4,3350,502.2
2008-07-02,525.0,540.0,520.0,534.3,3300,519.4
2008-07-03,540.0,545.0,511.0,527.0,750,534.3
2008-07-06,531.9,531.9,500.0,504.6,1550,527.0
2008-07-07,505.0,510.0,495.0,501.6,2850,504.6
2008-07-08,507.9,527.9,500.0,509.9,5400,501.6
2008-07-08,507.9,527.9,500.0,509.9,5400,501.6
2008-07-09,528.0,528.0,495.0,503.3,1950,509.9
2008-07-10,510.0,510.0,506.6,509.1,550,503.3
2008-07-13,505.0,515.0,501.0,507.5,3450,509.1
2008-07-14,509.0,569.0,509.0,560.0,9200,507.5
2008-07-15,570.0,580.0,540.2,554.8,6150,560.0
2008-07-16,569.0,569.0,530.0,533.8,2900,554.8
2008-07-17,545.0,550.0,506.0,515.1,4250,533.8
2008-07-20,510.0,515.0,501.0,505.5,4400,515.1
2008-07-21,525.0,525.0,485.0,491.4,9000,505.5
2008-07-22,490.0,493.5,465.0,474.4,4250,491.4
2008-07-23,484.0,484.0,454.0,463.8,1900,474.4
2008-07-24,490.0,509.0,480.0,502.5,5250,463.8
2008-07-27,500.0,530.0,498.0,505.2,6050,502.5
2008-07-28,505.0,505.0,485.5,488.6,2850,505.2
2008-07-29,480.0,494.0,480.0,480.8,4400,488.6
2008-07-30,480.3,480.3,470.0,471.1,2450,480.8
2008-07-31,470.0,479.0,460.0,465.3,2100,471.1
2008-08-03,465.0,487.0,464.5,466.7,2900,465.3
2008-08-04,451.0,464.0,440.0,448.6,2350,466.7
2008-08-05,469.0,485.0,455.0,455.9,2150,448.6
2008-08-06,479.0,479.0,461.0,470.7,1100,455.9
2008-08-07,470.0,470.0,457.5,458.6,3700,470.7
2008-08-10,446.0,450.0,443.5,444.3,2500,458.6
2008-08-11,445.0,450.0,405.1,433.6,2000,444.3
2008-08-12,459.0,460.0,444.0,452.3,650,433.6
2008-08-13,441.5,463.0,441.5,444.6,1300,452.3
2008-08-14,458.0,458.0,445.5,452.9,250,444.6
2008-08-18,442.2,465.0,442.2,447.5,1400,452.9
2008-08-19,450.1,459.0,443.0,449.8,4750,447.5
2008-08-20,446.0,460.0,446.0,453.9,3500,449.8
2008-08-21,470.0,489.0,470.0,473.8,1150,453.9
2008-08-25,468.0,470.0,460.0,467.7,2400,473.8
2008-08-26,460.3,483.0,460.3,477.2,3500,467.7
2008-08-27,475.0,475.0,461.6,469.9,1700,477.2
2008-08-28,480.0,480.0,462.5,464.2,1500,469.9
2008-08-31,464.2,0.0,0.0,464.2,0,464.2
2008-09-01,456.5,460.5,456.5,459.4,850,464.2
2008-09-02,453.5,455.0,453.5,454.5,250,459.4
2008-09-03,465.1,470.0,465.1,466.3,1550,454.5
2008-09-04,460.0,460.0,456.3,459.2,250,466.3
2008-09-07,448.0,452.1,448.0,450.9,450,459.2
2008-09-08,460.0,460.0,451.1,457.4,1400,450.9
2008-09-09,441.0,465.0,441.0,456.8,1400,457.4
2008-09-10,453.2,470.0,453.2,463.0,1400,456.8
2008-09-11,474.5,477.0,462.2,468.6,1150,463.0
2008-09-14,472.0,472.0,460.0,467.0,250,468.6
2008-09-15,462.1,465.0,452.2,459.3,2350,467.0
2008-09-16,451.3,463.9,451.3,459.7,1650,459.3
2008-09-17,455.0,470.0,455.0,463.0,2100,459.7
2008-09-18,478.0,478.0,466.0,472.6,1550,463.0
2008-09-21,460.0,479.0,460.0,471.4,750,472.6
2008-09-22,470.0,485.0,462.0,480.8,1800,471.4
2008-09-23,462.1,469.0,461.0,465.0,850,480.8
2008-09-24,465.0,498.0,465.0,495.7,3650,465.0
2008-09-25,500.0,515.0,500.0,506.7,4550,495.7
2008-10-05,510.0,520.0,498.0,512.4,850,506.7
2008-10-06,486.0,491.0,483.0,486.6,700,512.4
2008-10-07,481.2,500.0,480.0,480.4,2000,486.6
2008-10-08,475.1,485.0,475.1,481.0,1400,480.4
2008-10-12,456.0,480.0,450.0,461.0,2450,481.0
2008-10-13,448.0,488.0,448.0,460.4,1000,461.0
2008-10-14,464.1,471.0,464.1,468.8,550,460.4
2008-10-15,461.1,465.0,461.1,461.8,250,468.8
2008-10-16,463.2,477.0,463.2,464.8,4100,461.8
2008-10-19,469.0,469.0,457.0,465.0,950,464.8
2008-10-20,456.0,469.0,456.0,461.4,1400,465.0
2008-10-21,430.0,460.0,430.0,454.5,350,461.4
2008-10-22,441.1,451.5,441.1,451.5,1450,454.5
2008-10-23,450.1,460.0,450.1,455.0,1700,451.5
2008-10-26,455.0,0.0,0.0,455.0,0,455.0
2008-10-27,446.0,455.0,440.1,446.1,2100,455.0
2008-10-28,440.0,440.0,425.0,429.0,400,446.1
2008-10-29,432.0,458.0,430.0,434.5,500,429.0
2008-10-30,436.5,436.5,433.0,434.8,200,434.5
2008-11-02,416.0,425.0,416.0,420.9,1100,434.8
2008-11-03,425.0,425.0,420.5,421.6,900,420.9
2008-11-04,440.0,440.0,440.0,440.0,100,421.6
2008-11-05,441.0,441.0,425.1,434.0,450,440.0
2008-11-06,425.0,425.0,421.1,423.2,500,434.0
2008-11-09,423.2,0.0,0.0,423.2,0,423.2
2008-11-10,423.2,0.0,0.0,423.2,0,423.2
2008-11-11,412.0,424.1,412.0,420.9,350,423.2
2008-11-12,440.0,440.0,426.0,428.5,300,420.9
2008-11-13,440.0,442.5,440.0,441.2,100,428.5
2008-11-16,441.2,0.0,0.0,441.2,0,441.2
2008-11-17,430.0,435.0,425.0,429.3,400,441.2
2008-11-18,421.0,421.0,421.0,421.0,150,429.3
2008-11-19,421.0,423.0,421.0,421.2,350,421.0
2008-11-20,400.0,400.0,400.0,400.0,50,421.2
2008-11-23,410.0,410.0,410.0,410.0,50,400.0
2008-11-24,435.0,435.0,435.0,435.0,50,410.0
2008-11-25,435.0,0.0,0.0,435.0,0,435.0
2008-11-26,426.0,426.0,425.0,425.3,200,435.0
2008-11-27,421.0,422.5,421.0,422.4,2250,425.3
2008-11-30,422.0,424.0,422.0,422.9,950,422.4
2008-12-01,430.0,430.0,430.0,430.0,100,422.9
2008-12-02,430.0,0.0,0.0,430.0,0,430.0
2008-12-03,430.0,0.0,0.0,430.0,0,430.0
2008-12-04,440.0,442.2,440.0,441.3,250,430.0
2008-12-14,430.0,430.0,430.0,430.0,50,441.3
2008-12-15,430.0,460.0,430.0,440.9,1950,430.0
2008-12-17,440.9,0.0,0.0,440.9,0,440.9
2008-12-18,440.9,0.0,0.0,440.9,0,440.9
2008-12-21,440.9,0.0,0.0,440.9,0,440.9
2008-12-22,411.0,449.0,411.0,435.0,200,440.9
2008-12-23,433.1,433.1,433.1,433.1,50,435.0
2008-12-24,468.0,468.0,468.0,468.0,50,433.1
2008-12-28,478.0,478.0,478.0,478.0,50,468.0
2008-12-30,443.0,443.0,443.0,443.0,50,478.0
2009-01-01,453.0,453.0,453.0,453.0,150,443.0
2009-01-04,469.9,473.0,469.9,470.5,250,453.0
2009-01-05,460.0,460.0,456.0,457.0,200,470.5
2009-01-06,460.0,461.0,460.0,460.2,250,457.0
2009-01-07,452.0,452.0,452.0,452.0,750,460.2
2009-01-11,456.0,456.2,456.0,456.0,250,452.0
2009-01-12,478.0,478.0,478.0,478.0,50,456.0
2009-01-13,455.0,456.5,455.0,455.2,300,478.0
2009-01-14,450.0,451.1,450.0,450.3,150,455.2
2009-01-15,445.5,451.1,445.5,448.8,250,450.3
2009-01-18,448.8,0.0,0.0,448.8,0,448.8
2009-01-19,437.5,442.0,437.5,441.6,1300,448.8
2009-01-20,443.2,450.0,443.2,444.3,600,441.6
2009-01-21,460.0,460.0,450.1,459.5,1700,444.3
2009-01-22,465.0,465.0,454.1,455.6,350,459.5
2009-01-25,456.0,456.0,456.0,456.0,50,455.6
2009-01-26,460.0,475.0,460.0,468.7,1650,456.0
2009-01-27,468.7,0.0,0.0,468.7,0,468.7
2009-01-28,465.0,465.0,455.0,458.3,200,468.7
2009-01-29,455.2,478.0,455.2,466.1,900,458.3
2009-02-01,448.6,448.6,448.6,448.6,50,466.1
2009-02-02,457.2,458.1,457.0,457.9,2200,448.6
2009-02-03,460.3,460.3,460.0,460.1,600,457.9
2009-02-04,464.1,470.0,464.1,468.0,500,460.1
2009-02-05,461.0,473.0,460.1,462.8,450,468.0
2009-02-08,469.5,470.0,465.0,469.1,650,462.8
2009-02-09,455.0,455.0,446.0,452.3,1350,469.1
2009-02-10,452.3,0.0,0.0,452.3,0,452.3
2009-02-11,445.0,454.0,445.0,446.2,750,452.3
2009-02-12,475.0,475.0,475.0,475.0,50,446.2
2009-02-15,456.0,459.1,456.0,456.8,800,475.0
2009-02-16,450.0,450.0,450.0,450.0,150,456.8
2009-02-17,470.0,476.0,460.0,469.8,800,450.0
2009-02-18,489.0,489.0,468.5,477.8,1300,469.8
2009-02-19,484.0,525.0,484.0,507.1,6400,477.8
2009-02-22,495.0,535.0,495.0,528.0,3550,507.1
2009-02-23,500.1,500.1,500.0,500.0,550,528.0
2009-02-24,470.4,498.0,470.4,480.7,450,500.0
2009-02-25,480.0,488.0,472.0,475.6,2050,480.7
2009-02-26,474.1,474.1,473.2,473.6,100,475.6
2009-03-01,489.9,489.9,482.6,488.1,650,473.6
2009-03-02,462.2,487.0,462.2,472.2,1150,488.1
2009-03-03,489.0,510.0,477.0,483.9,4150,472.2
2009-03-04,502.5,503.0,491.0,498.8,150,483.9
2009-03-05,479.0,492.0,479.0,485.5,1200,498.8
2009-03-08,491.0,494.5,487.3,489.7,850,485.5
2009-03-09,489.0,500.0,478.0,493.1,1500,489.7
2009-03-11,500.0,520.0,490.0,504.1,3100,493.1
2009-03-12,483.5,507.0,483.5,494.4,1750,504.1
2009-03-15,500.0,508.0,491.0,499.3,1450,494.4
2009-03-16,495.0,518.0,495.0,511.3,1800,499.3
2009-03-17,510.0,510.0,487.0,501.1,800,511.3
2009-03-18,486.0,504.0,486.0,494.7,750,501.1
2009-03-19,495.0,501.0,491.2,497.4,1000,494.7
2009-03-22,486.5,500.0,486.5,489.7,500,497.4
2009-03-23,495.0,495.0,492.9,493.4,700,489.7
2009-03-24,486.0,491.9,473.0,484.2,950,493.4
2009-03-25,468.3,468.4,468.3,468.3,1100,484.2
2009-03-29,479.9,479.9,475.0,476.6,150,468.3
2009-03-30,497.9,530.0,480.0,494.7,3350,476.6
2009-03-31,528.0,528.0,490.1,493.3,1500,494.7
2009-04-01,498.0,498.0,484.6,487.5,3150,493.3
2009-04-02,497.9,497.9,491.0,494.6,2400,487.5
2009-04-05,496.8,496.8,472.5,481.8,2400,494.6
2009-04-06,489.0,493.0,483.5,490.0,1050,481.8
2009-04-07,498.0,498.0,489.0,492.8,1300,490.0
2009-04-08,500.0,500.0,492.1,495.8,1650,492.8
2009-04-09,490.0,498.0,490.0,495.6,1300,495.8
2009-04-12,509.0,509.0,492.1,496.8,1750,495.6
2009-04-13,498.4,515.0,498.4,506.9,4850,496.8
2009-04-15,461.0,510.0,461.0,482.0,350,506.9
2009-04-16,500.0,500.0,490.1,497.8,2450,482.0
2009-04-19,496.0,518.0,496.0,503.2,1500,497.8
2009-04-20,503.2,0.0,0.0,503.2,0,503.2
2009-04-21,450.0,491.0,450.0,467.4,900,503.2
2009-04-22,448.2,448.2,448.2,448.2,250,467.4
2009-04-23,447.0,460.0,446.0,449.7,500,448.2
2009-04-26,445.0,455.0,445.0,449.1,700,449.7
2009-04-27,450.0,451.0,450.0,450.7,200,449.1
2009-04-28,428.0,460.0,428.0,454.3,600,450.7
2009-04-29,450.0,450.0,445.0,448.3,150,454.3
2009-04-30,445.5,450.0,442.1,445.2,1000,448.3
2009-05-03,441.0,441.0,441.0,441.0,50,445.2
2009-05-04,444.0,444.0,441.2,443.1,450,441.0
2009-05-05,440.1,461.0,440.1,441.7,800,443.1
2009-05-06,444.0,444.0,440.0,441.3,1450,441.7
2009-05-07,441.3,0.0,0.0,441.3,0,441.3
2009-05-10,447.0,475.0,447.0,456.6,150,441.3
2009-05-11,455.0,455.0,452.0,452.8,900,456.6
2009-05-12,450.0,450.0,450.0,450.0,300,452.8
2009-05-13,456.0,462.0,456.0,458.7,800,450.0
2009-05-14,465.0,465.5,452.0,461.6,850,458.7
2009-05-17,451.0,451.0,451.0,451.0,100,461.6
2009-05-18,450.0,451.0,450.0,450.2,1450,451.0
2009-05-19,450.2,453.0,450.2,451.1,150,450.2
2009-05-20,452.0,465.0,452.0,458.7,400,451.1
2009-05-21,455.0,455.1,454.0,454.7,950,458.7
2009-05-24,455.0,455.0,452.1,453.5,300,454.7
2009-05-25,456.0,456.0,450.0,451.3,4350,453.5
2009-05-26,450.0,450.0,450.0,450.0,800,451.3
2009-05-27,448.2,450.0,448.2,449.3,1100,450.0
2009-05-28,445.5,458.0,445.5,451.7,100,449.3
2009-05-31,451.0,455.1,451.0,453.0,400,451.7
2009-06-01,454.0,460.0,454.0,459.6,950,453.0
2009-06-02,457.0,461.2,457.0,460.4,1100,459.6
2009-06-03,460.0,484.0,460.0,477.9,600,460.4
2009-06-04,479.0,496.0,479.0,491.5,1000,477.9
2009-06-07,479.0,479.0,479.0,479.0,100,491.5
2009-06-08,490.0,490.0,460.0,477.2,1900,479.0
2009-06-09,488.0,488.0,472.1,477.2,450,477.2
2009-06-10,490.0,490.0,490.0,490.0,100,477.2
2009-06-11,468.0,468.0,468.0,468.0,50,490.0
2009-06-14,461.0,461.0,461.0,461.0,50,468.0
2009-06-15,466.5,468.0,466.5,467.0,3050,461.0
2009-06-16,466.0,466.0,466.0,466.0,200,467.0
2009-06-17,473.1,473.1,470.0,470.6,250,466.0
2009-06-18,470.0,530.0,470.0,498.2,6550,470.6
2009-06-21,530.0,534.0,500.0,511.5,2400,498.2
2009-06-22,499.0,520.0,499.0,508.1,1350,511.5
2009-06-23,492.0,492.0,492.0,492.0,50,508.1
2009-06-24,515.0,516.0,507.1,510.7,1100,492.0
2009-06-25,492.0,512.0,492.0,503.7,250,510.7
2009-06-28,512.0,512.0,500.0,505.2,500,503.7
2009-06-29,508.0,508.0,505.0,507.4,850,505.2
2009-06-30,502.0,514.0,502.0,506.3,300,507.4
2009-07-02,509.0,509.0,509.0,509.0,150,506.3
2009-07-05,478.0,515.0,478.0,500.2,250,509.0
2009-07-06,519.0,519.0,519.0,519.0,50,500.2
2009-07-07,520.0,540.0,520.0,538.9,3700,519.0
2009-07-08,530.1,540.0,490.0,527.8,2000,538.9
2009-07-09,530.0,538.0,530.0,536.7,550,527.8
2009-07-12,538.0,538.0,536.0,536.6,300,536.7
2009-07-13,538.0,538.0,530.0,534.0,200,536.6
2009-07-14,533.0,536.0,500.1,528.8,350,534.0
2009-07-15,528.8,0.0,0.0,528.8,0,528.8
2009-07-16,520.0,540.0,520.0,536.2,2900,528.8
2009-07-19,540.0,545.0,525.0,537.8,4600,536.2
2009-07-20,537.0,537.0,537.0,537.0,200,537.8
2009-07-21,537.0,0.0,0.0,537.0,0,537.0
