date,open,high,low,close,volume,prev_closing_price
2008-03-06,562.0,630.0,562.0,613.0,3250,599.75
2008-03-09,580.0,586.0,580.0,584.25,1050,613.0
2008-03-09,580.0,586.0,580.0,584.25,1050,613.0
2008-03-10,556.0,600.0,556.0,582.25,1850,584.25
2008-03-11,596.0,605.0,580.0,594.25,1400,582.25
2008-03-12,600.0,600.0,600.0,600.0,100,594.25
2008-03-13,590.0,590.0,573.0,581.0,300,600.0
2008-03-16,575.25,575.25,569.0,573.5,200,581.0
2008-03-17,537.0,570.0,537.0,558.0,500,573.5
2008-03-18,580.0,580.0,570.0,574.75,300,558.0
2008-03-19,550.0,560.0,550.0,551.75,700,574.75
2008-03-20,577.0,578.0,575.0,576.25,250,551.75
2008-03-23,520.0,579.75,520.0,545.75,500,576.25
2008-03-24,545.75,0.0,0.0,545.75,0,545.75
2008-03-25,570.0,570.0,570.0,570.0,100,545.75
2008-03-30,535.75,608.0,535.75,597.75,1600,570.0
2008-03-31,597.75,0.0,0.0,597.75,0,597.75
2008-04-01,561.0,589.0,561.0,577.75,1150,597.75
2008-04-02,575.0,600.0,575.0,596.0,3650,577.75
2008-04-03,627.25,627.25,600.0,613.0,2100,596.0
2008-04-06,620.0,640.0,610.0,625.25,1600,613.0
2008-04-07,630.0,650.0,601.25,645.25,4700,625.25
2008-04-08,665.0,740.0,660.0,723.75,6100,645.25
2008-04-09,779.0,831.75,779.0,831.5,4500,723.75
2008-04-10,875.0,925.0,842.5,913.25,10550,831.5
2008-04-13,905.0,1038.25,905.0,1028.0,4050,913.25
2008-04-15,1030.0,1030.0,920.0,970.25,4750,1028.0
2008-04-16,950.0,987.75,912.0,933.0,2200,970.25
2008-04-17,930.0,930.0,840.0,852.0,3500,933.0
2008-04-20,850.0,860.0,830.0,834.25,3000,852.0
2008-04-21,815.0,900.0,815.0,875.25,2800,834.25
2008-04-22,860.0,860.0,835.0,843.0,1750,875.25
2008-04-23,850.0,850.0,832.0,846.0,1150,843.0
2008-04-24,820.0,884.75,820.0,869.5,2150,846.0
2008-04-27,862.0,870.0,845.0,853.5,3400,869.5
2008-04-28,852.0,864.0,846.5,854.0,1550,853.5
2008-04-29,850.0,850.0,830.0,844.75,650,854.0
2008-04-30,821.0,825.0,775.0,817.5,950,844.75
2008-05-04,815.0,815.0,753.0,787.5,1050,817.5
2008-05-05,716.0,720.0,655.0,692.25,300,787.5
2008-05-06,750.0,780.0,749.0,770.5,2150,692.25
2008-05-07,780.0,780.0,745.0,761.25,750,770.5
2008-05-08,726.0,769.0,725.0,746.75,500,761.25
2008-05-11,788.0,789.0,755.0,770.0,1350,746.75
2008-05-12,770.0,820.0,770.0,808.0,1850,770.0
2008-05-13,835.0,835.0,805.25,811.75,2400,808.0
2008-05-14,815.0,816.0,805.0,813.75,1050,811.75
2008-05-15,812.0,850.0,810.0,823.25,1700,813.75
2008-05-18,850.0,850.0,821.0,843.75,400,823.25
2008-05-20,870.0,920.0,870.0,918.5,4000,843.75
2008-05-21,950.0,950.0,915.0,915.25,3850,918.5
2008-05-22,915.25,0.0,0.0,915.25,0,915.25
2008-05-25,950.0,1000.0,913.0,939.25,3350,915.25
2008-05-26,998.75,1000.0,960.0,988.25,3150,939.25
2008-05-27,915.0,915.0,880.0,897.25,650,988.25
2008-05-28,919.0,919.0,866.0,880.5,450,897.25
2008-05-29,850.0,880.0,850.0,862.5,200,880.5
2008-06-01,860.0,870.0,845.0,855.0,1450,862.5
2008-06-02,889.0,950.0,889.0,937.5,4300,855.0
2008-06-03,980.0,999.0,920.0,961.25,3350,937.5
2008-06-04,960.0,970.0,942.0,957.25,2450,961.25
2008-06-05,958.0,1082.25,958.0,1082.0,13700,957.25
2008-06-08,1163.0,1217.25,1163.0,1217.25,5400,1082.0
2008-06-09,1247.0,1297.75,1190.0,1231.5,13100,1217.25
2008-06-10,1299.0,1340.0,1240.0,1243.75,9250,1231.5
2008-06-11,1220.0,1220.0,1112.0,1141.75,4650,1243.75
2008-06-12,1170.0,1250.0,1170.0,1232.25,5700,1141.75
2008-06-15,1179.0,1179.0,1095.0,1147.0,1050,1232.25
2008-06-16,1070.0,1220.0,1069.0,0.0,3200,1147.0
2008-06-17,1236.0,1284.0,1200.0,1246.25,9650,1180.25
2008-06-18,1298.0,1350.0,1285.0,0.0,6900,1246.25
2008-06-19,1360.0,1385.0,1332.0,1351.5,4650,1345.5
2008-06-22,1310.25,1333.0,1250.0,0.0,1650,1351.5
2008-06-23,1265.0,1286.0,1255.0,0.0,1400,1268.25
2008-06-24,1295.0,1317.5,1270.25,1295.25,7800,1276.0
2008-06-25,1325.0,1325.0,1260.0,1277.5,2550,1295.25
2008-06-26,1257.0,1300.0,1257.0,1270.25,6000,1277.5
2008-06-29,1280.0,1280.0,1236.25,1255.75,2600,1270.25
2008-06-30,1250.0,1252.0,1164.0,1178.0,2100,1255.75
