date,open,high,low,close,volume,prev_closing_price
2008-03-06,9198.0,9399.0,8510.0,8716.75,400,9096.25
2008-03-09,8700.0,9100.0,8451.0,8947.25,490,8716.75
2008-03-09,8700.0,9100.0,8451.0,8947.25,490,8716.75
2008-03-10,8605.0,8999.75,8600.0,8796.0,240,8947.25
2008-03-11,8710.0,8710.0,8555.0,8628.5,185,8796.0
2008-03-12,8570.0,8680.0,8513.0,8597.0,800,8628.5
2008-03-13,8510.0,8510.0,8315.0,8427.0,175,8597.0
2008-03-16,8500.0,8848.0,8422.0,8639.25,165,8427.0
2008-03-17,8600.0,8611.0,8316.0,8424.5,105,8639.25
2008-03-18,8690.0,8700.0,8540.0,8616.25,160,8424.5
2008-03-19,8740.0,8750.0,8620.0,8684.75,150,8616.25
2008-03-20,8880.0,9280.0,8880.0,9195.75,865,8684.75
2008-03-23,9300.0,9600.0,9153.0,9305.75,1105,9195.75
2008-03-24,9540.0,9540.0,9002.0,9063.0,410,9305.75
2008-03-25,9025.0,9250.0,9020.0,9174.25,250,9063.0
2008-03-30,9299.0,9299.0,8924.0,8993.25,565,9174.25
2008-03-31,8852.0,9150.0,8852.0,8982.25,200,8993.25
2008-04-01,9070.0,9070.0,8860.0,8949.75,295,8982.25
2008-04-02,9100.0,9135.0,8961.0,9037.5,410,8949.75
2008-04-03,9099.0,9099.0,8965.0,9047.0,225,9037.5
2008-04-06,9000.0,9000.0,8821.0,8930.0,110,9047.0
2008-04-07,8810.0,8840.0,8700.0,8713.0,200,8930.0
2008-04-08,8995.0,9099.0,8818.0,8855.0,360,8713.0
2008-04-09,8830.0,9399.75,8830.0,9171.75,535,8855.0
2008-04-10,9190.0,9200.0,8950.0,9086.75,200,9171.75
2008-04-13,9345.0,9345.0,9060.0,9190.75,105,9086.75
2008-04-15,8744.0,9599.75,8743.0,9310.5,955,9190.75
2008-04-16,9700.0,9800.0,9320.0,9583.0,795,9310.5
2008-04-17,9700.0,10150.0,9555.0,10126.75,1300,9583.0
2008-04-20,10490.0,10726.25,10352.0,10716.5,1345,10126.75
2008-04-21,11199.75,11301.25,11105.0,11300.75,1610,10716.5
2008-04-22,11000.0,11900.0,11000.0,11870.0,720,11300.75
2008-04-23,10738.0,10738.0,6500.0,8850.75,1375,11870.0
2008-04-24,8850.75,9400.0,8850.75,9044.5,430,8850.75
2008-04-27,9000.0,9040.0,8930.0,8931.0,675,9044.5
2008-04-28,8800.0,8880.0,8710.0,8716.5,420,8931.0
2008-04-29,8985.0,8985.0,8720.0,8775.0,250,8716.5
2008-04-30,8805.0,8899.0,8805.0,8848.0,415,8775.0
2008-05-04,9200.0,9390.0,9000.0,9342.0,355,8848.0
2008-05-05,9300.0,9630.0,9003.0,9535.25,645,9342.0
2008-05-06,9635.0,10100.0,9635.0,9805.75,430,9535.25
2008-05-07,9900.0,10100.0,9700.0,9872.75,395,9805.75
2008-05-08,9802.0,10000.0,9660.0,9784.0,310,9872.75
2008-05-11,9780.0,9940.0,9647.0,9808.5,650,9784.0
2008-05-12,9990.0,9999.0,9750.0,9958.0,185,9808.5
2008-05-13,9999.0,10555.0,9900.0,10023.75,630,9958.0
2008-05-14,10050.0,10300.0,9901.0,10040.5,360,10023.75
2008-05-15,10040.5,0.0,0.0,10040.5,0,10040.5
2008-05-18,8500.0,8849.0,8300.0,8548.25,445,10040.5
2008-05-20,8600.0,9005.0,8600.0,8682.75,350,8548.25
2008-05-21,8600.0,8749.0,8500.0,8607.5,260,8682.75
2008-05-22,8742.0,8742.0,8401.0,8421.0,615,8607.5
2008-05-25,8400.0,8550.0,8400.0,8430.75,680,8421.0
2008-05-26,8490.0,8499.0,8260.0,8351.75,220,8430.75
2008-05-27,8399.0,8400.0,8140.0,8220.0,450,8351.75
2008-05-28,8310.0,8400.0,8280.0,8361.0,265,8220.0
2008-05-29,8450.0,8450.0,8110.0,8133.25,685,8361.0
2008-06-01,8115.0,8299.0,8115.0,8130.5,285,8133.25
