date,open,high,low,close,volume,prev_closing_price
2008-03-06,396.5,396.5,350.0,354.25,905,364.5
2008-03-09,350.0,379.0,340.0,354.25,1020,354.25
2008-03-09,350.0,379.0,340.0,354.25,1020,354.25
2008-03-10,378.0,378.0,355.0,359.0,205,354.25
2008-03-11,350.0,421.5,350.0,408.5,2320,359.0
2008-03-12,399.0,399.0,370.0,380.5,260,408.5
2008-03-13,398.0,399.75,372.0,377.25,775,380.5
2008-03-16,414.0,414.0,391.0,400.75,720,377.25
2008-03-17,414.0,430.0,390.0,399.75,510,400.75
2008-03-18,404.0,458.75,400.0,423.75,3485,399.75
2008-03-19,450.0,497.75,450.0,497.5,1300,423.75
2008-03-20,544.0,572.5,544.0,571.5,1645,497.5
2008-03-23,600.0,657.0,530.0,543.75,2035,571.5
2008-03-24,565.0,625.0,565.0,613.0,1285,543.75
2008-03-25,625.0,704.75,605.0,0.0,1570,613.0
2008-03-30,750.0,799.75,631.0,705.5,1185,704.25
2008-03-31,705.0,708.0,652.0,698.75,790,705.5
2008-04-01,650.0,680.0,635.0,652.0,265,698.75
2008-04-02,640.0,650.0,570.0,622.25,335,652.0
2008-04-03,580.5,590.0,550.0,573.75,160,622.25
2008-04-06,585.0,640.0,580.0,596.0,1395,573.75
2008-04-07,600.0,610.0,580.0,593.75,395,596.0
2008-04-08,560.0,600.0,540.0,547.5,575,593.75
2008-04-09,517.0,560.0,515.0,535.0,540,547.5
2008-04-10,501.0,579.0,501.0,550.75,350,535.0
2008-04-13,556.0,570.0,540.0,558.75,485,550.75
2008-04-15,600.0,614.0,565.0,586.0,150,558.75
2008-04-16,571.0,599.0,571.0,580.75,160,586.0
2008-04-17,553.0,553.0,551.0,551.75,50,580.75
2008-04-20,541.0,541.0,530.0,534.5,250,551.75
2008-04-21,530.0,535.0,529.25,533.5,260,534.5
2008-04-22,530.0,610.0,530.0,595.0,835,533.5
2008-04-23,581.0,581.0,540.0,570.0,140,595.0
2008-04-24,577.0,577.0,521.0,532.0,1225,570.0
2008-04-27,533.0,540.0,530.0,533.25,630,532.0
2008-04-28,550.0,550.0,530.0,535.25,240,533.25
2008-04-29,530.0,540.0,525.5,532.25,445,535.25
2008-04-30,530.0,530.0,500.0,510.75,130,532.25
2008-05-04,500.0,500.0,500.0,500.0,10,510.75
2008-05-05,470.25,508.0,470.0,492.5,260,500.0
2008-05-06,480.0,540.0,480.0,528.75,470,492.5
2008-05-07,492.0,510.25,492.0,501.5,95,528.75
2008-05-08,491.0,530.0,491.0,519.25,215,501.5
2008-05-11,519.0,519.0,500.25,507.25,110,519.25
2008-05-12,486.0,486.25,485.5,485.75,65,507.25
2008-05-13,482.0,486.0,465.0,475.5,450,485.75
2008-05-14,475.0,475.0,467.0,469.75,235,475.5
2008-05-15,460.0,480.0,450.0,457.0,75,469.75
2008-05-18,500.0,500.0,458.0,461.0,535,457.0
2008-05-20,500.0,500.0,472.0,481.0,415,461.0
2008-05-21,490.0,490.0,490.0,490.0,5,481.0
2008-05-22,488.0,488.0,456.5,465.75,50,490.0
2008-05-25,490.0,490.0,460.0,475.0,245,465.75
2008-05-26,475.0,0.0,0.0,475.0,0,475.0
2008-05-27,454.0,455.0,454.0,454.5,35,475.0
2008-05-28,489.0,495.0,488.0,490.5,175,454.5
2008-05-29,520.0,520.0,466.0,475.0,280,490.5
2008-06-01,475.0,475.0,466.0,468.5,80,475.0
2008-06-02,491.0,491.0,465.25,475.0,90,468.5
2008-06-03,470.0,470.0,453.0,461.25,155,475.0
2008-06-04,450.0,450.0,450.0,450.0,30,461.25
2008-06-05,455.0,455.0,441.25,446.5,285,450.0
2008-06-08,441.0,441.0,440.0,440.5,50,446.5
2008-06-09,478.0,515.0,478.0,501.25,235,440.5
2008-06-10,500.0,500.0,461.0,473.0,220,501.25
2008-06-11,462.0,462.0,420.0,456.75,140,473.0
2008-06-12,456.75,0.0,0.0,456.75,0,456.75
2008-06-15,456.75,0.0,0.0,456.75,0,456.75
2008-06-16,450.0,450.0,400.0,0.0,370,456.75
2008-06-17,427.25,427.25,425.0,425.5,120,429.25
2008-06-18,427.0,434.5,427.0,0.0,210,425.5
2008-06-19,440.0,448.0,440.0,442.25,165,429.75
2008-06-22,442.0,442.0,405.0,0.0,220,442.25
2008-06-23,404.0,411.0,404.0,0.0,35,428.5
2008-06-24,440.0,450.0,430.0,443.75,50,408.75
2008-06-25,416.0,416.0,416.0,416.0,5,443.75
2008-06-26,445.0,464.0,421.0,451.0,255,416.0
