date,open,high,low,close,volume,prev_closing_price
2019-12-12,15.0,15.0,15.0,15.0,12021692,0.0
2019-12-15,19.5,21.9,13.2,13.4,20363166,15.0
2019-12-17,13.0,13.5,12.1,12.2,12497889,13.4
2019-12-18,12.5,13.1,12.2,12.8,6445397,12.2
2019-12-19,12.9,13.0,12.1,12.2,6725224,12.8
2019-12-22,12.4,12.4,11.0,11.1,8524449,12.2
2019-12-23,11.1,11.5,10.9,11.3,5514572,11.1
2019-12-24,11.4,11.6,11.1,11.2,4229872,11.3
2019-12-26,11.2,11.4,10.7,10.9,5268670,11.2
2019-12-29,10.9,11.0,10.2,10.3,6436434,10.9
2019-12-30,10.3,10.6,10.2,10.3,3095941,10.3
2020-01-01,10.3,10.5,10.1,10.1,2562995,10.3
2020-01-02,10.1,10.8,10.1,10.5,5535217,10.1
2020-01-05,10.5,10.6,10.2,10.2,2836680,10.5
2020-01-06,10.3,10.3,9.5,9.6,6127344,10.2
2020-01-07,9.7,10.0,9.1,9.2,3810952,9.6
2020-01-08,9.3,9.4,8.9,9.0,4200437,9.2
2020-01-09,9.1,9.2,8.9,9.0,3671245,9.0
2020-01-12,9.1,9.2,8.8,8.9,3387944,9.0
2020-01-13,8.6,9.0,8.1,8.1,11949357,8.9
2020-01-14,8.1,8.1,7.7,7.8,8438075,8.1
2020-01-15,7.9,8.2,7.9,7.9,4093348,7.8
2020-01-16,7.9,8.0,7.3,7.4,7728600,7.9
2020-01-19,7.5,8.0,7.5,7.8,8410800,7.4
2020-01-20,7.9,8.0,7.4,7.5,7106703,7.8
2020-01-21,7.5,7.6,6.9,7.0,9011507,7.5
2020-01-22,7.0,7.6,6.9,7.4,8913285,7.0
2020-01-23,7.4,7.5,7.2,7.4,4724664,7.4
2020-01-26,7.5,7.8,7.4,7.6,9387922,7.4
2020-01-27,7.7,7.7,7.3,7.5,4641396,7.6
2020-01-28,7.4,7.6,7.2,7.3,5444371,7.5
2020-01-29,7.4,7.8,7.2,7.7,8979332,7.3
2020-01-30,7.7,7.7,7.4,7.5,6085987,7.7
2020-02-02,7.6,8.2,7.5,8.2,9514142,7.5
2020-02-03,8.5,9.0,8.4,8.5,15468898,8.2
2020-02-04,8.5,8.6,8.1,8.2,7784515,8.5
2020-02-05,8.3,8.3,7.9,8.0,6309914,8.2
2020-02-06,8.0,8.2,7.9,8.1,3926288,8.0
2020-02-09,8.1,8.4,8.1,8.2,6510778,8.1
2020-02-10,8.2,8.3,8.0,8.0,3148235,8.2
2020-02-11,8.2,8.3,8.0,8.0,4824683,8.0
2020-02-12,8.1,8.3,8.0,8.0,5605942,8.0
2020-02-13,8.1,8.3,8.0,8.1,5870267,8.0
