date,open,high,low,close,volume,prev_closing_price
2010-02-09,401.0,520.0,401.0,514.5,336600,100.0
2010-02-10,524.0,545.0,520.0,521.25,125150,514.5
2010-02-11,510.0,520.0,500.0,507.0,89050,521.25
2010-02-14,501.0,507.0,486.0,489.25,100250,507.0
2010-02-15,485.25,493.75,475.0,476.5,72250,489.25
2010-02-16,480.0,496.0,471.5,487.0,46200,476.5
2010-02-17,481.25,490.0,475.0,476.0,55750,487.0
2010-02-18,480.0,484.75,472.0,475.0,40100,476.0
2010-02-22,475.0,475.0,459.0,460.25,40000,475.0
2010-02-23,455.0,464.75,452.0,455.25,30250,460.25
2010-02-24,451.0,480.0,451.0,473.0,43300,455.25
2010-02-25,479.0,479.0,462.5,464.75,35650,473.0
2010-02-28,462.0,473.0,459.0,461.5,25300,464.75
2010-03-01,460.75,474.0,455.0,467.5,30650,461.5
2010-03-02,467.0,475.0,464.0,465.5,42000,467.5
2010-03-03,467.5,496.5,467.5,488.5,65400,465.5
2010-03-04,494.0,505.0,490.0,499.0,116100,488.5
2010-03-07,505.0,522.0,493.0,518.0,136600,499.0
2010-03-08,522.0,522.0,506.0,509.25,101650,518.0
2010-03-09,508.0,515.0,502.0,505.5,77500,509.25
2010-03-10,503.5,514.0,503.5,506.75,66250,505.5
2010-03-11,503.0,512.5,503.0,510.25,55350,506.75
2010-03-14,508.0,508.0,494.5,496.0,58050,510.25
2010-03-15,493.25,494.5,482.0,490.0,50800,496.0
2010-03-16,498.0,513.75,498.0,510.5,72050,490.0
2010-03-18,515.0,520.0,509.0,518.0,105200,510.5
2010-03-21,518.0,545.0,513.25,541.75,175850,518.0
2010-03-22,545.0,550.0,542.0,547.5,150550,541.75
2010-03-23,547.25,559.25,535.5,538.25,168450,547.5
2010-03-24,549.5,551.5,541.0,546.0,116200,538.25
2010-03-25,550.0,559.0,543.0,551.5,196000,546.0
2010-03-28,555.0,556.75,531.0,535.0,96850,551.5
2010-03-29,532.75,535.0,521.25,523.0,80700,535.0
2010-03-30,516.5,534.0,516.5,519.0,58300,523.0
2010-03-31,520.5,528.75,513.25,515.25,67950,519.0
2010-04-01,529.0,529.0,515.5,520.0,61250,515.25
2010-04-04,520.75,527.0,514.0,515.0,65950,520.0
2010-04-05,514.0,517.0,505.5,507.5,62900,515.0
2010-04-06,512.0,514.5,505.0,505.75,42200,507.5
2010-04-07,504.0,512.25,500.0,509.5,32650,505.75
2010-04-08,510.0,515.75,507.25,509.0,33300,509.5
2010-04-11,507.25,512.0,502.0,502.75,44800,509.0
2010-04-12,504.0,504.0,491.5,493.5,58700,502.75
2010-04-13,488.0,507.75,488.0,502.75,47900,493.5
2010-04-15,506.0,507.0,495.0,496.5,24950,502.75
2010-04-18,495.25,496.0,483.0,486.0,47650,496.5
2010-04-19,492.0,495.0,486.0,488.0,45600,486.0
2010-04-20,487.0,505.0,487.0,498.5,47900,488.0
2010-04-21,504.0,505.0,490.0,492.0,55350,498.5
2010-04-22,498.0,502.0,492.5,498.75,67500,492.0
2010-04-25,505.0,524.75,502.0,520.5,158700,498.75
2010-04-26,524.75,536.0,516.25,518.0,107450,520.5
2010-04-27,515.25,518.0,506.0,511.25,59150,518.0
2010-04-28,515.0,517.75,508.0,512.0,72700,511.25
2010-04-29,511.0,519.0,498.25,500.5,79200,512.0
2010-05-02,493.0,503.75,493.0,494.5,68750,500.5
2010-05-03,495.0,497.0,490.0,491.75,55450,494.5
2010-05-04,494.0,497.0,492.0,493.0,38200,491.75
2010-05-05,492.5,508.0,490.25,502.5,55900,493.0
2010-05-06,508.5,508.5,493.0,493.75,50050,502.5
