date,open,high,low,close,volume,prev_closing_price
2014-09-22,70.0,80.0,67.1,77.3,9918200,40.0
2014-09-23,77.3,80.8,72.8,74.8,3098400,77.3
2014-09-24,74.8,87.0,74.8,86.1,6214600,74.8
2014-09-25,88.0,91.9,82.5,84.9,4695600,86.1
2014-09-28,84.9,84.9,76.0,78.0,3462600,84.9
2014-09-29,78.0,80.8,75.2,77.4,2259800,78.0
2014-09-30,76.0,82.0,76.0,78.5,2422400,77.4
2014-10-01,80.9,81.0,74.0,74.8,1645200,78.5
2014-10-02,75.7,78.2,72.8,77.2,1366600,74.8
2014-10-12,77.3,78.5,74.0,74.6,1041600,77.2
2014-10-13,75.5,80.2,74.7,79.3,1789200,74.6
2014-10-14,79.0,81.2,78.4,78.8,1911200,79.3
2014-10-15,80.0,80.3,76.6,77.0,1554400,78.8
2014-10-16,79.7,79.7,75.0,75.4,1195400,77.0
2014-10-19,77.5,77.5,74.0,74.6,697800,75.4
2014-10-20,74.2,79.2,74.1,77.9,1323200,74.6
2014-10-21,78.9,84.4,77.6,82.2,3070000,77.9
2014-10-22,85.0,88.0,82.5,84.1,4928600,82.2
2014-10-23,85.8,85.8,79.3,80.1,2520600,84.1
2014-10-26,82.0,82.0,78.3,79.0,1294600,80.1
2014-10-27,79.0,79.5,77.3,78.1,1173200,79.0
2014-10-28,78.2,80.0,78.2,78.8,823800,78.1
2014-10-29,81.0,81.5,78.7,78.9,1496200,78.8
2014-10-30,80.4,83.0,79.7,81.7,1760800,78.9
2014-11-02,82.5,82.6,78.2,79.0,1162800,81.7
2014-11-03,78.2,80.6,75.5,76.3,1232000,79.0
2014-11-05,77.3,80.7,76.0,79.8,1310400,76.3
2014-11-06,79.8,0.0,0.0,79.8,0,79.8
2014-11-09,73.1,73.1,68.3,70.1,3122000,79.8
2014-11-10,71.9,71.9,66.1,66.4,988000,70.1
2014-11-11,66.6,70.0,66.6,67.3,1422000,66.4
2014-11-12,69.9,74.0,69.0,74.0,4092000,67.3
2014-11-13,76.9,77.5,71.5,72.0,2302200,74.0
2014-11-16,72.0,74.0,69.8,71.0,2597400,72.0
