date,open,high,low,close,volume,prev_closing_price
2019-05-21,97.3,107.8,92.0,99.8,3522018,0.0
2019-05-22,100.0,101.8,95.0,97.3,561426,99.8
2019-05-23,96.5,96.7,87.7,88.9,1476559,97.3
2019-05-26,87.0,94.5,86.2,90.7,476844,88.9
2019-05-27,91.0,91.0,86.3,87.4,637906,90.7
2019-05-28,87.1,90.5,86.8,88.7,420774,87.4
2019-05-29,90.0,94.8,89.6,92.7,856721,88.7
2019-05-30,93.5,94.7,90.0,90.5,612667,92.7
2019-06-09,90.6,91.2,87.0,87.2,438524,90.5
2019-06-10,88.8,88.8,86.1,86.4,320177,87.2
2019-06-11,87.1,90.6,86.7,88.5,412834,86.4
2019-06-12,88.8,89.0,86.2,86.7,374364,88.5
2019-06-13,87.0,87.7,84.8,85.2,485198,86.7
2019-06-16,86.3,88.0,83.7,84.7,426253,85.2
2019-06-17,85.9,85.9,82.4,82.7,410896,84.7
2019-06-18,83.0,84.4,82.1,82.8,309615,82.7
2019-06-19,83.0,84.7,82.0,82.2,299220,82.8
2019-06-20,82.3,82.7,80.6,80.8,246159,82.2
2019-06-23,81.0,81.4,78.0,78.1,287045,80.8
2019-06-24,78.5,82.8,77.7,81.5,309826,78.1
2019-06-25,82.0,89.6,81.7,87.8,1149966,81.5
2019-06-26,89.8,92.5,88.3,90.2,934874,87.8
2019-06-27,89.5,98.9,87.8,96.3,1201221,90.2
2019-06-30,97.7,99.6,95.7,96.3,1146734,96.3
2019-07-02,96.9,105.9,95.0,105.9,1343707,96.3
2019-07-03,108.0,112.1,105.5,109.3,1337570,105.9
2019-07-04,110.0,114.5,105.0,106.4,1396503,109.3
2019-07-07,106.4,107.0,100.9,101.5,1184737,106.4
2019-07-08,101.9,111.6,101.5,111.6,1025246,101.5
2019-07-09,111.6,114.5,102.1,104.3,1731340,111.6
2019-07-10,104.3,105.5,98.7,100.3,881630,104.3
2019-07-11,100.3,103.7,94.5,96.1,631434,100.3
2019-07-14,98.0,98.0,91.0,92.0,564918,96.1
2019-07-15,92.0,94.0,89.0,89.3,538548,92.0
2019-07-16,90.5,92.8,89.4,90.6,473919,89.3
2019-07-17,92.8,94.6,89.7,93.4,463222,90.6
2019-07-18,95.0,99.8,94.5,96.1,706239,93.4
2019-07-21,96.1,96.6,90.5,91.4,430700,96.1
2019-07-22,91.9,92.4,86.3,88.3,537375,91.4
2019-07-23,90.0,92.8,90.0,91.7,364227,88.3
2019-07-24,92.0,92.2,90.0,90.4,409402,91.7
2019-07-25,91.2,91.9,89.6,90.0,340907,90.4
2019-07-28,90.8,91.1,86.7,87.2,365896,90.0
2019-07-29,87.8,90.8,87.3,88.8,410427,87.2
2019-07-30,88.8,91.4,88.3,89.2,348407,88.8
2019-07-31,90.0,90.0,86.1,86.6,437503,89.2
2019-08-01,86.7,95.2,86.7,94.6,894472,86.6
2019-08-04,95.0,99.6,95.0,96.3,765069,94.6
2019-08-05,94.9,97.1,93.5,94.3,666004,96.3
2019-08-06,94.4,99.9,94.3,95.3,832133,94.3
2019-08-07,95.0,97.0,90.5,92.7,379748,95.3
2019-08-08,93.0,94.9,92.4,93.2,264831,92.7
2019-08-18,94.0,95.0,92.6,94.6,232179,93.2
2019-08-19,94.7,96.3,94.3,94.7,404527,94.6
2019-08-20,95.0,96.3,93.5,94.2,389298,94.7
2019-08-21,94.5,94.8,92.1,92.6,296984,94.2
2019-08-22,91.0,93.5,91.0,91.9,297563,92.6
2019-08-25,92.0,93.4,91.9,92.4,215272,91.9
2019-08-26,92.5,94.5,92.0,93.0,355044,92.4
2019-08-27,93.0,97.6,93.0,96.1,1120863,93.0
2019-08-28,96.3,96.5,92.4,93.0,419238,96.1
2019-08-29,93.0,94.3,91.6,92.1,478461,93.0
2019-09-01,92.5,93.0,90.2,90.4,253149,92.1
2019-09-02,91.9,91.9,89.5,89.7,263572,90.4
2019-09-03,90.5,90.9,89.0,90.2,218893,89.7
2019-09-04,91.5,92.6,90.4,91.2,303180,90.2
2019-09-05,92.5,92.7,87.5,88.7,489366,91.2
2019-09-08,89.8,91.0,84.7,85.4,467789,88.7
2019-09-09,85.4,86.8,82.0,82.5,274147,85.4
2019-09-11,82.5,82.5,75.9,77.2,409154,82.5
2019-09-12,78.7,82.8,76.5,82.3,308749,77.2
2019-09-15,82.9,84.3,78.6,80.0,266658,82.3
2019-09-16,78.5,80.8,76.5,78.4,225036,80.0
2019-09-17,78.0,79.5,74.1,76.4,418049,78.4
2019-09-18,76.4,78.5,73.0,73.6,233984,76.4
2019-09-19,74.7,75.7,70.6,71.4,163966,73.6
2019-09-22,72.0,74.1,71.5,73.9,216697,71.4
2019-09-23,74.4,76.5,74.2,75.2,361696,73.9
2019-09-24,75.2,75.3,71.5,72.1,207057,75.2
2019-09-25,73.7,73.7,71.5,72.0,128946,72.1
2019-09-26,72.6,72.8,71.0,71.3,171529,72.0
2019-09-29,71.5,72.2,70.2,70.5,133404,71.3
2019-09-30,70.5,72.5,70.3,71.0,294202,70.5
2019-10-01,71.3,73.0,71.3,72.6,214064,71.0
2019-10-02,73.3,74.8,72.8,73.1,223214,72.6
2019-10-03,72.7,74.7,72.5,72.8,212217,73.1
2019-10-06,73.0,73.0,71.5,72.0,122490,72.8
2019-10-07,72.7,72.7,70.8,71.0,225630,72.0
2019-10-09,71.0,71.5,68.1,69.7,244733,71.0
2019-10-10,69.0,69.8,66.4,67.1,201248,69.7
2019-10-13,66.1,67.9,66.1,66.3,155555,67.1
2019-10-14,66.3,66.7,64.0,64.4,182380,66.3
2019-10-15,0.0,0.0,0.0,64.4,0,64.4
2019-10-16,63.6,67.4,63.2,64.1,357154,64.4
2019-10-17,64.1,64.9,61.7,62.0,118753,64.1
2019-10-20,61.5,62.5,59.1,59.5,106924,62.0
2019-10-21,59.5,60.9,56.0,56.4,111066,59.5
2019-10-22,56.4,56.6,52.3,52.6,112203,56.4
