date,open,high,low,close,volume,prev_closing_price
2008-03-06,560.0,579.0,549.0,555.0,4740,542.0
2008-03-09,560.0,580.0,526.0,554.0,1780,555.0
2008-03-09,560.0,580.0,526.0,554.0,1780,555.0
2008-03-10,530.0,550.0,530.0,543.5,1220,554.0
2008-03-11,545.0,545.0,513.0,520.5,2080,543.5
2008-03-12,515.0,525.0,512.0,515.75,1320,520.5
2008-03-13,518.0,518.0,500.0,510.5,460,515.75
2008-03-16,500.0,500.0,485.0,492.75,420,510.5
2008-03-17,500.0,509.0,487.0,497.75,960,492.75
2008-03-18,485.0,490.0,475.0,476.25,1300,497.75
2008-03-19,475.0,490.0,475.0,477.75,500,476.25
2008-03-20,458.25,476.25,458.25,467.75,540,477.75
2008-03-23,480.0,490.0,459.0,462.0,1900,467.75
2008-03-24,425.0,462.0,425.0,448.25,580,462.0
2008-03-25,453.0,470.0,453.0,466.75,720,448.25
2008-03-30,485.0,490.0,475.0,483.0,860,466.75
2008-03-31,478.0,506.0,465.0,473.0,1320,483.0
2008-04-01,466.0,495.0,465.0,487.5,1720,473.0
2008-04-02,486.0,500.0,481.0,485.0,1920,487.5
2008-04-03,498.5,509.0,492.0,500.5,720,485.0
2008-04-06,520.0,550.0,504.0,506.0,2520,500.5
2008-04-07,539.5,560.0,526.0,552.0,6100,506.0
2008-04-08,589.0,589.0,552.0,560.75,5980,552.0
2008-04-09,565.0,584.0,550.0,557.5,6880,560.75
2008-04-10,565.0,641.0,565.0,639.25,10200,557.5
2008-04-13,665.0,735.0,665.0,734.75,7680,639.25
2008-04-15,790.0,790.0,651.0,663.75,5280,734.75
2008-04-16,651.0,679.0,641.0,646.5,4320,663.75
2008-04-17,630.0,630.0,590.0,604.0,4260,646.5
2008-04-20,592.0,609.0,581.0,596.0,2520,604.0
2008-04-21,610.0,675.0,602.0,622.25,3980,596.0
2008-04-22,620.0,633.0,616.0,624.75,1760,622.25
2008-04-23,625.0,640.0,601.5,607.0,3220,624.75
2008-04-24,600.0,615.0,600.0,607.25,1260,607.0
2008-04-27,615.0,640.0,600.0,609.75,2680,607.25
2008-04-28,606.0,615.0,580.5,599.5,2940,609.75
2008-04-29,590.0,600.0,570.0,580.0,1140,599.5
2008-04-30,572.0,580.0,540.0,558.75,740,580.0
2008-05-04,532.0,580.0,520.0,538.25,1360,558.75
2008-05-05,550.0,550.0,520.0,531.25,1040,538.25
2008-05-06,549.0,595.0,549.0,572.75,1460,531.25
2008-05-07,562.0,576.0,525.0,531.25,1960,572.75
2008-05-08,550.0,559.0,547.5,551.5,260,531.25
2008-05-11,560.0,579.75,555.0,568.75,2420,551.5
2008-05-12,561.0,615.0,560.0,572.5,2000,568.75
2008-05-13,572.5,572.5,522.0,545.75,2500,572.5
2008-05-14,531.0,531.0,511.0,519.0,1560,545.75
2008-05-15,515.0,571.0,515.0,561.75,1920,519.0
2008-05-18,590.0,598.0,560.0,570.75,2320,561.75
2008-05-20,588.0,655.0,575.0,650.25,3300,570.75
2008-05-21,690.0,700.0,640.0,656.5,5440,650.25
2008-05-22,650.0,747.0,630.0,720.25,9660,656.5
2008-05-25,770.0,828.0,770.0,828.0,3840,720.25
2008-05-26,890.0,890.0,810.0,863.5,7060,828.0
2008-05-27,840.0,840.0,750.0,769.5,5480,863.5
2008-05-28,829.0,840.0,789.0,805.5,3580,769.5
2008-05-29,838.0,860.0,755.0,780.5,6680,805.5
2008-06-01,782.0,819.0,782.0,809.5,2740,780.5
2008-06-02,840.0,900.0,822.0,892.25,9480,809.5
2008-06-03,920.0,1017.25,920.0,1016.75,13700,892.25
2008-06-04,1048.0,1078.0,950.0,986.0,6400,1016.75
2008-06-05,951.0,1020.0,940.0,973.0,4860,986.0
2008-06-08,1045.0,1080.25,1035.0,1053.5,6880,973.0
2008-06-09,1088.0,1088.0,931.0,987.0,4580,1053.5
2008-06-10,1021.0,1111.0,1000.0,1011.75,5320,987.0
