date,open,high,low,close,volume,prev_closing_price
2008-03-06,120.0,123.75,115.0,118.0,1710,117.0
2008-03-09,122.0,128.0,115.0,123.75,910,118.0
2008-03-09,122.0,128.0,115.0,123.75,910,118.0
2008-03-10,123.5,123.5,118.0,120.75,260,123.75
2008-03-11,116.0,116.0,113.0,114.5,120,120.75
2008-03-12,111.0,111.0,107.0,109.0,130,114.5
2008-03-13,109.0,109.0,109.0,109.0,20,109.0
2008-03-16,110.0,118.0,109.0,117.0,1220,109.0
2008-03-17,119.0,125.0,116.0,119.25,1480,117.0
2008-03-18,120.0,122.5,118.5,120.0,2210,119.25
2008-03-19,120.25,129.0,120.25,127.5,2920,120.0
2008-03-20,138.0,149.0,130.0,142.5,4310,127.5
2008-03-23,147.0,169.75,147.0,152.5,9020,142.5
2008-03-24,155.0,155.0,137.5,141.25,6020,152.5
2008-03-25,139.0,141.5,132.75,140.5,3080,141.25
2008-03-30,132.0,158.0,132.0,153.75,4440,140.5
2008-03-31,145.0,149.0,142.0,143.25,1310,153.75
2008-04-01,139.5,149.0,139.5,148.25,1710,143.25
2008-04-02,142.0,145.0,141.0,142.25,2630,148.25
2008-04-03,147.0,147.0,134.0,137.75,1280,142.25
2008-04-06,136.0,143.25,135.0,138.0,1430,137.75
2008-04-07,135.5,135.5,130.0,131.25,1550,138.0
2008-04-08,130.0,135.0,130.0,131.25,470,131.25
2008-04-09,129.0,139.0,129.0,134.25,880,131.25
2008-04-10,139.0,142.0,134.5,138.25,1400,134.25
2008-04-13,140.0,145.0,140.0,144.0,2660,138.25
2008-04-15,140.0,142.25,139.0,141.25,2050,144.0
2008-04-16,141.5,143.0,141.5,142.25,2030,141.25
2008-04-17,143.0,143.0,136.0,138.75,450,142.25
2008-04-20,136.25,144.75,136.25,141.0,550,138.75
2008-04-21,134.25,136.0,134.0,134.25,850,141.0
2008-04-22,142.0,145.0,138.5,143.0,3880,134.25
2008-04-23,144.0,150.75,140.25,149.25,6430,143.0
2008-04-24,150.5,165.0,142.0,162.0,12670,149.25
2008-04-27,168.5,188.0,165.0,178.5,9190,162.0
2008-04-28,174.5,174.5,156.0,167.25,3800,178.5
2008-04-29,165.25,187.75,165.25,174.5,3280,167.25
2008-04-30,165.0,173.0,160.0,170.75,1030,174.5
2008-05-04,161.5,170.0,161.0,167.0,790,170.75
2008-05-05,160.0,176.0,160.0,173.0,3230,167.0
2008-05-06,165.0,170.0,165.0,169.5,430,173.0
2008-05-07,172.0,172.0,162.0,168.5,1020,169.5
2008-05-08,169.0,170.0,155.0,158.75,600,168.5
2008-05-11,157.5,157.5,150.0,151.75,2070,158.75
2008-05-12,160.0,163.0,155.0,158.5,310,151.75
2008-05-13,158.0,160.0,158.0,159.25,260,158.5
2008-05-14,150.5,152.25,150.5,151.5,230,159.25
2008-05-15,155.0,155.0,155.0,155.0,10,151.5
2008-05-18,150.25,150.25,146.0,149.25,250,155.0
2008-05-20,155.0,155.0,150.0,154.0,1230,149.25
2008-05-21,154.5,160.0,150.0,154.75,60,154.0
2008-05-22,145.0,150.0,141.75,144.25,420,154.75
2008-05-25,143.0,143.0,143.0,143.0,10,144.25
2008-05-26,146.0,159.5,146.0,148.25,470,143.0
2008-05-27,161.0,161.0,142.5,145.25,1590,148.25
2008-05-28,150.0,150.0,145.0,146.5,1750,145.25
2008-05-29,150.0,155.0,145.0,147.75,350,146.5
2008-06-01,145.0,153.0,141.0,142.25,3860,147.75
2008-06-02,140.25,160.0,140.25,156.25,2020,142.25
2008-06-03,159.5,160.0,145.0,148.75,5970,156.25
2008-06-04,150.0,150.0,145.0,145.0,6300,148.75
2008-06-05,155.0,167.0,150.0,151.25,5490,145.0
2008-06-08,166.0,171.0,163.0,165.25,3940,151.25
2008-06-09,169.0,169.0,153.5,158.5,2100,165.25
2008-06-10,164.5,164.5,154.0,155.5,1170,158.5
2008-06-11,152.0,157.0,145.0,147.25,3130,155.5
2008-06-12,147.5,156.0,146.25,152.25,340,147.25
2008-06-15,155.0,155.0,146.5,148.75,1700,152.25
2008-06-16,150.0,153.5,149.0,151.0,620,148.75
2008-06-17,151.0,151.25,146.5,147.5,980,151.0
2008-06-18,152.0,152.75,152.0,152.25,100,147.5
2008-06-19,150.0,150.0,147.5,148.0,610,152.25
2008-06-22,146.75,149.5,145.0,146.5,810,148.0
2008-06-23,145.0,145.0,141.5,142.0,300,146.5
