date,open,high,low,close,volume,prev_closing_price
2008-03-06,157.75,0.0,0.0,157.75,0,157.75
2008-03-09,152.0,153.0,143.0,147.25,77300,157.75
2008-03-09,152.0,153.0,143.0,147.25,77300,157.75
2008-03-10,150.0,153.75,145.75,151.75,52700,147.25
2008-03-11,154.75,157.0,153.0,154.5,45550,151.75
2008-03-12,153.0,156.75,152.25,152.75,47250,154.5
2008-03-13,153.5,153.75,150.0,151.0,31750,152.75
2008-03-16,153.25,153.5,149.0,150.75,38550,151.0
2008-03-17,152.25,164.75,151.5,159.25,65900,150.75
2008-03-18,160.25,165.0,156.0,162.75,51800,159.25
2008-03-19,161.75,164.0,159.0,160.0,38850,162.75
2008-03-20,162.0,162.0,157.0,160.75,53250,160.0
2008-03-23,164.75,170.0,162.0,163.0,82350,160.75
2008-03-24,167.0,175.0,164.0,173.75,149200,163.0
2008-03-25,174.0,189.0,174.0,0.0,184250,173.75
2008-03-30,194.75,207.0,180.0,184.75,161000,187.25
2008-03-31,190.0,191.0,178.0,180.25,100350,184.75
2008-04-01,177.5,181.0,173.0,174.75,80900,180.25
2008-04-02,176.0,184.75,176.0,177.25,82450,174.75
2008-04-03,180.0,182.25,175.5,176.25,42000,177.25
2008-04-06,176.0,178.0,172.75,173.5,39450,176.25
2008-04-07,174.0,176.0,170.0,171.5,50200,173.5
2008-04-08,174.5,177.0,170.5,172.75,52650,171.5
2008-04-09,177.0,194.75,177.0,188.75,226700,172.75
2008-04-10,192.75,199.5,190.0,196.0,189650,188.75
2008-04-13,199.0,231.0,199.0,230.75,305000,196.0
2008-04-15,238.0,238.0,216.0,223.75,198400,230.75
2008-04-16,223.75,230.0,212.25,225.75,144700,223.75
2008-04-17,226.5,228.0,218.0,221.0,177900,225.75
2008-04-20,221.0,254.5,216.25,244.25,232350,221.0
2008-04-21,249.0,254.75,236.5,241.25,154250,244.25
2008-04-22,247.0,279.75,244.5,274.75,277600,241.25
2008-04-23,280.0,287.0,264.0,269.25,180650,274.75
2008-04-24,277.0,277.0,261.0,268.5,160650,269.25
2008-04-27,277.0,292.0,276.75,281.25,210550,268.5
2008-04-28,290.0,293.5,266.5,268.5,142300,281.25
2008-04-29,265.0,273.0,255.0,257.25,110750,268.5
2008-04-30,255.0,260.5,236.0,239.25,128600,257.25
2008-05-04,239.0,253.5,230.0,244.0,71600,239.25
2008-05-05,243.0,249.75,235.25,236.25,58450,244.0
2008-05-06,235.5,242.0,233.5,238.75,100250,236.25
2008-05-07,242.0,248.0,237.5,238.5,69500,238.75
2008-05-08,240.0,242.0,235.0,237.0,55500,238.5
2008-05-11,235.25,241.5,229.5,230.75,73950,237.0
2008-05-12,237.5,244.0,230.25,241.5,154450,230.75
2008-05-13,245.0,249.75,239.25,240.75,71600,241.5
2008-05-14,232.0,249.0,232.0,245.0,111550,240.75
2008-05-15,249.0,263.5,246.25,261.0,148750,245.0
2008-05-18,269.0,275.5,260.0,264.75,182100,261.0
2008-05-20,270.0,274.0,245.0,254.5,134000,264.75
2008-05-21,261.75,261.75,245.0,246.25,79250,254.5
2008-05-22,248.0,255.0,246.25,247.5,94550,246.25
2008-05-25,250.0,264.0,250.0,254.0,92050,247.5
2008-05-26,263.0,288.5,257.0,280.5,342300,254.0
2008-05-27,290.0,309.0,282.25,294.0,389600,280.5
2008-05-28,299.0,345.0,290.0,342.0,343250,294.0
2008-05-29,349.0,349.0,301.0,323.5,265700,342.0
2008-06-01,336.0,340.0,306.5,334.25,256650,323.5
2008-06-02,321.0,345.0,321.0,332.25,142350,334.25
2008-06-03,335.0,373.0,330.0,367.75,431100,332.25
2008-06-04,379.75,395.0,376.0,382.0,317600,367.75
2008-06-05,390.0,419.0,371.0,399.5,219900,382.0
2008-06-08,423.0,434.75,396.0,421.5,252950,399.5
2008-06-09,425.0,440.0,401.0,427.0,361500,421.5
2008-06-10,434.0,494.75,430.0,481.25,323350,427.0
2008-06-11,482.0,485.0,406.75,418.75,338750,481.25
2008-06-12,450.0,458.0,411.5,426.0,195150,418.75
2008-06-15,440.0,440.0,376.0,379.5,127550,426.0
2008-06-16,380.0,423.0,365.0,0.0,157200,379.5
