date,open,high,low,close,volume,prev_closing_price
2008-03-06,41.0,42.0,41.0,41.5,1500,41.75
2008-03-09,43.5,43.75,43.0,43.25,900,41.5
2008-03-09,43.5,43.75,43.0,43.25,900,41.5
2008-03-10,43.0,45.75,43.0,44.25,4550,43.25
2008-03-11,45.5,46.5,45.0,45.25,1900,44.25
2008-03-12,47.0,54.25,47.0,53.5,15750,45.25
2008-03-13,54.0,58.0,54.0,55.75,17500,53.5
2008-03-16,56.0,63.0,56.0,61.0,8550,55.75
2008-03-17,61.0,64.0,59.75,63.0,5050,61.0
2008-03-18,60.0,60.0,56.0,0.0,4250,63.0
2008-03-19,56.0,60.0,55.0,59.0,10700,57.0
2008-03-20,61.0,70.25,61.0,69.25,10500,59.0
2008-03-23,70.0,83.0,70.0,75.25,22500,69.25
2008-03-24,74.0,74.0,65.25,68.5,10400,75.25
2008-03-25,70.0,71.5,67.25,70.5,6300,68.5
2008-03-30,73.5,84.5,73.0,82.0,15600,70.5
2008-03-31,80.5,83.0,75.0,76.25,9250,82.0
2008-04-01,75.0,78.0,74.0,75.75,3300,76.25
2008-04-02,73.0,73.0,68.0,69.5,4350,75.75
2008-04-03,68.0,70.75,68.0,69.75,4750,69.5
2008-04-06,67.0,67.25,63.75,64.75,3550,69.75
2008-04-07,63.25,65.0,62.0,62.75,2250,64.75
2008-04-08,64.0,66.5,64.0,65.0,500,62.75
2008-04-09,68.0,71.0,67.0,69.25,1250,65.0
2008-04-10,69.0,70.0,66.25,68.75,1300,69.25
2008-04-13,69.0,69.0,66.0,67.5,1150,68.75
2008-04-15,65.5,67.25,65.0,65.75,900,67.5
2008-04-16,69.0,69.5,66.25,67.25,3700,65.75
2008-04-17,72.75,74.0,70.25,72.5,3500,67.25
2008-04-20,76.25,84.0,76.25,83.0,12550,72.5
2008-04-21,83.0,99.5,83.0,99.0,25200,83.0
2008-04-22,103.75,118.5,103.75,117.5,27950,99.0
2008-04-23,128.75,129.0,103.25,107.0,10000,117.5
2008-04-24,107.0,114.0,92.25,110.5,8800,107.0
2008-04-27,109.0,111.0,100.0,104.5,4150,110.5
2008-04-28,96.0,98.75,90.0,95.75,5250,104.5
2008-04-29,96.0,96.0,91.0,93.25,1700,95.75
2008-04-30,90.0,100.0,88.0,98.0,5300,93.25
2008-05-04,95.25,95.25,88.25,91.0,2800,98.0
2008-05-05,86.5,87.75,81.5,86.25,2650,91.0
2008-05-06,86.25,91.75,82.0,83.0,10900,86.25
2008-05-07,82.0,88.5,82.0,84.5,2100,83.0
2008-05-08,88.75,92.0,88.75,90.0,1750,84.5
2008-05-11,97.0,106.0,97.0,103.25,9550,90.0
2008-05-12,100.0,100.0,95.0,98.5,800,103.25
2008-05-13,91.25,91.25,90.0,90.25,500,98.5
2008-05-14,89.0,90.0,88.25,89.0,1900,90.25
2008-05-15,90.0,98.0,89.0,95.0,4400,89.0
2008-05-18,100.0,100.0,92.0,94.0,2650,95.0
2008-05-20,91.0,92.75,90.0,91.0,600,94.0
2008-05-21,91.0,91.0,88.0,89.5,2200,91.0
2008-05-22,87.5,90.0,87.0,89.0,3350,89.5
2008-05-25,93.0,94.0,90.0,92.75,2550,89.0
2008-05-26,90.0,90.0,85.25,87.25,2000,92.75
2008-05-27,86.5,86.5,82.0,84.25,2650,87.25
2008-05-28,80.0,90.0,80.0,86.5,1950,84.25
2008-05-29,86.0,86.0,84.0,85.0,450,86.5
2008-06-01,85.0,87.0,84.5,85.25,2000,85.0
2008-06-02,83.0,83.0,83.0,83.0,50,85.25
2008-06-03,80.0,84.0,80.0,80.5,1800,83.0
2008-06-04,81.25,85.5,81.0,83.5,1200,80.5
2008-06-05,85.0,85.0,81.0,83.25,500,83.5
2008-06-08,83.0,83.0,83.0,83.0,100,83.25
2008-06-09,81.25,81.25,78.0,80.0,2050,83.0
2008-06-10,78.25,78.25,78.0,78.0,300,80.0
2008-06-11,75.0,77.0,75.0,76.0,500,78.0
2008-06-12,74.25,75.0,74.25,74.5,1000,76.0
2008-06-15,71.0,71.0,70.0,0.0,1800,74.5
2008-06-16,70.5,70.5,65.0,0.0,1100,70.75
2008-06-17,67.75,80.0,67.75,73.75,900,69.5
2008-06-18,77.5,79.0,74.0,0.0,3400,73.75
2008-06-19,77.75,77.75,75.25,75.75,950,76.5
2008-06-22,72.0,73.0,68.5,0.0,2050,75.75
2008-06-23,67.5,70.0,67.5,0.0,1400,70.25
2008-06-24,68.75,68.75,68.75,68.75,100,69.75
2008-06-25,67.5,68.75,67.5,67.75,300,68.75
2008-06-26,69.0,69.0,63.0,66.75,2000,67.75
2008-06-29,66.75,0.0,0.0,66.75,0,66.75
2008-06-30,65.0,68.0,64.0,65.0,1050,66.75
2008-07-02,68.0,70.0,68.0,68.5,2200,65.0
2008-07-03,68.0,75.0,67.0,69.75,4100,68.5
2008-07-06,69.5,75.0,69.5,74.0,3600,69.75
2008-07-07,74.0,0.0,0.0,74.0,0,74.0
2008-07-08,73.75,74.0,73.0,73.75,2400,74.0
2008-07-08,73.75,74.0,73.0,73.75,2400,74.0
2008-07-09,73.75,0.0,0.0,73.75,0,73.75
2008-07-10,72.0,72.0,72.0,72.0,100,73.75
2008-07-13,74.0,74.5,74.0,74.0,700,72.0
2008-07-14,73.5,75.0,72.0,73.75,2300,74.0
2008-07-15,74.0,75.25,72.0,73.25,3200,73.75
2008-07-16,75.0,75.0,72.0,73.25,1250,73.25
2008-07-17,74.5,74.5,71.0,72.25,2750,73.25
2008-07-20,70.5,70.5,70.25,70.25,400,72.25
2008-07-21,70.25,0.0,0.0,70.25,0,70.25
2008-07-22,68.0,68.0,64.0,65.75,550,70.25
2008-07-23,65.25,65.5,65.0,65.0,900,65.75
2008-07-24,66.25,70.5,66.25,67.25,850,65.0
2008-07-27,64.0,64.0,63.5,63.75,700,67.25
2008-07-28,65.5,65.5,65.25,65.25,350,63.75
2008-07-29,69.0,71.0,69.0,69.25,1600,65.25
2008-07-30,65.5,65.5,65.5,65.5,300,69.25
2008-07-31,65.25,65.25,64.25,64.5,700,65.5
2008-08-03,65.0,65.0,61.0,63.0,2500,64.5
2008-08-04,63.0,0.0,0.0,63.0,0,63.0
2008-08-05,63.0,63.0,61.25,62.75,5100,63.0
2008-08-06,62.25,62.5,61.5,62.0,1800,62.75
2008-08-07,61.0,61.0,60.0,60.5,1700,62.0
2008-08-10,59.0,59.0,59.0,59.0,500,60.5
2008-08-11,59.0,0.0,0.0,59.0,0,59.0
2008-08-12,60.5,60.5,60.0,60.0,500,59.0
2008-08-13,60.25,60.25,60.0,60.0,600,60.0
2008-08-14,60.5,60.5,60.5,60.5,200,60.0
2008-08-18,60.5,61.0,60.5,60.75,500,60.5
2008-08-19,59.25,59.25,59.0,59.0,150,60.75
2008-08-20,59.0,60.0,58.0,58.75,2900,59.0
2008-08-21,59.0,59.0,59.0,59.0,100,58.75
2008-08-25,60.0,60.5,59.75,60.0,400,59.0
2008-08-26,60.0,60.5,60.0,60.0,3100,60.0
2008-08-27,60.5,62.0,60.5,61.25,900,60.0
2008-08-28,60.0,60.75,60.0,60.0,2700,61.25
2008-08-31,60.5,60.5,60.25,60.25,150,60.0
2008-09-01,60.25,0.0,0.0,60.25,0,60.25
2008-09-02,61.0,61.0,60.0,60.5,1050,60.25
2008-09-03,61.0,61.0,60.0,60.25,400,60.5
2008-09-04,60.25,0.0,0.0,60.25,0,60.25
2008-09-07,60.25,0.0,0.0,60.25,0,60.25
2008-09-08,60.25,0.0,0.0,60.25,0,60.25
2008-09-09,58.5,58.5,58.0,58.25,400,60.25
2008-09-10,60.0,60.0,60.0,60.0,50,58.25
2008-09-11,60.0,0.0,0.0,60.0,0,60.0
2008-09-14,60.0,0.0,0.0,60.0,0,60.0
2008-09-15,60.0,60.0,58.75,59.25,200,60.0
2008-09-16,59.25,0.0,0.0,59.25,0,59.25
2008-09-17,59.0,59.0,56.0,58.25,800,59.25
2008-09-18,56.75,56.75,55.0,55.75,1000,58.25
