date,open,high,low,close,volume,prev_closing_price
2008-03-06,195.0,195.0,195.0,195.0,450,190.0
2008-03-09,195.0,0.0,0.0,195.0,0,195.0
2008-03-09,195.0,0.0,0.0,195.0,0,195.0
2008-03-10,195.0,0.0,0.0,195.0,0,195.0
2008-03-11,210.0,212.0,210.0,211.0,100,195.0
2008-03-12,215.0,215.0,210.0,211.5,200,211.0
2008-03-13,211.5,0.0,0.0,211.5,0,211.5
2008-03-16,230.0,235.0,230.0,232.5,100,211.5
2008-03-17,250.0,255.0,250.0,253.75,400,232.5
2008-03-18,270.0,290.0,270.0,276.5,450,253.75
2008-03-19,290.0,300.0,290.0,297.0,200,276.5
2008-03-20,310.0,345.0,310.0,334.25,450,297.0
2008-03-23,367.0,390.0,367.0,382.25,250,334.25
2008-03-24,409.0,410.0,360.0,388.75,500,382.25
2008-03-25,390.0,390.0,357.0,375.5,150,388.75
2008-03-30,350.0,350.0,345.0,348.25,150,375.5
2008-03-31,345.0,345.0,340.25,341.75,150,348.25
2008-04-01,341.75,341.75,341.75,341.75,50,341.75
2008-04-02,358.0,358.0,358.0,358.0,50,341.75
2008-04-03,326.0,326.0,320.0,322.0,150,358.0
2008-04-06,305.0,305.0,305.0,305.0,50,322.0
2008-04-07,328.75,328.75,328.75,328.75,50,305.0
2008-04-08,320.0,320.0,320.0,320.0,50,328.75
2008-04-09,304.0,304.0,300.0,301.25,350,320.0
2008-04-10,301.25,0.0,0.0,301.25,0,301.25
2008-04-13,300.0,300.0,300.0,300.0,200,301.25
2008-04-15,300.0,300.0,300.0,300.0,200,300.0
2008-04-16,310.0,310.0,300.0,306.5,150,300.0
2008-04-17,306.0,310.0,306.0,307.25,150,306.5
2008-04-20,306.0,310.0,305.0,307.0,150,307.25
2008-04-21,305.0,335.0,305.0,313.25,250,307.0
2008-04-22,325.0,334.0,325.0,328.75,300,313.25
2008-04-23,350.0,385.0,350.0,363.25,650,328.75
2008-04-24,350.0,350.0,350.0,350.0,150,363.25
2008-04-27,350.0,0.0,0.0,350.0,0,350.0
2008-04-28,330.0,330.0,330.0,330.0,50,350.0
2008-04-29,306.25,306.25,306.25,306.25,50,330.0
2008-04-30,310.0,310.0,310.0,310.0,100,306.25
2008-05-04,310.0,310.0,306.0,308.25,200,310.0
2008-05-05,308.25,0.0,0.0,308.25,0,308.25
2008-05-06,307.0,307.0,307.0,307.0,50,308.25
2008-05-07,307.0,0.0,0.0,307.0,0,307.0
2008-05-08,308.0,308.0,308.0,308.0,50,307.0
2008-05-11,310.0,310.0,310.0,310.0,100,308.0
2008-05-12,308.0,308.0,307.0,307.5,150,310.0
2008-05-13,332.0,332.0,315.0,317.75,300,307.5
2008-05-14,320.0,333.0,320.0,326.5,200,317.75
2008-05-15,336.0,339.0,323.0,331.5,450,326.5
2008-05-18,323.25,325.0,323.0,323.75,150,331.5
2008-05-20,325.0,325.0,323.0,324.25,150,323.75
2008-05-21,324.25,0.0,0.0,324.25,0,324.25
2008-05-22,324.25,0.0,0.0,324.25,0,324.25
2008-05-25,295.0,295.0,295.0,295.0,50,324.25
2008-05-26,300.0,300.0,300.0,300.0,50,295.0
2008-05-27,282.0,300.0,282.0,295.25,200,300.0
2008-05-28,295.25,0.0,0.0,295.25,0,295.25
2008-05-29,295.25,0.0,0.0,295.25,0,295.25
2008-06-01,280.0,280.0,280.0,280.0,50,295.25
2008-06-02,280.0,0.0,0.0,280.0,0,280.0
2008-06-03,280.0,0.0,0.0,280.0,0,280.0
2008-06-04,280.0,0.0,0.0,280.0,0,280.0
2008-06-05,280.0,0.0,0.0,280.0,0,280.0
2008-06-08,280.0,0.0,0.0,280.0,0,280.0
2008-06-09,270.0,271.0,270.0,270.25,150,280.0
2008-06-10,270.25,0.0,0.0,270.25,0,270.25
2008-06-11,270.25,0.0,0.0,270.25,0,270.25
2008-06-12,270.25,0.0,0.0,270.25,0,270.25
2008-06-15,270.25,0.0,0.0,270.25,0,270.25
2008-06-16,270.25,0.0,0.0,270.25,0,270.25
2008-06-17,272.25,275.0,272.25,273.0,150,270.25
2008-06-18,273.0,0.0,0.0,273.0,0,273.0
2008-06-19,273.0,0.0,0.0,273.0,0,273.0
2008-06-22,273.0,0.0,0.0,273.0,0,273.0
2008-06-23,273.0,0.0,0.0,273.0,0,273.0
2008-06-24,273.0,0.0,0.0,273.0,0,273.0
2008-06-25,273.0,0.0,0.0,273.0,0,273.0
2008-06-26,277.75,277.75,277.75,277.75,50,273.0
2008-06-29,277.75,0.0,0.0,277.75,0,277.75
2008-06-30,290.0,290.0,290.0,290.0,50,277.75
2008-07-02,290.0,290.0,290.0,290.0,100,290.0
2008-07-03,275.25,275.25,275.25,275.25,50,290.0
2008-07-06,275.25,0.0,0.0,275.25,0,275.25
2008-07-07,275.25,0.0,0.0,275.25,0,275.25
2008-07-08,275.25,0.0,0.0,275.25,0,275.25
2008-07-08,275.25,0.0,0.0,275.25,0,275.25
2008-07-09,275.25,0.0,0.0,275.25,0,275.25
2008-07-10,275.25,0.0,0.0,275.25,0,275.25
2008-07-13,275.25,0.0,0.0,275.25,0,275.25
2008-07-14,275.25,0.0,0.0,275.25,0,275.25
2008-07-15,275.25,0.0,0.0,275.25,0,275.25
2008-07-16,276.0,276.5,276.0,276.0,150,275.25
2008-07-17,276.0,0.0,0.0,276.0,0,276.0
2008-07-20,275.0,275.0,275.0,275.0,50,276.0
2008-07-21,273.0,273.0,273.0,273.0,50,275.0
2008-07-22,273.0,0.0,0.0,273.0,0,273.0
2008-07-23,273.0,0.0,0.0,273.0,0,273.0
2008-07-24,250.25,250.25,250.25,250.25,50,273.0
2008-07-27,250.25,0.0,0.0,250.25,0,250.25
2008-07-28,261.0,261.0,261.0,261.0,50,250.25
2008-07-29,265.0,265.0,265.0,265.0,50,261.0
2008-07-30,265.0,0.0,0.0,265.0,0,265.0
2008-07-31,265.0,0.0,0.0,265.0,0,265.0
2008-08-03,265.0,0.0,0.0,265.0,0,265.0
2008-08-04,265.0,0.0,0.0,265.0,0,265.0
2008-08-05,265.0,0.0,0.0,265.0,0,265.0
2008-08-06,238.5,238.5,238.5,238.5,50,265.0
2008-08-07,238.5,0.0,0.0,238.5,0,238.5
2008-08-10,238.5,0.0,0.0,238.5,0,238.5
2008-08-11,238.5,0.0,0.0,238.5,0,238.5
2008-08-12,238.5,0.0,0.0,238.5,0,238.5
2008-08-13,236.0,236.0,235.0,235.5,100,238.5
2008-08-14,235.5,0.0,0.0,235.5,0,235.5
2008-08-18,235.5,0.0,0.0,235.5,0,235.5
2008-08-19,245.25,245.25,245.25,245.25,50,235.5
2008-08-20,259.0,259.0,259.0,259.0,50,245.25
2008-08-21,240.0,240.0,240.0,240.0,500,259.0
2008-08-25,250.0,270.0,250.0,255.5,700,240.0
2008-08-26,245.0,245.0,245.0,245.0,500,255.5
2008-08-27,245.0,0.0,0.0,245.0,0,245.0
2008-08-28,250.0,278.0,250.0,262.0,1300,245.0
2008-08-31,258.0,265.0,257.5,259.75,400,262.0
2008-09-01,269.0,290.0,269.0,276.0,650,259.75
2008-09-02,299.0,299.75,280.0,289.0,450,276.0
2008-09-03,289.0,0.0,0.0,289.0,0,289.0
2008-09-04,289.0,0.0,0.0,289.0,0,289.0
2008-09-07,270.0,270.0,270.0,0.0,50,289.0
2008-09-08,270.0,0.0,0.0,270.0,0,270.0
2008-09-09,270.0,0.0,0.0,270.0,0,270.0
2008-09-10,262.0,262.0,261.75,261.75,150,270.0
2008-09-11,261.75,0.0,0.0,261.75,0,261.75
2008-09-14,265.0,265.0,262.0,264.25,250,261.75
2008-09-15,264.25,0.0,0.0,264.25,0,264.25
2008-09-16,262.0,262.0,262.0,262.0,200,264.25
2008-09-17,262.0,262.0,262.0,262.0,100,262.0
2008-09-18,262.0,0.0,0.0,262.0,0,262.0
2008-09-21,262.0,262.0,262.0,262.0,50,262.0
2008-09-22,261.5,261.5,260.5,261.0,100,262.0
2008-09-23,245.0,260.0,245.0,252.5,100,261.0
2008-09-24,252.5,0.0,0.0,252.5,0,252.5
2008-09-25,252.5,0.0,0.0,252.5,0,252.5
2008-10-05,252.5,0.0,0.0,252.5,0,252.5
2008-10-06,250.0,250.0,250.0,250.0,200,252.5
2008-10-07,250.0,0.0,0.0,250.0,0,250.0
2008-10-08,250.0,0.0,0.0,250.0,0,250.0
2008-10-12,250.0,0.0,0.0,250.0,0,250.0
2008-10-13,245.5,245.5,240.25,242.0,300,250.0
2008-10-14,242.0,0.0,0.0,242.0,0,242.0
2008-10-15,250.5,250.5,250.5,250.5,50,242.0
2008-10-16,258.5,260.0,258.0,258.5,350,250.5
2008-10-19,258.25,258.25,255.0,257.25,250,258.5
2008-10-20,250.5,250.5,250.0,250.25,150,257.25
2008-10-21,260.0,260.0,260.0,260.0,50,250.25
2008-10-22,260.0,0.0,0.0,260.0,0,260.0
2008-10-23,253.0,253.0,253.0,253.0,50,260.0
2008-10-26,260.0,299.75,260.0,279.25,900,253.0
2008-10-27,279.25,0.0,0.0,279.25,0,279.25
2008-10-28,279.25,0.0,0.0,279.25,0,279.25
2008-10-29,279.25,0.0,0.0,279.25,0,279.25
2008-10-30,256.0,256.0,255.25,255.75,150,279.25
2008-11-02,256.0,256.0,256.0,256.0,50,255.75
2008-11-03,256.0,0.0,0.0,256.0,0,256.0
2008-11-04,256.0,0.0,0.0,256.0,0,256.0
2008-11-05,254.0,254.0,252.0,253.25,150,256.0
2008-11-06,253.25,0.0,0.0,253.25,0,253.25
2008-11-09,251.0,251.0,250.0,250.25,300,253.25
2008-11-10,250.25,0.0,0.0,250.25,0,250.25
2008-11-11,250.25,0.0,0.0,250.25,0,250.25
2008-11-12,250.25,0.0,0.0,250.25,0,250.25
2008-11-13,250.25,0.0,0.0,250.25,0,250.25
