date,open,high,low,close,volume,prev_closing_price
2008-03-06,2097.0,2125.0,1950.0,2033.75,5100,2021.0
2008-03-09,2150.0,2237.0,2150.0,2218.5,7650,2033.75
2008-03-09,2150.0,2237.0,2150.0,2218.5,7650,2033.75
2008-03-10,2375.0,2440.25,2375.0,2440.25,7500,2218.5
2008-03-11,2450.0,2540.0,2210.0,2247.25,13750,2440.25
2008-03-12,2260.0,2400.0,2120.0,2219.75,3600,2247.25
2008-03-13,2260.0,2300.0,2190.0,2268.0,2200,2219.75
2008-03-16,2231.0,2389.0,2231.0,2295.75,3600,2268.0
2008-03-17,2344.0,2499.0,2325.0,2380.0,5500,2295.75
2008-03-18,2239.0,2420.0,2239.0,2305.75,3050,2380.0
2008-03-19,2295.0,2295.0,2235.0,2255.25,900,2305.75
2008-03-20,2230.0,2273.0,2202.25,2219.25,1150,2255.25
2008-03-23,2181.0,2181.0,1999.0,1999.75,3450,2219.25
2008-03-24,2140.0,2140.0,1983.0,2022.5,450,1999.75
2008-03-25,2080.0,2150.0,2050.25,0.0,1600,2022.5
2008-03-30,2200.0,2292.0,2200.0,2277.5,2000,2084.0
2008-03-31,2320.0,2380.0,2210.0,2286.5,2250,2277.5
2008-04-01,2240.0,2247.0,2160.0,2203.0,700,2286.5
2008-04-02,2100.25,2179.0,2091.0,2128.5,700,2203.0
2008-04-03,2080.0,2150.0,2080.0,2118.75,1200,2128.5
2008-04-06,2150.0,2180.0,2031.5,2106.0,1400,2118.75
2008-04-07,2090.0,2090.0,2030.0,2057.0,600,2106.0
2008-04-08,2070.0,2262.5,2050.0,2223.0,3350,2057.0
2008-04-09,2240.0,2345.0,2220.0,2299.75,1550,2223.0
2008-04-10,2250.0,2300.0,2226.0,2255.5,1450,2299.75
2008-04-13,2210.0,2300.0,2200.0,2273.5,2350,2255.5
2008-04-15,2240.0,2240.0,2130.25,2164.5,750,2273.5
2008-04-16,2100.0,2150.0,2050.0,2088.0,700,2164.5
2008-04-17,2065.0,2110.0,2050.0,2094.5,1750,2088.0
2008-04-20,2098.5,2099.0,2015.0,2035.5,1350,2094.5
2008-04-21,2021.0,2050.0,2015.0,2024.0,1200,2035.5
2008-04-22,1971.0,2095.0,1970.0,2008.0,1500,2024.0
2008-04-23,2048.0,2138.0,1990.0,2057.0,2450,2008.0
2008-04-24,2100.0,2150.0,2005.0,2063.75,1050,2057.0
2008-04-27,2011.0,2011.0,1991.0,1997.75,650,2063.75
2008-04-28,2010.0,2010.0,1952.0,1977.0,1350,1997.75
2008-04-29,2000.0,2025.0,1966.0,1997.0,800,1977.0
2008-04-30,2000.0,2000.0,1926.0,1961.5,400,1997.0
2008-05-04,1911.0,1950.0,1911.0,1936.25,1050,1961.5
2008-05-05,2000.0,2136.25,1961.25,2058.0,5850,1936.25
2008-05-06,2200.0,2260.0,2149.0,2170.5,2750,2058.0
2008-05-07,2060.0,2130.0,2050.0,2087.25,2800,2170.5
2008-05-08,2200.0,2200.0,2062.25,2130.75,1450,2087.25
2008-05-11,2130.0,2199.0,2130.0,2178.75,3700,2130.75
2008-05-12,2239.75,2350.0,2200.0,2274.25,7900,2178.75
2008-05-13,2299.0,2300.0,2150.0,2159.5,2400,2274.25
2008-05-14,2199.0,2250.0,2175.0,2229.25,4400,2159.5
2008-05-15,2319.75,2398.0,2275.0,2379.25,8250,2229.25
2008-05-18,2400.0,2499.0,2300.0,2352.0,9300,2379.25
2008-05-20,2434.0,2584.0,2350.0,2574.25,4250,2352.0
2008-05-21,2550.0,2550.0,2450.0,2456.25,2350,2574.25
2008-05-22,2451.0,2550.0,2365.0,2396.25,3550,2456.25
2008-05-25,2530.0,2580.0,2440.0,2483.0,2250,2396.25
2008-05-26,2370.0,2469.0,2370.0,2425.0,1500,2483.0
2008-05-27,2460.0,2460.0,2350.0,2370.75,1950,2425.0
2008-05-28,2400.0,2420.0,2301.0,2345.0,1750,2370.75
