date,open,high,low,close,volume,prev_closing_price
2008-10-16,600.0,1074.0,600.0,879.25,233050,100.0
2008-10-19,880.0,910.0,791.0,832.0,116450,879.25
2008-10-20,821.0,1010.0,820.0,993.75,102850,832.0
2008-10-21,999.0,1020.0,956.0,971.75,114100,993.75
2008-10-22,968.0,1019.0,950.0,985.25,98050,971.75
2008-10-23,1000.0,1095.0,985.25,1080.75,125500,985.25
2008-10-26,1060.0,1110.0,1011.0,1018.25,70700,1080.75
2008-10-27,1048.0,1048.0,976.0,985.0,57750,1018.25
2008-10-28,1025.0,1030.0,963.5,984.25,40800,985.0
2008-10-29,1010.0,1010.0,901.0,916.0,74800,984.25
2008-10-30,938.0,938.0,853.0,872.75,64800,916.0
2008-11-02,865.0,872.75,820.0,829.75,63450,872.75
2008-11-03,848.0,881.0,815.0,821.0,54150,829.75
2008-11-04,832.0,876.5,832.0,846.0,43400,821.0
2008-11-05,860.0,860.0,790.0,800.25,46350,846.0
2008-11-06,804.0,812.0,776.0,782.5,42700,800.25
2008-11-09,775.25,775.25,704.25,711.75,75550,782.5
2008-11-10,725.0,778.0,701.25,764.75,40050,711.75
2008-11-11,776.0,776.75,740.0,745.5,31100,764.75
2008-11-12,770.0,794.75,758.25,773.25,38450,745.5
2008-11-13,789.0,805.0,757.0,759.25,45850,773.25
2008-11-16,750.25,759.0,727.0,730.0,24200,759.25
2008-11-17,725.0,744.75,715.0,725.25,24450,730.0
2008-11-18,741.75,749.75,705.0,708.75,48400,725.25
2008-11-19,728.0,728.0,680.5,685.5,39900,708.75
2008-11-20,650.0,677.0,646.0,671.75,34800,685.5
2008-11-23,698.0,718.75,690.25,691.75,44200,671.75
2008-11-24,709.0,712.0,671.5,689.25,40050,691.75
2008-11-25,680.5,698.0,665.75,667.75,31250,689.25
2008-11-26,671.0,672.0,642.0,650.5,29150,667.75
2008-11-27,648.0,655.0,601.0,603.25,37500,650.5
2008-11-30,612.0,624.0,560.25,615.5,47500,603.25
2008-12-01,618.0,643.5,613.0,630.0,25650,615.5
2008-12-02,621.25,653.75,621.25,640.25,28500,630.0
2008-12-03,638.0,710.0,631.0,698.0,55950,640.25
2008-12-04,720.0,720.0,681.25,694.0,42500,698.0
2008-12-14,680.0,740.0,680.0,710.75,40050,694.0
2008-12-15,710.0,710.0,675.0,685.25,20450,710.75
2008-12-17,689.0,712.0,687.0,700.75,20000,685.25
2008-12-18,714.0,744.0,711.0,730.5,51900,700.75
2008-12-21,730.0,747.75,722.0,739.0,44050,730.5
2008-12-22,737.25,743.0,723.75,728.75,26950,739.0
