date,open,high,low,close,volume,prev_closing_price
2008-03-06,108.0,108.0,108.0,108.0,5,107.75
2008-03-09,115.0,115.0,115.0,115.0,50,108.0
2008-03-09,115.0,115.0,115.0,115.0,50,108.0
2008-03-10,120.0,135.0,120.0,133.5,220,115.0
2008-03-11,133.5,133.5,133.5,133.5,10,133.5
2008-03-12,135.0,140.0,135.0,138.0,25,133.5
2008-03-13,126.0,126.0,126.0,126.0,200,138.0
2008-03-16,126.0,0.0,0.0,126.0,0,126.0
2008-03-17,120.0,120.0,120.0,120.0,5,126.0
2008-03-18,111.0,111.0,108.0,109.5,230,120.0
2008-03-19,119.0,130.0,119.0,125.25,130,109.5
2008-03-20,125.25,0.0,0.0,125.25,0,125.25
2008-03-23,125.25,0.0,0.0,125.25,0,125.25
2008-03-24,125.25,0.0,0.0,125.25,0,125.25
2008-03-25,125.25,0.0,0.0,0.0,0,125.25
2008-03-30,135.0,135.0,125.25,131.75,15,125.25
2008-03-31,135.0,141.0,135.0,139.0,105,131.75
2008-04-01,139.0,0.0,0.0,139.0,0,139.0
2008-04-02,139.0,0.0,0.0,139.0,0,139.0
2008-04-03,139.0,0.0,0.0,139.0,0,139.0
2008-04-06,139.0,0.0,0.0,139.0,0,139.0
2008-04-07,139.0,0.0,0.0,139.0,0,139.0
2008-04-08,139.0,0.0,0.0,139.0,0,139.0
2008-04-09,139.0,0.0,0.0,139.0,0,139.0
2008-04-10,127.5,127.5,127.5,127.5,40,139.0
2008-04-13,127.5,0.0,0.0,127.5,0,127.5
2008-04-15,127.5,0.0,0.0,127.5,0,127.5
2008-04-16,127.5,0.0,0.0,127.5,0,127.5
2008-04-17,135.0,135.0,135.0,135.0,10,127.5
2008-04-20,127.0,127.25,127.0,127.0,10,135.0
2008-04-21,127.0,0.0,0.0,127.0,0,127.0
2008-04-22,127.0,0.0,0.0,127.0,0,127.0
2008-04-23,127.0,0.0,0.0,127.0,0,127.0
2008-04-24,125.0,125.0,125.0,125.0,10,127.0
2008-04-27,125.0,0.0,0.0,125.0,0,125.0
2008-04-28,125.0,0.0,0.0,125.0,0,125.0
2008-04-29,125.0,0.0,0.0,125.0,0,125.0
2008-04-30,125.0,0.0,0.0,125.0,0,125.0
2008-05-04,125.0,0.0,0.0,125.0,0,125.0
2008-05-05,125.0,0.0,0.0,125.0,0,125.0
2008-05-06,125.0,0.0,0.0,125.0,0,125.0
2008-05-07,125.0,0.0,0.0,125.0,0,125.0
2008-05-08,114.0,114.0,114.0,114.0,10,125.0
2008-05-11,114.0,0.0,0.0,114.0,0,114.0
2008-05-12,114.0,0.0,0.0,114.0,0,114.0
2008-05-13,114.0,0.0,0.0,114.0,0,114.0
2008-05-14,114.0,0.0,0.0,114.0,0,114.0
2008-05-15,114.0,0.0,0.0,114.0,0,114.0
2008-05-18,114.0,0.0,0.0,114.0,0,114.0
2008-05-20,114.0,0.0,0.0,114.0,0,114.0
2008-05-21,114.0,0.0,0.0,114.0,0,114.0
2008-05-22,114.0,0.0,0.0,114.0,0,114.0
2008-05-25,114.0,0.0,0.0,114.0,0,114.0
