date,open,high,low,close,volume,prev_closing_price
2019-07-16,25.2,38.7,25.1,36.4,5013099,0.0
2019-07-17,38.0,38.3,34.0,34.8,880106,36.4
2019-07-18,34.0,38.2,33.0,36.2,3378493,34.8
2019-07-21,36.7,39.8,35.8,39.2,1743220,36.2
2019-07-22,39.6,40.9,36.1,36.5,2293712,39.2
2019-07-23,36.4,37.7,35.0,37.2,1432106,36.5
2019-07-24,37.7,38.7,36.6,37.9,1773836,37.2
2019-07-25,37.9,38.5,35.6,35.9,1464350,37.9
2019-07-28,35.5,36.2,32.5,32.7,1703877,35.9
2019-07-29,32.7,34.3,32.2,33.4,714838,32.7
2019-07-30,33.5,34.0,31.7,32.0,1027955,33.4
2019-07-31,32.0,32.3,30.7,30.8,894231,32.0
2019-08-01,30.7,33.7,30.7,33.4,1090905,30.8
2019-08-04,33.4,34.4,31.8,32.1,787781,33.4
2019-08-05,32.5,32.8,31.4,31.9,992129,32.1
2019-08-06,32.5,32.8,31.9,32.1,582204,31.9
2019-08-07,32.2,33.4,31.5,31.8,788348,32.1
2019-08-08,32.0,32.2,31.8,32.0,338511,31.8
2019-08-18,32.1,32.3,31.6,31.8,347124,32.0
2019-08-19,32.0,32.8,31.7,31.8,479830,31.8
2019-08-20,32.0,32.4,31.6,31.7,515090,31.8
2019-08-21,31.9,31.9,30.7,31.0,475015,31.7
2019-08-22,31.3,31.4,30.2,30.8,291076,31.0
2019-08-25,30.8,31.4,29.9,30.2,401292,30.8
2019-08-26,30.5,30.5,28.7,29.0,370279,30.2
2019-08-27,29.3,30.6,29.2,29.6,469192,29.0
2019-08-28,29.6,30.0,28.0,28.2,476529,29.6
2019-08-29,28.5,29.1,28.0,28.2,307732,28.2
2019-09-01,28.4,28.6,27.9,28.2,278750,28.2
2019-09-02,28.3,28.5,27.2,27.4,326819,28.2
2019-09-03,27.4,27.8,26.8,27.5,349501,27.4
2019-09-04,27.8,30.2,27.8,30.2,935135,27.5
2019-09-05,30.4,31.3,28.7,29.2,751052,30.2
2019-09-08,29.1,29.9,28.4,28.6,699111,29.2
2019-09-09,28.6,28.9,27.4,27.7,394826,28.6
2019-09-11,27.7,27.9,26.1,26.3,439573,27.7
2019-09-12,26.3,28.0,26.0,27.1,577313,26.3
2019-09-15,27.2,27.4,26.6,27.0,319878,27.1
2019-09-16,27.0,27.6,26.7,26.7,486394,27.0
2019-09-17,26.8,27.1,26.0,26.1,282538,26.7
2019-09-18,26.2,26.5,25.0,25.2,345866,26.1
2019-09-19,25.4,25.5,23.6,23.9,293283,25.2
2019-09-22,24.0,24.6,23.8,24.4,239380,23.9
2019-09-23,24.5,25.5,24.5,25.0,248246,24.4
2019-09-24,25.1,25.2,24.6,24.7,260533,25.0
2019-09-25,24.7,24.7,24.0,24.3,239334,24.7
2019-09-26,24.7,25.3,23.6,24.0,428841,24.3
2019-09-29,24.3,24.4,23.2,23.6,219298,24.0
2019-09-30,23.7,24.5,23.3,23.5,283693,23.6
2019-10-01,23.7,24.4,23.6,24.1,222601,23.5
2019-10-02,24.2,24.5,23.6,23.9,245839,24.1
2019-10-03,24.0,25.9,24.0,25.3,891908,23.9
2019-10-06,25.3,25.6,24.7,24.8,314709,25.3
2019-10-07,25.0,25.0,24.0,24.1,350424,24.8
2019-10-09,24.2,24.3,23.1,23.2,268539,24.1
2019-10-10,23.3,23.4,22.0,22.2,277491,23.2
2019-10-13,22.3,22.8,20.8,21.1,172223,22.2
2019-10-14,21.2,22.0,21.0,21.4,183456,21.1
2019-10-15,22.0,23.2,21.8,22.7,258550,21.4
2019-10-16,22.9,22.9,21.3,21.6,180876,22.7
2019-10-17,21.7,21.7,21.0,21.4,173465,21.6
2019-10-20,21.5,21.6,20.5,20.7,180927,21.4
2019-10-21,20.7,20.9,18.8,19.1,215034,20.7
2019-10-22,19.2,19.3,17.9,18.0,267955,19.1
2019-10-23,18.2,19.6,18.0,18.8,288964,18.0
2019-10-24,18.4,20.4,18.4,20.1,409197,18.8
2019-10-27,18.8,20.7,18.8,20.2,231658,20.1
2019-10-28,20.2,20.2,19.5,20.0,197117,20.2
2019-10-29,19.0,19.5,17.6,19.0,619724,20.0
2019-10-30,19.0,20.6,19.0,20.4,289293,19.0
2019-10-31,20.4,21.8,20.0,21.3,692974,20.4
2019-11-03,21.3,22.6,21.3,21.8,689751,21.3
2019-11-04,21.8,21.8,21.2,21.5,534431,21.8
2019-11-05,21.5,23.3,21.3,22.6,573110,21.5
2019-11-06,22.9,23.4,21.9,22.0,684832,22.6
2019-11-07,22.3,22.6,21.8,22.2,270091,22.0
2019-11-11,22.5,22.5,21.9,21.9,396737,22.2
2019-11-12,22.4,23.8,22.1,23.6,921181,21.9
2019-11-13,22.8,25.0,22.7,24.6,1863896,23.6
2019-11-14,24.7,25.7,24.6,25.5,687521,24.6
2019-11-17,25.5,26.4,25.5,26.3,592193,25.5
2019-11-18,26.3,28.9,26.1,28.4,919587,26.3
2019-11-19,28.6,31.2,27.9,31.0,1617997,28.4
2019-11-20,31.0,32.0,30.7,31.6,759297,31.0
2019-11-21,32.0,34.7,31.7,34.7,1453291,31.6
2019-11-24,0.0,0.0,0.0,34.7,0,34.7
2019-11-25,34.0,36.2,33.2,35.9,1677707,34.7
2019-11-26,36.0,36.5,34.9,35.5,837708,35.9
2019-11-27,35.5,37.8,35.2,37.1,856154,35.5
2019-11-28,37.1,39.4,37.1,39.1,657476,37.1
2019-12-01,39.1,40.8,39.1,39.3,622347,39.1
2019-12-02,39.4,41.0,38.2,38.9,1118674,39.3
2019-12-03,39.0,39.8,38.2,39.5,772956,38.9
2019-12-04,39.5,41.5,39.4,41.0,700540,39.5
2019-12-05,41.5,42.2,41.1,41.7,463073,41.0
2019-12-08,41.9,41.9,41.0,41.1,400524,41.7
2019-12-09,41.4,41.9,41.0,41.2,272669,41.1
2019-12-10,41.4,42.5,41.3,41.4,204112,41.2
2019-12-11,41.3,41.9,40.8,41.6,305288,41.4
2019-12-12,41.9,41.9,41.0,41.4,148981,41.6
2019-12-15,41.4,42.0,41.3,41.9,274672,41.4
2019-12-17,41.9,42.0,41.4,41.5,139207,41.9
2019-12-18,41.4,41.9,41.0,41.5,134858,41.5
2019-12-19,41.9,41.9,41.0,41.2,141410,41.5
2019-12-22,41.5,41.9,41.2,41.6,265045,41.2
2019-12-23,41.8,41.8,41.4,41.8,77419,41.6
2019-12-24,41.7,42.0,41.7,41.8,269244,41.8
2019-12-26,41.8,42.0,41.6,41.7,219772,41.8
2019-12-29,41.1,41.8,41.1,41.5,160180,41.7
2019-12-30,41.5,41.6,41.2,41.3,175370,41.5
2020-01-01,41.8,41.8,41.0,41.4,163118,41.3
2020-01-02,41.4,41.4,41.1,41.3,169346,41.4
2020-01-05,41.8,42.0,41.1,41.3,236113,41.3
2020-01-06,41.9,41.9,41.1,41.2,97214,41.3
2020-01-07,41.1,41.5,41.1,41.2,131859,41.2
2020-01-08,41.2,41.6,41.0,41.4,73014,41.2
2020-01-09,41.2,41.9,41.1,41.7,187215,41.4
2020-01-12,41.8,41.8,41.1,41.3,75767,41.7
2020-01-13,41.2,41.3,41.0,41.1,205847,41.3
2020-01-14,41.1,41.4,40.6,41.1,105126,41.1
2020-01-15,41.1,41.4,40.6,41.0,262486,41.1
2020-01-16,40.2,45.1,40.2,44.0,2507610,41.0
2020-01-19,44.1,48.3,44.1,47.7,888439,44.0
2020-01-20,44.0,51.5,44.0,50.6,1531494,47.7
2020-01-21,50.8,55.5,50.4,54.7,953017,50.6
2020-01-22,51.6,60.1,51.6,59.9,907860,54.7
2020-01-23,60.3,61.4,56.7,58.0,1062632,59.9
2020-01-26,58.1,58.1,55.4,55.8,554607,58.0
2020-01-27,56.0,59.0,56.0,57.0,852708,55.8
2020-01-28,57.0,58.7,55.5,57.8,648847,57.0
2020-01-29,57.5,57.9,55.2,55.7,397862,57.8
2020-01-30,56.7,57.2,55.0,55.2,539316,55.7
2020-02-02,56.4,56.9,55.0,55.1,350728,55.2
2020-02-03,55.4,56.3,55.0,55.5,371817,55.1
2020-02-04,56.1,56.6,55.7,56.1,343554,55.5
2020-02-05,56.6,56.7,55.7,56.1,205283,56.1
2020-02-06,56.3,56.6,55.1,55.2,316588,56.1
2020-02-09,55.2,55.9,55.1,55.2,199396,55.2
2020-02-10,55.2,55.7,55.2,55.3,112611,55.2
2020-02-11,55.9,56.7,55.3,55.4,197962,55.3
2020-02-12,55.8,56.2,55.3,55.4,225272,55.4
2020-02-13,55.6,56.6,55.6,56.5,269969,55.4
2020-02-16,56.5,57.7,56.0,56.4,740417,56.5
2020-02-17,56.1,56.9,55.4,55.8,153516,56.4
2020-02-18,55.8,56.3,55.3,55.3,443179,55.8
2020-02-19,55.3,56.1,55.2,55.3,285488,55.3
2020-02-20,55.4,55.9,55.3,55.6,195499,55.3
2020-02-23,56.0,61.1,55.6,61.1,1367604,55.6
2020-02-24,67.2,67.2,60.9,61.3,1490087,61.1
2020-02-25,60.5,61.4,60.0,60.1,840333,61.3
2020-02-26,60.1,61.0,59.9,60.0,769523,60.1
2020-02-27,60.5,61.4,60.0,60.0,589586,60.0
2020-03-01,60.3,62.0,60.0,61.1,456698,60.0
2020-03-02,55.0,62.7,55.0,60.2,464762,61.1
2020-03-03,60.3,65.7,60.2,65.1,1131302,60.2
2020-03-04,65.6,68.0,65.4,67.4,789419,65.1
2020-03-05,67.4,72.0,66.0,71.6,986523,67.4
2020-03-08,71.6,74.0,71.2,73.5,611973,71.6
2020-03-09,73.0,75.0,68.0,72.9,1397473,73.5
2020-03-10,74.6,79.5,73.1,78.9,409579,72.9
2020-03-11,77.1,82.6,77.1,81.8,535802,78.9
2020-03-12,82.4,82.4,80.0,80.2,790060,81.8
2020-03-15,80.5,82.0,80.0,80.7,656375,80.2
2020-03-16,81.0,81.9,80.0,80.3,661947,80.7
2020-03-18,81.0,81.0,72.3,72.3,690855,80.3
2020-03-19,79.4,79.4,79.4,79.4,5747,72.3
2020-03-22,79.1,79.1,79.1,79.1,6354,79.4
2020-03-23,79.1,79.1,79.1,79.1,1552,79.1
2020-03-24,79.1,79.1,79.1,79.1,2,79.1
2020-03-25,79.1,79.1,79.1,79.1,2,79.1
2020-05-31,79.1,79.1,79.1,79.1,600,79.1
2020-06-01,79.1,79.1,79.1,79.1,1,79.1
2020-06-02,79.1,79.1,79.1,79.1,135,79.1
2020-06-03,0.0,0.0,0.0,79.1,0,79.1
2020-06-04,79.1,79.1,79.1,79.1,52,79.1
2020-06-07,0.0,0.0,0.0,79.1,0,79.1
2020-06-08,0.0,0.0,0.0,79.1,0,79.1
2020-06-09,0.0,0.0,0.0,79.1,0,79.1
2020-06-10,0.0,0.0,0.0,79.1,0,79.1
2020-06-11,79.1,79.1,79.1,79.1,10,79.1
2020-06-14,0.0,0.0,0.0,79.1,0,79.1
2020-06-15,0.0,0.0,0.0,79.1,0,79.1
2020-06-16,0.0,0.0,0.0,79.1,0,79.1
2020-06-17,0.0,0.0,0.0,79.1,0,79.1
2020-06-18,0.0,0.0,0.0,79.1,0,79.1
2020-06-21,79.1,79.1,79.1,79.1,5,79.1
2020-06-22,0.0,0.0,0.0,79.1,0,79.1
2020-06-23,79.1,79.1,79.1,79.1,1,79.1
2020-06-24,79.1,79.1,79.1,79.1,1,79.1
2020-06-25,79.1,79.1,79.1,79.1,1,79.1
2020-06-28,79.1,79.1,79.1,79.1,1,79.1
2020-06-29,79.1,79.1,79.1,79.1,1,79.1
2020-06-30,79.1,79.1,79.1,79.1,113,79.1
2020-07-02,0.0,0.0,0.0,79.1,0,79.1
2020-07-05,79.1,79.1,79.1,79.1,1,79.1
2020-07-06,79.1,79.1,79.1,79.1,1,79.1
2020-07-07,79.1,79.1,79.1,79.1,20,79.1
2020-07-08,79.1,79.1,79.1,79.1,1,79.1
2020-07-09,79.1,79.1,79.1,79.1,1,79.1
2020-07-12,79.1,79.1,79.1,79.1,3,79.1
2020-07-13,0.0,0.0,0.0,79.1,0,79.1
2020-07-14,79.1,79.1,79.1,79.1,1,79.1
2020-07-15,0.0,0.0,0.0,79.1,0,79.1
2020-07-16,0.0,0.0,0.0,79.1,0,79.1
2020-07-19,79.1,79.1,79.1,79.1,45,79.1
2020-07-20,79.1,79.1,79.1,79.1,11047,79.1
2020-07-21,79.1,79.1,79.1,79.1,39444,79.1
2020-07-22,79.1,79.1,79.1,79.1,1,79.1
2020-07-23,79.1,79.1,79.1,79.1,2,79.1
2020-07-26,79.1,79.1,79.1,79.1,3953,79.1
2020-07-27,0.0,0.0,0.0,79.1,0,79.1
2020-07-28,79.1,79.1,79.1,79.1,60002,79.1
2020-07-29,79.1,79.1,79.1,79.1,50,79.1
2020-07-30,0.0,0.0,0.0,79.1,0,79.1
2020-08-03,79.1,79.1,79.1,79.1,57403,79.1
2020-08-04,79.1,79.1,79.1,79.1,155,79.1
2020-08-05,0.0,0.0,0.0,79.1,0,79.1
2020-08-06,0.0,0.0,0.0,79.1,0,79.1
2020-08-09,79.1,79.1,79.1,79.1,1965,79.1
2020-08-10,79.1,79.1,79.1,79.1,12408,79.1
2020-08-12,79.1,79.1,79.1,79.1,7720,79.1
2020-08-13,79.1,79.1,79.1,79.1,2905,79.1
2020-08-16,79.1,79.1,79.1,79.1,3241,79.1
2020-08-17,79.1,79.1,79.1,79.1,4141,79.1
2020-08-18,79.1,79.1,79.1,79.1,5000,79.1
2020-08-19,79.1,79.1,79.1,79.1,105,79.1
2020-08-20,79.1,79.1,79.1,79.1,1,79.1
2020-08-23,79.1,79.1,79.1,79.1,12981,79.1
2020-08-24,79.1,79.1,79.1,79.1,9,79.1
2020-08-25,79.1,79.1,79.1,79.1,1000,79.1
2020-08-26,79.1,79.1,79.1,79.1,67499,79.1
2020-08-27,79.1,79.1,79.1,79.1,370,79.1
2020-08-31,79.1,79.1,79.1,79.1,350,79.1
2020-09-01,79.1,79.1,79.1,79.1,108,79.1
2020-09-02,79.1,79.1,79.1,79.1,511,79.1
2020-09-03,0.0,0.0,0.0,79.1,0,79.1
2020-09-06,79.1,79.1,79.1,79.1,580,79.1
2020-09-07,79.1,79.1,79.1,79.1,330,79.1
2020-09-08,79.1,79.1,79.1,79.1,50,79.1
2020-09-09,79.1,79.1,79.1,79.1,1106,79.1
2020-09-10,79.1,79.1,79.1,79.1,1915,79.1
2020-09-13,79.1,79.1,79.1,79.1,651,79.1
2020-09-14,79.1,79.1,79.1,79.1,126,79.1
