date,open,high,low,close,volume,prev_closing_price
2019-03-04,6.1,11.5,4.5,10.5,106720,0.0
2019-03-05,10.0,10.3,10.0,10.0,23018,10.5
2019-03-06,10.0,10.0,10.0,10.0,23812,10.0
2019-03-07,10.0,10.0,10.0,10.0,11416,10.0
2019-03-10,10.1,10.2,10.0,10.1,10599,10.0
2019-03-11,10.0,10.0,10.0,10.0,3500,10.1
2019-03-12,10.0,10.0,10.0,10.0,3500,10.0
2019-03-13,10.0,10.3,10.0,10.0,1501,10.0
2019-03-14,10.0,10.0,10.0,10.0,9500,10.0
2019-03-18,10.0,10.0,10.0,10.0,16000,10.0
2019-03-19,10.0,10.0,10.0,10.0,7110,10.0
2019-03-20,10.0,10.0,10.0,10.0,1000,10.0
2019-03-21,10.0,10.0,10.0,10.0,500,10.0
2019-03-24,9.8,10.0,9.8,10.0,16500,10.0
2019-03-25,10.2,10.2,10.0,10.1,32099,10.0
2019-03-27,10.0,10.0,10.0,10.0,9600,10.1
2019-03-28,10.0,10.5,10.0,10.0,30902,10.0
2019-03-31,10.1,10.1,10.0,10.0,4001,10.0
2019-04-01,10.0,10.0,10.0,10.0,4500,10.0
2019-04-02,10.0,10.0,10.0,10.0,2000,10.0
2019-04-03,10.0,10.0,10.0,10.0,2750,10.0
2019-04-04,10.0,10.0,10.0,10.0,500,10.0
2019-04-07,10.0,10.0,10.0,10.0,500,10.0
2019-04-08,10.0,10.0,10.0,10.0,9500,10.0
2019-04-09,10.0,10.0,10.0,10.0,25590,10.0
2019-04-10,10.0,10.0,10.0,10.0,2000,10.0
2019-04-11,10.0,10.0,10.0,10.0,25300,10.0
2019-04-15,0.0,0.0,0.0,10.0,0,10.0
2019-04-16,10.0,10.0,10.0,10.0,11000,10.0
2019-04-17,10.1,10.3,10.0,10.0,531,10.0
2019-04-18,10.0,10.0,10.0,10.0,500,10.0
2019-04-21,0.0,0.0,0.0,10.0,0,10.0
2019-04-23,10.1,10.1,10.0,10.0,1500,10.0
2019-04-24,10.2,10.2,10.2,10.2,8,10.0
2019-04-25,0.0,0.0,0.0,10.2,0,10.2
2019-04-28,10.0,10.0,10.0,10.0,500,10.2
2019-04-29,10.1,10.1,10.0,10.0,1000,10.0
2019-04-30,10.0,10.2,10.0,10.0,1555,10.0
2019-05-02,10.1,10.1,10.0,10.0,501,10.0
2019-05-05,0.0,0.0,0.0,10.0,0,10.0
2019-05-06,10.0,10.0,10.0,10.0,1000,10.0
2019-05-07,0.0,0.0,0.0,10.0,0,10.0
2019-05-08,10.0,10.0,10.0,10.0,1000,10.0
2019-05-09,0.0,0.0,0.0,10.0,0,10.0
2019-05-12,0.0,0.0,0.0,10.0,0,10.0
2019-05-13,0.0,0.0,0.0,10.0,0,10.0
2019-05-14,0.0,0.0,0.0,10.0,0,10.0
2019-05-15,0.0,0.0,0.0,10.0,0,10.0
2019-05-16,0.0,0.0,0.0,10.0,0,10.0
2019-05-19,0.0,0.0,0.0,10.0,0,10.0
2019-05-20,0.0,0.0,0.0,10.0,0,10.0
2019-05-21,0.0,0.0,0.0,10.0,0,10.0
2019-05-22,10.1,10.1,10.0,10.1,150,10.0
2019-05-23,10.1,10.1,10.1,10.1,131,10.1
2019-05-26,10.0,10.0,10.0,10.0,500,10.1
2019-05-27,10.0,10.1,10.0,10.1,200,10.0
2019-05-28,10.0,10.0,10.0,10.0,4600,10.1
2019-05-29,10.0,10.1,10.0,10.0,375,10.0
2019-05-30,10.0,10.0,10.0,10.0,500,10.0
2019-06-09,10.1,11.0,10.1,10.8,628,10.0
2019-06-10,10.0,11.8,10.0,11.1,5917,10.8
2019-06-11,12.0,12.2,11.5,12.0,11764,11.1
2019-06-12,11.8,11.8,11.0,11.8,761,12.0
2019-06-13,0.0,0.0,0.0,11.8,0,11.8
2019-06-16,10.7,10.7,10.7,10.7,6,11.8
2019-06-17,10.7,10.7,10.1,10.5,1500,10.7
2019-06-18,9.9,9.9,9.8,9.9,500,10.5
2019-06-19,9.9,9.9,9.9,9.9,320,9.9
2019-06-20,10.0,10.0,10.0,10.0,250,9.9
2019-06-23,0.0,0.0,0.0,10.0,0,10.0
2019-06-24,11.0,11.0,11.0,11.0,816,10.0
2019-06-25,11.9,11.9,11.4,11.6,1601,11.0
2019-06-26,10.5,10.7,10.5,10.5,600,11.6
2019-06-27,10.1,10.7,10.1,10.4,3200,10.5
2019-06-30,10.8,10.8,10.8,10.8,180,10.4
2019-07-02,10.0,10.2,10.0,10.0,501,10.8
2019-07-03,10.7,10.7,10.0,10.0,501,10.0
2019-07-04,11.0,11.0,10.9,11.0,1109,10.0
2019-07-07,12.0,12.1,12.0,12.1,4935,11.0
2019-07-08,13.3,13.3,13.3,13.3,6818,12.1
2019-07-09,14.6,14.6,14.6,14.6,2255,13.3
2019-07-10,16.0,16.0,16.0,16.0,340811,14.6
2019-07-11,17.6,17.6,17.6,17.6,4244,16.0
2019-07-14,19.3,19.3,19.3,19.3,2003,17.6
2019-07-15,21.2,21.2,19.0,21.1,165920,19.3
2019-07-16,23.2,23.2,21.1,23.2,51967,21.1
2019-07-17,25.5,25.5,24.8,25.3,19685,23.2
2019-07-18,27.7,27.8,27.7,27.8,22900,25.3
2019-07-21,30.5,30.5,30.5,30.5,3457,27.8
2019-07-22,33.5,33.5,33.5,33.5,1005,30.5
2019-07-23,36.8,36.8,36.8,36.8,1190,33.5
2019-07-24,40.4,40.4,36.9,40.4,107525,36.8
2019-07-25,44.4,44.4,44.4,44.4,3623,40.4
2019-07-28,48.8,48.8,40.0,40.0,73570,44.4
2019-07-29,36.0,44.0,36.0,43.9,196492,40.0
2019-07-30,47.9,48.0,39.6,40.0,37634,43.9
2019-07-31,37.0,41.0,36.0,36.0,74967,40.0
2019-08-01,34.0,39.5,32.4,32.4,99987,36.0
2019-08-04,30.5,32.7,29.2,29.3,90873,32.4
2019-08-05,29.4,32.2,28.7,31.1,81333,29.3
2019-08-06,30.5,30.7,28.0,28.3,59900,31.1
2019-08-07,28.3,28.3,21.2,22.6,106068,28.3
2019-08-08,21.0,24.8,21.0,24.8,134508,22.6
2019-08-18,26.9,27.2,26.1,27.2,324993,24.8
2019-08-19,28.5,29.9,24.8,25.3,184268,27.2
2019-08-20,25.0,27.0,22.9,26.4,287676,25.3
2019-08-21,27.5,27.5,23.9,24.2,294865,26.4
2019-08-22,23.3,24.3,21.9,22.6,325640,24.2
2019-08-25,22.0,22.0,20.4,20.4,198276,22.6
2019-08-26,21.0,21.0,18.4,18.4,510741,20.4
2019-08-27,18.0,18.8,16.6,16.6,485024,18.4
2019-08-28,16.8,18.2,15.3,17.8,1029467,16.6
2019-08-29,18.9,19.5,18.7,19.4,828290,17.8
2019-09-01,18.1,19.0,17.5,17.5,393440,19.4
2019-09-02,16.0,18.5,15.8,18.1,667316,17.5
2019-09-03,0.0,0.0,0.0,18.1,0,18.1
2019-09-04,18.1,19.5,17.0,18.0,1729075,18.1
2019-09-05,18.4,19.6,18.4,18.9,500386,18.0
2019-09-08,19.0,19.5,17.5,17.9,858801,18.9
2019-09-09,17.9,18.3,16.5,17.1,798157,17.9
2019-09-11,17.1,17.6,15.8,16.0,762663,17.1
2019-09-12,15.6,17.4,15.3,16.9,1046151,16.0
2019-09-15,17.5,18.1,16.6,17.2,701139,16.9
2019-09-16,17.3,17.3,15.5,15.6,744881,17.2
2019-09-17,15.1,15.9,14.6,14.8,598500,15.6
2019-09-18,14.5,15.7,14.5,15.1,626776,14.8
2019-09-19,15.0,15.4,14.3,14.6,297763,15.1
2019-09-22,14.2,14.4,13.7,13.9,681233,14.6
2019-09-23,14.3,14.5,14.0,14.2,443433,13.9
2019-09-24,13.2,15.6,13.2,15.6,1489192,14.2
2019-09-25,16.0,17.0,15.8,16.0,1183408,15.6
2019-09-26,15.7,16.5,15.4,15.7,1402756,16.0
2019-09-29,16.0,17.2,15.4,17.2,1779661,15.7
2019-09-30,17.6,18.9,16.7,17.7,2700729,17.2
2019-10-01,17.5,19.0,16.9,18.6,4044783,17.7
2019-10-02,19.0,19.5,18.4,18.7,3139019,18.6
2019-10-03,18.7,18.9,17.9,18.2,4368734,18.7
2019-10-06,18.3,18.4,16.4,16.5,4423844,18.2
2019-10-07,16.5,17.1,15.0,15.4,3107335,16.5
2019-10-09,15.7,16.7,15.7,16.1,1942918,15.4
2019-10-10,16.7,16.7,14.6,14.8,2333920,16.1
2019-10-13,15.2,15.4,14.1,14.3,1442519,14.8
2019-10-14,14.5,15.0,14.2,14.5,1599571,14.3
2019-10-15,14.9,15.2,14.8,14.9,1446865,14.5
2019-10-16,15.1,15.1,14.1,14.2,1424349,14.9
2019-10-17,14.2,14.9,14.2,14.6,1160926,14.2
2019-10-20,14.9,15.3,14.6,14.7,2096080,14.6
2019-10-21,14.7,14.8,14.2,14.3,1280909,14.7
2019-10-22,14.4,14.4,13.3,13.4,1355094,14.3
2019-10-23,13.5,13.6,12.2,12.4,2325955,13.4
2019-10-24,12.6,12.9,12.4,12.7,743853,12.4
2019-10-27,12.9,13.0,12.3,12.5,1090776,12.7
2019-10-28,12.4,12.4,11.3,11.3,1777950,12.5
2019-10-29,11.1,11.2,10.5,10.9,1309817,11.3
2019-10-30,10.9,11.3,10.7,10.8,1412857,10.9
2019-10-31,11.1,11.8,11.0,11.8,1692510,10.8
2019-11-03,12.2,12.6,11.6,11.8,2113802,11.8
2019-11-04,12.0,12.0,11.3,11.4,1200201,11.8
2019-11-05,11.4,12.2,11.3,11.9,1426688,11.4
2019-11-06,12.2,12.5,11.7,11.8,1789848,11.9
2019-11-07,11.9,12.0,11.5,11.6,1114264,11.8
2019-11-11,11.7,11.9,11.5,11.6,726082,11.6
2019-11-12,11.6,12.2,11.6,11.9,1422654,11.6
2019-11-13,12.1,13.0,12.1,12.7,3323460,11.9
2019-11-14,12.8,13.7,12.6,13.3,2670737,12.7
2019-11-17,13.2,13.8,12.8,13.6,2333702,13.3
2019-11-18,13.5,14.0,13.1,13.2,1863870,13.6
2019-11-19,13.3,13.8,13.3,13.4,1592110,13.2
2019-11-20,13.4,13.7,12.8,12.9,1879112,13.4
2019-11-21,12.9,13.3,12.9,13.0,1189609,12.9
2019-11-24,12.8,13.2,12.4,12.5,1596702,13.0
2019-11-25,12.5,12.8,12.3,12.4,1191099,12.5
2019-11-26,12.4,12.9,12.4,12.5,1090513,12.4
2019-11-27,12.5,12.7,12.1,12.2,1326734,12.5
2019-11-28,12.2,12.4,11.7,11.9,985503,12.2
2019-12-01,12.0,12.7,11.9,12.3,1987348,11.9
2019-12-02,12.3,12.7,12.0,12.1,1439763,12.3
2019-12-03,12.1,12.4,11.9,12.0,1433231,12.1
2019-12-04,12.0,12.8,12.0,12.4,2442506,12.0
2019-12-05,12.4,12.7,12.1,12.2,1233447,12.4
2019-12-08,12.2,12.6,11.9,12.0,1536186,12.2
2019-12-09,12.0,12.4,12.0,12.2,1050318,12.0
2019-12-10,12.2,12.9,12.2,12.8,2803430,12.2
2019-12-11,12.9,13.8,12.9,13.3,3134946,12.8
2019-12-12,13.1,13.3,12.3,12.4,1968495,13.3
2019-12-15,12.5,12.6,12.0,12.1,2148404,12.4
2019-12-17,12.1,12.3,11.9,12.1,806749,12.1
2019-12-18,12.1,12.4,11.9,12.2,1647774,12.1
2019-12-19,12.3,12.4,12.0,12.1,945518,12.2
2019-12-22,12.1,12.1,11.4,11.5,1435499,12.1
2019-12-23,11.5,11.7,10.9,11.0,1117788,11.5
2019-12-24,10.9,11.2,10.6,11.0,790804,11.0
2019-12-26,11.0,11.3,10.9,11.0,521559,11.0
2019-12-29,11.0,11.1,10.7,10.9,771621,11.0
2019-12-30,10.9,11.0,10.6,10.7,509865,10.9
2020-01-01,10.8,10.9,10.6,10.7,653478,10.7
2020-01-02,10.9,10.9,10.4,10.5,700735,10.7
2020-01-05,10.5,10.5,9.8,9.9,1052442,10.5
2020-01-06,9.9,10.0,9.5,9.6,718087,9.9
2020-01-07,9.5,9.7,9.1,9.2,529128,9.6
2020-01-08,9.2,9.5,8.8,8.9,869754,9.2
2020-01-09,8.9,9.3,8.7,8.8,678249,8.9
2020-01-12,9.0,9.2,8.8,9.0,608427,8.8
2020-01-13,8.9,9.0,8.2,8.2,753710,9.0
2020-01-14,8.2,8.2,7.6,7.9,710594,8.2
