date,open,high,low,close,volume,prev_closing_price
2017-02-12,10.4,13.5,10.4,12.8,58200,0.0
2017-02-13,13.7,16.1,10.8,13.1,304592,12.8
2017-02-14,12.0,12.9,11.9,12.2,75120,13.1
2017-02-15,11.2,11.7,11.0,11.0,258588,12.2
2017-02-16,11.7,11.7,10.9,11.1,52460,11.0
2017-02-19,11.0,11.0,10.8,10.8,42345,11.1
2017-02-20,11.1,11.1,10.8,10.9,14291,10.8
2017-02-22,11.1,11.3,10.6,10.7,23150,10.9
2017-02-23,10.6,10.7,10.5,10.6,11600,10.7
2017-02-26,10.7,10.9,10.0,10.3,18360,10.6
2017-02-27,10.8,11.2,10.2,10.3,39131,10.3
2017-02-28,10.9,10.9,10.1,10.1,20977,10.3
2017-03-01,10.4,10.4,10.0,10.1,17088,10.1
2017-03-02,10.1,10.3,10.1,10.1,3619,10.1
2017-03-05,10.5,10.5,10.0,10.1,9215,10.1
2017-03-06,10.3,10.3,9.9,10.0,32414,10.1
2017-03-07,10.0,10.1,9.9,10.0,9790,10.0
2017-03-08,10.0,10.0,9.8,9.9,9300,10.0
2017-03-09,9.9,9.9,9.8,9.8,5500,9.9
2017-03-12,9.8,9.8,9.4,9.4,11410,9.8
2017-03-13,9.4,9.7,9.4,9.5,7600,9.4
2017-03-14,9.9,9.9,9.5,9.8,290,9.5
2017-03-15,10.1,10.1,9.5,9.6,7380,9.8
2017-03-16,9.5,9.5,9.3,9.5,10000,9.6
2017-03-19,9.6,9.6,9.2,9.4,15490,9.5
2017-03-20,9.6,9.6,9.5,9.5,2520,9.4
2017-03-21,9.5,10.4,9.5,10.4,110114,9.5
2017-03-22,10.3,10.3,10.3,10.3,9200,10.4
2017-03-23,10.2,10.5,10.0,10.2,12900,10.3
2017-03-27,10.0,10.0,9.9,10.0,1000,10.2
2017-03-28,10.0,10.2,10.0,10.1,17180,10.0
2017-03-29,10.2,10.2,10.0,10.0,46000,10.1
2017-03-30,10.3,10.4,9.9,10.2,44582,10.0
2017-04-02,10.0,10.2,10.0,10.1,18252,10.2
2017-04-03,10.1,10.1,10.0,10.1,3300,10.1
2017-04-04,10.1,10.2,9.8,9.8,6750,10.1
2017-04-05,10.0,10.0,10.0,10.0,3226,9.8
2017-04-06,10.0,10.0,10.0,10.0,300,10.0
2017-04-09,10.0,10.1,10.0,10.0,4005,10.0
2017-04-10,10.0,10.2,10.0,10.0,1250,10.0
2017-04-11,10.1,10.2,10.0,10.1,2000,10.0
2017-04-12,10.1,10.3,10.0,10.1,6508,10.1
2017-04-13,10.1,10.3,10.1,10.2,230,10.1
2017-04-16,10.2,10.2,10.2,10.2,50,10.2
2017-04-17,10.3,10.6,10.1,10.2,2150,10.2
2017-04-18,10.2,10.2,9.4,9.7,2130,10.2
2017-04-19,10.0,10.4,10.0,10.2,215,9.7
2017-04-20,10.1,10.1,9.5,9.8,1745,10.2
2017-04-23,9.9,10.4,9.9,9.9,1400,9.8
2017-04-24,9.9,10.1,9.4,9.7,9300,9.9
2017-04-25,9.9,10.3,9.5,9.8,13000,9.7
