date,open,high,low,close,volume,prev_closing_price
2016-01-14,10.2,14.9,9.5,13.6,71000,0.0
2016-01-17,12.4,14.2,10.4,12.1,51700,13.6
2016-01-18,12.1,13.0,11.0,12.3,49500,12.1
2016-01-19,11.5,12.8,11.1,11.5,24700,12.3
2016-01-20,11.0,11.0,10.8,10.8,27850,11.5
2016-01-21,10.8,11.6,10.7,11.2,24950,10.8
2016-01-24,10.8,10.8,10.6,10.6,3490,11.2
2016-01-25,10.9,11.3,10.6,10.7,2805,10.6
2016-01-26,10.6,11.0,10.5,10.5,13505,10.7
2016-01-27,10.6,11.0,10.5,10.6,1940,10.5
2016-01-28,10.7,11.0,10.5,10.5,14520,10.6
2016-01-28,10.7,11.0,10.5,10.5,14520,10.6
2016-01-31,10.5,10.5,10.5,10.5,1700,10.5
2016-02-01,10.5,10.5,10.5,10.5,1000,10.5
2016-02-02,11.0,11.0,10.5,10.5,1777,10.5
2016-02-03,10.5,10.6,10.5,10.5,16615,10.5
2016-02-04,10.4,10.4,10.4,10.4,1994,10.5
2016-02-07,10.4,10.4,10.4,10.4,11000,10.4
2016-02-08,10.4,10.4,10.4,10.4,2355,10.4
2016-02-09,10.4,10.4,10.4,10.4,2000,10.4
2016-02-10,10.4,10.4,10.4,10.4,790,10.4
2016-02-11,0.0,0.0,0.0,10.4,0,10.4
2016-02-14,10.4,10.4,10.4,10.4,500,10.4
2016-02-15,10.4,10.4,10.4,10.4,2501,10.4
2016-02-16,0.0,0.0,0.0,10.4,0,10.4
2016-02-17,10.4,10.4,10.4,10.4,511,10.4
2016-02-18,10.4,10.4,10.4,10.4,9500,10.4
2016-02-22,10.3,10.3,10.3,10.3,2000,10.4
2016-02-23,0.0,0.0,0.0,10.3,0,10.3
2016-02-24,0.0,0.0,0.0,10.3,0,10.3
2016-02-25,10.3,10.3,10.3,10.3,7500,10.3
2016-02-28,10.3,10.3,10.3,10.3,1500,10.3
2016-02-29,10.3,10.3,10.3,10.3,100,10.3
2016-03-01,10.3,10.3,10.3,10.3,500,10.3
2016-03-02,0.0,0.0,0.0,10.3,0,10.3
2016-03-03,11.0,11.0,11.0,11.0,1000,10.3
2016-03-06,0.0,0.0,0.0,11.0,0,11.0
2016-03-07,0.0,0.0,0.0,11.0,0,11.0
2016-03-08,0.0,0.0,0.0,11.0,0,11.0
2016-03-09,0.0,0.0,0.0,11.0,0,11.0
2016-03-10,10.4,10.4,10.4,10.4,500,11.0
2016-03-13,0.0,0.0,0.0,10.4,0,10.4
2016-03-14,0.0,0.0,0.0,10.4,0,10.4
2016-03-15,0.0,0.0,0.0,10.4,0,10.4
2016-03-16,0.0,0.0,0.0,10.4,0,10.4
2016-03-20,0.0,0.0,0.0,10.4,0,10.4
2016-03-21,10.3,10.3,10.3,10.3,10500,10.4
2016-03-22,0.0,0.0,0.0,10.3,0,10.3
2016-03-23,0.0,0.0,0.0,10.3,0,10.3
2016-03-24,10.3,10.3,10.3,10.3,2423,10.3
2016-03-27,10.3,10.3,10.3,10.3,500,10.3
2016-03-28,0.0,0.0,0.0,10.3,0,10.3
2016-03-29,0.0,0.0,0.0,10.3,0,10.3
2016-03-30,0.0,0.0,0.0,10.3,0,10.3
2016-03-31,0.0,0.0,0.0,10.3,0,10.3
2016-04-03,10.3,10.3,10.3,10.3,1500,10.3
2016-04-04,10.3,10.3,10.3,10.3,500,10.3
2016-04-05,0.0,0.0,0.0,10.3,0,10.3
2016-04-06,0.0,0.0,0.0,10.3,0,10.3
2016-04-07,10.3,10.3,10.3,10.3,3145,10.3
2016-04-10,10.3,10.3,10.3,10.3,1000,10.3
2016-04-11,10.2,10.2,10.2,10.2,500,10.3
2016-04-12,0.0,0.0,0.0,10.2,0,10.2
2016-04-13,0.0,0.0,0.0,10.2,0,10.2
2016-04-17,10.2,10.2,10.2,10.2,1000,10.2
2016-04-18,0.0,0.0,0.0,10.2,0,10.2
2016-04-19,0.0,0.0,0.0,10.2,0,10.2
2016-04-20,0.0,0.0,0.0,10.2,0,10.2
2016-04-21,10.2,10.2,10.2,10.2,995,10.2
2016-04-24,0.0,0.0,0.0,10.2,0,10.2
2016-04-25,0.0,0.0,0.0,10.2,0,10.2
2016-04-26,0.0,0.0,0.0,10.2,0,10.2
2016-04-27,0.0,0.0,0.0,10.2,0,10.2
2016-04-28,0.0,0.0,0.0,10.2,0,10.2
2016-05-02,0.0,0.0,0.0,10.2,0,10.2
2016-05-03,10.1,10.1,10.1,10.1,1000,10.2
2016-05-04,10.2,10.2,10.2,10.2,1000,10.1
2016-05-05,0.0,0.0,0.0,10.2,0,10.2
2016-05-08,0.0,0.0,0.0,10.2,0,10.2
