date,open,high,low,close,volume,prev_closing_price
2015-03-05,48.0,50.0,36.9,37.1,9176635,0.0
2015-03-08,37.0,38.0,36.2,37.2,3630860,37.1
2015-03-09,37.3,39.6,37.3,38.4,3992691,37.2
2015-03-10,38.2,38.9,37.0,37.2,2790318,38.4
2015-03-11,37.4,40.0,37.1,39.2,6191499,37.2
2015-03-12,39.3,39.9,38.3,38.7,3628009,39.2
2015-03-15,38.6,39.1,37.5,37.7,2466201,38.7
2015-03-16,37.5,38.8,37.2,37.5,2666604,37.7
2015-03-18,37.4,38.2,37.1,37.3,2264974,37.5
2015-03-19,37.5,38.1,37.4,37.7,1465215,37.3
2015-03-22,37.9,38.6,37.5,37.8,1650739,37.7
2015-03-23,37.9,38.3,37.1,37.3,1652615,37.8
2015-03-24,37.5,37.7,36.6,36.8,1707446,37.3
2015-03-25,37.0,38.8,36.8,38.5,4323685,36.8
2015-03-29,38.6,40.5,38.6,40.0,4293925,38.5
2015-03-30,40.0,41.6,39.0,41.1,4081200,40.0
2015-03-31,41.5,43.7,41.5,42.0,4235764,41.1
2015-04-01,42.2,43.1,41.1,41.4,3150631,42.0
2015-04-02,41.4,42.3,41.0,41.4,1616672,41.4
2015-04-05,41.9,42.0,40.5,41.3,2289018,41.4
2015-04-06,41.1,42.5,39.5,40.6,3473735,41.3
2015-04-07,39.7,40.0,38.2,38.8,2958552,40.6
2015-04-08,39.0,41.7,37.7,41.1,2584940,38.8
2015-04-09,41.7,42.0,40.6,41.5,2929747,41.1
2015-04-12,42.0,43.0,39.9,40.2,3099592,41.5
2015-04-13,40.0,41.2,39.7,40.6,2051541,40.2
2015-04-15,41.0,42.3,40.4,41.4,2882686,40.6
2015-04-16,41.9,45.0,41.7,44.7,8245652,41.4
2015-04-19,45.4,47.5,45.1,46.1,5130859,44.7
2015-04-20,45.4,45.8,43.5,44.0,6327348,46.1
2015-04-21,46.0,46.0,41.7,42.3,1945301,44.0
2015-04-22,42.3,44.1,42.1,43.9,4872616,42.3
2015-04-23,0.0,0.0,0.0,43.9,0,43.9
2015-04-26,38.3,41.4,37.1,38.3,4778869,43.9
2015-04-27,38.0,39.5,38.0,39.2,1552247,38.3
2015-04-29,38.5,39.9,38.1,38.5,2438759,39.2
2015-04-30,38.3,39.0,37.2,37.6,1248243,38.5
2015-05-04,37.9,38.1,36.6,36.8,1694229,37.6
2015-05-05,37.5,38.4,36.9,37.2,1044540,36.8
2015-05-06,37.5,38.4,36.7,37.6,1731349,37.2
2015-05-07,38.0,38.8,37.0,37.4,1810679,37.6
2015-05-10,37.5,39.0,37.5,38.8,2646659,37.4
2015-05-11,39.7,39.7,38.1,38.4,2433519,38.8
2015-05-12,38.8,38.9,37.5,37.7,1852338,38.4
2015-05-13,37.3,41.4,37.3,40.9,2970597,37.7
2015-05-14,41.3,41.8,39.5,40.3,2775788,40.9
2015-05-17,40.1,40.8,39.3,40.1,3260449,40.3
2015-05-18,40.3,41.4,39.9,40.1,2759879,40.1
2015-05-19,40.7,41.3,39.8,40.0,2331053,40.1
2015-05-20,40.8,41.7,39.7,41.4,3722792,40.0
2015-05-21,41.9,41.9,40.2,40.4,2691958,41.4
2015-05-24,40.8,40.9,39.7,39.9,963108,40.4
2015-05-25,39.9,40.9,39.4,40.1,2886958,39.9
2015-05-26,40.5,41.4,39.2,39.6,2953517,40.1
2015-05-27,39.9,40.0,38.0,38.3,1810905,39.6
2015-05-28,38.2,39.3,37.9,38.1,1333708,38.3
2015-05-31,39.0,39.2,37.8,38.0,1334686,38.1
2015-06-01,38.2,40.2,37.9,39.9,3519975,38.0
2015-06-02,40.0,43.6,39.6,41.7,5506313,39.9
2015-06-04,42.2,43.0,40.5,40.9,3068355,41.7
2015-06-07,41.6,42.5,40.4,40.8,2462018,40.9
2015-06-08,40.5,40.7,38.9,39.1,1586307,40.8
2015-06-09,39.2,39.6,38.0,38.1,1074714,39.1
2015-06-10,38.8,39.4,38.3,38.4,890183,38.1
2015-06-11,39.0,39.4,37.7,38.0,700412,38.4
2015-06-14,38.2,38.3,37.0,37.2,745016,38.0
2015-06-15,37.1,38.3,37.1,38.1,479068,37.2
2015-06-16,38.0,38.3,37.8,38.0,367714,38.1
2015-06-17,37.8,38.4,37.7,37.9,451565,38.0
2015-06-18,37.8,38.3,37.5,37.6,305653,37.9
2015-06-21,37.9,38.2,37.2,37.4,315679,37.6
2015-06-22,37.8,37.8,37.3,37.5,272678,37.4
2015-06-23,37.6,37.8,37.0,37.1,620235,37.5
2015-06-24,37.1,37.5,36.8,37.1,286354,37.1
2015-06-25,36.5,37.3,36.5,36.7,518117,37.1
2015-06-28,37.2,37.5,37.0,37.2,429129,36.7
2015-06-29,37.7,37.8,37.0,37.5,350450,37.2
2015-06-30,37.6,38.4,37.6,37.9,550301,37.5
2015-07-02,38.5,38.5,37.6,37.8,417655,37.9
2015-07-05,37.8,38.5,37.4,38.2,615573,37.8
2015-07-06,38.1,38.3,37.7,37.9,321847,38.2
2015-07-07,37.8,38.1,37.5,37.8,414373,37.9
2015-07-08,37.7,37.9,37.4,37.5,480812,37.8
2015-07-09,38.0,38.0,37.2,37.4,261047,37.5
