date,open,high,low,close,volume,prev_closing_price
2014-09-08,38.0,50.5,33.3,48.2,6468500,10.0
2014-09-09,50.0,59.8,50.0,53.6,1858000,48.2
2014-09-10,50.0,56.0,48.0,52.6,4124000,53.6
2014-09-11,54.9,54.9,46.1,47.0,1951500,52.6
2014-09-14,46.0,47.5,42.1,43.0,2215500,47.0
2014-09-15,43.0,45.5,42.7,43.0,1016000,43.0
2014-09-16,43.7,45.9,43.0,43.3,1224500,43.0
2014-09-17,44.9,44.9,40.1,40.6,1325000,43.3
2014-09-18,41.0,41.9,38.1,38.4,1402500,40.6
2014-09-21,38.8,40.0,37.8,38.3,791500,38.4
2014-09-22,39.0,39.4,36.4,36.7,1043500,38.3
2014-09-23,36.3,36.9,34.0,34.4,1024000,36.7
2014-09-24,34.3,37.8,33.9,37.8,1053000,34.4
2014-09-25,39.0,41.5,38.6,40.1,1664500,37.8
2014-09-28,40.0,40.9,36.2,37.0,822000,40.1
2014-09-29,37.0,37.9,35.4,35.7,612500,37.0
2014-09-30,36.8,37.5,35.8,36.0,540500,35.7
2014-10-01,36.4,37.9,36.4,36.9,666000,36.0
2014-10-02,37.3,38.3,36.9,37.1,529000,36.9
2014-10-12,37.9,37.9,36.4,37.0,438500,37.1
2014-10-13,37.7,38.7,37.2,38.0,600000,37.0
2014-10-14,38.5,39.5,38.5,38.6,721000,38.0
2014-10-15,39.0,42.4,39.0,40.2,1512000,38.6
2014-10-16,41.0,41.7,39.7,40.1,707500,40.2
2014-10-19,39.5,40.4,38.2,38.4,609000,40.1
2014-10-20,38.5,41.6,38.5,39.6,977000,38.4
2014-10-21,40.3,41.7,40.0,40.8,1103000,39.6
2014-10-22,41.2,43.4,41.2,41.8,1686000,40.8
2014-10-23,42.9,42.9,39.3,39.9,840000,41.8
2014-10-26,40.7,40.7,37.5,38.0,610500,39.9
2014-10-27,38.1,38.5,36.5,37.0,490000,38.0
2014-10-28,38.5,39.4,37.5,37.9,598000,37.0
2014-10-29,37.5,41.6,37.5,41.6,1336500,37.9
2014-10-30,43.0,45.7,43.0,45.7,1232500,41.6
2014-11-02,47.8,50.2,46.1,50.1,3300000,45.7
2014-11-03,50.8,52.7,46.0,46.8,1622500,50.1
2014-11-05,48.1,51.4,47.2,51.4,1703000,46.8
2014-11-06,52.0,56.5,50.3,55.0,2343500,51.4
2014-11-09,55.1,57.0,52.3,53.1,1619000,55.0
2014-11-10,52.1,53.5,47.8,48.3,1329500,53.1
2014-11-11,49.7,53.1,49.7,53.1,1347500,48.3
2014-11-12,53.8,56.0,48.2,49.8,1846000,53.1
2014-11-13,49.2,51.7,47.8,48.7,1476500,49.8
2014-11-16,48.2,48.9,44.0,44.8,2182500,48.7
2014-11-17,45.4,45.5,41.7,42.2,838500,44.8
2014-11-18,41.0,42.0,40.1,41.1,832500,42.2
2014-11-19,41.1,42.5,40.8,41.3,886000,41.1
2014-11-20,41.3,0.0,0.0,41.3,0,41.3
2014-11-23,36.7,37.3,34.1,34.7,576500,41.3
2014-11-24,34.3,36.0,33.9,34.4,465000,34.7
2014-11-25,35.1,36.7,35.1,35.5,584000,34.4
2014-11-26,35.1,35.7,33.7,34.0,376000,35.5
2014-11-27,34.2,34.7,33.7,33.8,266000,34.0
2014-11-30,34.8,34.8,33.4,33.6,253500,33.8
2014-12-01,33.3,34.1,33.2,33.6,177000,33.6
2014-12-02,34.0,34.3,33.7,33.8,370500,33.6
2014-12-03,33.9,34.9,33.7,34.1,441500,33.8
2014-12-04,34.1,34.4,33.5,33.5,320000,34.1
2014-12-07,33.5,33.6,31.5,31.6,434000,33.5
2014-12-08,32.0,32.5,30.9,31.0,483500,31.6
2014-12-09,31.7,31.8,30.8,30.8,333000,31.0
2014-12-10,30.8,31.5,30.1,30.2,347000,30.8
2014-12-11,29.2,30.0,29.1,29.9,87857,30.2
2014-12-14,29.9,32.8,29.9,32.7,447448,29.9
2014-12-15,33.7,33.7,31.8,31.9,188423,32.7
2014-12-17,31.8,32.1,31.1,31.3,238767,31.9
2014-12-18,31.5,31.9,31.0,31.4,159966,31.3
2014-12-21,31.0,31.4,30.3,30.5,195495,31.4
2014-12-22,31.4,31.5,30.6,31.2,238160,30.5
2014-12-23,31.2,31.2,30.4,30.6,84843,31.2
2014-12-24,30.6,30.7,29.7,29.9,106140,30.6
2014-12-28,30.8,30.8,29.0,29.1,99023,29.9
2014-12-29,29.9,30.1,29.1,29.4,166716,29.1
2014-12-30,29.8,30.2,29.6,29.8,155626,29.4
2015-01-01,30.0,30.4,29.7,29.9,194165,29.8
2015-01-05,30.6,30.6,29.4,29.6,173370,29.9
2015-01-06,30.1,30.8,30.0,30.3,218405,29.6
2015-01-07,30.5,31.3,30.5,30.9,312331,30.3
2015-01-08,30.9,30.9,30.2,30.5,195715,30.9
2015-01-11,30.1,30.9,29.8,30.1,143822,30.5
2015-01-12,30.1,32.3,29.9,31.9,607628,30.1
2015-01-13,32.7,34.1,32.5,33.0,880804,31.9
2015-01-14,32.2,32.6,31.3,31.4,361172,33.0
2015-01-15,31.3,31.9,30.9,31.2,303788,31.4
2015-01-18,30.8,31.1,30.0,30.1,291338,31.2
2015-01-19,29.6,30.5,29.0,29.2,321775,30.1
2015-01-20,29.8,29.8,28.0,28.4,617892,29.2
2015-01-21,28.0,28.0,26.8,27.0,553399,28.4
2015-01-22,27.6,27.9,26.8,27.4,415980,27.0
2015-01-25,27.0,27.2,25.8,26.0,457561,27.4
2015-01-26,26.4,26.9,25.8,26.2,207211,26.0
2015-01-27,26.5,27.4,26.0,27.1,536052,26.2
2015-01-28,26.8,27.3,26.3,26.5,297191,27.1
2015-01-29,26.1,26.4,25.8,25.9,269435,26.5
2015-02-01,25.3,25.5,24.4,24.8,250206,25.9
2015-02-02,24.6,24.6,23.0,23.4,202593,24.8
2015-02-03,23.3,23.9,23.1,23.5,117932,23.4
2015-02-04,23.4,23.7,22.9,23.2,207666,23.5
2015-02-05,23.1,23.6,22.9,23.5,195610,23.2
2015-02-08,23.3,24.4,23.1,24.2,260623,23.5
2015-02-09,24.2,24.5,23.7,24.0,181892,24.2
2015-02-10,24.5,24.9,23.9,24.4,251402,24.0
2015-02-11,24.6,25.1,24.4,24.6,313812,24.4
2015-02-12,24.7,25.1,24.5,25.0,358653,24.6
2015-02-15,25.3,26.9,25.2,26.6,588159,25.0
2015-02-16,26.5,26.5,25.0,25.1,394781,26.6
2015-02-17,25.4,25.5,24.5,25.2,247356,25.1
2015-02-18,25.3,25.7,24.8,24.8,165505,25.2
2015-02-19,24.5,25.0,24.3,24.4,214028,24.8
