date,open,high,low,close,volume,prev_closing_price
2008-03-06,11.8,12.4,11.3,11.7,13300,11.3
2008-03-09,11.5,12.0,11.5,11.6,9500,11.7
2008-03-09,11.5,12.0,11.5,11.6,9500,11.7
2008-03-10,11.7,11.7,11.6,11.6,5500,11.6
2008-03-11,11.6,12.4,11.6,12.1,24300,11.6
2008-03-12,12.9,13.6,12.9,13.4,31200,12.1
2008-03-13,13.9,15.6,13.5,14.5,74700,13.4
2008-03-16,15.6,17.0,15.1,16.9,72900,14.5
2008-03-17,16.2,16.2,15.2,15.4,29700,16.9
2008-03-18,14.6,15.8,14.6,15.3,23500,15.4
2008-03-19,16.5,18.0,16.5,17.8,44700,15.3
2008-03-20,18.0,20.5,18.0,19.8,51300,17.8
2008-03-23,18.5,23.5,18.5,19.6,43200,19.8
2008-03-24,18.3,19.3,18.3,18.5,21000,19.6
2008-03-25,19.0,19.4,17.7,17.9,14500,18.5
2008-03-30,18.9,19.0,16.5,17.3,18500,17.9
2008-03-31,17.1,17.5,16.1,16.5,10900,17.3
2008-04-01,18.0,18.9,17.0,18.3,6800,16.5
2008-04-02,18.0,18.0,16.6,17.2,9200,18.3
2008-04-03,16.8,17.0,16.4,16.5,19700,17.2
2008-04-06,16.4,17.2,16.3,17.0,10800,16.5
2008-04-07,16.5,16.5,15.8,16.0,26100,17.0
2008-04-08,16.0,16.0,15.5,15.9,16100,16.0
2008-04-09,17.0,17.0,16.3,16.5,6900,15.9
2008-04-10,16.3,16.3,16.2,16.2,2800,16.5
2008-04-13,16.3,16.6,16.2,16.3,4700,16.2
2008-04-15,17.4,17.4,16.5,16.5,10300,16.3
2008-04-16,17.0,17.1,16.5,16.7,10400,16.5
2008-04-17,16.6,17.0,16.5,16.8,20000,16.7
2008-04-20,17.5,17.5,16.6,16.8,7200,16.8
2008-04-21,16.9,16.9,16.0,16.2,4400,16.8
2008-04-22,16.5,17.2,16.4,16.9,13500,16.2
2008-04-23,17.0,17.7,16.8,17.3,15700,16.9
2008-04-24,16.8,17.4,16.6,16.9,4300,17.3
2008-04-27,16.5,16.5,16.2,16.3,2400,16.9
2008-04-28,16.0,16.0,15.8,15.9,4400,16.3
2008-04-29,15.7,15.8,15.6,15.6,11700,15.9
2008-04-30,15.5,15.5,15.0,15.0,12000,15.6
2008-05-04,13.6,13.9,13.5,13.6,7700,15.0
2008-05-05,13.5,14.2,13.5,13.6,7800,13.6
2008-05-06,13.9,14.2,13.9,14.0,12400,13.6
2008-05-07,14.5,14.5,14.0,14.1,9600,14.0
2008-05-08,13.9,14.0,13.9,13.9,3700,14.1
2008-05-11,14.0,14.0,13.8,13.8,6400,13.9
2008-05-12,14.0,14.0,13.8,13.9,2200,13.8
2008-05-13,13.7,13.7,13.7,13.7,2400,13.9
2008-05-14,13.7,13.7,13.6,13.6,1600,13.7
2008-05-15,13.5,13.6,13.1,13.4,12000,13.6
2008-05-18,14.2,15.0,14.1,14.3,8700,13.4
2008-05-20,13.4,13.6,13.4,13.4,7900,14.3
2008-05-21,13.5,13.6,13.3,13.4,5300,13.4
2008-05-22,13.8,13.9,13.5,13.7,5300,13.4
2008-05-25,14.4,14.4,14.2,14.2,4200,13.7
2008-05-26,14.1,14.3,13.7,14.0,6900,14.2
2008-05-27,13.7,13.7,13.6,13.6,7100,14.0
2008-05-28,14.0,14.0,13.7,13.7,6000,13.6
2008-05-29,13.8,13.8,13.6,13.6,1700,13.7
2008-06-01,13.3,13.5,13.3,13.3,4700,13.6
2008-06-02,13.5,14.0,13.4,13.7,3300,13.3
2008-06-03,13.5,14.0,13.5,13.8,4200,13.7
2008-06-04,13.8,16.5,13.8,16.4,23800,13.8
2008-06-05,15.2,15.5,15.2,15.3,10500,16.4
2008-06-08,14.1,14.2,14.0,14.0,3200,15.3
2008-06-09,14.0,15.4,14.0,14.4,7900,14.0
2008-06-10,15.5,15.5,14.9,14.9,10900,14.4
2008-06-11,14.4,14.4,14.1,14.2,11100,14.9
2008-06-12,14.5,14.5,14.3,14.4,5500,14.2
2008-06-15,14.5,14.5,14.1,14.3,3900,14.4
2008-06-16,14.2,14.2,14.0,14.0,6400,14.3
2008-06-17,13.9,13.9,13.8,13.8,500,14.0
2008-06-18,13.9,13.9,13.8,0.0,300,13.8
2008-06-19,13.7,13.7,13.6,13.6,800,13.8
2008-06-22,13.6,0.0,0.0,0.0,0,13.6
