date,open,high,low,close,volume,prev_closing_price
2018-10-10,38.0,38.0,28.1,29.0,7164763,0.0
2018-10-11,30.0,30.7,28.8,29.0,1486950,29.0
2018-10-14,29.2,31.9,28.7,31.9,3569335,29.0
2018-10-15,32.8,34.7,31.7,32.8,3982056,31.9
2018-10-16,32.6,34.8,31.8,33.7,3423298,32.8
2018-10-17,34.0,34.1,31.1,31.4,2633319,33.7
2018-10-18,31.5,32.8,30.1,30.4,3356767,31.4
2018-10-21,30.1,31.4,28.0,28.2,2549760,30.4
2018-10-22,28.4,29.1,26.3,26.5,1885702,28.2
2018-10-23,27.0,27.5,26.0,26.4,1641991,26.5
2018-10-24,26.7,26.9,25.5,25.6,1378654,26.4
2018-10-25,25.8,27.4,25.5,26.8,1385615,25.6
2018-10-28,26.9,27.0,24.2,24.4,1426263,26.8
2018-10-29,24.7,24.7,22.8,24.1,1525085,24.4
2018-10-30,24.5,26.4,24.5,25.8,1596771,24.1
2018-10-31,26.0,27.2,25.3,26.9,1979103,25.8
2018-11-01,27.0,28.7,27.0,28.0,2160684,26.9
2018-11-04,28.1,30.8,28.0,30.5,2763952,28.0
2018-11-05,30.8,31.4,27.9,28.2,2722782,30.5
2018-11-06,28.3,28.6,27.3,27.9,1506192,28.2
2018-11-07,28.2,29.6,28.1,29.1,1742236,27.9
2018-11-08,29.5,31.5,29.4,30.4,3364633,29.1
2018-11-11,31.0,31.7,30.2,30.5,2297656,30.4
2018-11-12,30.4,31.5,29.0,29.4,2248390,30.5
2018-11-13,29.8,30.3,28.2,28.5,1323573,29.4
2018-11-14,29.5,31.3,29.5,31.3,503675,28.5
2018-11-15,32.5,34.4,32.5,33.0,4681860,31.3
2018-11-18,33.2,36.0,33.0,35.5,3042407,33.0
2018-11-19,35.5,36.3,34.6,35.0,3523832,35.5
2018-11-20,35.2,36.6,34.1,36.2,3536044,35.0
2018-11-22,36.5,37.6,34.5,35.2,2742919,36.2
2018-11-25,34.4,35.4,32.3,32.8,2453739,35.2
2018-11-26,33.0,34.2,32.8,33.2,1759621,32.8
2018-11-27,33.6,33.9,31.6,32.1,1503362,33.2
2018-11-28,32.5,33.6,32.2,32.7,1883815,32.1
2018-11-29,33.0,35.9,33.0,35.9,3516642,32.7
2018-12-02,36.2,37.9,35.0,36.0,3156133,35.9
2018-12-03,36.0,37.9,35.2,37.3,2831410,36.0
2018-12-04,38.0,39.8,37.6,38.2,3773058,37.3
2018-12-05,38.3,38.5,35.9,36.2,2455526,38.2
2018-12-06,36.5,37.1,35.6,36.1,1644612,36.2
2018-12-09,36.2,37.2,34.8,35.1,1379449,36.1
2018-12-10,35.3,35.7,31.9,32.8,1613245,35.1
2018-12-11,32.9,33.7,31.1,31.7,1535802,32.8
2018-12-12,32.1,32.8,31.4,31.6,1087684,31.7
2018-12-13,31.9,32.4,30.5,31.2,992304,31.6
2018-12-17,31.7,31.7,28.9,29.1,776023,31.2
2018-12-18,29.2,30.4,29.0,29.9,586164,29.1
2018-12-19,30.5,30.8,29.5,29.7,655039,29.9
2018-12-20,30.0,32.1,29.4,31.9,1175643,29.7
2018-12-23,31.9,32.4,30.4,30.8,603022,31.9
2018-12-24,30.8,31.0,29.9,30.4,688022,30.8
2018-12-26,30.3,30.6,29.7,29.8,522578,30.4
2018-12-27,30.2,30.5,29.7,30.1,530405,29.8
2019-01-01,30.7,32.7,30.7,32.5,955897,30.1
