date,open,high,low,close,volume,prev_closing_price
2008-03-06,2400.0,2460.0,2325.0,2391.5,7345,2365.5
2008-03-09,2430.0,2430.0,2350.0,2352.25,5170,2391.5
2008-03-09,2430.0,2430.0,2350.0,2352.25,5170,2391.5
2008-03-10,2350.0,2375.0,2250.0,2264.75,3745,2352.25
2008-03-11,2220.0,2299.0,2159.0,2216.5,7160,2264.75
2008-03-12,2257.0,2349.0,2200.0,2292.0,6890,2216.5
2008-03-13,2360.0,2360.0,2271.0,2281.75,3885,2292.0
2008-03-16,2299.0,2344.0,2195.0,2221.0,4910,2281.75
2008-03-17,2230.0,2275.0,2180.0,2194.75,3925,2221.0
2008-03-18,2151.0,2197.0,2091.25,2175.0,4895,2194.75
2008-03-19,2200.0,2295.0,2200.0,2269.25,5075,2175.0
2008-03-20,2249.0,2270.0,2151.0,2175.75,2980,2269.25
2008-03-23,2110.0,2186.0,2110.0,2167.5,2730,2175.75
2008-03-24,2187.0,2289.0,2177.0,2260.5,2450,2167.5
2008-03-25,2260.5,0.0,0.0,2260.5,0,2260.5
2008-03-30,2091.0,2091.0,2034.5,2048.75,240,2260.5
2008-03-31,1896.0,1950.0,1844.0,1864.0,9955,2048.75
2008-04-01,1900.0,2060.5,1900.0,2041.0,11740,1864.0
2008-04-02,2050.0,2170.0,2050.0,2081.0,7020,2041.0
2008-04-03,2098.0,2098.0,1965.0,1977.5,6510,2081.0
2008-04-06,2060.0,2060.0,1905.0,1933.25,4325,1977.5
2008-04-07,1925.0,1925.0,1841.0,1876.25,6040,1933.25
2008-04-08,1912.0,1950.0,1875.0,1891.75,4730,1876.25
2008-04-09,1920.25,1930.0,1880.0,1894.0,4900,1891.75
2008-04-10,1945.0,2010.0,1904.0,1910.25,4250,1894.0
2008-04-13,1880.25,1958.0,1880.25,1907.25,3450,1910.25
2008-04-15,1910.0,1965.0,1910.0,1933.75,4355,1907.25
2008-04-16,1968.0,2133.5,1967.75,2122.75,15915,1933.75
2008-04-17,2240.0,2260.0,2100.0,2229.25,15745,2122.75
2008-04-20,2270.0,2452.0,2182.0,2452.0,14080,2229.25
2008-04-21,2500.0,2500.0,2310.0,2347.0,9480,2452.0
2008-04-22,2300.0,2380.0,2300.0,2322.25,8810,2347.0
2008-04-23,2300.25,2455.0,2300.25,2433.0,12995,2322.25
2008-04-24,2340.0,2420.0,2339.0,2369.5,6275,2433.0
2008-04-27,2350.0,2430.0,2292.0,2301.75,6915,2369.5
2008-04-28,2320.0,2330.0,2201.0,2216.75,4070,2301.75
2008-04-29,2190.0,2266.0,2140.0,2148.5,3725,2216.75
2008-04-30,2137.25,2190.0,2050.0,2069.5,3475,2148.5
2008-05-04,2050.0,2110.0,2050.0,2073.0,3945,2069.5
2008-05-05,2052.0,2118.0,2052.0,2065.5,3615,2073.0
2008-05-06,2085.0,2130.0,2085.0,2107.75,3045,2065.5
2008-05-07,2143.0,2150.0,2110.0,2136.25,2230,2107.75
2008-05-08,2150.0,2195.0,2150.0,2166.0,5010,2136.25
2008-05-11,2165.0,2180.0,2151.0,2157.0,3320,2166.0
2008-05-12,2140.0,2143.0,2100.0,2126.25,3700,2157.0
2008-05-13,2140.0,2298.0,2135.0,2206.5,5435,2126.25
2008-05-14,2080.0,2280.0,2080.0,2259.5,6410,2206.5
2008-05-15,2275.0,2279.0,2225.0,2244.0,5335,2259.5
2008-05-18,2251.0,2365.0,2251.0,2286.25,6230,2244.0
2008-05-20,2300.0,2350.0,2294.0,2309.0,11035,2286.25
2008-05-21,2350.0,2350.0,2206.0,2220.25,5170,2309.0
2008-05-22,2192.0,2280.0,2192.0,2224.0,8665,2220.25
2008-05-25,2299.0,2446.25,2241.0,2439.0,18965,2224.0
2008-05-26,2480.0,2573.5,2400.0,2461.25,16735,2439.0
2008-05-27,2499.0,2503.0,2360.0,2383.5,11200,2461.25
2008-05-28,2351.0,2423.0,2310.0,2335.75,7280,2383.5
2008-05-29,2355.0,2399.0,2280.0,2291.25,8255,2335.75
2008-06-01,2300.0,2335.0,2250.0,2264.75,8150,2291.25
2008-06-02,2300.0,2329.75,2260.0,2292.25,4640,2264.75
2008-06-03,2399.0,2399.0,2256.0,2289.75,5565,2292.25
2008-06-04,2260.0,2330.0,2250.0,2260.0,7950,2289.75
2008-06-05,2260.0,2304.0,2248.0,2263.25,5370,2260.0
2008-06-08,2329.0,2329.0,2207.0,2229.0,5160,2263.25
2008-06-09,2211.0,2230.0,2140.0,2152.75,7405,2229.0
2008-06-10,2111.0,2229.0,2111.0,2151.75,3990,2152.75
2008-06-11,2155.0,2159.0,2063.0,2094.5,4275,2151.75
2008-06-12,2149.0,2160.0,2065.5,2095.75,3180,2094.5
2008-06-15,2100.0,2101.0,2050.25,2071.75,2570,2095.75
2008-06-16,2052.0,2079.0,2041.25,0.0,2405,2071.75
2008-06-17,2134.0,2134.0,2075.0,2101.75,1750,2065.25
2008-06-18,2099.0,2119.0,2075.0,0.0,1765,2101.75
2008-06-19,2090.0,2116.0,2080.0,2090.75,1775,2082.5
2008-06-22,2092.0,2100.0,2051.0,0.0,2200,2090.75
2008-06-23,2051.0,2078.0,2036.0,0.0,1355,2053.75
2008-06-24,2050.0,2100.0,2050.0,2088.25,1790,2049.5
2008-06-25,2090.0,2121.0,2056.0,2066.0,1250,2088.25
2008-06-26,2092.0,2093.0,2050.0,2051.0,1700,2066.0
2008-06-29,2110.0,2110.0,2006.0,2017.75,1740,2051.0
2008-06-30,2003.5,2049.0,2003.0,2007.25,2395,2017.75
2008-07-02,2020.0,2046.0,2013.0,2022.0,965,2007.25
2008-07-03,2007.0,2047.0,2005.0,2016.75,1685,2022.0
2008-07-06,2020.0,2078.0,2020.0,2025.5,2140,2016.75
2008-07-07,2031.0,2031.0,1972.0,1983.25,4140,2025.5
2008-07-08,1971.0,1999.0,1963.5,1966.0,2080,1983.25
2008-07-08,1971.0,1999.0,1963.5,1966.0,2080,1983.25
2008-07-09,2010.0,2010.0,1951.25,1965.75,525,1966.0
2008-07-10,1981.0,2075.0,1980.0,1995.0,1545,1965.75
2008-07-13,2001.0,2034.0,1980.0,1998.0,2090,1995.0
2008-07-14,2020.0,2020.0,1975.0,1979.25,1450,1998.0
2008-07-15,1980.0,2000.0,1975.0,1983.5,2255,1979.25
2008-07-16,2019.0,2019.0,1955.0,1963.75,1530,1983.5
2008-07-17,1995.0,2000.0,1972.5,1980.25,1335,1963.75
2008-07-20,1950.0,2015.0,1940.25,1952.25,2840,1980.25
2008-07-21,1975.0,1975.0,1890.0,1906.25,1605,1952.25
2008-07-22,1914.0,1914.0,1810.0,1849.0,3385,1906.25
2008-07-23,1840.25,1865.0,1830.0,1847.25,1025,1849.0
2008-07-24,1865.0,1998.0,1865.0,1937.25,1780,1847.25
2008-07-27,1980.0,1980.0,1900.0,1912.5,1240,1937.25
2008-07-28,1905.0,1940.0,1905.0,1925.25,1285,1912.5
2008-07-29,1925.25,1935.0,1875.0,1896.5,1990,1925.25
2008-07-30,1900.0,1908.0,1881.0,1888.0,670,1896.5
2008-07-31,1872.0,1900.0,1860.0,1870.25,785,1888.0
2008-08-03,1871.0,1879.0,1800.0,1819.0,1530,1870.25
2008-08-04,1860.0,1860.0,1800.0,1831.25,2250,1819.0
2008-08-05,1840.25,1869.0,1825.25,1851.5,1025,1831.25
2008-08-06,1869.0,1878.0,1840.0,1854.0,645,1851.5
2008-08-07,1860.0,1870.0,1820.0,1827.75,775,1854.0
2008-08-10,1821.0,1839.0,1802.0,1803.5,1640,1827.75
2008-08-11,1800.0,1800.0,1735.0,1785.5,1050,1803.5
2008-08-12,1800.0,1820.0,1790.0,1794.0,620,1785.5
2008-08-13,1785.0,1800.0,1750.0,1761.0,900,1794.0
2008-08-14,1760.0,1788.0,1738.0,1764.25,1465,1761.0
2008-08-18,1725.0,1799.0,1725.0,1743.0,760,1764.25
2008-08-19,1745.0,1780.0,1722.0,1736.25,1200,1743.0
2008-08-20,1758.0,1758.0,1730.0,1749.5,840,1736.25
2008-08-21,1775.0,1819.0,1775.0,1807.25,1920,1749.5
2008-08-25,1818.0,1860.0,1810.0,1839.25,1175,1807.25
2008-08-26,1841.0,1868.0,1839.0,1851.0,985,1839.25
2008-08-27,1872.0,1898.0,1858.0,1872.5,1805,1851.0
2008-08-28,1845.0,1940.0,1845.0,1924.5,3395,1872.5
2008-08-31,1936.0,2084.0,1936.0,2055.5,6420,1924.5
2008-09-01,2085.0,2090.0,2030.0,2049.75,3530,2055.5
2008-09-02,2030.0,2030.0,1971.0,1986.0,1660,2049.75
2008-09-03,1956.0,1988.0,1955.0,1976.0,1495,1986.0
2008-09-04,1970.0,1982.0,1955.0,1976.5,1365,1976.0
2008-09-07,1960.0,1980.0,1940.0,1950.0,1265,1976.5
2008-09-08,1979.0,2019.0,1960.0,2000.75,2335,1950.0
2008-09-09,2025.0,2109.0,2001.0,2095.0,13425,2000.75
2008-09-10,2107.0,2198.0,2070.0,2162.75,11315,2095.0
2008-09-11,2161.0,2180.0,2100.0,2109.0,3555,2162.75
2008-09-14,2110.0,2129.0,2080.0,2094.5,2285,2109.0
2008-09-15,2090.0,2105.0,2020.25,2043.25,2045,2094.5
2008-09-16,2045.0,2090.0,2045.0,2049.25,1105,2043.25
2008-09-17,2049.0,2130.0,2049.0,2111.0,4325,2049.25
2008-09-18,2130.0,2139.0,2066.0,2080.75,2695,2111.0
2008-09-21,2100.0,2120.0,2050.25,2064.0,2770,2080.75
2008-09-22,2070.0,2140.0,2070.0,2092.25,4825,2064.0
2008-09-23,2100.0,2110.0,2061.0,2074.75,2420,2092.25
2008-09-24,2071.0,2139.0,2065.0,2094.5,3725,2074.75
2008-09-25,2100.0,2108.0,2070.0,2078.5,2825,2094.5
2008-10-05,2071.0,2099.0,2040.0,2066.75,3515,2078.5
2008-10-06,2080.0,2080.0,2010.0,2026.5,3510,2066.75
2008-10-07,1980.0,2049.0,1980.0,1995.25,2405,2026.5
2008-10-08,2022.0,2075.0,1972.5,1991.25,3300,1995.25
2008-10-12,1960.0,2048.0,1960.0,1988.75,2485,1991.25
2008-10-13,2000.0,2060.0,1975.0,2038.25,6000,1988.75
2008-10-14,2080.0,2150.0,2080.0,2093.25,6920,2038.25
2008-10-15,2120.0,2138.0,2020.0,2036.0,2255,2093.25
2008-10-16,2030.0,2039.0,1987.5,1999.0,2290,2036.0
2008-10-19,1981.0,2060.0,1981.0,1998.0,2240,1999.0
2008-10-20,2075.0,2075.0,1990.0,1995.25,2315,1998.0
2008-10-21,1981.0,2010.0,1970.0,1972.5,2615,1995.25
