date,open,high,low,close,volume,prev_closing_price
2008-03-06,35.0,36.8,33.2,35.4,106500,34.0
2008-03-09,36.8,36.8,32.4,35.5,82000,35.4
2008-03-09,36.8,36.8,32.4,35.5,82000,35.4
2008-03-10,35.5,36.4,34.1,35.7,43500,35.5
2008-03-11,36.4,40.9,35.5,39.8,78000,35.7
2008-03-12,42.5,43.6,37.6,40.7,57000,39.8
2008-03-13,42.9,48.8,42.0,48.0,127500,40.7
2008-03-16,50.0,56.5,50.0,55.2,118500,48.0
2008-03-17,53.5,57.8,52.0,53.8,96500,55.2
2008-03-18,56.5,58.7,52.0,53.3,87000,53.8
2008-03-19,54.0,56.0,53.5,54.1,74500,53.3
2008-03-20,58.0,58.0,52.2,52.2,39500,54.1
2008-03-23,55.8,55.8,48.0,48.8,40500,52.2
2008-03-24,50.0,51.0,47.1,49.1,14500,48.8
2008-03-25,51.0,51.0,48.7,49.3,22500,49.1
2008-03-30,52.0,52.0,46.1,50.6,3000,49.3
2008-03-31,46.0,51.0,46.0,49.7,38000,50.6
2008-04-01,53.0,53.0,50.0,51.0,19500,49.7
2008-04-02,55.0,57.9,53.0,55.6,53000,51.0
2008-04-03,57.8,60.5,56.0,57.4,44500,55.6
2008-04-06,60.0,60.0,59.3,59.8,6000,57.4
2008-04-07,59.0,60.0,49.1,50.6,154500,59.8
2008-04-08,55.0,59.0,51.6,58.2,124500,50.6
2008-04-09,60.0,64.0,59.5,59.7,80000,58.2
2008-04-10,61.7,61.7,55.8,57.4,25500,59.7
2008-04-13,55.4,56.0,50.0,55.4,192000,57.4
2008-04-15,54.0,58.9,50.1,57.0,152000,55.4
2008-04-16,59.0,62.3,58.9,59.8,134000,57.0
2008-04-17,61.5,62.8,60.1,61.5,118500,59.8
2008-04-20,57.0,58.0,54.5,56.8,310000,61.5
2008-04-21,57.1,61.0,57.0,60.4,46000,56.8
2008-04-22,63.8,63.8,58.2,59.4,33000,60.4
2008-04-23,60.0,61.9,57.0,60.2,145500,59.4
2008-04-24,58.1,62.1,57.6,61.3,154000,60.2
2008-04-27,61.0,61.0,59.5,60.2,30000,61.3
2008-04-28,58.0,58.0,56.5,57.2,27500,60.2
2008-04-29,58.0,58.0,56.0,56.9,22500,57.2
2008-04-30,56.5,56.5,55.0,55.8,15000,56.9
2008-05-04,55.0,55.0,51.0,52.4,14500,55.8
2008-05-05,55.0,55.0,53.0,54.5,4500,52.4
2008-05-06,57.0,57.0,51.9,51.9,31500,54.5
2008-05-07,52.0,52.7,49.1,49.6,66000,51.9
2008-05-08,51.0,53.0,51.0,52.0,34000,49.6
2008-05-11,54.0,54.0,50.0,51.7,17500,52.0
2008-05-12,50.5,50.5,48.0,48.7,36500,51.7
2008-05-13,48.5,49.0,48.0,48.4,22500,48.7
2008-05-14,49.6,49.6,48.0,48.3,26500,48.4
2008-05-15,48.0,49.5,48.0,48.6,26500,48.3
2008-05-18,49.4,50.0,49.0,49.1,57500,48.6
2008-05-20,49.6,49.6,45.2,48.9,32500,49.1
2008-05-21,52.5,53.5,48.5,48.7,129000,48.9
2008-05-22,47.2,48.4,47.0,47.6,17000,48.7
2008-05-25,48.9,48.9,45.5,46.1,25500,47.6
2008-05-26,46.0,46.0,41.2,43.0,30500,46.1
2008-05-27,46.5,51.0,44.1,46.4,58000,43.0
2008-05-28,48.2,48.2,45.0,46.1,20000,46.4
2008-05-29,44.5,45.0,43.1,43.9,29000,46.1
2008-06-01,43.9,44.6,42.7,43.6,21000,43.9
2008-06-02,43.1,45.0,43.0,44.2,25500,43.6
2008-06-03,43.5,45.1,42.5,44.1,99500,44.2
2008-06-04,45.2,47.8,45.0,46.7,90000,44.1
2008-06-05,46.0,51.3,45.0,50.7,213000,46.7
2008-06-08,50.9,53.5,47.0,47.4,135000,50.7
2008-06-09,44.1,47.5,44.1,44.8,91500,47.4
2008-06-10,46.0,46.0,43.5,43.8,62000,44.8
2008-06-11,45.0,47.0,44.3,45.2,36500,43.8
2008-06-12,46.7,48.5,43.3,43.6,48500,45.2
2008-06-15,44.1,44.7,43.4,43.8,17000,43.6
2008-06-16,44.0,44.0,42.1,43.0,14500,43.8
2008-06-17,42.5,44.0,41.3,42.4,43000,43.0
2008-06-18,42.3,43.5,41.8,42.3,27000,42.4
2008-06-19,42.5,45.7,42.5,43.9,15000,42.3
2008-06-22,42.3,43.3,42.2,42.3,19500,43.9
2008-06-23,41.0,41.8,41.0,41.2,8500,42.3
2008-06-24,42.5,42.5,41.6,41.9,12000,41.2
2008-06-25,42.0,42.5,39.2,41.1,15500,41.9
2008-06-26,41.0,41.3,40.0,40.7,13000,41.1
2008-06-29,39.2,39.2,38.9,39.1,14500,40.7
2008-06-30,39.0,39.0,38.5,38.5,3500,39.1
