date,open,high,low,close,volume,prev_closing_price
2018-07-15,45.0,55.0,35.3,40.9,8196118,0.0
2018-07-16,41.0,45.4,41.0,42.3,2820211,40.9
2018-07-17,42.3,43.0,38.1,38.2,4708500,42.3
2018-07-18,38.5,39.3,35.2,35.9,3395215,38.2
2018-07-19,36.1,37.3,34.3,34.6,2599319,35.9
2018-07-22,35.0,36.3,34.6,34.9,2343039,34.6
2018-07-23,35.5,37.5,34.7,36.0,2995912,34.9
2018-07-24,36.5,36.9,34.3,34.6,1731552,36.0
2018-07-25,35.0,35.2,32.6,32.8,2374372,34.6
2018-07-26,32.8,33.8,32.3,32.8,1259586,32.8
2018-07-29,33.2,33.7,32.2,32.3,1097811,32.8
2018-07-30,32.6,32.8,30.5,30.8,1314439,32.3
2018-07-31,31.0,32.6,30.9,31.9,1192459,30.8
2018-08-01,32.0,32.9,30.5,30.8,1096219,31.9
2018-08-02,30.8,31.2,29.9,30.2,984833,30.8
2018-08-05,30.5,31.3,30.1,30.2,725755,30.2
2018-08-06,30.5,31.4,30.3,30.5,1364943,30.2
2018-08-07,30.6,31.3,29.8,30.1,1005748,30.5
2018-08-08,30.4,30.9,29.1,29.2,1011791,30.1
2018-08-09,29.5,29.6,27.8,28.0,1170002,29.2
2018-08-12,28.2,29.7,27.9,28.8,1055765,28.0
2018-08-13,29.0,29.2,27.4,27.6,694216,28.8
2018-08-14,28.0,29.0,27.6,28.4,1272029,27.6
2018-08-16,28.4,29.6,28.4,28.7,1109913,28.4
2018-08-19,28.8,28.8,27.2,27.3,634458,28.7
2018-08-20,27.3,28.0,27.2,27.4,402546,27.3
2018-08-26,27.5,27.9,27.4,27.8,306601,27.4
2018-08-27,27.8,30.1,27.8,29.6,1670604,27.8
2018-08-28,29.6,31.0,29.6,30.3,2061617,29.6
2018-08-29,30.3,31.0,29.1,29.2,987947,30.3
2018-08-30,29.2,30.2,28.9,29.0,1093214,29.2
2018-09-03,29.0,29.7,28.4,28.6,607144,29.0
2018-09-04,29.0,29.0,27.8,27.9,827818,28.6
2018-09-05,28.1,29.6,28.1,28.7,1232517,27.9
2018-09-06,29.0,29.1,28.1,28.2,617216,28.7
2018-09-09,28.0,28.3,27.0,27.2,915501,28.2
2018-09-10,27.6,27.8,27.1,27.2,485802,27.2
2018-09-11,27.3,27.5,26.5,26.6,767301,27.2
2018-09-12,26.8,27.1,26.0,26.3,727759,26.6
2018-09-13,26.6,26.8,26.2,26.3,571840,26.3
2018-09-16,26.5,28.1,26.4,27.2,1175340,26.3
2018-09-17,27.3,27.6,26.1,26.3,684624,27.2
2018-09-18,26.4,26.5,25.7,25.8,503720,26.3
2018-09-19,25.8,27.2,25.8,27.0,1042212,25.8
2018-09-20,27.3,28.5,27.2,28.0,1835349,27.0
2018-09-23,28.2,28.4,26.7,26.9,683010,28.0
2018-09-24,26.7,26.9,25.7,25.9,581452,26.9
2018-09-25,26.2,26.5,25.7,25.8,370275,25.9
2018-09-26,26.2,28.3,26.2,28.3,2073417,25.8
2018-09-27,28.8,31.1,28.8,31.1,3359636,28.3
2018-09-30,32.7,34.2,32.0,34.2,2425982,31.1
2018-10-01,36.0,37.6,34.1,35.0,5845685,34.2
2018-10-02,35.0,37.4,33.5,36.7,3120421,35.0
2018-10-03,36.7,38.3,35.5,37.7,2341458,36.7
2018-10-04,37.8,38.0,35.7,36.1,2733663,37.7
2018-10-07,36.1,37.1,34.6,35.6,3551801,36.1
2018-10-08,36.0,37.0,34.7,35.0,1151740,35.6
2018-10-09,35.0,35.6,33.9,34.3,1840474,35.0
2018-10-10,34.0,34.5,32.4,32.9,981782,34.3
