date,open,high,low,close,volume,prev_closing_price
2008-03-06,195.0,214.0,195.0,198.75,58550,193.5
2008-03-09,209.0,209.0,190.0,193.75,30250,198.75
2008-03-09,209.0,209.0,190.0,193.75,30250,198.75
2008-03-10,201.5,209.0,193.0,207.5,59200,193.75
2008-03-11,209.0,218.0,199.0,205.0,59850,207.5
2008-03-12,207.0,212.5,201.0,205.75,25800,205.0
2008-03-13,202.5,209.0,198.0,201.75,22700,205.75
2008-03-16,202.25,205.0,189.0,192.5,20400,201.75
2008-03-17,199.0,199.0,185.0,186.5,16450,192.5
2008-03-18,193.5,193.75,183.0,184.75,8650,186.5
2008-03-19,170.0,191.0,170.0,187.75,15650,184.75
2008-03-20,186.0,194.0,186.0,191.25,12100,187.75
2008-03-23,193.0,197.0,180.0,184.5,9550,191.25
2008-03-24,180.5,189.0,177.0,180.0,6950,184.5
2008-03-25,180.0,191.5,175.25,184.5,18050,180.0
2008-03-30,201.0,205.0,197.5,201.25,29000,184.5
2008-03-31,196.0,198.75,190.25,190.75,9850,201.25
2008-04-01,193.0,193.0,185.0,185.5,6400,190.75
2008-04-02,183.0,189.5,182.0,183.75,5200,185.5
2008-04-03,186.25,204.75,181.5,200.75,23650,183.75
2008-04-06,208.75,208.75,190.75,191.5,17800,200.75
2008-04-07,192.0,199.0,192.0,193.0,13450,191.5
2008-04-08,203.0,211.0,190.0,206.5,64550,193.0
2008-04-09,214.0,215.0,195.0,196.25,17400,206.5
2008-04-10,198.0,202.0,192.0,194.0,24850,196.25
2008-04-13,203.0,212.0,197.0,202.0,56550,194.0
2008-04-15,214.0,222.0,205.75,211.75,77050,202.0
2008-04-16,219.0,219.0,199.75,200.75,25400,211.75
2008-04-17,203.0,203.0,193.0,194.75,24950,200.75
2008-04-20,189.0,196.0,187.0,189.0,13650,194.75
2008-04-21,188.0,193.0,180.0,181.25,17250,189.0
2008-04-22,180.0,190.0,172.0,173.25,30850,181.25
2008-04-23,190.0,190.0,176.25,179.5,15250,173.25
2008-04-24,189.0,189.0,175.0,179.75,14950,179.5
2008-04-27,182.0,183.75,175.25,176.5,8400,179.75
2008-04-28,173.25,176.75,163.0,164.75,19400,176.5
2008-04-29,164.0,171.0,163.75,165.25,10400,164.75
2008-04-30,165.0,166.0,156.0,156.5,13500,165.25
2008-05-04,149.0,157.0,149.0,150.5,12400,156.5
2008-05-05,151.0,153.0,146.25,147.0,7200,150.5
2008-05-06,154.0,170.0,154.0,160.5,15950,147.0
2008-05-07,164.0,165.0,153.25,157.5,13250,160.5
2008-05-08,158.0,164.0,152.0,153.5,16550,157.5
2008-05-11,150.0,158.75,150.0,155.25,11450,153.5
2008-05-12,158.0,160.5,147.0,148.75,28350,155.25
2008-05-13,148.25,153.5,146.25,148.0,9550,148.75
2008-05-14,146.25,146.25,126.5,135.25,23700,148.0
2008-05-15,127.0,134.5,122.0,125.75,13250,135.25
2008-05-18,123.5,129.0,118.0,119.75,11250,125.75
2008-05-20,124.0,141.0,124.0,131.0,21300,119.75
2008-05-21,139.75,150.0,139.75,149.25,23700,131.0
2008-05-22,146.0,150.0,141.25,144.0,8150,149.25
2008-05-25,148.0,160.0,142.0,158.0,27500,144.0
2008-05-26,168.0,168.0,156.0,161.75,18950,158.0
2008-05-27,160.0,164.0,151.0,151.75,10600,161.75
2008-05-28,145.0,154.0,145.0,148.25,6400,151.75
2008-05-29,154.75,154.75,144.0,145.25,6900,148.25
2008-06-01,150.0,150.0,143.25,144.75,10150,145.25
2008-06-02,151.75,169.75,148.0,165.5,35900,144.75
2008-06-03,170.0,190.0,170.0,183.25,53000,165.5
2008-06-04,180.0,189.0,165.25,168.25,25550,183.25
2008-06-05,168.25,184.0,162.25,170.75,14500,168.25
2008-06-08,184.0,203.0,181.0,198.0,60150,170.75
2008-06-09,207.0,207.0,178.5,183.0,23650,198.0
2008-06-10,183.25,195.0,183.25,187.0,13950,183.0
2008-06-11,176.0,189.0,171.0,174.0,16500,187.0
2008-06-12,180.0,182.0,170.0,178.0,10450,174.0
2008-06-15,172.0,180.0,165.0,166.5,5350,178.0
2008-06-16,165.0,175.0,152.0,173.25,7250,166.5
2008-06-17,185.0,191.0,174.0,187.5,24850,173.25
2008-06-18,190.0,190.0,180.0,0.0,7600,187.5
2008-06-19,180.0,186.0,176.0,180.25,5700,181.75
2008-06-22,170.0,178.75,170.0,0.0,3700,180.25
2008-06-23,173.25,175.0,172.25,0.0,6050,172.0
2008-06-24,176.0,180.0,173.5,179.5,6600,173.0
2008-06-25,176.25,185.0,176.25,182.0,14950,179.5
2008-06-26,185.5,195.75,182.0,191.25,36850,182.0
2008-06-29,196.0,209.0,191.0,200.25,36950,191.25
2008-06-30,200.0,200.0,189.0,191.5,14850,200.25
2008-07-02,186.0,194.0,184.0,189.5,11550,191.5
2008-07-03,184.0,190.0,182.0,186.75,2400,189.5
2008-07-06,190.0,190.0,178.0,180.0,14100,186.75
2008-07-07,183.0,193.0,183.0,186.75,10250,180.0
2008-07-08,190.0,194.75,182.0,185.5,6150,186.75
2008-07-08,190.0,194.75,182.0,185.5,6150,186.75
2008-07-09,182.5,182.5,181.25,181.75,850,185.5
2008-07-10,180.0,184.5,180.0,182.0,5850,181.75
2008-07-13,189.75,198.0,182.0,191.0,15850,182.0
2008-07-14,188.0,188.0,182.0,182.5,6700,191.0
2008-07-15,182.25,183.0,180.0,181.5,4000,182.5
2008-07-16,180.5,181.75,178.25,179.75,5750,181.5
2008-07-17,180.5,186.0,178.25,179.25,4550,179.75
2008-07-20,175.0,178.0,165.0,171.0,6450,179.25
2008-07-21,173.25,173.25,163.0,163.75,6950,171.0
2008-07-22,161.25,177.0,161.0,166.25,9350,163.75
2008-07-23,166.0,175.0,163.5,171.25,6250,166.25
2008-07-24,180.0,190.0,177.0,187.0,16600,171.25
2008-07-27,192.0,192.0,180.5,181.0,5550,187.0
2008-07-28,197.75,203.0,181.5,184.0,14050,181.0
2008-07-29,170.0,182.5,167.5,175.0,5900,184.0
2008-07-30,176.5,176.75,172.0,175.25,3200,175.0
2008-07-31,173.0,174.0,160.0,163.75,11950,175.25
2008-08-03,157.0,164.0,156.0,162.25,5900,163.75
2008-08-04,164.0,164.0,160.0,161.5,3800,162.25
2008-08-05,165.0,170.0,163.5,164.25,2950,161.5
2008-08-06,169.0,172.0,164.25,165.25,6000,164.25
2008-08-07,165.5,166.75,160.0,160.5,7600,165.25
2008-08-10,160.5,160.5,154.75,155.5,4400,160.5
2008-08-11,153.75,155.0,146.0,151.75,4250,155.5
2008-08-12,145.0,148.0,145.0,147.0,2000,151.75
2008-08-13,146.25,149.0,145.0,145.0,4750,147.0
2008-08-14,148.0,148.0,148.0,148.0,250,145.0
2008-08-18,148.0,0.0,0.0,148.0,0,148.0
2008-08-19,142.5,142.5,128.0,131.5,3600,148.0
2008-08-20,132.0,144.0,131.0,141.25,6100,131.5
2008-08-21,145.0,153.0,143.75,150.5,11800,141.25
2008-08-25,154.0,155.25,151.0,153.75,5050,150.5
2008-08-26,157.0,164.0,157.0,161.0,9150,153.75
2008-08-27,163.75,168.5,160.5,162.0,7400,161.0
2008-08-28,162.0,172.0,154.0,165.0,15150,162.0
2008-08-31,170.0,170.0,164.0,165.0,5150,165.0
2008-09-01,166.0,166.0,160.0,161.0,6650,165.0
2008-09-02,163.0,167.0,161.5,165.75,7400,161.0
2008-09-03,165.0,165.0,162.0,163.5,5000,165.75
2008-09-04,160.5,161.5,158.0,158.25,4950,163.5
2008-09-07,160.75,166.0,158.5,163.5,6850,158.25
2008-09-08,163.25,166.5,162.0,162.5,6200,163.5
2008-09-09,161.0,162.0,160.0,160.5,3100,162.5
2008-09-10,161.25,162.0,157.25,158.0,4450,160.5
2008-09-11,157.25,158.0,155.25,155.75,3550,158.0
2008-09-14,154.25,157.25,154.25,155.5,1300,155.75
2008-09-15,155.75,157.0,154.5,155.0,4300,155.5
2008-09-16,150.25,155.25,150.25,153.75,3350,155.0
2008-09-17,151.25,157.5,151.25,154.0,2900,153.75
2008-09-18,153.25,159.25,153.0,155.0,1850,154.0
2008-09-21,152.0,153.75,150.5,151.75,2550,155.0
2008-09-22,150.25,153.5,150.25,150.5,5500,151.75
2008-09-23,151.0,151.0,148.0,148.25,4600,150.5
2008-09-24,153.75,153.75,147.0,151.0,6750,148.25
2008-09-25,146.0,153.75,142.0,150.0,4500,151.0
2008-10-05,152.0,155.0,151.25,152.0,1100,150.0
2008-10-06,160.0,161.75,155.0,156.5,3600,152.0
2008-10-07,158.0,158.0,153.0,157.25,5000,156.5
2008-10-08,165.0,183.75,164.75,170.0,22300,157.25
2008-10-12,160.5,169.0,156.0,159.5,8700,170.0
2008-10-13,156.0,163.0,155.0,156.0,8250,159.5
2008-10-14,162.0,167.0,159.0,160.0,9150,156.0
2008-10-15,161.0,166.0,156.0,160.0,4700,160.0
2008-10-16,155.5,160.0,155.0,157.25,6750,160.0
2008-10-19,160.0,160.0,154.0,155.5,2250,157.25
2008-10-20,153.25,154.0,150.0,150.25,7300,155.5
2008-10-21,156.25,157.0,150.0,151.25,3150,150.25
2008-10-22,150.0,155.0,150.0,151.5,2900,151.25
2008-10-23,153.0,158.0,153.0,156.25,5550,151.5
2008-10-26,155.0,157.0,150.0,150.5,6100,156.25
2008-10-27,151.0,152.5,150.0,150.75,7950,150.5
2008-10-28,150.0,153.75,149.0,149.75,5800,150.75
2008-10-29,149.25,151.0,149.0,149.5,3850,149.75
2008-10-30,155.0,158.0,149.0,150.25,8150,149.5
2008-11-02,148.25,155.0,148.0,150.5,6450,150.25
2008-11-03,149.0,149.25,148.0,148.5,2050,150.5
2008-11-04,149.0,152.0,148.5,150.0,2800,148.5
2008-11-05,151.5,171.0,151.0,168.5,48500,150.0
2008-11-06,160.0,160.0,154.5,156.25,1000,168.5
2008-11-09,154.25,157.0,150.0,150.0,3200,156.25
2008-11-10,150.0,150.0,150.0,150.0,500,150.0
2008-11-11,147.0,150.0,146.25,148.75,1250,150.0
2008-11-12,155.0,157.0,151.0,153.75,1450,148.75
2008-11-13,150.0,156.0,150.0,153.75,2150,153.75
2008-11-16,150.0,150.5,150.0,150.0,2400,153.75
2008-11-17,148.0,151.0,148.0,150.25,4800,150.0
2008-11-18,148.25,153.0,148.25,148.5,4950,150.25
2008-11-19,144.25,146.0,144.25,145.0,600,148.5
2008-11-20,143.5,144.75,141.0,142.25,1000,145.0
2008-11-23,145.25,145.5,140.25,141.0,3450,142.25
2008-11-24,146.5,146.5,145.0,145.75,1050,141.0
2008-11-25,146.0,147.75,141.25,146.25,2450,145.75
2008-11-26,141.5,141.5,140.25,141.0,800,146.25
2008-11-27,137.0,137.0,134.0,135.25,1000,141.0
2008-11-30,144.0,144.0,128.0,131.75,800,135.25
2008-12-01,136.75,140.0,136.75,138.5,500,131.75
2008-12-02,135.0,135.0,131.0,132.25,450,138.5
2008-12-03,127.25,136.0,127.25,134.5,600,132.25
2008-12-04,132.25,139.75,132.25,137.0,750,134.5
2008-12-14,136.75,136.75,136.75,136.75,150,137.0
2008-12-15,126.75,134.0,126.75,130.5,400,136.75
2008-12-17,130.5,0.0,0.0,130.5,0,130.5
2008-12-18,130.5,0.0,0.0,130.5,0,130.5
2008-12-21,140.0,142.0,140.0,141.0,500,130.5
2008-12-22,142.0,142.0,142.0,142.0,50,141.0
2008-12-23,139.5,142.75,139.5,140.75,500,142.0
2008-12-24,142.0,142.0,140.25,141.0,800,140.75
2008-12-28,146.0,150.0,146.0,148.0,850,141.0
