date,open,high,low,close,volume,prev_closing_price
2008-03-06,498.25,520.0,498.0,511.0,43300,501.0
2008-03-09,527.0,546.0,527.0,544.75,46550,511.0
2008-03-09,527.0,546.0,527.0,544.75,46550,511.0
2008-03-10,554.5,554.5,537.0,545.0,65500,544.75
2008-03-11,545.0,548.0,528.25,530.0,43400,545.0
2008-03-12,524.0,541.0,524.0,531.5,32100,530.0
2008-03-13,540.0,574.75,540.0,554.5,184900,531.5
2008-03-16,552.0,557.0,545.75,547.75,34700,554.5
2008-03-17,552.0,552.0,526.25,529.75,121900,547.75
2008-03-18,533.0,548.0,527.25,543.25,71650,529.75
2008-03-19,540.5,545.0,531.5,534.75,43600,543.25
2008-03-20,540.0,552.0,533.5,548.5,76650,534.75
2008-03-23,549.75,553.75,540.0,549.5,53400,548.5
2008-03-24,551.0,563.0,550.0,557.5,59850,549.5
2008-03-25,562.0,562.0,550.5,0.0,66250,557.5
2008-03-30,558.0,560.0,553.0,558.25,50650,556.75
2008-03-31,559.0,559.5,551.0,553.25,26800,558.25
2008-04-01,551.5,558.0,551.5,553.0,34550,553.25
2008-04-02,557.0,565.0,554.0,560.25,67350,553.0
2008-04-03,560.25,0.0,0.0,560.25,0,560.25
2008-04-06,504.25,504.25,476.25,479.0,500,560.25
2008-04-07,450.0,450.0,436.25,437.5,38400,479.0
2008-04-08,432.5,440.0,422.5,427.75,57550,437.5
2008-04-09,427.25,443.0,427.25,435.0,30700,427.75
2008-04-10,439.0,442.0,432.0,438.5,19600,435.0
2008-04-13,432.0,440.0,426.0,428.0,37400,438.5
2008-04-15,422.0,433.5,422.0,429.5,32650,428.0
2008-04-16,433.0,440.5,430.25,435.75,29000,429.5
2008-04-17,441.0,441.0,431.5,436.25,23850,435.75
2008-04-20,433.0,438.5,427.0,428.75,15100,436.25
2008-04-21,428.0,432.0,425.0,425.75,14000,428.75
2008-04-22,423.0,437.0,420.0,420.5,16300,425.75
2008-04-23,402.0,425.0,402.0,412.0,10650,420.5
2008-04-24,412.0,434.75,412.0,426.75,15100,412.0
2008-04-27,430.0,436.5,427.25,430.5,20050,426.75
2008-04-28,434.0,436.0,429.25,431.0,26850,430.5
2008-04-29,431.0,436.75,430.0,430.75,19450,431.0
2008-04-30,426.0,451.5,426.0,440.75,28700,430.75
2008-05-04,459.0,459.0,435.0,439.25,14400,440.75
2008-05-05,426.5,440.0,426.5,435.25,16300,439.25
2008-05-06,440.0,440.0,427.0,429.25,19900,435.25
2008-05-07,425.0,433.0,425.0,428.5,14900,429.25
2008-05-08,434.0,434.0,426.5,429.75,9650,428.5
2008-05-11,433.5,433.5,427.0,428.75,31850,429.75
2008-05-12,423.0,427.0,421.25,424.75,36550,428.75
2008-05-13,422.0,429.0,422.0,422.0,16150,424.75
2008-05-14,420.0,420.75,414.75,418.25,18350,422.0
2008-05-15,415.0,424.0,415.0,418.0,20750,418.25
2008-05-18,410.25,418.0,410.0,412.75,34900,418.0
2008-05-20,406.0,419.0,406.0,416.75,38300,412.75
2008-05-21,405.5,418.0,405.5,413.25,23200,416.75
2008-05-22,406.0,424.0,406.0,420.25,24000,413.25
2008-05-25,414.0,423.5,414.0,420.0,32450,420.25
2008-05-26,415.0,423.5,413.25,422.0,29500,420.0
2008-05-27,413.25,426.0,413.25,422.75,12450,422.0
2008-05-28,424.75,434.0,420.5,425.25,14050,422.75
2008-05-29,431.5,443.0,425.25,438.5,47300,425.25
2008-06-01,445.0,455.0,435.25,440.75,35650,438.5
2008-06-02,442.75,442.75,425.0,426.75,34200,440.75
2008-06-03,429.0,439.0,427.0,436.0,32200,426.75
2008-06-04,440.0,448.0,431.5,438.75,43550,436.0
2008-06-05,440.0,443.75,432.0,436.0,24450,438.75
2008-06-08,433.0,444.0,433.0,437.25,32300,436.0
2008-06-09,428.0,435.5,421.5,423.75,29900,437.25
2008-06-10,435.0,435.0,424.0,425.75,35650,423.75
2008-06-11,422.25,430.0,420.75,422.5,22450,425.75
2008-06-12,422.5,436.75,421.25,433.25,36550,422.5
2008-06-15,443.75,444.0,427.0,0.0,40250,433.25
2008-06-16,428.0,433.0,425.0,0.0,33500,430.25
2008-06-17,436.5,436.5,420.0,421.0,24350,430.0
2008-06-18,430.0,433.0,418.25,0.0,18650,421.0
2008-06-19,427.75,428.0,419.75,422.5,22700,421.0
2008-06-22,418.0,422.75,417.0,0.0,21800,422.5
2008-06-23,417.0,420.0,416.0,0.0,13800,419.5
2008-06-24,416.25,422.0,416.25,419.25,35000,419.0
2008-06-25,425.0,425.0,414.75,415.5,38650,419.25
2008-06-26,410.5,420.0,410.5,416.5,34400,415.5
2008-06-29,418.0,423.0,414.0,419.5,28500,416.5
2008-06-30,416.25,421.0,415.0,415.25,23550,419.5
2008-07-02,411.0,423.0,411.0,421.5,20800,415.25
2008-07-03,417.0,422.75,416.0,420.5,22150,421.5
2008-07-06,423.0,424.5,421.25,423.25,18150,420.5
2008-07-07,422.0,422.0,417.25,418.25,39400,423.25
2008-07-08,416.0,419.75,416.0,417.75,27100,418.25
2008-07-08,416.0,419.75,416.0,417.75,27100,418.25
2008-07-09,417.0,417.75,416.0,417.0,27600,417.75
2008-07-10,420.0,420.0,415.25,415.5,30400,417.0
2008-07-13,419.5,420.0,410.0,414.25,20500,415.5
2008-07-14,425.0,425.0,412.0,412.25,7950,414.25
2008-07-15,412.0,415.0,406.25,409.75,32550,412.25
2008-07-16,415.0,415.0,407.5,408.5,22200,409.75
2008-07-17,414.0,414.75,406.25,406.5,16550,408.5
2008-07-20,406.0,409.75,403.75,406.25,17600,406.5
2008-07-21,407.0,407.0,397.25,397.75,15200,406.25
2008-07-22,395.0,408.0,394.0,397.5,9650,397.75
2008-07-23,400.0,400.0,396.0,399.5,10250,397.5
2008-07-24,400.25,418.0,400.25,413.0,12550,399.5
2008-07-27,414.0,416.0,408.75,413.25,13100,413.0
2008-07-28,414.0,414.0,410.0,410.75,13250,413.25
2008-07-29,401.0,410.0,401.0,407.0,5000,410.75
2008-07-30,415.25,415.25,400.0,405.0,8200,407.0
2008-07-31,410.0,410.0,397.25,400.25,23500,405.0
2008-08-03,399.0,399.0,395.0,397.5,13450,400.25
2008-08-04,398.0,399.0,395.25,398.25,10150,397.5
2008-08-05,391.5,403.0,391.5,398.0,5550,398.25
2008-08-06,400.0,401.0,396.0,396.25,15250,398.0
