date,open,high,low,close,volume,prev_closing_price
2008-03-06,119.0,119.9,118.0,118.9,111750,118.0
2008-03-09,120.0,121.5,119.0,120.2,166900,118.9
2008-03-09,120.0,121.5,119.0,120.2,166900,118.9
2008-03-10,121.4,122.0,120.0,120.1,176100,120.2
2008-03-11,120.0,121.0,118.5,118.7,84250,120.1
2008-03-12,119.0,120.0,118.5,118.6,98050,118.7
2008-03-13,118.5,119.8,118.5,118.9,69600,118.6
2008-03-16,119.1,119.9,118.4,118.7,115600,118.9
2008-03-17,120.0,120.0,118.9,119.6,121200,118.7
2008-03-18,121.0,121.0,119.3,0.0,115700,119.6
2008-03-19,120.4,124.7,119.8,0.0,436650,119.9
2008-03-20,124.9,126.9,124.1,126.2,600400,123.9
2008-03-23,127.0,129.9,125.5,125.9,428100,126.2
2008-03-24,127.0,127.0,122.7,123.3,196050,125.9
2008-03-25,124.0,125.0,123.4,0.0,198150,123.3
2008-03-30,126.9,126.9,124.0,124.7,327700,124.1
2008-03-31,125.9,126.4,123.5,124.4,241250,124.7
2008-04-01,124.6,126.0,124.0,125.2,218750,124.4
2008-04-02,126.0,130.0,126.0,127.5,514550,125.2
2008-04-03,129.8,130.0,127.0,127.3,273100,127.5
2008-04-06,128.5,128.8,126.6,127.7,316050,127.3
2008-04-07,128.0,129.0,124.9,125.4,251250,127.7
2008-04-08,126.9,127.5,124.5,125.3,260150,125.4
2008-04-09,127.7,129.0,126.2,127.1,333500,125.3
2008-04-10,128.4,138.9,128.4,137.6,1036600,127.1
2008-04-13,139.0,143.8,139.0,142.6,593550,137.6
2008-04-15,143.8,144.9,137.7,139.0,418550,142.6
2008-04-16,139.0,143.4,137.0,141.4,454500,139.0
2008-04-17,144.0,145.0,140.4,141.7,567650,141.4
2008-04-20,144.8,147.0,142.1,145.3,672750,141.7
2008-04-21,146.9,149.9,133.0,135.1,1222500,145.3
2008-04-22,133.8,135.5,133.1,133.5,269900,135.1
2008-04-23,133.5,134.3,129.0,130.6,332100,133.5
2008-04-24,130.0,136.5,129.0,132.8,334600,130.6
2008-04-27,135.0,141.0,135.0,137.8,408700,132.8
2008-04-28,137.3,140.0,136.1,136.3,310850,137.8
2008-04-29,137.9,139.9,136.1,136.4,255250,136.3
2008-04-30,137.0,139.0,135.0,135.8,172200,136.4
2008-05-04,137.9,138.7,134.5,135.0,194450,135.8
2008-05-05,137.0,137.4,134.6,135.4,210400,135.0
2008-05-06,136.9,136.9,134.9,135.6,187350,135.4
2008-05-07,136.0,136.5,133.9,134.0,267150,135.6
2008-05-08,134.5,135.1,132.8,133.3,449650,134.0
2008-05-11,135.0,138.8,133.5,137.0,606750,133.3
2008-05-12,134.3,137.5,134.0,134.5,123450,137.0
2008-05-13,135.0,136.0,134.5,135.3,236350,134.5
2008-05-14,135.1,136.5,133.7,134.9,330900,135.3
2008-05-15,134.9,0.0,0.0,134.9,0,134.9
2008-05-18,100.1,114.2,100.1,113.0,565650,134.9
2008-05-20,113.5,122.5,111.3,122.0,669950,113.0
2008-05-21,124.0,124.8,116.1,117.5,320900,122.0
2008-05-22,118.6,120.2,117.3,117.9,310600,117.5
2008-05-25,118.0,120.0,115.6,117.1,417800,117.9
2008-05-26,119.0,119.0,116.9,118.0,269850,117.1
2008-05-27,118.0,122.0,118.0,120.0,653800,118.0
2008-05-28,121.9,128.9,121.0,127.8,838700,120.0
2008-05-29,129.0,135.0,128.0,132.7,709200,127.8
2008-06-01,135.0,142.5,134.0,141.2,847700,132.7
2008-06-02,143.5,146.5,139.0,140.4,669900,141.2
2008-06-03,141.0,143.0,136.3,136.8,515050,140.4
2008-06-04,139.7,139.7,133.3,136.1,570250,136.8
2008-06-05,138.2,138.2,135.0,136.1,323750,136.1
2008-06-08,139.0,139.8,134.8,135.1,344100,136.1
2008-06-09,134.0,135.7,130.1,130.9,308800,135.1
