date,open,high,low,close,volume,prev_closing_price
2008-03-06,3521.0,3590.0,3506.0,3527.25,48814,3536.5
2008-03-09,3571.0,3710.0,3560.0,3701.5,54021,3527.25
2008-03-09,3571.0,3710.0,3560.0,3701.5,54021,3527.25
2008-03-10,3714.0,3750.0,3630.0,3666.0,48017,3701.5
2008-03-11,3694.0,3694.0,3581.0,3606.75,41161,3666.0
2008-03-12,3580.0,3610.0,3540.0,3584.75,24798,3606.75
2008-03-13,3578.0,3600.0,3541.0,3553.5,25573,3584.75
2008-03-16,3592.0,3610.0,3560.0,3570.25,20534,3553.5
2008-03-17,3585.0,3700.0,3580.0,3693.75,47835,3570.25
2008-03-18,3710.0,3740.0,3660.0,0.0,28916,3693.75
2008-03-19,3699.0,3749.0,3665.0,3727.25,35251,3683.0
2008-03-20,3748.0,3897.0,3748.0,3869.25,93735,3727.25
2008-03-23,3897.5,3999.75,3840.0,3891.0,58171,3869.25
2008-03-24,3865.25,3875.0,3790.0,3808.0,37849,3891.0
2008-03-25,3830.0,3898.0,3811.0,3893.25,30558,3808.0
2008-03-30,3999.0,4135.0,3950.0,4090.5,63446,3893.25
2008-03-31,4097.0,4150.0,4070.0,4110.25,47560,4090.5
2008-04-01,4145.0,4199.75,4079.0,4189.5,35290,4110.25
2008-04-02,4200.0,4400.0,4200.0,4384.0,42103,4189.5
2008-04-03,4399.75,4490.0,4330.0,4348.25,46436,4384.0
2008-04-06,4410.0,4410.0,4292.0,4367.75,35199,4348.25
2008-04-07,4389.0,4497.0,4370.0,4483.0,37904,4367.75
2008-04-08,4490.0,4600.0,4490.0,4593.75,36551,4483.0
2008-04-09,4600.0,4800.0,4600.0,4679.75,45525,4593.75
2008-04-10,4749.0,4750.0,4631.0,4683.25,30362,4679.75
2008-04-13,4740.0,4740.0,4650.0,4679.0,22952,4683.25
2008-04-15,4680.0,4704.0,4575.0,4595.75,32312,4679.0
2008-04-16,4600.0,4615.0,4515.0,4576.5,20776,4595.75
2008-04-17,4575.0,4630.0,4530.0,4554.0,34421,4576.5
2008-04-20,4598.0,4730.0,4530.0,4685.25,27091,4554.0
2008-04-21,4700.0,4793.0,4672.0,4701.75,27656,4685.25
2008-04-22,4720.0,4748.0,4620.0,4636.5,20580,4701.75
2008-04-23,4660.0,4660.0,4550.0,4559.5,41633,4636.5
2008-04-24,4570.0,4594.0,4520.0,4566.0,39874,4559.5
2008-04-27,4698.0,4729.0,4583.25,4610.5,18641,4566.0
2008-04-28,4603.0,4630.0,4555.0,4570.75,17957,4610.5
2008-04-29,4575.0,4590.0,4540.0,4547.75,21448,4570.75
2008-04-30,4579.0,4580.0,4525.0,4552.25,24586,4547.75
2008-05-04,4565.0,4680.0,4560.0,4649.0,27135,4552.25
2008-05-05,4699.0,4744.0,4666.5,4679.5,25436,4649.0
2008-05-06,4695.0,4700.0,4651.0,4660.5,17192,4679.5
2008-05-07,4675.0,4690.0,4650.0,4657.25,19226,4660.5
2008-05-08,4690.0,4690.0,4645.0,4660.5,18508,4657.25
2008-05-11,4699.0,4760.0,4660.0,4733.25,29922,4660.5
2008-05-12,4760.0,4890.0,4750.0,4877.5,42757,4733.25
2008-05-13,4899.0,5200.0,4899.0,5143.75,90826,4877.5
2008-05-14,5061.0,5199.0,5001.0,5071.5,39323,5143.75
2008-05-15,5100.0,5260.0,5050.0,5243.25,38696,5071.5
2008-05-18,5299.0,5500.0,5298.0,5494.75,39236,5243.25
