date,open,high,low,close,volume,prev_closing_price
2008-11-25,152.0,169.0,146.5,148.75,76550,100.0
2008-11-26,145.25,146.0,141.25,141.5,29250,148.75
2008-11-27,139.0,139.0,131.0,134.0,10450,141.5
2008-11-30,130.0,132.0,122.25,130.0,9400,134.0
2008-12-01,131.0,137.0,131.0,135.75,4350,130.0
2008-12-02,129.0,135.0,129.0,133.5,7000,135.75
2008-12-03,132.0,136.0,131.0,133.75,6600,133.5
2008-12-04,130.25,143.0,130.25,141.5,15200,133.75
2008-12-14,137.0,138.5,132.25,137.25,3500,141.5
2008-12-15,134.25,135.75,133.0,133.5,3150,137.25
2008-12-17,130.25,133.25,130.25,132.75,4550,133.5
2008-12-18,133.0,136.75,132.5,135.25,4450,132.75
2008-12-21,130.0,140.0,130.0,139.0,5350,135.25
2008-12-22,136.0,138.75,136.0,137.25,6200,139.0
2008-12-23,134.0,138.0,134.0,137.5,3500,137.25
2008-12-24,135.25,142.0,135.25,140.0,7000,137.5
2008-12-28,147.0,157.0,138.0,153.25,13750,140.0
2008-12-30,150.0,157.5,143.75,155.0,8300,153.25
2009-01-01,141.25,154.0,141.25,152.0,17850,155.0
2009-01-04,150.0,156.0,146.0,152.75,20850,152.0
2009-01-05,152.0,162.0,151.5,159.75,27500,152.75
2009-01-06,158.0,164.25,156.75,162.0,32300,159.75
2009-01-07,163.5,168.0,158.5,163.5,22400,162.0
2009-01-11,157.5,162.5,152.0,154.0,12950,163.5
2009-01-12,155.0,156.0,150.0,151.75,8850,154.0
2009-01-13,146.5,156.0,146.5,153.5,10050,151.75
2009-01-14,157.75,169.0,155.25,159.0,28200,153.5
2009-01-15,154.0,165.0,154.0,156.25,10050,159.0
2009-01-18,153.5,157.5,151.25,152.0,9850,156.25
2009-01-19,148.5,152.0,145.25,147.0,14250,152.0
2009-01-20,148.0,152.0,148.0,150.5,13500,147.0
2009-01-21,147.75,152.0,147.0,147.0,13800,150.5
2009-01-22,145.5,150.0,145.0,149.25,10750,147.0
2009-01-25,149.0,159.5,149.0,157.0,21500,149.25
2009-01-26,160.5,161.0,149.75,150.25,27700,157.0
2009-01-27,148.5,155.0,148.25,151.25,13050,150.25
2009-01-28,152.0,155.0,149.5,151.5,7500,151.25
2009-01-29,154.5,154.5,150.25,153.5,14850,151.5
2009-02-01,151.5,158.75,151.5,157.75,29650,153.5
2009-02-02,161.0,161.0,152.0,152.75,15550,157.75
2009-02-03,151.5,153.75,151.0,152.0,7350,152.75
2009-02-04,154.5,155.0,152.25,153.25,11700,152.0
2009-02-05,155.0,165.75,153.75,164.0,70600,153.25
2009-02-08,160.0,181.5,160.0,176.75,73200,164.0
2009-02-09,168.0,177.25,167.0,170.75,42950,176.75
2009-02-10,171.0,171.0,165.25,168.5,45200,170.75
2009-02-11,172.0,180.0,170.0,173.75,43300,168.5
2009-02-12,173.0,194.0,173.0,191.5,69900,173.75
2009-02-15,195.0,203.0,192.25,199.5,76950,191.5
2009-02-16,199.75,209.0,185.0,198.25,65350,199.5
2009-02-17,204.0,208.0,196.5,197.5,61150,198.25
2009-02-18,197.0,199.0,190.5,191.5,33850,197.5
2009-02-19,195.0,195.0,189.0,191.0,30050,191.5
2009-02-22,189.0,198.5,185.5,194.25,22500,191.0
2009-02-23,199.0,208.0,195.5,202.0,69000,194.25
2009-02-24,208.0,235.0,205.0,221.75,147450,202.0
2009-02-25,219.25,222.0,202.0,218.25,45950,221.75
2009-02-26,222.0,237.0,207.0,226.0,48050,218.25
2009-03-01,245.0,265.0,230.0,261.5,137200,226.0
2009-03-02,264.0,280.0,251.0,260.25,63450,261.5
2009-03-03,254.0,258.5,247.25,251.0,51000,260.25
2009-03-04,242.25,265.0,242.25,263.75,58550,251.0
2009-03-05,270.0,287.0,270.0,273.0,101350,263.75
2009-03-08,275.25,285.0,267.0,275.75,87400,273.0
2009-03-09,273.75,293.0,269.0,286.25,73300,275.75
2009-03-11,293.0,299.0,280.0,283.25,70200,286.25
2009-03-12,261.0,280.0,252.0,268.0,68850,283.25
2009-03-15,255.0,297.0,255.0,291.5,62250,268.0
2009-03-16,295.0,295.0,274.0,281.75,53700,291.5
2009-03-17,276.0,283.0,264.25,270.5,36950,281.75
2009-03-18,271.0,274.0,266.0,270.25,25000,270.5
2009-03-19,272.0,272.0,260.0,263.25,34950,270.25
2009-03-22,270.0,279.0,260.0,263.5,19000,263.25
2009-03-23,258.0,264.0,255.0,255.25,17100,263.5
2009-03-24,255.25,258.0,250.0,252.25,22200,255.25
2009-03-25,252.0,272.0,252.0,262.0,26150,252.25
2009-03-29,270.0,280.0,265.0,267.75,31150,262.0
2009-03-30,265.25,269.75,260.5,262.75,13100,267.75
2009-03-31,270.0,274.75,258.5,259.75,25950,262.75
2009-04-01,240.0,260.0,240.0,252.75,20800,259.75
2009-04-02,250.5,260.0,250.0,251.75,17900,252.75
2009-04-05,255.0,256.0,231.0,237.5,13900,251.75
2009-04-06,230.0,244.0,226.25,230.75,28400,237.5
2009-04-07,238.0,250.0,230.0,235.5,22050,230.75
2009-04-08,235.0,235.0,226.0,227.5,8350,235.5
2009-04-09,225.0,226.0,208.0,210.75,16250,227.5
2009-04-12,203.0,213.0,203.0,206.75,7500,210.75
2009-04-13,206.0,239.75,206.0,220.25,11800,206.75
2009-04-15,219.0,248.0,218.25,245.25,24250,220.25
