date,open,high,low,close,volume,prev_closing_price
2008-03-06,860.0,880.0,860.0,868.75,43750,865.0
2008-03-09,889.0,889.0,871.0,879.5,29000,868.75
2008-03-09,889.0,889.0,871.0,879.5,29000,868.75
2008-03-10,888.0,899.0,875.0,883.75,45850,879.5
2008-03-11,885.0,885.0,860.25,863.75,56900,883.75
2008-03-12,874.5,874.5,856.5,859.75,32850,863.75
2008-03-13,869.75,869.75,855.25,856.5,26750,859.75
2008-03-16,860.0,860.0,835.0,838.5,26350,856.5
2008-03-17,821.0,848.0,821.0,822.25,28250,838.5
2008-03-18,822.0,850.0,820.0,842.0,21250,822.25
2008-03-19,838.0,865.0,838.0,854.5,30350,842.0
2008-03-20,863.75,895.0,856.5,873.75,39900,854.5
2008-03-23,870.0,914.75,862.0,887.75,74300,873.75
2008-03-24,910.0,912.25,875.0,878.75,28250,887.75
2008-03-25,894.0,894.0,872.0,875.25,32500,878.75
2008-03-30,871.0,900.0,855.25,861.0,45800,875.25
2008-03-31,861.0,869.75,855.0,857.5,36650,861.0
2008-04-01,855.5,865.0,846.0,863.0,35100,857.5
2008-04-02,874.0,874.5,852.0,854.75,31300,863.0
2008-04-03,874.75,874.75,851.5,855.0,27300,854.75
2008-04-06,856.25,863.0,850.0,850.75,23400,855.0
2008-04-07,845.25,856.0,840.75,847.0,24250,850.75
2008-04-08,860.0,860.0,835.25,839.0,27150,847.0
2008-04-09,835.0,839.0,820.25,828.5,48650,839.0
2008-04-10,833.0,835.75,823.25,826.0,37300,828.5
2008-04-13,830.0,830.0,812.0,815.75,28850,826.0
2008-04-15,803.25,845.0,803.25,834.0,20650,815.75
2008-04-16,850.0,854.0,827.0,849.5,27900,834.0
2008-04-17,857.0,863.0,840.0,849.25,25400,849.5
2008-04-20,852.5,852.5,820.25,823.75,29200,849.25
2008-04-21,810.0,829.0,800.0,810.5,61750,823.75
2008-04-22,803.0,810.0,782.25,790.25,84900,810.5
2008-04-23,787.0,815.0,774.0,794.5,87150,790.25
2008-04-24,809.5,809.5,791.0,796.25,41550,794.5
2008-04-27,812.75,812.75,789.0,790.5,42150,796.25
2008-04-28,785.0,793.0,777.0,778.5,51800,790.5
2008-04-29,775.5,783.75,770.0,771.0,41950,778.5
2008-04-30,771.0,782.0,765.5,775.5,39050,771.0
2008-05-04,785.0,790.0,767.0,770.25,46900,775.5
2008-05-05,774.0,814.0,773.5,802.75,94200,770.25
2008-05-06,819.5,834.0,810.0,817.5,71250,802.75
2008-05-07,820.0,835.0,808.0,814.5,62250,817.5
2008-05-08,811.0,818.0,800.25,800.75,48750,814.5
2008-05-11,800.0,809.0,766.0,770.25,98200,800.75
2008-05-12,810.0,838.0,790.0,792.0,82650,770.25
2008-05-13,797.0,799.5,775.0,779.0,59800,792.0
2008-05-14,778.0,780.0,765.0,770.0,48950,779.0
2008-05-15,770.0,776.0,760.0,765.75,51000,770.0
2008-05-18,762.0,779.0,755.0,757.0,51750,765.75
2008-05-20,755.0,755.0,711.0,719.0,63450,757.0
2008-05-21,713.0,758.0,710.5,734.0,55950,719.0
2008-05-22,741.25,759.0,740.0,749.5,37950,734.0
2008-05-25,757.0,800.0,752.0,789.25,67650,749.5
2008-05-26,795.0,800.0,775.0,784.75,54900,789.25
2008-05-27,795.0,880.0,780.25,842.75,194500,784.75
2008-05-28,860.0,876.0,825.0,834.25,64800,842.75
