date,open,high,low,close,volume,prev_closing_price
2008-03-06,69.25,74.75,69.25,72.0,2980,68.0
2008-03-09,68.5,68.75,68.5,68.5,70,72.0
2008-03-09,68.5,68.75,68.5,68.5,70,72.0
2008-03-10,67.75,68.0,67.5,67.75,220,68.5
2008-03-11,66.0,68.0,65.5,66.5,500,67.75
2008-03-12,65.75,65.75,65.75,65.75,50,66.5
2008-03-13,69.0,70.0,69.0,69.25,150,65.75
2008-03-16,70.0,73.0,68.5,70.75,1650,69.25
2008-03-17,69.25,73.5,69.25,71.75,460,70.75
2008-03-18,71.0,73.5,71.0,72.25,670,71.75
2008-03-19,69.0,79.75,69.0,77.5,2630,72.25
2008-03-20,79.0,85.0,76.0,82.0,2480,77.5
2008-03-23,90.0,95.0,89.25,92.25,2900,82.0
2008-03-24,85.0,85.0,80.75,82.5,420,92.25
2008-03-25,82.0,82.0,78.0,0.0,430,82.5
2008-03-30,80.0,80.0,77.25,79.75,300,79.5
2008-03-31,78.0,80.0,78.0,79.0,740,79.75
2008-04-01,82.25,82.25,75.25,76.75,270,79.0
2008-04-02,74.25,75.25,74.25,75.0,450,76.75
2008-04-03,72.5,72.5,72.25,72.25,300,75.0
2008-04-06,72.25,73.0,72.25,72.75,140,72.25
2008-04-07,70.0,70.0,69.0,69.75,420,72.75
2008-04-08,70.0,70.0,69.0,69.0,990,69.75
2008-04-09,75.0,75.0,65.0,68.75,510,69.0
2008-04-10,68.0,70.0,67.0,68.25,420,68.75
2008-04-13,66.25,71.75,66.25,69.0,550,68.25
2008-04-15,66.5,72.0,66.5,70.75,570,69.0
2008-04-16,71.75,72.0,69.0,71.0,700,70.75
2008-04-17,74.0,79.75,71.0,78.75,2110,71.0
2008-04-20,83.0,84.75,80.25,82.5,1030,78.75
2008-04-21,80.0,80.0,73.0,74.5,410,82.5
2008-04-22,79.0,84.0,78.0,82.75,2330,74.5
2008-04-23,83.0,83.0,77.0,81.0,1580,82.75
2008-04-24,83.5,84.0,79.0,81.5,870,81.0
2008-04-27,83.0,83.75,79.25,81.0,860,81.5
2008-04-28,78.0,78.25,77.0,77.5,330,81.0
2008-04-29,76.0,78.0,76.0,76.75,50,77.5
2008-04-30,75.5,76.0,75.5,75.75,70,76.75
2008-05-04,72.25,73.0,72.25,72.5,150,75.75
2008-05-05,73.25,74.0,70.0,72.0,620,72.5
2008-05-06,70.25,70.25,70.25,70.25,10,72.0
2008-05-07,74.75,75.0,73.25,74.75,430,70.25
2008-05-08,72.0,72.0,72.0,72.0,10,74.75
2008-05-11,72.0,72.0,71.25,71.25,110,72.0
2008-05-12,71.25,0.0,0.0,71.25,0,71.25
2008-05-13,71.25,71.25,71.25,71.25,10,71.25
2008-05-14,71.0,71.25,71.0,71.0,110,71.25
2008-05-15,71.0,72.0,70.25,71.25,320,71.0
2008-05-18,72.0,72.0,72.0,72.0,10,71.25
2008-05-20,68.0,68.0,66.25,67.0,450,72.0
2008-05-21,70.0,70.0,70.0,70.0,100,67.0
2008-05-22,70.0,0.0,0.0,70.0,0,70.0
2008-05-25,70.0,0.0,0.0,70.0,0,70.0
2008-05-26,70.0,0.0,0.0,70.0,0,70.0
2008-05-27,72.0,72.0,72.0,72.0,10,70.0
2008-05-28,72.0,72.0,72.0,72.0,20,72.0
2008-05-29,73.5,73.5,72.0,73.0,160,72.0
2008-06-01,72.75,74.0,72.75,73.5,150,73.0
2008-06-02,71.0,80.0,70.25,76.0,1800,73.5
2008-06-03,79.5,79.5,75.0,78.25,80,76.0
2008-06-04,78.0,80.0,74.25,77.5,1090,78.25
2008-06-05,75.0,75.0,75.0,75.0,20,77.5
2008-06-08,73.0,73.0,73.0,73.0,10,75.0
2008-06-09,75.0,75.0,75.0,75.0,300,73.0
2008-06-10,73.0,73.0,73.0,73.0,130,75.0
2008-06-11,72.5,74.0,72.0,72.5,380,73.0
2008-06-12,74.0,75.0,69.0,71.25,920,72.5
2008-06-15,70.25,70.25,70.0,70.0,130,71.25
2008-06-16,68.25,68.25,68.25,0.0,50,70.0
2008-06-17,67.0,69.5,67.0,69.0,120,68.25
2008-06-18,69.0,0.0,0.0,0.0,0,69.0
2008-06-19,69.0,73.5,69.0,71.0,420,69.0
2008-06-22,70.75,70.75,69.25,0.0,110,71.0
2008-06-23,69.5,69.5,68.5,0.0,360,69.25
2008-06-24,68.25,71.5,68.25,68.5,110,68.75
2008-06-25,73.75,73.75,70.75,71.25,260,68.5
2008-06-26,70.0,72.0,70.0,71.75,210,71.25
2008-06-29,71.75,0.0,0.0,71.75,0,71.75
2008-06-30,71.75,0.0,0.0,71.75,0,71.75
2008-07-02,71.75,0.0,0.0,71.75,0,71.75
2008-07-03,69.25,69.25,69.25,69.25,10,71.75
2008-07-06,69.25,0.0,0.0,69.25,0,69.25
2008-07-07,70.0,70.25,70.0,70.0,90,69.25
2008-07-08,67.5,67.5,67.25,67.25,580,70.0
2008-07-08,67.5,67.5,67.25,67.25,580,70.0
2008-07-09,67.25,0.0,0.0,67.25,0,67.25
2008-07-10,70.0,70.0,70.0,70.0,30,67.25
2008-07-13,68.5,68.75,68.5,68.5,220,70.0
2008-07-14,70.5,70.5,68.5,68.5,210,68.5
2008-07-15,68.5,70.5,68.5,69.0,350,68.5
2008-07-16,69.0,0.0,0.0,69.0,0,69.0
2008-07-17,70.5,70.75,69.75,69.75,470,69.0
2008-07-20,70.0,70.0,70.0,70.0,100,69.75
2008-07-21,70.0,0.0,0.0,70.0,0,70.0
2008-07-22,71.0,71.0,70.25,70.25,370,70.0
2008-07-23,69.5,69.5,67.0,68.25,830,70.25
2008-07-24,68.0,68.0,68.0,68.0,30,68.25
2008-07-27,70.0,70.5,70.0,70.25,60,68.0
2008-07-28,69.0,69.0,68.75,68.75,200,70.25
2008-07-29,68.5,68.5,68.5,68.5,10,68.75
2008-07-30,67.0,67.0,67.0,67.0,10,68.5
2008-07-31,67.0,0.0,0.0,67.0,0,67.0
2008-08-03,67.0,0.0,0.0,67.0,0,67.0
2008-08-04,67.0,0.0,0.0,67.0,0,67.0
2008-08-05,67.0,0.0,0.0,67.0,0,67.0
2008-08-06,67.0,69.75,67.0,69.0,50,67.0
2008-08-07,69.0,0.0,0.0,69.0,0,69.0
2008-08-10,69.0,0.0,0.0,69.0,0,69.0
2008-08-11,69.0,69.0,65.0,66.75,80,69.0
2008-08-12,66.5,68.0,66.5,67.0,60,66.75
2008-08-13,66.75,66.75,66.75,66.75,110,67.0
2008-08-14,69.75,70.5,69.5,69.75,500,66.75
2008-08-18,72.0,72.0,67.0,69.5,250,69.75
2008-08-19,69.0,69.0,67.0,68.0,40,69.5
2008-08-20,67.25,67.25,67.0,67.0,90,68.0
2008-08-21,69.25,69.5,68.0,69.25,70,67.0
2008-08-25,67.25,67.25,67.0,67.0,110,69.25
2008-08-26,69.0,69.0,67.0,67.5,220,67.0
2008-08-27,69.0,69.0,69.0,69.0,100,67.5
2008-08-28,69.0,69.0,68.75,68.75,390,69.0
2008-08-31,70.0,70.0,70.0,70.0,10,68.75
2008-09-01,70.0,70.0,70.0,70.0,500,70.0
2008-09-02,70.0,70.0,70.0,70.0,20,70.0
2008-09-03,70.0,0.0,0.0,70.0,0,70.0
2008-09-04,70.0,0.0,0.0,70.0,0,70.0
2008-09-07,70.0,0.0,0.0,70.0,0,70.0
2008-09-08,67.5,67.5,67.5,67.5,100,70.0
2008-09-09,67.25,67.25,66.75,67.0,180,67.5
2008-09-10,67.0,67.0,66.75,66.75,170,67.0
2008-09-11,66.75,0.0,0.0,66.75,0,66.75
2008-09-14,68.75,70.0,68.75,68.75,210,66.75
2008-09-15,68.75,0.0,0.0,68.75,0,68.75
2008-09-16,68.75,0.0,0.0,68.75,0,68.75
2008-09-17,67.5,67.5,67.5,67.5,80,68.75
2008-09-18,67.0,67.25,67.0,67.0,50,67.5
2008-09-21,67.0,0.0,0.0,67.0,0,67.0
2008-09-22,67.0,0.0,0.0,67.0,0,67.0
2008-09-23,67.0,0.0,0.0,67.0,0,67.0
2008-09-24,67.0,0.0,0.0,67.0,0,67.0
2008-09-25,67.0,0.0,0.0,67.0,0,67.0
2008-10-05,67.0,0.0,0.0,67.0,0,67.0
2008-10-06,67.25,67.25,67.25,67.25,110,67.0
2008-10-07,67.25,0.0,0.0,67.25,0,67.25
2008-10-08,71.0,71.0,71.0,71.0,10,67.25
2008-10-12,71.0,0.0,0.0,71.0,0,71.0
2008-10-13,70.0,73.0,70.0,71.25,810,71.0
2008-10-14,72.5,75.0,72.0,74.25,1460,71.25
2008-10-15,74.75,74.75,70.0,71.5,740,74.25
2008-10-16,70.5,70.75,70.0,70.25,570,71.5
2008-10-19,70.0,70.0,70.0,70.0,220,70.25
2008-10-20,68.25,68.25,68.25,68.25,20,70.0
2008-10-21,69.0,70.0,69.0,69.5,370,68.25
2008-10-22,70.0,72.0,70.0,71.0,310,69.5
2008-10-23,70.0,70.0,69.75,69.75,210,71.0
2008-10-26,69.5,69.5,69.5,69.5,100,69.75
2008-10-27,70.0,70.0,69.25,69.5,60,69.5
2008-10-28,66.5,66.5,64.25,65.25,280,69.5
2008-10-29,68.0,70.0,68.0,69.0,230,65.25
2008-10-30,70.0,70.5,67.5,69.5,170,69.0
2008-11-02,67.0,67.0,65.0,65.25,100,69.5
2008-11-03,69.75,69.75,69.5,69.5,40,65.25
