date,open,high,low,close,volume,prev_closing_price
2008-03-06,595.0,599.75,581.0,593.75,63950,588.25
2008-03-09,605.0,682.75,595.0,680.0,105400,593.75
2008-03-09,605.0,682.75,595.0,680.0,105400,593.75
2008-03-10,709.0,749.0,695.0,707.5,122950,680.0
2008-03-11,701.5,705.0,671.0,673.5,65250,707.5
2008-03-12,660.0,665.0,630.0,638.5,65900,673.5
2008-03-13,640.0,656.0,635.0,640.0,31450,638.5
2008-03-16,646.0,646.0,606.0,0.0,61450,640.0
2008-03-17,627.0,635.75,608.0,618.25,41450,612.5
2008-03-18,625.0,643.25,617.0,638.25,59250,618.25
2008-03-19,639.0,645.0,625.0,627.0,34600,638.25
2008-03-20,620.0,620.0,570.0,581.75,116350,627.0
2008-03-23,580.0,580.0,549.25,555.75,67300,581.75
2008-03-24,552.0,592.75,550.0,571.75,39600,555.75
2008-03-25,588.0,594.75,578.0,0.0,42050,571.75
2008-03-30,608.0,624.0,587.0,618.75,63050,586.5
2008-03-31,628.0,639.0,615.0,617.25,45850,618.75
2008-04-01,625.0,625.0,603.25,608.5,32000,617.25
2008-04-02,615.75,615.75,605.0,607.5,39300,608.5
2008-04-03,625.0,639.0,606.0,618.75,55600,607.5
2008-04-06,625.0,627.0,605.75,612.25,39850,618.75
2008-04-07,614.0,614.0,590.0,594.5,44550,612.25
2008-04-08,598.5,604.75,594.5,599.0,59350,594.5
2008-04-09,590.0,603.0,580.0,582.75,34400,599.0
2008-04-10,585.25,591.5,575.0,577.25,42450,582.75
2008-04-13,577.5,588.0,566.0,571.25,43550,577.25
2008-04-15,571.25,0.0,0.0,571.25,0,571.25
2008-04-16,525.0,547.0,525.0,539.5,40300,571.25
2008-04-17,540.0,548.0,538.0,540.25,39750,539.5
2008-04-20,548.0,548.0,524.0,527.5,31150,540.25
2008-04-21,525.0,528.0,511.0,513.25,38200,527.5
2008-04-22,512.0,524.0,510.25,512.0,28550,513.25
2008-04-23,520.0,520.0,502.5,507.75,25850,512.0
2008-04-24,510.0,515.0,501.25,505.0,23900,507.75
2008-04-27,501.0,509.75,500.0,501.0,23600,505.0
2008-04-28,500.0,513.0,497.0,503.5,25200,501.0
2008-04-29,509.0,539.5,508.0,527.75,57950,503.5
2008-04-30,539.5,587.0,535.0,582.5,133150,527.75
2008-05-04,599.0,625.0,587.25,596.0,115750,582.5
2008-05-05,590.0,592.0,560.0,569.25,63350,596.0
2008-05-06,566.0,599.0,566.0,584.0,76350,569.25
2008-05-07,582.0,589.75,573.0,575.25,34800,584.0
2008-05-08,580.0,584.75,564.5,567.0,35900,575.25
2008-05-11,578.75,580.0,555.5,558.5,32650,567.0
2008-05-12,567.75,568.0,532.0,536.0,34300,558.5
2008-05-13,540.0,541.0,526.0,535.0,24400,536.0
2008-05-14,536.0,568.0,532.0,540.75,36850,535.0
2008-05-15,542.0,549.0,535.0,536.25,34050,540.75
2008-05-18,531.0,542.75,530.0,531.0,43250,536.25
2008-05-20,530.0,544.0,530.0,532.0,52000,531.0
2008-05-21,530.0,560.75,527.5,553.75,51400,532.0
2008-05-22,565.0,589.0,553.0,582.0,98050,553.75
2008-05-25,588.0,595.0,567.75,572.75,64000,582.0
2008-05-26,563.0,572.0,555.5,563.75,74300,572.75
2008-05-27,562.25,590.0,562.25,577.0,62800,563.75
2008-05-28,588.0,632.0,580.0,613.5,183200,577.0
2008-05-29,624.0,680.0,624.0,663.75,165000,613.5
2008-06-01,680.0,687.0,642.25,653.0,95750,663.75
2008-06-02,641.0,649.0,622.5,631.25,105950,653.0
2008-06-03,630.0,674.0,626.0,662.0,122350,631.25
2008-06-04,660.0,679.5,650.0,653.5,94600,662.0
2008-06-05,658.0,658.0,633.25,645.5,62500,653.5
2008-06-08,635.0,652.0,626.0,641.25,87100,645.5
2008-06-09,636.0,643.0,607.0,616.5,55400,641.25
2008-06-10,630.0,658.0,629.75,649.5,106150,616.5
2008-06-11,651.0,652.0,625.5,631.5,36750,649.5
2008-06-12,633.0,654.75,625.75,643.75,49850,631.5
2008-06-15,652.25,652.5,625.0,626.0,31450,643.75
2008-06-16,622.0,633.75,618.0,0.0,20850,626.0
2008-06-17,618.0,625.0,613.5,616.5,33450,626.0
2008-06-18,617.0,625.0,614.0,0.0,49150,616.5
2008-06-19,616.0,621.75,615.25,617.0,24850,618.25
2008-06-22,620.0,622.0,609.0,0.0,39050,617.0
2008-06-23,607.5,612.5,598.5,0.0,39400,611.25
2008-06-24,605.0,619.0,601.5,603.0,19200,601.25
2008-06-25,603.0,606.5,595.0,596.5,17650,603.0
2008-06-26,595.0,598.75,585.0,594.25,24900,596.5
2008-06-29,587.0,587.0,578.0,580.25,17800,594.25
2008-06-30,576.0,584.0,567.5,573.75,32450,580.25
2008-07-02,585.0,590.0,569.0,584.25,16450,573.75
2008-07-03,577.0,585.75,560.0,563.75,28700,584.25
2008-07-06,578.0,581.0,548.75,552.0,34950,563.75
2008-07-07,574.0,574.0,540.0,544.5,26200,552.0
2008-07-08,550.0,550.0,541.0,542.0,18050,544.5
2008-07-08,550.0,550.0,541.0,542.0,18050,544.5
2008-07-09,540.25,550.0,520.0,524.25,17200,542.0
2008-07-10,533.0,534.75,522.5,529.25,23550,524.25
2008-07-13,535.0,547.75,530.0,537.75,28250,529.25
2008-07-14,530.0,540.0,530.0,530.5,14900,537.75
2008-07-15,527.0,530.5,522.5,529.25,16200,530.5
2008-07-16,530.0,530.0,522.0,523.0,24800,529.25
2008-07-17,529.0,534.0,518.0,519.75,24750,523.0
2008-07-20,513.0,514.75,503.0,510.25,25750,519.75
2008-07-21,510.5,512.0,485.25,490.5,25800,510.25
2008-07-22,490.0,519.0,483.25,499.5,20700,490.5
2008-07-23,512.0,530.0,503.5,520.25,33600,499.5
2008-07-24,526.0,535.0,513.0,533.0,27600,520.25
2008-07-27,539.0,540.0,520.0,522.75,16150,533.0
2008-07-28,518.0,525.0,512.0,514.25,11700,522.75
2008-07-29,510.25,515.0,504.0,505.0,24850,514.25
2008-07-30,510.0,510.0,500.0,503.25,28800,505.0
2008-07-31,507.0,515.0,495.25,497.25,26050,503.25
2008-08-03,500.0,500.0,480.0,481.5,29550,497.25
2008-08-04,487.25,495.0,481.0,489.5,12750,481.5
2008-08-05,485.0,502.5,472.0,477.25,39350,489.5
2008-08-06,479.0,488.5,475.5,478.5,20500,477.25
2008-08-07,483.5,483.5,472.25,474.5,22800,478.5
2008-08-10,473.75,473.75,446.0,450.0,11750,474.5
2008-08-11,446.0,458.0,442.0,449.75,10250,450.0
2008-08-12,452.0,465.0,445.5,458.75,33300,449.75
2008-08-13,458.75,0.0,0.0,458.75,0,458.75
2008-08-14,401.0,418.0,399.25,401.0,63100,458.75
2008-08-18,401.25,408.0,398.0,404.25,37250,401.0
2008-08-19,405.0,416.75,404.0,406.0,21450,404.25
2008-08-20,414.0,443.25,409.0,435.0,58450,406.0
2008-08-21,445.0,487.0,445.0,475.75,65850,435.0
2008-08-25,479.75,497.0,471.25,489.75,78950,475.75
2008-08-26,480.0,484.75,470.0,478.0,44300,489.75
2008-08-27,475.0,522.0,472.0,511.75,110150,478.0
2008-08-28,524.0,537.0,510.0,512.25,74850,511.75
2008-08-31,518.0,518.5,505.0,508.25,52900,512.25
2008-09-01,506.0,515.0,499.0,501.0,60500,508.25
2008-09-02,501.0,501.0,483.0,485.25,45400,501.0
2008-09-03,485.0,489.0,472.0,476.25,40100,485.25
2008-09-04,476.0,504.0,474.0,490.0,32800,476.25
2008-09-07,495.0,495.0,479.0,480.25,23050,490.0
2008-09-08,482.25,486.75,473.0,475.5,24550,480.25
2008-09-09,474.5,480.0,470.0,471.75,34850,475.5
2008-09-10,470.25,477.75,470.25,473.5,21750,471.75
2008-09-11,480.0,495.0,480.0,488.0,45150,473.5
2008-09-14,488.0,498.0,485.25,486.25,58650,488.0
2008-09-15,489.75,489.75,472.0,474.25,17800,486.25
2008-09-16,474.0,485.0,468.0,470.25,34150,474.25
2008-09-17,467.5,470.0,462.0,462.25,28500,470.25
2008-09-18,470.0,470.0,452.75,455.25,30550,462.25
2008-09-21,460.0,461.0,452.0,454.5,26700,455.25
2008-09-22,460.0,461.0,450.0,453.5,20950,454.5
2008-09-23,458.75,482.5,455.0,467.25,25450,453.5
2008-09-24,473.75,477.0,466.0,468.0,28900,467.25
2008-09-25,474.0,484.75,466.0,480.0,31000,468.0
2008-10-05,470.25,479.0,465.0,467.75,23600,480.0
2008-10-06,468.0,473.75,461.0,463.0,35350,467.75
2008-10-07,464.25,467.0,452.5,454.75,27400,463.0
2008-10-08,450.0,473.0,450.0,456.5,34000,454.75
2008-10-12,453.0,460.0,432.0,436.75,40000,456.5
2008-10-13,459.0,464.0,440.0,444.5,16800,436.75
2008-10-14,450.0,478.0,446.0,462.25,46250,444.5
2008-10-15,465.25,466.0,448.0,449.25,22700,462.25
2008-10-16,446.0,454.75,443.0,445.5,22300,449.25
2008-10-19,445.0,451.0,432.0,434.0,43150,445.5
2008-10-20,443.0,443.0,430.0,431.25,17850,434.0
2008-10-21,434.0,434.0,417.0,422.25,15450,431.25
2008-10-22,420.5,438.0,420.5,427.0,11550,422.25
2008-10-23,426.0,448.0,426.0,441.25,24500,427.0
2008-10-26,435.0,438.0,424.0,425.75,13750,441.25
2008-10-27,423.0,423.0,402.0,407.25,51800,425.75
2008-10-28,420.0,424.5,411.5,416.0,31800,407.25
2008-10-29,418.75,423.75,408.5,410.5,31900,416.0
2008-10-30,415.0,418.5,408.5,410.0,24600,410.5
2008-11-02,410.0,417.0,403.25,405.0,25150,410.0
2008-11-03,411.0,413.25,399.0,400.75,40550,405.0
2008-11-04,408.0,448.0,405.25,435.0,71550,400.75
2008-11-05,431.0,437.0,415.0,418.75,28350,435.0
2008-11-06,415.25,423.0,413.25,415.0,13700,418.75
2008-11-09,412.0,413.0,400.5,402.5,27600,415.0
2008-11-10,406.0,413.0,402.0,411.25,19550,402.5
2008-11-11,410.0,416.0,407.25,409.25,18050,411.25
2008-11-12,411.0,420.0,408.5,412.25,19950,409.25
2008-11-13,418.0,423.0,413.25,414.75,35250,412.25
2008-11-16,417.75,417.75,403.5,404.75,16550,414.75
2008-11-17,404.0,410.0,403.25,406.0,9850,404.75
2008-11-18,406.0,415.0,406.0,413.25,39500,406.0
2008-11-19,411.0,433.0,410.0,429.0,53150,413.25
2008-11-20,421.0,427.0,414.5,423.5,22500,429.0
2008-11-23,434.0,459.75,426.0,452.25,68850,423.5
2008-11-24,457.0,460.0,425.0,428.5,58250,452.25
2008-11-25,425.0,433.0,420.0,420.75,20800,428.5
2008-11-26,425.0,425.0,410.0,411.0,22500,420.75
2008-11-27,422.0,422.0,400.75,403.0,42750,411.0
2008-11-30,406.0,414.0,399.5,409.0,19900,403.0
2008-12-01,415.0,418.0,406.75,408.75,10550,409.0
2008-12-02,410.0,412.0,405.0,407.0,11400,408.75
2008-12-03,406.0,414.0,406.0,409.75,11900,407.0
2008-12-04,413.0,415.0,408.5,410.5,16450,409.75
2008-12-14,414.5,414.5,405.25,406.75,6400,410.5
2008-12-15,404.5,409.0,402.0,408.25,9900,406.75
2008-12-17,412.75,415.0,407.25,411.5,22800,408.25
2008-12-18,414.5,416.0,411.5,414.5,20200,411.5
2008-12-21,417.5,430.0,416.5,428.0,24200,414.5
2008-12-22,434.0,434.0,416.0,419.25,15600,428.0
2008-12-23,418.0,422.0,418.0,419.25,21450,419.25
2008-12-24,424.0,428.0,417.5,425.25,18300,419.25
2008-12-28,432.5,437.0,427.25,432.75,20650,425.25
2008-12-30,449.5,450.0,434.0,445.0,34200,432.75
2009-01-01,448.0,449.0,430.0,432.25,22300,445.0
2009-01-04,436.0,436.0,423.0,427.0,16400,432.25
2009-01-05,422.0,426.75,416.5,419.5,18200,427.0
2009-01-06,416.0,424.5,415.0,416.0,12600,419.5
