date,open,high,low,close,volume,prev_closing_price
2015-12-03,21.3,21.4,21.0,21.1,973693,21.3
2015-12-06,21.1,21.3,20.7,20.9,970254,21.1
2015-12-07,20.8,21.2,20.4,20.8,1189454,20.9
2015-12-08,20.7,21.4,20.6,20.9,755676,20.8
2015-12-09,21.2,21.6,20.9,21.2,1022788,20.9
2015-12-10,21.0,21.4,20.9,20.9,412612,21.2
2015-12-13,21.0,21.0,20.7,20.8,425378,20.9
2015-12-14,20.7,20.8,20.6,20.7,303311,20.8
2015-12-15,20.6,20.8,20.5,20.6,439636,20.7
2015-12-17,20.6,20.8,20.5,20.6,293477,20.6
2015-12-20,20.6,20.6,20.4,20.5,312460,20.6
2015-12-21,20.8,21.3,20.8,21.0,1043134,20.5
2015-12-22,21.2,21.3,21.0,21.1,308943,21.0
2015-12-23,21.1,21.9,20.9,21.7,3075830,21.1
2015-12-24,21.5,21.6,21.2,21.3,590822,21.7
2015-12-27,21.3,21.4,21.1,21.2,487248,21.3
2015-12-28,21.1,21.3,21.0,21.1,1452206,21.2
2015-12-29,21.0,21.4,21.0,21.3,334132,21.1
2015-12-30,21.1,21.4,20.7,21.1,1163534,21.3
2015-12-31,21.3,21.4,20.9,21.3,821909,21.1
2016-01-03,21.4,21.4,21.0,21.1,586035,21.3
2016-01-04,21.0,21.2,20.7,20.9,996461,21.1
2016-01-05,20.9,21.0,20.6,20.8,2073387,20.9
2016-01-06,20.7,21.4,20.7,20.9,2014245,20.8
2016-01-07,20.8,21.3,20.6,21.0,3291083,20.9
2016-01-10,21.2,21.3,20.9,21.1,412678,21.0
2016-01-11,21.1,21.6,20.9,21.3,1561836,21.1
2016-01-12,21.2,21.3,20.7,20.9,2681501,21.3
2016-01-13,21.0,21.2,20.8,21.0,1155624,20.9
2016-01-14,21.1,21.5,21.1,21.3,1783172,21.0
2016-01-17,21.4,21.6,21.0,21.1,813584,21.3
2016-01-18,21.0,21.3,20.9,21.1,659760,21.1
2016-01-19,21.2,21.2,20.7,20.8,1853645,21.1
2016-01-20,20.8,20.9,20.6,20.7,1044479,20.8
2016-01-21,20.7,21.0,20.6,20.9,344930,20.7
2016-01-24,20.7,20.9,20.5,20.7,1008090,20.9
2016-01-25,20.7,20.8,20.5,20.6,1001887,20.7
2016-01-26,20.7,20.8,20.2,20.3,2822390,20.6
2016-01-27,20.6,20.7,20.3,20.4,963958,20.3
2016-01-28,20.3,20.5,20.1,20.2,2275560,20.4
2016-01-31,20.4,20.4,20.0,20.1,669337,20.2
2016-02-01,20.1,20.3,19.8,19.9,835142,20.1
2016-02-02,20.1,20.3,19.9,20.0,1207787,19.9
2016-02-03,20.1,20.4,20.0,20.2,1588730,20.0
2016-02-04,20.2,20.4,20.1,20.3,746105,20.2
2016-02-07,20.3,20.5,20.1,20.3,582326,20.3
2016-02-08,20.4,20.4,19.9,19.9,1318579,20.3
2016-02-09,19.9,20.1,19.8,20.1,1704907,19.9
2016-02-10,20.0,20.2,19.9,20.0,344199,20.1
2016-02-11,20.0,20.2,19.8,19.9,771816,20.0
2016-02-14,19.9,20.0,19.8,19.9,586371,19.9
2016-02-15,19.9,20.0,19.5,19.6,1425648,19.9
2016-02-16,19.7,19.8,19.2,19.3,1493246,19.6
2016-02-17,19.5,19.8,19.1,19.2,2734847,19.3
2016-02-18,19.4,19.8,19.3,19.7,551373,19.2
2016-02-22,19.8,19.8,19.3,19.4,844648,19.7
2016-02-23,19.6,20.5,19.5,20.3,1650159,19.4
2016-02-24,21.1,22.9,21.1,21.3,8358832,20.3
2016-02-25,21.3,21.5,20.8,21.2,4499494,21.3
2016-02-28,21.1,21.4,20.7,20.8,1595180,21.2
2016-02-29,20.7,20.8,20.0,20.2,2939479,20.8
2016-03-01,20.6,20.6,20.2,20.3,1037198,20.2
2016-03-02,20.2,20.6,20.2,20.4,1649786,20.3
2016-03-03,20.4,20.7,20.2,20.4,1207969,20.4
2016-03-06,20.5,20.6,20.3,20.5,1343047,20.4
2016-03-07,20.5,20.6,20.4,20.5,579321,20.5
2016-03-08,20.5,20.7,20.5,20.7,724511,20.5
2016-03-09,20.7,21.1,20.7,21.0,1694803,20.7
2016-03-10,21.0,21.3,20.9,21.0,2293716,21.0
2016-03-13,21.0,21.1,20.6,20.6,1293193,21.0
2016-03-14,20.6,20.8,20.4,20.5,2020033,20.6
2016-03-15,0.0,0.0,0.0,20.5,0,20.5
2016-03-16,18.0,18.0,17.6,17.6,3894819,20.5
2016-03-20,17.6,17.6,16.9,17.3,1137237,17.6
2016-03-21,17.2,17.4,17.0,17.1,774802,17.3
2016-03-22,17.2,17.2,16.9,17.0,555988,17.1
2016-03-23,17.1,17.3,17.0,17.2,1443704,17.0
2016-03-24,17.1,17.2,16.9,17.0,296964,17.2
2016-03-27,17.1,17.5,17.0,17.5,1477803,17.0
2016-03-28,17.4,17.4,16.9,17.0,657045,17.5
2016-03-29,17.2,17.5,16.9,17.3,937175,17.0
2016-03-30,17.2,17.3,17.1,17.2,417599,17.3
2016-03-31,17.2,17.6,17.1,17.3,1157063,17.2
2016-04-03,17.3,17.5,17.2,17.3,972712,17.3
2016-04-04,17.3,17.6,17.3,17.5,622460,17.3
2016-04-05,17.5,17.5,17.3,17.4,382288,17.5
2016-04-06,17.4,17.4,17.3,17.4,666157,17.4
2016-04-07,17.3,17.4,17.1,17.3,700271,17.4
2016-04-10,17.3,17.4,17.2,17.2,1385893,17.3
2016-04-11,17.2,17.3,17.1,17.2,603403,17.2
2016-04-12,17.4,17.4,16.9,17.0,780476,17.2
2016-04-13,17.0,17.2,17.0,17.1,599072,17.0
2016-04-17,17.1,17.1,16.9,17.0,680789,17.1
2016-04-18,16.9,17.1,16.8,16.9,503636,17.0
2016-04-19,16.9,17.0,16.4,16.7,896521,16.9
2016-04-20,16.5,16.8,16.5,16.6,1262722,16.7
2016-04-21,16.5,16.6,16.2,16.3,660385,16.6
2016-04-24,16.3,16.6,16.3,16.4,492715,16.3
2016-04-25,16.4,16.4,16.0,16.1,576040,16.4
2016-04-26,16.1,16.2,15.9,16.0,573316,16.1
2016-04-27,16.0,16.1,15.8,15.9,424247,16.0
2016-04-28,16.2,16.2,15.8,15.9,746800,15.9
2016-05-02,15.8,15.8,15.3,15.5,559241,15.9
2016-05-03,15.5,16.1,15.4,16.0,725552,15.5
2016-05-04,16.0,16.3,15.9,15.9,623690,16.0
2016-05-05,15.9,16.2,15.8,16.1,718607,15.9
2016-05-08,16.1,16.2,16.0,16.1,423050,16.1
2016-05-09,16.1,16.6,16.1,16.5,572783,16.1
2016-05-10,16.4,16.6,16.3,16.5,501637,16.5
2016-05-11,16.2,16.5,16.2,16.5,426013,16.5
2016-05-12,16.3,16.6,16.3,16.4,271660,16.5
2016-05-15,16.5,17.1,16.4,16.9,1546305,16.4
2016-05-16,16.8,17.2,16.7,16.9,525106,16.9
2016-05-17,16.8,17.1,16.7,17.0,210255,16.9
2016-05-18,17.0,17.4,17.0,17.3,645694,17.0
2016-05-19,17.3,17.5,17.2,17.3,624491,17.3
2016-05-22,17.4,17.7,17.2,17.6,419209,17.3
2016-05-24,17.7,17.8,17.5,17.6,345765,17.6
2016-05-25,17.5,17.6,17.3,17.4,462876,17.6
2016-05-26,17.2,17.5,17.2,17.5,222974,17.4
2016-05-29,17.4,17.6,17.3,17.5,304144,17.5
2016-05-30,17.3,17.6,17.3,17.4,454715,17.5
2016-05-31,17.4,17.5,17.2,17.3,622556,17.4
2016-06-01,17.4,17.4,17.2,17.2,301439,17.3
2016-06-02,17.2,17.3,17.1,17.1,326146,17.2
2016-06-05,17.1,17.1,16.9,17.0,648406,17.1
2016-06-06,16.9,17.1,16.8,16.9,686079,17.0
2016-06-07,16.9,17.2,16.8,17.0,686904,16.9
2016-06-08,17.0,17.1,16.9,17.0,982774,17.0
2016-06-09,17.0,17.3,16.9,17.1,591667,17.0
2016-06-12,17.0,17.3,17.0,17.2,418424,17.1
2016-06-13,17.0,17.4,16.9,17.0,1207098,17.2
2016-06-14,17.0,17.1,16.9,17.0,755467,17.0
2016-06-15,17.0,17.1,16.9,16.9,571815,17.0
2016-06-16,17.0,17.0,16.8,16.9,288221,16.9
2016-06-19,16.8,16.9,16.7,16.8,226552,16.9
2016-06-20,16.8,16.9,16.6,16.7,204921,16.8
2016-06-21,16.6,16.7,16.5,16.6,345832,16.7
2016-06-22,16.5,16.6,16.4,16.5,365888,16.6
2016-06-23,16.5,16.6,16.4,16.4,287194,16.5
2016-06-26,16.3,16.5,16.3,16.4,208094,16.4
2016-06-27,16.4,17.0,16.3,16.8,1107290,16.4
2016-06-28,16.8,17.0,16.6,16.9,2573173,16.8
2016-06-29,16.9,17.0,16.5,16.6,2348014,16.9
2016-06-30,16.7,16.9,16.5,16.8,1064821,16.6
2016-07-10,16.7,16.9,16.5,16.9,354348,16.8
2016-07-11,16.9,17.0,16.7,16.9,2523368,16.9
2016-07-12,16.9,17.2,16.8,17.0,1365796,16.9
2016-07-13,17.1,17.1,16.8,16.8,889773,17.0
2016-07-14,16.8,17.0,16.7,16.8,623258,16.8
2016-07-16,16.8,17.0,16.8,17.0,555989,16.8
2016-07-17,17.0,17.1,16.8,16.9,1084471,17.0
2016-07-18,17.0,17.3,16.9,17.2,2580650,16.9
2016-07-19,17.4,17.4,16.9,17.0,832821,17.2
2016-07-20,17.0,17.0,16.8,16.9,1130702,17.0
2016-07-21,16.9,17.0,16.7,16.8,920304,16.9
2016-07-24,16.9,17.0,16.6,16.7,486857,16.8
2016-07-25,16.6,16.9,16.5,16.7,739711,16.7
2016-07-26,16.7,17.0,16.6,16.7,399057,16.7
2016-07-27,16.9,17.1,16.6,16.9,1860149,16.7
2016-07-28,16.9,17.0,16.7,16.9,546182,16.9
2016-07-31,16.7,16.8,16.6,16.7,778019,16.9
2016-08-01,16.8,16.8,16.6,16.7,621143,16.7
2016-08-02,16.7,16.8,16.6,16.8,349204,16.7
2016-08-03,16.6,16.9,16.6,16.8,540651,16.8
2016-08-04,16.8,16.9,16.7,16.8,528493,16.8
2016-08-07,16.8,16.9,16.7,16.7,394677,16.8
2016-08-08,16.7,16.8,16.6,16.7,383559,16.7
2016-08-09,16.7,16.8,16.6,16.7,396959,16.7
2016-08-10,16.7,16.8,16.6,16.7,445751,16.7
2016-08-11,16.7,16.8,16.6,16.8,790928,16.7
2016-08-14,16.7,16.8,16.6,16.8,595836,16.8
2016-08-16,16.7,16.9,16.6,16.9,758757,16.8
2016-08-17,16.8,17.2,16.7,17.1,1074496,16.9
2016-08-18,17.1,17.3,17.0,17.1,961914,17.1
2016-08-21,17.1,17.1,17.0,17.0,384343,17.1
2016-08-22,17.1,17.1,17.0,17.0,499896,17.0
2016-08-23,17.0,17.1,16.8,16.9,565557,17.0
2016-08-24,16.9,17.1,16.8,17.0,619136,16.9
2016-08-28,16.9,17.0,16.8,17.0,513250,17.0
2016-08-29,16.9,17.0,16.8,16.9,445892,17.0
2016-08-30,16.9,17.1,16.8,17.1,1431692,16.9
2016-08-31,16.9,17.1,16.9,17.1,599374,17.1
2016-09-01,17.0,17.1,16.9,17.1,983722,17.1
2016-09-04,17.1,17.8,17.0,17.6,2501592,17.1
2016-09-05,17.8,17.9,17.4,17.5,1475623,17.6
2016-09-06,17.5,17.5,17.2,17.3,660730,17.5
2016-09-07,17.5,17.7,17.4,17.6,842096,17.3
2016-09-08,17.5,17.9,17.5,17.8,1407591,17.6
2016-09-18,17.9,18.3,17.6,18.2,1752761,17.8
2016-09-19,18.3,18.4,18.1,18.2,1758644,18.2
2016-09-20,18.2,18.3,17.9,18.1,1307893,18.2
2016-09-21,18.1,18.2,17.9,18.2,790584,18.1
2016-09-22,18.2,18.3,18.0,18.1,1030220,18.2
2016-09-24,18.1,18.3,18.1,18.3,457279,18.1
2016-09-25,18.3,18.5,18.1,18.4,1148494,18.3
2016-09-26,18.3,18.8,18.3,18.6,1273363,18.4
2016-09-27,18.7,18.8,18.5,18.6,856532,18.6
2016-09-28,18.5,18.7,18.5,18.6,1007825,18.6
2016-09-29,18.6,18.7,18.2,18.3,1183000,18.6
2016-10-02,18.4,18.4,18.3,18.3,655671,18.3
2016-10-03,18.4,18.4,18.2,18.2,525076,18.3
2016-10-04,18.2,18.5,18.1,18.3,934046,18.2
2016-10-05,18.2,18.5,18.2,18.4,755933,18.3
2016-10-06,18.5,18.6,18.4,18.5,542535,18.4
2016-10-09,18.6,18.7,18.3,18.5,877354,18.5
2016-10-10,18.6,18.7,18.3,18.6,2044351,18.5
2016-10-13,18.6,18.7,18.4,18.5,538870,18.6
2016-10-16,18.5,18.8,18.4,18.6,1464420,18.5
2016-10-17,18.5,18.7,18.5,18.6,1446920,18.6
2016-10-18,18.7,19.1,18.6,19.0,1919661,18.6
2016-10-19,19.0,19.2,18.9,19.0,2457392,19.0
2016-10-20,18.8,19.4,18.8,19.3,2131883,19.0
2016-10-23,19.3,19.3,18.7,18.8,1913679,19.3
2016-10-24,19.0,19.0,18.6,18.7,640311,18.8
2016-10-25,18.8,20.3,18.7,18.8,741557,18.7
2016-10-26,18.7,18.9,18.6,18.8,1201799,18.8
2016-10-27,18.7,18.9,18.7,18.8,596313,18.8
2016-10-30,18.7,18.8,18.6,18.7,479437,18.8
2016-10-31,18.6,18.7,18.4,18.4,922744,18.7
2016-11-01,18.4,18.6,18.3,18.4,398836,18.4
2016-11-02,18.4,18.8,18.4,18.7,330409,18.4
2016-11-03,18.8,19.0,18.8,18.8,1094297,18.7
2016-11-06,18.8,18.8,18.5,18.6,270912,18.8
2016-11-07,18.6,18.8,18.5,18.5,575472,18.6
2016-11-08,18.5,18.6,18.4,18.4,294209,18.5
2016-11-09,18.5,18.5,18.3,18.3,419273,18.4
2016-11-10,18.3,18.7,18.3,18.4,889278,18.3
2016-11-13,18.4,18.6,18.3,18.3,630414,18.4
2016-11-14,18.4,18.6,18.3,18.4,706258,18.3
2016-11-15,18.4,18.6,18.4,18.5,593689,18.4
2016-11-16,18.6,19.2,18.5,19.0,3831255,18.5
2016-11-17,19.0,19.5,18.9,19.3,2656535,19.0
2016-11-20,19.4,19.5,19.3,19.5,1995747,19.3
2016-11-21,19.5,19.5,19.0,19.1,1309774,19.5
2016-11-22,19.2,19.8,19.1,19.7,2838575,19.1
2016-11-23,19.7,20.0,19.6,19.9,1111420,19.7
2016-11-24,20.0,20.2,19.9,20.0,1128132,19.9
2016-11-27,20.0,20.1,19.8,19.8,714684,20.0
2016-11-28,19.8,20.4,19.7,20.2,2387813,19.8
2016-11-29,20.3,20.3,19.9,19.9,1127439,20.2
