date,open,high,low,close,volume,prev_closing_price
2012-07-02,90.0,90.0,77.5,78.0,4282400,75.0
2012-07-03,76.0,77.8,75.8,75.9,940800,78.0
2012-07-04,75.1,78.0,75.0,75.4,625700,75.9
2012-07-05,76.0,76.2,74.2,75.8,1130300,75.4
2012-07-08,79.9,80.0,76.2,78.1,832700,75.8
2012-07-09,77.1,77.8,75.1,75.5,559400,78.1
2012-07-10,75.9,75.9,71.2,72.8,643000,75.5
2012-07-11,71.3,72.3,66.6,71.5,622400,72.8
2012-07-12,71.5,73.8,71.5,72.4,363000,71.5
2012-07-15,70.0,72.0,66.0,67.2,493100,72.4
2012-07-16,66.0,66.0,62.6,63.9,417900,67.2
2012-07-17,63.1,66.6,63.1,64.6,242100,63.9
2012-07-18,65.3,71.0,65.0,70.8,696300,64.6
2012-07-19,72.0,76.0,70.5,74.4,824000,70.8
2012-07-22,73.0,76.0,72.6,73.9,426700,74.4
2012-07-23,74.6,77.1,74.0,76.6,619800,73.9
2012-07-24,77.5,78.0,76.4,76.7,590700,76.6
2012-07-25,77.6,77.8,74.7,74.8,434400,76.7
2012-07-26,73.7,76.7,73.7,75.2,563900,74.8
2012-07-29,75.2,77.3,74.9,75.4,603500,75.2
2012-07-30,75.5,76.0,72.6,73.3,513100,75.4
2012-08-01,72.9,72.9,69.4,69.9,327700,73.3
2012-08-02,71.1,72.5,70.6,71.6,229700,69.9
2012-08-05,71.1,75.8,70.9,75.1,474200,71.6
2012-08-06,75.1,78.0,75.1,77.0,1255600,75.1
2012-08-07,78.0,78.8,77.5,77.7,860100,77.0
2012-08-08,77.0,85.4,76.0,85.4,2743800,77.7
2012-08-12,87.9,93.9,87.9,89.4,1481500,85.4
2012-08-13,89.1,93.0,88.2,91.7,1419500,89.4
2012-08-14,92.2,100.8,92.2,100.5,2758900,91.7
2012-08-26,101.5,110.5,101.5,110.5,3104000,100.5
2012-08-27,113.0,121.4,106.1,114.6,2855600,110.5
2012-08-28,113.0,120.0,111.0,118.5,2820200,114.6
2012-08-29,119.2,130.3,119.2,130.3,2076200,118.5
2012-08-30,131.9,134.5,117.3,119.3,2465500,130.3
2012-09-02,120.0,125.6,110.5,116.3,1935100,119.3
2012-09-03,120.0,120.0,111.8,112.7,1240400,116.3
