date,open,high,low,close,volume,prev_closing_price
2015-01-06,30.9,32.2,30.8,31.7,784435,30.7
2015-01-07,31.4,31.4,30.6,30.8,798872,31.7
2015-01-08,31.0,31.7,30.7,31.5,1206966,30.8
2015-01-11,31.4,32.4,31.4,31.7,1265645,31.5
2015-01-12,31.5,31.9,30.8,31.0,1102812,31.7
2015-01-13,31.5,32.5,31.4,32.2,2121563,31.0
2015-01-14,32.5,33.0,32.0,32.5,1461069,32.2
2015-01-15,32.3,32.8,31.5,31.7,744903,32.5
2015-01-18,31.5,31.6,31.0,31.2,398113,31.7
2015-01-19,31.1,31.6,30.5,30.7,378955,31.2
2015-01-20,30.7,31.0,29.5,29.8,422890,30.7
2015-01-21,29.2,29.9,29.1,29.8,350481,29.8
2015-01-22,29.6,30.5,29.5,29.8,188167,29.8
2015-01-25,29.8,29.8,28.1,28.2,256548,29.8
2015-01-26,29.0,29.0,28.1,28.3,172399,28.2
2015-01-27,29.0,29.3,28.1,29.1,176439,28.3
2015-01-28,28.7,29.1,28.4,28.6,146938,29.1
2015-01-29,28.0,28.6,28.0,28.3,119692,28.6
2015-02-01,27.9,28.1,27.0,27.8,270310,28.3
2015-02-02,27.5,28.0,27.0,27.6,183551,27.8
2015-02-03,27.2,28.4,27.1,28.3,310166,27.6
2015-02-04,28.0,28.5,27.8,28.4,121958,28.3
2015-02-05,27.4,28.6,27.4,28.2,173728,28.4
2015-02-08,27.7,28.4,27.7,27.9,124440,28.2
2015-02-09,27.7,28.2,27.7,27.9,275588,27.9
2015-02-10,28.0,29.0,28.0,28.9,279303,27.9
2015-02-11,28.5,29.0,28.1,28.4,200282,28.9
2015-02-12,28.5,29.2,28.5,29.0,199607,28.4
2015-02-15,29.0,29.2,28.6,28.8,159240,29.0
2015-02-16,28.5,28.6,28.0,28.3,187775,28.8
2015-02-17,28.2,29.0,27.8,28.8,203947,28.3
2015-02-18,29.0,29.4,28.6,28.9,176754,28.8
2015-02-19,28.6,29.1,28.5,28.9,293422,28.9
2015-02-22,28.5,29.1,27.9,28.3,195088,28.9
2015-02-23,28.3,28.4,26.8,27.2,484699,28.3
2015-02-24,27.4,27.4,27.0,27.1,159614,27.2
2015-02-25,27.0,27.1,26.2,26.8,229641,27.1
2015-02-26,26.7,26.9,26.1,26.6,231302,26.8
2015-03-01,26.9,27.0,26.4,26.5,160210,26.6
2015-03-02,26.4,26.7,26.3,26.4,91181,26.5
2015-03-03,26.2,26.8,25.0,26.1,131880,26.4
2015-03-04,26.1,26.5,25.4,26.0,161448,26.1
2015-03-05,26.1,26.1,24.6,25.1,348295,26.0
2015-03-08,24.9,25.0,23.7,24.6,371706,25.1
2015-03-09,24.0,24.6,23.5,23.9,176597,24.6
2015-03-10,24.0,24.4,23.7,23.9,188728,23.9
2015-03-11,23.4,24.2,23.1,23.5,186547,23.9
2015-03-12,23.5,23.6,22.5,23.4,167810,23.5
2015-03-15,22.7,22.9,22.2,22.6,96351,23.4
2015-03-16,21.3,22.8,21.0,21.6,221855,22.6
2015-03-18,0.0,0.0,0.0,21.6,0,21.6
2015-03-19,20.6,20.6,18.7,19.0,302999,21.6
2015-03-22,19.2,19.9,19.0,19.7,98189,19.0
2015-03-23,21.0,21.0,19.4,20.0,115151,19.7
2015-03-24,19.6,20.2,19.5,19.7,70695,20.0
2015-03-25,20.0,20.0,19.4,19.5,75731,19.7
2015-03-29,20.1,20.2,19.6,19.8,46823,19.5
2015-03-30,19.9,20.1,19.7,19.9,114385,19.8
2015-03-31,19.6,20.3,19.6,20.1,91902,19.9
2015-04-01,19.6,20.3,19.6,19.6,33172,20.1
2015-04-02,19.4,20.0,19.4,19.7,62990,19.6
2015-04-05,19.3,19.9,19.2,19.3,44379,19.7
2015-04-06,19.0,20.6,19.0,19.5,56294,19.3
2015-04-07,19.1,19.9,19.0,19.5,98980,19.5
2015-04-08,19.7,19.7,18.7,19.1,58209,19.5
2015-04-09,19.3,19.5,19.1,19.3,92682,19.1
2015-04-12,19.3,19.4,18.9,19.2,102706,19.3
2015-04-13,19.4,19.5,18.6,18.9,64937,19.2
2015-04-15,19.0,19.8,18.9,19.4,68933,18.9
2015-04-16,19.8,21.3,19.7,20.7,459522,19.4
2015-04-19,20.7,20.9,19.3,19.7,193303,20.7
2015-04-20,19.2,19.3,18.0,18.4,289104,19.7
2015-04-21,18.5,18.9,17.8,18.3,259128,18.4
2015-04-22,18.2,18.8,18.0,18.1,72405,18.3
2015-04-23,17.4,18.7,17.0,17.2,80911,18.1
2015-04-26,16.5,17.8,16.5,17.1,113689,17.2
2015-04-27,18.0,18.0,16.9,17.1,147275,17.1
2015-04-29,17.1,18.1,17.0,17.3,68926,17.1
2015-04-30,16.6,17.7,16.6,17.2,28150,17.3
2015-05-04,17.0,17.8,16.6,17.0,87498,17.2
2015-05-05,16.4,17.6,16.4,17.2,68414,17.0
2015-05-06,17.8,18.0,17.1,17.8,23324,17.2
2015-05-07,18.0,18.3,17.5,18.1,193815,17.8
2015-05-10,18.4,19.2,18.3,19.1,86279,18.1
2015-05-11,19.8,20.1,18.9,19.8,275050,19.1
2015-05-12,19.6,19.9,19.1,19.4,69482,19.8
2015-05-13,19.1,19.9,18.5,18.8,221259,19.4
2015-05-14,19.1,19.2,18.1,18.4,143820,18.8
2015-05-17,16.6,18.7,16.6,18.4,158377,18.4
2015-05-18,18.5,19.1,18.3,18.5,187359,18.4
2015-05-19,19.3,20.2,19.2,19.8,348894,18.5
2015-05-20,19.2,20.5,19.2,20.0,146097,19.8
2015-05-21,20.4,21.5,20.3,20.4,412391,20.0
2015-05-24,20.0,21.5,20.0,20.3,27644,20.4
2015-05-25,20.9,22.3,20.9,22.1,419585,20.3
2015-05-26,22.6,22.6,21.4,21.5,154145,22.1
2015-05-27,20.5,22.0,20.5,21.0,134833,21.5
2015-05-28,21.0,21.0,19.1,19.3,430995,21.0
2015-05-31,19.6,20.5,19.4,19.9,189533,19.3
2015-06-01,20.8,21.2,20.0,20.6,223314,19.9
2015-06-02,20.6,21.0,20.0,20.1,260263,20.6
2015-06-04,20.1,20.2,19.8,20.0,371361,20.1
2015-06-07,20.5,21.0,20.0,20.8,406007,20.0
2015-06-08,20.4,21.1,20.2,20.5,243436,20.8
2015-06-09,20.1,21.0,20.0,20.5,200953,20.5
2015-06-10,20.3,20.4,19.9,20.2,114896,20.5
2015-06-11,19.8,20.4,19.6,20.2,118856,20.2
