date,open,high,low,close,volume,prev_closing_price
2008-03-06,1189.75,1290.0,1160.0,1243.0,1420,1174.0
2008-03-09,1318.0,1318.0,1193.0,1220.25,2240,1243.0
2008-03-09,1318.0,1318.0,1193.0,1220.25,2240,1243.0
2008-03-10,1219.0,1219.0,1150.0,1204.75,1580,1220.25
2008-03-11,1220.0,1220.0,1185.25,1192.75,1390,1204.75
2008-03-12,1180.0,1180.0,1050.0,1123.25,310,1192.75
2008-03-13,1051.5,1140.0,1051.5,1125.25,1800,1123.25
2008-03-16,1098.0,1200.25,1098.0,1193.75,760,1125.25
2008-03-17,1135.0,1159.75,1121.25,1136.0,130,1193.75
2008-03-18,1100.25,1110.0,1100.0,0.0,40,1136.0
2008-03-19,1115.0,1127.75,1111.0,1115.25,340,1105.0
2008-03-20,1105.0,1110.0,1051.0,1106.25,570,1115.25
2008-03-23,1140.0,1140.0,1080.0,1118.5,720,1106.25
2008-03-24,1101.0,1135.0,1101.0,1125.75,230,1118.5
2008-03-25,1110.0,1180.0,1100.0,1107.5,440,1125.75
2008-03-30,1187.0,1200.0,1145.0,1182.75,360,1107.5
2008-03-31,1180.0,1182.0,1150.0,1177.0,590,1182.75
2008-04-01,1190.0,1210.0,1120.0,1173.25,1150,1177.0
2008-04-02,1180.0,1180.0,1165.0,1173.5,510,1173.25
2008-04-03,1161.0,1180.0,1160.0,1164.25,680,1173.5
2008-04-06,1220.0,1220.0,1155.0,1158.75,1400,1164.25
2008-04-07,1195.0,1200.0,1121.0,1175.25,420,1158.75
2008-04-08,1188.0,1189.0,1140.0,1181.25,320,1175.25
2008-04-09,1215.0,1249.75,1165.0,1229.5,1250,1181.25
2008-04-10,1229.5,0.0,0.0,1229.5,0,1229.5
2008-04-13,1150.0,1255.0,1080.0,1191.5,2390,1229.5
2008-04-15,1239.0,1299.0,1145.0,1221.5,760,1191.5
2008-04-16,1176.0,1177.0,1134.0,1168.75,300,1221.5
2008-04-17,1150.0,1174.0,1062.0,1149.75,280,1168.75
2008-04-20,1085.0,1085.0,1080.5,1082.75,40,1149.75
2008-04-21,1125.0,1125.0,1082.25,1087.75,680,1082.75
2008-04-22,1080.0,1140.0,1027.0,1050.5,610,1087.75
2008-04-23,1090.0,1100.0,1037.0,1073.0,130,1050.5
2008-04-24,1126.0,1126.0,1056.0,1081.25,90,1073.0
2008-04-27,1061.0,1067.0,1026.0,1050.25,420,1081.25
2008-04-28,1035.0,1050.0,1000.0,1040.5,610,1050.25
2008-04-29,1040.0,1050.0,1015.0,1024.75,70,1040.5
2008-04-30,1001.0,1010.0,986.0,1000.25,310,1024.75
2008-05-04,1000.0,1000.0,920.0,960.25,510,1000.25
2008-05-05,895.0,895.0,850.0,872.75,260,960.25
2008-05-06,935.0,980.0,935.0,949.75,70,872.75
2008-05-07,1000.0,1000.0,971.0,995.25,130,949.75
2008-05-08,999.0,1040.0,990.0,1013.5,580,995.25
2008-05-11,1059.0,1059.0,1000.0,1012.25,280,1013.5
2008-05-12,1070.0,1070.0,1010.0,1017.75,1370,1012.25
2008-05-13,1048.0,1048.0,1000.0,1008.75,270,1017.75
2008-05-14,1030.0,1045.0,1000.0,1024.0,210,1008.75
2008-05-15,1030.0,1098.0,1001.0,1070.25,1230,1024.0
2008-05-18,1100.0,1204.0,1100.0,1199.5,1900,1070.25
2008-05-20,1240.0,1349.25,1240.0,1348.0,1540,1199.5
2008-05-21,1399.0,1449.0,1291.0,1330.5,670,1348.0
2008-05-22,1360.0,1495.0,1360.0,1472.5,1610,1330.5
2008-05-25,1500.0,1560.0,1460.0,1513.5,1400,1472.5
2008-05-26,1597.0,1598.0,1460.0,1506.75,2050,1513.5
2008-05-27,1500.0,1510.0,1355.0,1379.5,490,1506.75
2008-05-28,1400.0,1400.0,1340.0,1351.75,530,1379.5
2008-05-29,1400.0,1410.0,1326.25,1372.5,940,1351.75
2008-06-01,1350.0,1397.0,1312.0,1365.0,720,1372.5
2008-06-02,1396.0,1524.0,1395.0,1498.0,1770,1365.0
2008-06-03,1520.0,1580.0,1430.0,1473.5,1210,1498.0
2008-06-04,1453.0,1480.0,1413.0,1455.5,810,1473.5
2008-06-05,1415.0,1539.0,1415.0,1525.75,920,1455.5
2008-06-08,1550.0,1648.0,1550.0,1591.25,2540,1525.75
2008-06-09,1610.0,1610.0,1475.0,1486.5,810,1591.25
2008-06-10,1436.0,1460.0,1436.0,1452.0,30,1486.5
2008-06-11,1421.0,1425.0,1304.0,1342.0,320,1452.0
2008-06-12,1286.0,1350.0,1272.0,1292.0,240,1342.0
2008-06-15,1300.0,1300.0,1200.0,1253.5,150,1292.0
2008-06-16,1220.0,1239.0,1215.0,0.0,90,1253.5
2008-06-17,1300.0,1330.0,1245.0,1326.75,840,1222.5
2008-06-18,1315.0,1340.0,1300.0,0.0,340,1326.75
2008-06-19,1274.0,1276.25,1250.0,1267.0,790,1313.5
2008-06-22,1225.0,1235.0,1210.0,0.0,330,1267.0
2008-06-23,1227.0,1227.0,1200.0,0.0,80,1223.5
2008-06-24,1250.0,1280.0,1250.0,1263.75,410,1215.5
2008-06-25,1260.0,1319.0,1250.0,1266.5,380,1263.75
2008-06-26,1250.0,1330.0,1250.0,1288.5,2750,1266.5
2008-06-29,1320.0,1330.0,1300.0,1310.5,1100,1288.5
2008-06-30,1320.0,1350.0,1270.0,1287.25,1030,1310.5
2008-07-02,1241.0,1241.0,1225.0,1233.25,500,1287.25
2008-07-03,1279.0,1280.0,1278.0,1279.0,430,1233.25
2008-07-06,1250.0,1250.0,1211.0,1231.5,500,1279.0
2008-07-07,1252.0,1290.0,1252.0,1272.5,650,1231.5
2008-07-08,1280.0,1298.0,1275.0,1286.0,230,1272.5
2008-07-08,1280.0,1298.0,1275.0,1286.0,230,1272.5
2008-07-09,1260.0,1260.0,1250.0,1255.0,100,1286.0
2008-07-10,1279.0,1279.0,1242.0,1255.25,70,1255.0
2008-07-13,1299.5,1299.5,1271.0,1276.75,700,1255.25
2008-07-14,1270.0,1290.0,1235.0,1262.75,570,1276.75
2008-07-15,1250.0,1250.0,1240.0,1244.25,120,1262.75
2008-07-16,1227.0,1250.0,1210.25,1230.0,130,1244.25
2008-07-17,1275.0,1278.0,1200.0,1208.25,770,1230.0
2008-07-20,1195.0,1205.0,1152.0,1160.5,500,1208.25
2008-07-21,1111.0,1149.0,1080.0,1099.25,470,1160.5
2008-07-22,1100.0,1100.0,1040.0,1048.25,240,1099.25
2008-07-23,1026.0,1026.0,985.0,1007.75,100,1048.25
2008-07-24,1075.0,1105.0,1075.0,1087.25,140,1007.75
2008-07-27,1160.0,1167.0,1125.0,1161.0,260,1087.25
2008-07-28,1182.0,1290.0,1182.0,1211.5,1620,1161.0
2008-07-29,1157.0,1210.0,1157.0,1190.0,460,1211.5
2008-07-30,1198.0,1200.0,1145.0,1154.75,1410,1190.0
2008-07-31,1154.75,0.0,0.0,1154.75,0,1154.75
2008-08-03,1081.0,1155.0,1080.0,1100.75,320,1154.75
2008-08-04,1072.0,1073.5,1060.0,1067.5,80,1100.75
2008-08-05,1090.0,1130.0,1089.0,1095.5,70,1067.5
2008-08-06,1125.0,1197.0,1125.0,1185.5,1260,1095.5
2008-08-07,1123.0,1172.0,1100.0,1124.25,130,1185.5
2008-08-10,1199.0,1199.0,1199.0,1199.0,10,1124.25
2008-08-11,1185.0,1185.0,1052.0,1106.75,320,1199.0
2008-08-12,1111.0,1140.0,1091.0,1105.0,380,1106.75
2008-08-13,1151.0,1151.0,1038.0,1040.25,620,1105.0
2008-08-14,1010.0,1040.0,1000.0,1025.25,310,1040.25
2008-08-18,1050.0,1050.0,1000.0,1019.75,50,1025.25
2008-08-19,950.0,1044.75,950.0,994.5,130,1019.75
2008-08-20,975.0,1020.0,960.0,996.5,140,994.5
2008-08-21,1020.0,1120.0,1020.0,1092.75,410,996.5
2008-08-25,1060.0,1120.0,1060.0,1118.25,410,1092.75
2008-08-26,1140.0,1170.0,1100.0,1119.25,820,1118.25
2008-08-27,1155.0,1155.0,1100.0,1129.5,80,1119.25
2008-08-28,1130.0,1145.0,1126.0,1140.5,390,1129.5
2008-08-31,1070.0,1180.0,1070.0,1173.0,880,1140.5
2008-09-01,1118.0,1144.0,1108.0,1116.75,360,1173.0
2008-09-02,1169.0,1169.0,1120.0,1138.75,340,1116.75
2008-09-03,1120.0,1125.0,1082.0,1104.75,640,1138.75
2008-09-04,1100.0,1125.0,1082.0,1106.75,120,1104.75
2008-09-07,1140.0,1205.0,1125.0,1180.0,2920,1106.75
2008-09-08,1199.75,1249.0,1182.0,1197.25,1090,1180.0
2008-09-09,1238.0,1238.0,1150.0,1226.5,1090,1197.25
2008-09-10,1220.0,1220.0,1190.0,1202.75,620,1226.5
2008-09-11,1240.0,1240.0,1165.0,1189.25,190,1202.75
2008-09-14,1163.0,1163.0,1161.0,1162.5,70,1189.25
2008-09-15,1199.0,1199.0,1111.0,1155.0,210,1162.5
2008-09-16,1122.0,1125.0,1120.0,1123.0,80,1155.0
2008-09-17,1116.0,1116.0,1072.0,1091.5,170,1123.0
2008-09-18,1160.0,1225.0,1125.0,1198.25,940,1091.5
2008-09-21,1130.0,1130.0,1101.0,1109.0,370,1198.25
2008-09-22,1122.0,1122.0,1100.0,1106.0,220,1109.0
2008-09-23,1140.0,1140.0,1096.0,1110.5,130,1106.0
2008-09-24,1101.0,1115.0,1100.0,1107.0,110,1110.5
2008-09-25,1149.0,1149.0,1107.0,1117.0,400,1107.0
2008-10-05,1111.0,1200.0,1107.0,1128.0,310,1117.0
2008-10-06,1116.0,1135.0,1110.0,1120.25,390,1128.0
2008-10-07,1104.25,1139.0,1103.0,1112.0,250,1120.25
2008-10-08,1193.0,1230.0,1150.0,1173.25,1230,1112.0
2008-10-12,1112.0,1130.0,1100.0,1107.0,480,1173.25
2008-10-13,1101.0,1110.0,1051.0,1076.0,2140,1107.0
2008-10-14,1090.0,1101.0,1075.0,1077.75,590,1076.0
2008-10-15,1119.0,1119.0,1076.0,1107.75,190,1077.75
2008-10-16,1100.0,1100.0,1065.0,1083.5,560,1107.75
2008-10-19,1138.0,1218.75,1138.0,1214.0,3860,1083.5
2008-10-20,1270.0,1365.0,1215.0,1364.0,7150,1214.0
2008-10-21,1458.0,1534.5,1458.0,1534.5,3020,1364.0
2008-10-22,1600.0,1726.25,1600.0,1726.25,2030,1534.5
2008-10-23,1855.5,1926.25,1855.0,1926.25,5350,1726.25
2008-10-26,2050.0,2060.0,1860.0,1955.75,3500,1926.25
2008-10-27,1950.0,2035.0,1873.0,1919.5,1620,1955.75
