date,open,high,low,close,volume,prev_closing_price
2008-03-06,2110.0,2150.0,2035.0,2043.0,3950,2079.75
2008-03-09,2051.0,2115.0,2050.0,2090.25,3880,2043.0
2008-03-09,2051.0,2115.0,2050.0,2090.25,3880,2043.0
2008-03-10,2100.0,2162.0,2100.0,2138.75,6740,2090.25
2008-03-11,2175.0,2352.5,2175.0,2352.5,9765,2138.75
2008-03-12,2400.0,2550.0,2370.0,2390.5,8700,2352.5
2008-03-13,2370.0,2629.5,2370.0,2629.25,9245,2390.5
2008-03-16,2734.0,2892.0,2734.0,2892.0,5515,2629.25
2008-03-17,3000.0,3025.0,2700.0,2895.5,8290,2892.0
2008-03-18,2950.0,2999.0,2832.0,0.0,6130,2895.5
2008-03-19,2993.0,3200.0,2950.0,3145.75,7225,2934.5
2008-03-20,3170.0,3200.0,3025.0,3045.25,3915,3145.75
2008-03-23,3015.0,3015.0,2820.0,2848.75,4670,3045.25
2008-03-24,2888.0,3000.0,2862.0,2888.0,4820,2848.75
2008-03-25,3000.0,3020.0,2850.0,2866.0,4915,2888.0
2008-03-30,2850.0,2960.0,2850.0,2907.5,3055,2866.0
2008-03-31,2990.0,2990.0,2850.0,2854.25,2985,2907.5
2008-04-01,2861.0,2880.0,2800.0,2831.75,5710,2854.25
2008-04-02,2890.0,2998.75,2800.0,2934.5,6210,2831.75
2008-04-03,2990.0,3149.0,2955.0,3006.0,4665,2934.5
2008-04-06,3000.0,3049.75,2860.0,2889.25,4015,3006.0
2008-04-07,2855.0,2855.0,2700.0,2717.0,11665,2889.25
2008-04-08,2725.25,2840.0,2725.25,2749.25,3265,2717.0
2008-04-09,2800.0,2800.0,2753.0,2789.5,3760,2749.25
2008-04-10,2820.0,2849.0,2780.0,2789.0,4885,2789.5
2008-04-13,2801.0,2939.0,2760.0,2900.25,6390,2789.0
2008-04-15,2949.0,3190.25,2925.0,3190.25,15225,2900.25
2008-04-16,3275.0,3275.0,3000.0,3120.5,7870,3190.25
2008-04-17,3046.0,3432.5,3046.0,3357.0,15070,3120.5
2008-04-20,3475.0,3690.0,3230.0,3670.5,12915,3357.0
2008-04-21,3680.0,3800.0,3490.0,3522.5,6320,3670.5
2008-04-22,3500.0,3700.0,3480.0,3691.75,7100,3522.5
2008-04-23,3720.0,3725.0,3500.0,3556.25,4105,3691.75
2008-04-24,3540.0,3640.0,3506.0,3603.25,4660,3556.25
2008-04-27,3720.0,3720.0,3506.0,3572.5,6850,3603.25
2008-04-28,3600.0,3625.0,3436.0,3447.5,2915,3572.5
2008-04-29,3470.0,3530.0,3375.25,3393.5,3825,3447.5
2008-04-30,3420.0,3420.0,3201.0,3233.5,3105,3393.5
2008-05-04,3201.0,3555.0,3151.0,3541.5,3865,3233.5
2008-05-05,3520.0,3593.0,3400.0,3502.0,8215,3541.5
2008-05-06,3500.0,3500.0,3365.0,3401.75,2835,3502.0
2008-05-07,3420.0,3440.0,3336.0,3350.0,2165,3401.75
2008-05-08,3389.0,3524.0,3380.0,3448.25,4870,3350.0
2008-05-11,3480.0,3481.0,3385.0,3391.25,2340,3448.25
2008-05-12,3399.0,3400.0,3280.0,3307.5,2590,3391.25
2008-05-13,3400.0,3400.0,3272.0,3298.25,3095,3307.5
2008-05-14,3300.0,3350.0,3250.0,3282.0,2165,3298.25
2008-05-15,3319.0,3540.0,3285.0,3449.5,6940,3282.0
2008-05-18,3590.0,3740.0,3500.0,3567.75,10385,3449.5
